global,time,en_co2_manf_zs
world,1960,29.30383
world,1961,28.66794
world,1962,27.80438
world,1963,27.82899
world,1964,28.45491
world,1965,28.49393
world,1966,28.40554
world,1967,29.40177
world,1968,28.76628
world,1969,28.06683
world,1970,26.03782
world,1971,27.25415
world,1972,26.62586
world,1973,26.49442
world,1974,26.50532
world,1975,25.50336
world,1976,25.29823
world,1977,25.5158
world,1978,25.02076
world,1979,25.43156
world,1980,25.01638
world,1981,24.51759
world,1982,23.85649
world,1983,23.30731
world,1984,23.47148
world,1985,22.79457
world,1986,22.33242
world,1987,22.28852
world,1988,22.15937
world,1989,21.58112
world,1990,19.97911
world,1991,19.43397
world,1992,18.82783
world,1993,18.46006
world,1994,18.48047
world,1995,19.09487
world,1996,18.18573
world,1997,18.09249
world,1998,17.97294
world,1999,17.18779
world,2000,17.36541
world,2001,17.17306
world,2002,16.89386
world,2003,16.91884
world,2004,17.93984
world,2005,18.27356
world,2006,18.63694
world,2007,19.0623
world,2008,19.41304
world,2009,19.52581
world,2010,19.96906
world,2011,20.25946
world,2012,19.78959
world,2013,19.71794
world,2014,19.96032
