global,time,en_co2_othx_zs
world,1960,2.61325
world,1961,2.55689
world,1962,2.67556
world,1963,2.72048
world,1964,2.58539
world,1965,2.74206
world,1966,2.75498
world,1967,2.66027
world,1968,2.77974
world,1969,2.74506
world,1970,2.01724
world,1971,3.418
world,1972,3.35664
world,1973,3.40886
world,1974,3.42389
world,1975,3.65437
world,1976,3.50272
world,1977,3.44662
world,1978,3.517
world,1979,3.708
world,1980,3.48973
world,1981,3.59059
world,1982,3.50908
world,1983,3.64228
world,1984,3.3606
world,1985,3.32709
world,1986,3.28155
world,1987,3.26874
world,1988,3.1689
world,1989,2.9159
world,1990,3.65081
world,1991,3.61694
world,1992,3.20838
world,1993,3.25946
world,1994,3.10956
world,1995,2.80735
world,1996,2.45801
world,1997,2.55797
world,1998,2.43836
world,1999,2.47717
world,2000,2.16107
world,2001,2.17619
world,2002,2.14221
world,2003,2.10348
world,2004,2.17336
world,2005,2.19489
world,2006,2.1653
world,2007,2.09286
world,2008,2.08251
world,2009,2.15613
world,2010,2.05444
world,2011,1.90271
world,2012,1.97883
world,2013,1.95127
world,2014,1.95523
