geo,time,er_fsh_aqua_mt
abw,2011,2
abw,2013,0
abw,2014,0
abw,2015,0
abw,2016,0
abw,2017,0
abw,2018,0
afg,1969,60
afg,1970,60
afg,1971,60
afg,1972,60
afg,1973,60
afg,1974,60
afg,1975,60
afg,1976,170
afg,1977,170
afg,1978,170
afg,1979,170
afg,1980,170
afg,1981,170
afg,1982,170
afg,1983,170
afg,1984,170
afg,1985,170
afg,1986,170
afg,1987,170
afg,1988,170
afg,1989,170
afg,1990,300
afg,1991,300
afg,1992,300
afg,1993,300
afg,1994,300
afg,1995,300
afg,1996,300
afg,1997,300
afg,1998,300
afg,1999,300
afg,2000,300
afg,2001,450
afg,2002,450
afg,2003,450
afg,2004,450
afg,2005,450
afg,2006,450
afg,2007,1050
afg,2008,1050
afg,2009,1650
afg,2010,2250
afg,2011,2850
afg,2012,3480
afg,2013,4110
afg,2014,4760
afg,2015,5450
afg,2016,6150
afg,2017,7000
afg,2018,7950
ago,2000,5
ago,2001,11
ago,2002,51
ago,2003,72
ago,2004,92
ago,2005,126
ago,2006,156
ago,2007,190
ago,2008,190
ago,2009,260
ago,2010,310
ago,2011,310
ago,2012,310
ago,2013,57
ago,2014,305
ago,2015,872
ago,2016,655
ago,2017,1339
ago,2018,1752
alb,1960,0
alb,1961,0
alb,1962,0
alb,1963,0
alb,1964,0
alb,1965,0
alb,1966,0
alb,1967,0
alb,1968,0
alb,1969,0
alb,1970,0
alb,1971,0
alb,1972,0
alb,1973,3
alb,1974,45
alb,1975,85
alb,1976,123
alb,1977,164
alb,1978,193
alb,1979,260
alb,1980,339
alb,1981,455
alb,1982,699
alb,1983,1162
alb,1984,1197
alb,1985,1208
alb,1986,2165
alb,1987,2368
alb,1988,3732
alb,1989,2604
alb,1990,4961
alb,1991,859
alb,1992,397
alb,1993,389
alb,1994,395
alb,1995,340
alb,1996,323
alb,1997,97
alb,1998,124
alb,1999,310
alb,2000,307
alb,2001,286
alb,2002,860
alb,2003,1473
alb,2004,1569
alb,2005,1473
alb,2006,2057
alb,2007,2092
alb,2008,2000
alb,2009,2317
alb,2010,2520
alb,2011,2345
alb,2012,3450
alb,2013,3700
alb,2014,4000
alb,2015,3495
alb,2016,4750
alb,2017,4430
alb,2018,6258
are,1960,0
are,1961,0
are,1962,0
are,1963,0
are,1964,0
are,1965,0
are,1966,0
are,1967,0
are,1968,0
are,1969,0
are,1970,0
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,7
are,1985,7
are,1986,7
are,1987,9
are,1988,6
are,1989,2
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,2300
are,2004,570
are,2005,590
are,2006,610
are,2007,644
are,2008,1343
are,2009,130
are,2010,198
are,2011,415
are,2012,420
are,2013,780
are,2014,788
are,2015,790
are,2016,2684.8999
are,2017,3255
are,2018,3350
arg,1960,0
arg,1961,0
arg,1962,1
arg,1963,2
arg,1964,4
arg,1965,5
arg,1966,5
arg,1967,8
arg,1968,11
arg,1969,15
arg,1970,19
arg,1971,23
arg,1972,27
arg,1973,31
arg,1974,36
arg,1975,42
arg,1976,49
arg,1977,57
arg,1978,67
arg,1979,78
arg,1980,90
arg,1981,105
arg,1982,123
arg,1983,143
arg,1984,150
arg,1985,270
arg,1986,270
arg,1987,353
arg,1988,353
arg,1989,300
arg,1990,300
arg,1991,350
arg,1992,402
arg,1993,707
arg,1994,763
arg,1995,1474
arg,1996,1322
arg,1997,1314
arg,1998,1040
arg,1999,1218
arg,2000,1784
arg,2001,1340
arg,2002,1457
arg,2003,1647
arg,2004,1848
arg,2005,2057
arg,2006,2528
arg,2007,2957
arg,2008,2700
arg,2009,2582.94995
arg,2010,2654.34985
arg,2011,3193.25
arg,2012,2958.42017
arg,2013,3825.11987
arg,2014,4002.70996
arg,2015,3662.65015
arg,2016,3673.48486
arg,2017,3567.76001
arg,2018,3205.31006
arm,1988,4598
arm,1989,4604
arm,1990,5057
arm,1991,2637
arm,1992,2565
arm,1993,2250
arm,1994,1570
arm,1995,1120
arm,1996,650
arm,1997,670
arm,1998,437
arm,1999,889
arm,2000,893
arm,2001,1331
arm,2002,1020
arm,2003,1064
arm,2004,813
arm,2005,739
arm,2006,1056
arm,2007,3650
arm,2008,5100
arm,2009,5240
arm,2010,5000
arm,2011,6300
arm,2012,8850
arm,2013,11700
arm,2014,13925
arm,2015,15130
arm,2016,16381
arm,2017,16690
arm,2018,17000
asm,1991,5
asm,1992,5
asm,1993,5
asm,1994,5
asm,1995,5
asm,1996,5
asm,1997,5
asm,1998,5
asm,1999,5
asm,2000,5
asm,2001,10
asm,2002,10
asm,2003,10
asm,2004,10
asm,2005,10
asm,2006,18
asm,2007,18
asm,2008,18
asm,2009,18
asm,2010,18
asm,2011,20
asm,2012,20
asm,2013,20
asm,2014,20
asm,2015,20
asm,2016,20
asm,2017,20
asm,2018,20
atg,2011,4
atg,2012,10
atg,2013,11
atg,2014,13
atg,2015,10
atg,2016,10
atg,2017,10
atg,2018,10
aus,1960,5700
aus,1961,6500
aus,1962,5800
aus,1963,5900
aus,1964,5800
aus,1965,6600
aus,1966,6800
aus,1967,7300
aus,1968,7500
aus,1969,7500
aus,1970,7021
aus,1971,9800
aus,1972,10400
aus,1973,9200
aus,1974,10484
aus,1975,9204
aus,1976,10439
aus,1977,11126
aus,1978,10236
aus,1979,8702
aus,1980,8994
aus,1981,9185
aus,1982,8841
aus,1983,9056
aus,1984,8785
aus,1985,9534
aus,1986,9083
aus,1987,9660
aus,1988,13080
aus,1989,13685
aus,1990,12401
aus,1991,14327
aus,1992,16422
aus,1993,18359
aus,1994,19129
aus,1995,22395
aus,1996,25323
aus,1997,26543
aus,1998,24570
aus,1999,29189
aus,2000,31746
aus,2001,35403
aus,2002,38566
aus,2003,38793
aus,2004,44142
aus,2005,42787
aus,2006,49376
aus,2007,55799
aus,2008,58911.69922
aus,2009,70121.85156
aus,2010,73827.22656
aus,2011,73126.53906
aus,2012,78992.10156
aus,2013,76416.89062
aus,2014,73677.60938
aus,2015,83725.21094
aus,2016,92449.89062
aus,2017,89824.92188
aus,2018,96798.52344
aut,1960,650
aut,1961,660
aut,1962,670
aut,1963,600
aut,1964,680
aut,1965,730
aut,1966,750
aut,1967,790
aut,1968,740
aut,1969,800
aut,1970,870
aut,1971,960
aut,1972,1080
aut,1973,1300
aut,1974,1220
aut,1975,1200
aut,1976,1390
aut,1977,1600
aut,1978,2900
aut,1979,3400
aut,1980,3200
aut,1981,3200
aut,1982,3100
aut,1983,3600
aut,1984,4000
aut,1985,4100
aut,1986,4060
aut,1987,4000
aut,1988,4500
aut,1989,4450
aut,1990,3126
aut,1991,3135
aut,1992,3140
aut,1993,3140
aut,1994,3103
aut,1995,2918
aut,1996,2949
aut,1997,3018
aut,1998,2909
aut,1999,3067
aut,2000,2847
aut,2001,2393
aut,2002,2333
aut,2003,2233
aut,2004,2267
aut,2005,2420
aut,2006,2503
aut,2007,2539
aut,2008,2087
aut,2009,2141
aut,2010,2167
aut,2011,2904.30005
aut,2012,3125.5
aut,2013,3237
aut,2014,3390.30005
aut,2015,3503.3999
aut,2016,3483.3999
aut,2017,3861.6001
aut,2018,3990.6001
aze,1988,1656
aze,1989,1621
aze,1990,1216
aze,1991,2176
aze,1992,1690
aze,1993,1201
aze,1994,1038
aze,1995,516
aze,1996,419
aze,1997,364
aze,1998,211
aze,1999,216
aze,2000,140
aze,2001,95
aze,2002,80
aze,2003,130
aze,2004,350
aze,2005,500
aze,2006,600
aze,2007,900
aze,2008,1000
aze,2009,1000
aze,2010,1000
aze,2011,517
aze,2012,366.10001
aze,2013,325
aze,2014,305
aze,2015,561
aze,2016,640
aze,2017,695
aze,2018,478
bdi,1984,2
bdi,1985,2
bdi,1986,21
bdi,1987,25
bdi,1988,24
bdi,1989,25
bdi,1990,30
bdi,1991,50
bdi,1992,50
bdi,1993,50
bdi,1994,50
bdi,1995,50
bdi,1996,50
bdi,1997,50
bdi,1998,50
bdi,1999,50
bdi,2000,50
bdi,2001,50
bdi,2002,50
bdi,2003,50
bdi,2004,50
bdi,2005,50
bdi,2006,50
bdi,2007,50
bdi,2008,50
bdi,2009,50
bdi,2010,17.3
bdi,2011,61.7
bdi,2012,160.39999
bdi,2013,385
bdi,2014,805
bdi,2015,1326
bdi,2016,1400
bdi,2017,1470
bdi,2018,1550
bel,1975,4
bel,1976,7
bel,1977,12
bel,1978,20
bel,1979,32
bel,1980,90
bel,1981,147
bel,1982,203
bel,1983,255
bel,1984,310
bel,1985,440
bel,1986,530
bel,1987,600
bel,1988,700
bel,1989,735
bel,1990,675
bel,1991,846
bel,1992,846
bel,1993,846
bel,1994,846
bel,1995,846
bel,1996,946
bel,1997,846
bel,1998,846
bel,1999,1597
bel,2000,1871
bel,2001,1830
bel,2002,1834
bel,2003,1261
bel,2004,739
bel,2005,414
bel,2006,128
bel,2007,128
bel,2008,126
bel,2009,576
bel,2010,539
bel,2011,101
bel,2012,277
bel,2013,212
bel,2014,214
bel,2015,82
bel,2016,44
bel,2017,75
bel,2018,111
ben,1984,15
ben,1985,11
ben,1986,15
ben,1987,14
ben,1988,80
ben,2002,7
ben,2003,7
ben,2004,7
ben,2005,350
ben,2006,415
ben,2007,178
ben,2008,213
ben,2009,308
ben,2010,364
ben,2011,400
ben,2012,500
ben,2013,667
ben,2014,1425
ben,2015,4459.66016
ben,2016,4207
ben,2017,4529.66016
ben,2018,5114.13672
bfa,1970,0
bfa,1971,0
bfa,1972,0
bfa,1973,0
bfa,1974,0
bfa,1975,0
bfa,1976,0
bfa,1977,0
bfa,1978,0
bfa,1979,0
bfa,1980,0
bfa,1981,0
bfa,1982,0
bfa,1983,114
bfa,1984,74
bfa,1985,33
bfa,1986,30
