geo,time,er_gdp_fwtl_m3_kd
afg,2002,0.37081
afg,2007,0.54593
afg,2012,0.89186
afg,2017,1.03027
ago,1987,72.20985
ago,1992,62.37489
ago,1997,60.4246
ago,2002,71.42769
ago,2007,112.7725
ago,2012,148.26113
ago,2017,160.16601
alb,1992,2.98076
alb,1997,3.22293
alb,2002,4.12344
alb,2007,7.13207
alb,2012,9.06556
alb,2017,10.27912
are,1982,104.73799
are,1987,63.76064
are,1992,77.99138
are,1997,81.53855
are,2002,87.90889
are,2007,101.13028
are,2012,115.29806
are,2017,147.4856
arg,1977,9.74182
arg,1982,9.70622
arg,1987,10.5365
arg,1992,11.01583
arg,1997,13.56796
arg,2002,10.63159
arg,2007,14.63747
arg,2012,15.38632
arg,2017,15.88726
arm,1997,1.82333
arm,2002,2.83623
arm,2007,3.01184
arm,2012,3.24904
arm,2017,3.96772
atg,1992,356.47503
atg,1997,282.06687
atg,2002,233.31079
atg,2007,309.74917
atg,2012,283.60486
atg,2017,330.57401
aus,1997,34.93887
aus,2002,44.67711
aus,2007,67.7539
aus,2012,81.55758
aus,2017,89.12534
aut,1982,57.1153
aut,1987,58.56007
aut,1992,69.3701
aut,1997,77.02599
aut,2002,89.51958
aut,2007,103.42803
aut,2012,107.56564
aut,2017,114.25728
aze,1992,0.97562
aze,1997,0.73709
aze,2002,1.44573
aze,2007,3.08566
aze,2012,4.03283
aze,2017,4.03137
bdi,1987,21.65793
bdi,1992,14.68695
bdi,1997,7.77682
bdi,2002,7.31854
bdi,2007,8.47995
bdi,2012,10.54454
bdi,2017,11.07175
bel,1982,27.01569
bel,1987,30.28592
bel,1992,36.07569
bel,1997,43.41417
bel,2002,55.80598
bel,2007,68.86703
bel,2012,83.74103
bel,2017,119.07676
ben,1987,30.22368
ben,1992,29.54557
ben,1997,37.41325
ben,2002,52.73237
ben,2007,63.83079
ben,2012,75.49649
ben,2017,95.66111
bfa,1987,9.00366
bfa,1992,8.84566
bfa,1997,9.21189
bfa,2002,7.51061
bfa,2007,9.40529
bfa,2012,12.63124
bfa,2017,16.30324
bgd,2012,4.53938
bgd,2017,6.24969
bgr,1982,2.26102
bgr,1987,2.97884
bgr,1992,4.386
bgr,1997,4.54496
bgr,2002,5.00404
bgr,2007,7.25607
bgr,2012,8.33789
bgr,2017,9.61899
bhr,1992,51.44061
bhr,1997,51.95053
bhr,2002,63.93947
bhr,2007,105.54443
bhr,2012,145.00949
bhr,2017,216.21686
bih,2002,29.24279
bih,2007,37.74429
bih,2012,34.70285
bih,2017,43.03444
blr,1997,11.45337
blr,2002,16.09867
blr,2007,27.26618
blr,2012,37.45624
blr,2017,40.38787
blz,1987,21.34559
blz,1992,20.80069
blz,1997,11.04225
blz,2002,11.48465
blz,2007,14.13253
blz,2012,15.75962
blz,2017,17.35003
bol,1987,8.64054
bol,1992,8.33525
bol,1997,8.74029
bol,2002,9.03965
bol,2007,10.66532
bol,2012,13.38267
bol,2017,17.1699
bra,1987,26.18426
bra,1992,20.12229
bra,1997,20.44323
bra,2002,21.84389
bra,2007,24.2532
bra,2012,25.83525
bra,2017,26.89152
brb,1977,57.58149
brb,1982,55.51356
brb,1987,56.00825
brb,1992,47.36739
brb,1997,50.1003
brb,2002,53.59148
brb,2007,72.2988
brb,2012,66.76832
brb,2017,69.35468
brn,1992,120.82887
brn,1997,117.04073
brn,2002,131.64947
brn,2007,142.91487
brn,2012,147.87569
brn,2017,138.88616
btn,2012,5.14746
btn,2017,6.70971
bwa,1987,34.11646
bwa,1992,46.49062
bwa,1997,41.60268
bwa,2002,41.79586
bwa,2007,54.68958
bwa,2012,65.07341
bwa,2017,80.19699
caf,1987,75.81493
caf,1992,37.14345
caf,1997,28.60005
caf,2002,26.39678
caf,2007,27.74691
caf,2012,35.21604
caf,2017,25.6111
can,1997,22.16356
can,2002,26.31844
can,2007,33.51002
can,2012,40.31175
can,2017,45.33684
che,1982,145.29287
che,1987,158.64989
che,1992,173.24795
che,1997,190.638
che,2002,214.48675
che,2007,273.17549
che,2012,330.32711
che,2017,419.76081
chl,1992,4.29022
chl,1997,4.7396
chl,2002,4.56525
chl,2007,5.28162
chl,2012,6.36673
chl,2017,7.0977
chn,1982,1.0521
chn,1987,1.74565
chn,1992,2.48043
chn,1997,4.07259
chn,2002,5.93125
chn,2007,10.00875
chn,2012,14.90706
chn,2017,21.35896
civ,1987,32.82108
civ,1992,20.50949
civ,1997,21.8177
civ,2002,20.21649
civ,2007,21.2553
civ,2012,28.46973
civ,2017,45.36801
cmr,1987,43.30558
cmr,1992,33.95664
cmr,1997,19.24627
cmr,2002,17.55084
cmr,2007,20.23884
cmr,2012,24.09951
cmr,2017,30.79298
cod,1997,36.30521
cod,2002,26.69966
cod,2007,32.61773
cod,2012,43.68605
cod,2017,58.91541
cog,1987,132.66067
cog,1992,139.99199
cog,1997,134.76665
cog,2002,152.13584
cog,2007,172.45755
cog,2012,252.83201
cog,2017,220.63701
col,2002,18.6994
col,2007,18.98806
col,2012,20.45838
col,2017,22.32633
com,2002,67.56602
com,2007,74.81471
com,2012,89.54233
com,2017,103.61932
cpv,2002,39.89031
cpv,2007,54.8718
cpv,2012,61.61128
cpv,2017,68.53116
cri,2012,21.93688
cri,2017,19.1798
cub,1997,7.76732
cub,2002,9.11359
cub,2007,14.21294
cub,2012,12.09222
cub,2017,12.81475
cyp,1977,26.50594
cyp,1982,31.74748
cyp,1987,37.57003
cyp,1992,51.51983
cyp,1997,72.75227
cyp,2002,98.27627
cyp,2007,127.14445
cyp,2012,82.08027
cyp,2017,102.81737
cze,1997,48.2162
cze,2002,69.25747
cze,2007,87.52738
cze,2012,94.84489
cze,2017,124.39846
deu,1992,54.5195
deu,1997,62.12017
deu,2002,77.82782
deu,2007,96.46317
deu,2012,115.53938
deu,2017,144.13291
dji,2017,143.79016
dma,1997,24.21062
dma,2002,25.05766
dma,2007,27.91039
dma,2012,26.87004
dma,2017,25.8427
dnk,1972,155.4502
dnk,1977,129.04508
dnk,1982,120.45092
dnk,1987,147.8169
dnk,1992,175.5889
dnk,1997,262.49315
dnk,2002,407.61187
dnk,2007,530.36984
dnk,2012,395.80071
dnk,2017,433.56574
dom,2002,7.47575
dom,2007,8.06858
dom,2012,7.4805
dom,2017,8.75159
dza,1972,17.59551
dza,1977,19.17395
dza,1982,20.9761
dza,1987,19.80507
dza,1992,17.31098
dza,1997,16.26524
dza,2002,17.3813
dza,2007,18.88262
dza,2012,19.23046
dza,2017,17.70223
ecu,2002,6.02929
ecu,2007,7.27839
ecu,2012,9.18399
ecu,2017,10.12479
egy,1977,1.02832
egy,1982,1.45872
egy,1987,1.86551
egy,1992,2.22468
egy,1997,2.42973
egy,2002,2.74826
egy,2007,3.32179
egy,2012,4.71069
egy,2017,5.57715
esp,1977,14.14276
esp,1982,13.2709
esp,1987,14.63672
esp,1992,20.94664
esp,1997,24.50912
esp,2002,29.19051
esp,2007,35.18199
esp,2012,31.34147
esp,2017,40.6086
est,1997,8.85154
est,2002,11.13784
est,2007,12.75841
est,2012,13.17906
est,2017,13.99705
eth,2002,3.43248
eth,2007,3.50687
eth,2012,5.01384
eth,2017,7.34185
fin,1972,25.57985
fin,1977,27.2472
fin,1982,31.2542
fin,1987,42.05284
fin,1992,58.38092
fin,1997,68.52528
fin,2002,49.27851
fin,2007,37.23064
fin,2012,35.98839
fin,2017,37.90399
fji,1987,76.70917
fji,1992,54.65216
fji,1997,44.06464
fji,2002,42.2525
fji,2007,44.66413
fji,2012,47.71823
fji,2017,59.52696
fra,1982,41.39166
fra,1987,40.99971
fra,1992,43.46519
fra,1997,60.57777
fra,2002,65.21442
fra,2007,75.29722
fra,2012,84.62552
fra,2017,95.37749
gab,1987,106.3056
gab,1992,101.58677
gab,1997,98.5059
gab,2002,77.23062
gab,2007,77.29356
gab,2012,90.32929
gab,2017,106.06272
gbr,1982,104.71624
gbr,1987,136.9486
gbr,1992,144.37169
gbr,1997,166.74419
gbr,2002,188.02619
gbr,2007,319.35415
gbr,2012,339.997
gbr,2017,360.51993
geo,1992,2.34458
geo,1997,2.48323
geo,2002,3.76652
geo,2007,6.15427
geo,2012,7.35794
geo,2017,8.85013
gha,1972,29.34193
gha,1977,20.96986
gha,1982,16.03982
gha,1987,16.07818
gha,1992,17.30304
gha,1997,18.62085
gha,2002,20.22848
gha,2007,23.36375
gha,2012,32.033
gha,2017,36.65101
gin,1987,4.13381
gin,1992,5.51736
gin,1997,7.62706
gin,2002,10.05427
gin,2007,11.34054
gin,2012,13.69014
gin,2017,18.72754
gmb,1982,24.9661
gmb,1987,15.18713
gmb,1992,12.37247
gmb,1997,10.35973
gmb,2002,10.35288
gmb,2007,11.07449
gmb,2012,12.85259
gmb,2017,14.49523
gnb,1992,14.35144
gnb,1997,5.1766
gnb,2002,4.01107
gnb,2007,4.56621
gnb,2012,5.41352
gnb,2017,6.74178
gnq,1987,17.4413
gnq,1992,18.03688
gnq,1997,93.57473
gnq,2002,287.02137
gnq,2007,606.70931
gnq,2012,761.1115
gnq,2017,572.80829
grc,1972,26.29521
grc,1977,28.97391
grc,1982,27.61776
grc,1987,22.74431
grc,1992,20.45582
grc,1997,20.85072
grc,2002,23.6122
grc,2007,27.65841
grc,2012,20.15669
grc,2017,17.5134
grd,2005,89.57499
grd,2014,66.42963
gtm,2002,15.09653
gtm,2007,14.48857
gtm,2012,16.59439
gtm,2017,19.80023
guy,1992,1.39543
guy,1997,1.83133
guy,2002,1.84824
guy,2007,2.18805
guy,2012,2.79144
guy,2017,3.19008
hnd,2007,10.40508
hnd,2012,11.86807
hnd,2017,14.22034
hrv,2002,73.93844
hrv,2007,82.46722
hrv,2012,73.72689
hrv,2017,78.79493
hti,1992,9.80439
hti,1997,7.7469
hti,2002,7.89296
hti,2007,8.59643
hti,2012,9.45986
hti,2017,10.66126
hun,1992,10.69326
hun,1997,13.71073
hun,2002,17.32886
hun,2007,21.57689
hun,2012,22.46554
hun,2017,29.62116
idn,1992,3.74257
idn,1997,4.23262
idn,2002,3.37028
idn,2007,3.46529
idn,2012,3.79192
idn,2017,4.26717
ind,1977,0.62826
ind,1982,0.64372
ind,1987,0.76214
ind,1992,0.94992
ind,1997,1.15545
ind,2002,1.35995
ind,2007,1.77856
ind,2012,2.63258
ind,2017,3.75601
irl,1982,54.95039
irl,1987,59.38185
irl,1992,73.07412
irl,1997,112.18548
irl,2002,195.76824
irl,2007,310.96614
irl,2012,279.39141
