geo,time,er_h2o_intr_k3
afg,1962,47.15
afg,1967,47.15
afg,1972,47.15
afg,1977,47.15
afg,1982,47.15
afg,1987,47.15
afg,1992,47.15
afg,1997,47.15
afg,2002,47.15
afg,2007,47.15
afg,2012,47.15
afg,2017,47.15
afg,2018,47.15
ago,1962,148
ago,1967,148
ago,1972,148
ago,1977,148
ago,1982,148
ago,1987,148
ago,1992,148
ago,1997,148
ago,2002,148
ago,2007,148
ago,2012,148
ago,2017,148
ago,2018,148
alb,1962,26.9
alb,1967,26.9
alb,1972,26.9
alb,1977,26.9
alb,1982,26.9
alb,1987,26.9
alb,1992,26.9
alb,1997,26.9
alb,2002,26.9
alb,2007,26.9
alb,2012,26.9
alb,2017,26.9
alb,2018,26.9
and,1962,0.3156
and,1967,0.3156
and,1972,0.3156
and,1977,0.3156
and,1982,0.3156
and,1987,0.3156
and,1992,0.3156
and,1997,0.3156
and,2002,0.3156
and,2007,0.3156
and,2012,0.3156
and,2017,0.3156
and,2018,0.3156
are,1962,0.15
are,1967,0.15
are,1972,0.15
are,1977,0.15
are,1982,0.15
are,1987,0.15
are,1992,0.15
are,1997,0.15
are,2002,0.15
are,2007,0.15
are,2012,0.15
are,2017,0.15
are,2018,0.15
arg,1962,292
arg,1967,292
arg,1972,292
arg,1977,292
arg,1982,292
arg,1987,292
arg,1992,292
arg,1997,292
arg,2002,292
arg,2007,292
arg,2012,292
arg,2017,292
arg,2018,292
arm,1992,6.859
arm,1997,6.859
arm,2002,6.859
arm,2007,6.859
arm,2012,6.859
arm,2017,6.859
arm,2018,6.859
atg,1962,0.052
atg,1967,0.052
atg,1972,0.052
atg,1977,0.052
atg,1982,0.052
atg,1987,0.052
atg,1992,0.052
atg,1997,0.052
atg,2002,0.052
atg,2007,0.052
atg,2012,0.052
atg,2017,0.052
atg,2018,0.052
aus,1962,492
aus,1967,492
aus,1972,492
aus,1977,492
aus,1982,492
aus,1987,492
aus,1992,492
aus,1997,492
aus,2002,492
aus,2007,492
aus,2012,492
aus,2017,492
aus,2018,492
aut,1962,55
aut,1967,55
aut,1972,55
aut,1977,55
aut,1982,55
aut,1987,55
aut,1992,55
aut,1997,55
aut,2002,55
aut,2007,55
aut,2012,55
aut,2017,55
aut,2018,55
aze,1992,8.115
aze,1997,8.115
aze,2002,8.115
aze,2007,8.115
aze,2012,8.115
aze,2017,8.115
aze,2018,8.115
bdi,1962,10.06
bdi,1967,10.06
bdi,1972,10.06
bdi,1977,10.06
bdi,1982,10.06
bdi,1987,10.06
bdi,1992,10.06
bdi,1997,10.06
bdi,2002,10.06
bdi,2007,10.06
bdi,2012,10.06
bdi,2017,10.06
bdi,2018,10.06
bel,1962,12
bel,1967,12
bel,1972,12
bel,1977,12
bel,1982,12
bel,1987,12
bel,1992,12
bel,1997,12
bel,2002,12
bel,2007,12
bel,2012,12
bel,2017,12
bel,2018,12
ben,1962,10.3
ben,1967,10.3
ben,1972,10.3
ben,1977,10.3
ben,1982,10.3
ben,1987,10.3
ben,1992,10.3
ben,1997,10.3
ben,2002,10.3
ben,2007,10.3
ben,2012,10.3
ben,2017,10.3
ben,2018,10.3
bfa,1962,12.5
bfa,1967,12.5
bfa,1972,12.5
bfa,1977,12.5
bfa,1982,12.5
bfa,1987,12.5
bfa,1992,12.5
bfa,1997,12.5
bfa,2002,12.5
bfa,2007,12.5
bfa,2012,12.5
bfa,2017,12.5
bfa,2018,12.5
bgd,1962,105
bgd,1967,105
bgd,1972,105
bgd,1977,105
bgd,1982,105
bgd,1987,105
bgd,1992,105
bgd,1997,105
bgd,2002,105
bgd,2007,105
bgd,2012,105
bgd,2017,105
bgd,2018,105
bgr,1962,21
bgr,1967,21
bgr,1972,21
bgr,1977,21
bgr,1982,21
bgr,1987,21
bgr,1992,21
bgr,1997,21
bgr,2002,21
bgr,2007,21
bgr,2012,21
bgr,2017,21
bgr,2018,21
bhr,1962,0.004
bhr,1967,0.004
bhr,1972,0.004
bhr,1977,0.004
bhr,1982,0.004
bhr,1987,0.004
bhr,1992,0.004
bhr,1997,0.004
bhr,2002,0.004
bhr,2007,0.004
bhr,2012,0.004
bhr,2017,0.004
bhr,2018,0.004
bhs,1962,0.7
bhs,1967,0.7
bhs,1972,0.7
bhs,1977,0.7
bhs,1982,0.7
bhs,1987,0.7
bhs,1992,0.7
bhs,1997,0.7
bhs,2002,0.7
bhs,2007,0.7
bhs,2012,0.7
bhs,2017,0.7
bhs,2018,0.7
bih,1992,35.5
bih,1997,35.5
bih,2002,35.5
bih,2007,35.5
bih,2012,35.5
bih,2017,35.5
bih,2018,35.5
blr,1992,34
blr,1997,34
blr,2002,34
blr,2007,34
blr,2012,34
blr,2017,34
blr,2018,34
blz,1962,15.26
blz,1967,15.26
blz,1972,15.26
blz,1977,15.26
blz,1982,15.26
blz,1987,15.26
blz,1992,15.26
blz,1997,15.26
blz,2002,15.26
blz,2007,15.26
blz,2012,15.26
blz,2017,15.26
blz,2018,15.26
bol,1962,303.5
bol,1967,303.5
bol,1972,303.5
bol,1977,303.5
