geo,time,fd_ast_prvt_gd_zs
abw,1986,39.47631
abw,1987,39.45058
abw,1988,43.79213
abw,1989,43.3705
abw,1990,44.48402
abw,1991,44.22231
abw,1992,43.29178
abw,1993,40.912
abw,1994,42.44904
abw,1995,43.06822
abw,1996,45.41372
abw,1997,43.23093
abw,1998,41.87671
abw,1999,44.62327
abw,2000,44.7997
abw,2001,46.01885
abw,2002,51.32763
abw,2003,55.63532
abw,2004,52.39729
abw,2005,54.7401
abw,2006,54.88869
abw,2007,52.96467
abw,2008,52.46268
abw,2009,57.12124
abw,2010,60.35263
abw,2011,58.19489
abw,2012,60.55142
abw,2013,59.16367
abw,2014,60.24055
abw,2015,56.62691
abw,2016,57.22194
abw,2017,57.24649
abw,2018,57.25839
afg,1960,4.60331
afg,1961,4.63563
afg,1962,4.6626
afg,1963,3.44083
afg,1964,3.73056
afg,1965,3.90066
afg,1966,2.80476
afg,1967,2.56574
afg,1968,2.95485
afg,1969,3.14196
afg,1970,3.25668
afg,1971,2.82221
afg,1972,3.89331
afg,1973,3.87141
afg,1974,3.61711
afg,1975,2.57559
afg,1976,2.23052
afg,1977,2.04688
afg,1978,2.44572
afg,1979,2.67042
afg,1980,2.85747
afg,1981,2.4357
afg,2006,4.84286
afg,2007,6.83998
afg,2008,9.38833
afg,2009,10.58413
afg,2010,11.57504
afg,2011,4.95918
afg,2012,4.17945
afg,2013,4.10826
afg,2014,3.73272
afg,2015,3.78981
afg,2016,3.77581
afg,2017,3.71038
afg,2018,3.44213
afg,2019,3.17355
afg,2020,2.97037
ago,1995,4.78521
ago,1996,3.17745
ago,1997,5.16969
ago,1998,3.52276
ago,1999,2.52098
ago,2000,1.96654
ago,2001,3.61837
ago,2002,3.43511
ago,2003,3.97613
ago,2004,4.39906
ago,2005,4.20355
ago,2006,6.4256
ago,2007,9.77476
ago,2008,12.01045
ago,2009,22.99582
ago,2010,19.55293
ago,2011,18.78511
ago,2012,20.00368
ago,2013,21.34117
ago,2014,19.88676
ago,2015,24.01078
ago,2016,19.94083
ago,2017,15.92002
ago,2018,13.83231
ago,2019,13.25557
ago,2020,11.66941
alb,1994,4.04586
alb,1995,3.76324
alb,1996,3.25707
alb,1997,3.92592
alb,1998,3.86174
alb,1999,4.107
alb,2000,4.87088
alb,2001,6.20109
alb,2002,6.47603
alb,2003,7.656
alb,2004,9.63219
alb,2005,15.37591
alb,2006,22.31491
alb,2007,29.92145
alb,2008,35.33066
alb,2009,36.7844
alb,2010,37.36473
alb,2011,39.31421
alb,2012,38.917
alb,2013,37.87259
alb,2014,37.40258
alb,2015,35.36272
alb,2016,34.58182
alb,2017,32.56258
alb,2018,30.54137
alb,2019,31.34958
alb,2020,35.73264
are,1975,9.76009
are,1976,13.78731
are,1977,16.29478
are,1978,21.03052
are,1979,17.80347
are,1980,15.57369
are,1981,16.51083
are,1982,18.52891
are,1983,21.29853
are,1984,21.75238
are,1985,22.56038
are,1986,29.07694
are,1987,29.17938
are,1988,31.90902
are,1989,30.27631
are,1990,25.19651
are,1991,26.74691
are,1992,26.97627
are,1993,28.2522
are,1994,29.32171
are,1995,29.73295
are,1996,29.22356
are,1997,31.07098
are,1998,36.85169
are,1999,35.55845
are,2000,31.27207
are,2001,34.40824
are,2002,36.10017
are,2003,36.16307
are,2004,37.71093
are,2005,43.75566
are,2006,47.28689
are,2007,56.03238
are,2008,67.61092
are,2009,84.46467
are,2010,74.42166
are,2011,63.60472
are,2012,60.51782
are,2013,60.02604
are,2014,64.77551
are,2015,79.07251
are,2016,83.88932
are,2017,78.21868
are,2018,74.28056
are,2019,75.64566
are,2020,85.6175
arg,1960,10.79775
arg,1961,11.81004
arg,1962,10.22821
arg,1963,9.90252
arg,1964,9.40268
arg,1965,8.92375
arg,1966,9.72989
arg,1967,9.58187
arg,1968,12.14754
arg,1969,13.05338
arg,1970,14.20597
arg,1971,17.42098
arg,1972,16.55486
arg,1973,15.64826
arg,1974,17.94668
arg,1975,15.359
arg,1976,11.83322
arg,1977,15.26919
arg,1978,17.19843
arg,1979,20.72314
arg,1980,21.72951
arg,1981,29.69777
arg,1982,31.31811
arg,1983,26.55886
arg,1984,24.05061
arg,1985,16.92858
arg,1986,16.52155
arg,1987,20.92345
arg,1988,20.03206
arg,1989,39.43774
arg,1990,15.5277
arg,1991,12.46559
arg,1992,15.25075
arg,1993,18.01231
arg,1994,19.95495
arg,1995,19.67962
arg,1996,19.87604
arg,1997,21.55694
arg,1998,23.59099
arg,1999,24.1361
arg,2000,23.16742
arg,2001,20.15603
arg,2002,15.11567
arg,2003,10.62118
arg,2004,9.50128
arg,2005,10.41693
arg,2006,11.53239
arg,2007,12.61221
arg,2008,11.82277
arg,2009,11.99928
arg,2010,12.30231
arg,2011,13.54035
arg,2012,14.68923
arg,2013,15.18613
arg,2014,13.4669
arg,2015,14.08126
arg,2016,13.22519
arg,2017,15.37982
arm,1992,40.44457
arm,1993,8.37626
arm,1994,11.07547
arm,1995,7.26585
arm,1996,5.62322
arm,1997,6.02811
arm,1998,7.40964
arm,1999,8.72844
arm,2000,9.92947
arm,2001,7.51286
arm,2002,6.72421
arm,2003,5.63749
arm,2004,6.86004
arm,2005,7.93791
arm,2006,8.73622
arm,2007,13.47936
arm,2008,19.275
arm,2009,24.21699
arm,2010,27.65661
arm,2011,34.2924
arm,2012,38.85747
arm,2013,41.07974
arm,2014,47.22584
arm,2015,43.6021
arm,2016,46.22796
arm,2017,48.84239
arm,2018,52.62317
arm,2019,57.34067
arm,2020,69.06761
atg,1977,40.0184
atg,1978,38.15754
atg,1979,29.15835
atg,1980,28.94604
atg,1981,32.90556
atg,1982,31.03986
atg,1983,36.6281
atg,1984,32.71877
atg,1985,33.88329
atg,1986,32.97868
atg,1987,39.29305
atg,1988,38.31995
atg,1989,39.55633
atg,1990,40.55297
atg,1991,42.09156
atg,1992,45.03464
atg,1993,43.27425
atg,1994,38.56999
