geo,time,fi_res_xgld_cd
abw,1986,73630000
abw,1987,78730000
abw,1988,90920000
abw,1989,87070000
abw,1990,97930000
abw,1991,119590000
abw,1992,142110000
abw,1993,181240000
abw,1994,177590000
abw,1995,216670000
abw,1996,187620000
abw,1997,172330000
abw,1998,222190000
abw,1999,219910000
abw,2000,208010000
abw,2001,293710614.52514
abw,2002,339727932.96089
abw,2003,295220700
abw,2004,295424000
abw,2005,273513400
abw,2006,337819600
abw,2007,372082100
abw,2008,604898900
abw,2009,578220110
abw,2010,568163690
abw,2011,536675980
abw,2012,602222300
abw,2013,532720670
abw,2014,559751000
abw,2015,709800560
abw,2016,807960890
abw,2017,777461452.51397
abw,2018,852082680
abw,2019,830000000
abw,2020,1023468720
abw,2021,1330950300
afg,1960,10000000
afg,1961,6240000
afg,1962,4470000
afg,1963,9240000
afg,1964,8130000
afg,1965,8980000
afg,1966,12100000
afg,1967,5300000
afg,1968,6120000
afg,1969,8180000
afg,1970,12530000
afg,1971,26950866.94906
afg,1972,20802860.86673
afg,1973,21613158.21842
afg,1974,27638356.92914
afg,1975,86547903.82598
afg,1976,130918577.34423
afg,1977,275820946.52461
afg,1978,390555119.75129
afg,1979,441211039.41471
afg,1980,371168468.52878
afg,1981,274293257.48599
afg,1982,257752305.64221
afg,1983,214163539.77434
afg,1984,228707637.22243
afg,1985,295206731.10721
afg,1986,258523642.31282
afg,1987,279676447.38895
afg,1988,261124191.57325
afg,1989,243694707.86133
afg,1990,266400667.36851
afg,1991,234894920.25347
afg,2008,2430835946.06326
afg,2009,3501370863.63846
afg,2010,4174367357.95956
afg,2011,5268341390.29608
afg,2012,5982504170.91045
afg,2013,6441933255.85729
afg,2014,6680725917.17282
afg,2015,6231780913.18054
afg,2016,6476337158.7771
afg,2017,7185835046.00596
afg,2018,7305675819.84186
afg,2019,7426979265.63529
afg,2020,8419488003.81955
ago,1995,228335521.17706
ago,1996,555691254.40397
ago,1997,392514285.93973
ago,1998,202442614.08496
ago,1999,491400189.57731
ago,2000,1198212373.02401
ago,2001,731866198.10065
ago,2002,375545950.30713
ago,2003,634199422.3308
ago,2004,1379588147.35472
ago,2005,3196850749.33725
ago,2006,8149079645.64961
ago,2007,11196800894.0338
ago,2008,17869411576.4837
ago,2009,13664098153.6474
ago,2010,19678661657.2159
ago,2011,27039761554.085
ago,2012,31161778888.6797
ago,2013,31500815461.6599
ago,2014,27032344084.4907
ago,2015,23790543425.2351
ago,2016,23672191989.4347
ago,2017,17455327770.6619
ago,2018,15410405365.47
ago,2019,16334853784.0603
ago,2020,13781988139.5961
ago,2021,14468113825.809
alb,1993,147417856.2601
alb,1994,204804119.83597
alb,1995,241050766.7289
alb,1996,280860655.24739
alb,1997,308927385.47558
alb,1998,384220653.94588
alb,1999,488299674.82938
alb,2000,615647336.3013
alb,2001,739902999.38429
alb,2002,838777691.77919
alb,2003,1009421265.59302
alb,2004,1357601602.30432
alb,2005,1404087725.1731
alb,2006,1768802845.01829
alb,2007,2104224658.50648
alb,2008,2319777467.39249
alb,2009,2313907809.29456
alb,2010,2469547483.72045
alb,2011,2393924086.43353
alb,2012,2515654270.9457
alb,2013,2712322498.02399
alb,2014,2604184281.7985
alb,2015,3084875025.96501
alb,2016,3050641047.15459
alb,2017,3523758656.8278
alb,2018,3829477531.06681
alb,2019,3626591058.67744
alb,2020,4647187149.20461
alb,2021,5470752133.54085
are,1973,91723795.16801
are,1974,452878020.57542
are,1975,987879902.29025
are,1976,1906464975.58128
are,1977,800259030.31578
are,1978,811823486.92439
are,1979,1432261507.68922
are,1980,2014744213.61751
are,1981,3202197195.10964
are,1982,2215485239.62548
are,1983,2072395953.81783
are,1984,2286943429.44221
are,1985,3204274077.32865
are,1986,3369885382.79941
are,1987,4725318822.79505
are,1988,4433483033.46745
are,1989,4456593281.99332
are,1990,4583873527.19409
are,1991,5365383507.1307
are,1992,5711827336.47751
are,1993,6103699004.14264
are,1994,6658770289.18122
are,1995,7470909930.61089
are,1996,8055497623.92297
are,1997,8372342258.53806
are,1998,9077071464.2749
are,1999,10675071099.0117
are,2000,13522663539.1667
are,2001,14146359613.4802
are,2002,15219359575.3937
are,2003,15087811903.6616
are,2004,18529923697.6481
are,2005,21010295842.2662
are,2006,27617445822.5769
are,2007,77238765358.11581
are,2008,31694454694.0486
are,2009,26104201597.7902
are,2010,32785291883.4009
are,2011,37269318422.5758
are,2012,47035150430.9523
are,2013,68202650660.2746
are,2014,78424381665.0826
are,2015,93673676441.6517
are,2016,85117639746.56659
are,2017,95059913966.86888
are,2018,99194475478.74519
are,2019,107258078451.761
are,2020,103199231777.291
are,2021,127872965892.304
arg,1960,422000000
arg,1961,196000000
arg,1962,54000000
arg,1963,192000000
arg,1964,82000000
arg,1965,170000000
arg,1966,132000000
arg,1967,643010000
arg,1968,650650000
arg,1969,402790000
arg,1970,532570000
arg,1971,192447207.12496
arg,1972,313304055.1754
arg,1973,1148704505.79734
arg,1974,1144325481.31192
arg,1975,287785746.10848
arg,1976,1444855224.28095
arg,1977,3153791555.42708
arg,1978,4966494541.78131
