geo,time,fm_ast_cgov_zg_m3
abw,1987,17.42129
abw,1988,-1.37285
abw,1989,1.79719
abw,1990,-0.04961
abw,1991,-1.82869
abw,1992,1.06286
abw,1993,-3.82285
abw,1994,-0.50309
abw,1995,-3.70329
abw,1996,2.90167
abw,1997,1.90514
abw,1998,0.2744
abw,1999,1.22193
abw,2000,-1.25138
abw,2001,-1.01394
abw,2002,-1.98223
abw,2003,1.68042
abw,2004,0.66668
abw,2005,0.20129
abw,2006,-1.83089
abw,2007,0.08018
abw,2008,-5.73851
abw,2009,1.30112
abw,2010,4.21603
abw,2011,-0.72399
abw,2012,5.4181
abw,2013,-0.94472
abw,2014,1.68827
abw,2015,0.9284
abw,2016,2.34164
abw,2017,2.68272
abw,2018,0.76818
abw,2019,-0.75355
abw,2020,-1.87591
afg,1961,33.94777
afg,1962,18.27298
afg,1963,16.43026
afg,1964,27.28574
afg,1965,-6.95739
afg,1966,-3.45854
afg,1967,7.57683
afg,1968,18.82018
afg,1969,2.82511
afg,1970,4.21891
afg,1971,14.82725
afg,1972,10.22567
afg,1973,0.64805
afg,1974,0.32291
afg,1975,-2.94697
afg,1976,14.44815
afg,1977,4.66045
afg,1978,11.44275
afg,1979,9.031
afg,1980,-20.50145
afg,1981,11.05619
afg,1982,7.05704
afg,1985,14.76832
afg,1986,15.23838
afg,1987,55.95661
afg,1988,39.99864
afg,1989,42.12298
afg,1990,49.76699
afg,2007,6.64936
afg,2008,5.543
afg,2009,-5.35318
afg,2010,-6.47707
afg,2011,-5.75881
afg,2012,-0.7433
afg,2013,-1.92097
afg,2014,5.17122
afg,2015,-0.06904
afg,2016,-2.28023
afg,2017,-4.43901
afg,2018,-7.98851
afg,2019,-0.05392
afg,2020,-1.05843
ago,1996,119.4544
ago,1997,30.61915
ago,1998,69.39779
ago,1999,55.65267
ago,2000,-418.72644
ago,2001,44.27337
ago,2002,27.12772
ago,2003,7.6129
ago,2004,0.65431
ago,2005,-38.00774
ago,2006,-86.09392
ago,2007,4.25697
ago,2008,15.80248
ago,2009,31.74486
ago,2010,-24.36374
ago,2011,-8.35876
ago,2012,-13.50113
ago,2013,7.18246
ago,2014,16.70529
ago,2015,5.52991
ago,2016,13.55704
ago,2017,22.822
ago,2018,0.95979
ago,2019,0.01206
ago,2020,33.99717
alb,1995,-8.28774
alb,1996,34.6435
alb,1997,35.94965
alb,1998,21.46825
alb,1999,0.98467
alb,2000,4.78623
alb,2001,2.43723
alb,2002,4.03776
alb,2003,3.30426
alb,2004,1.906
alb,2005,1.09491
alb,2006,1.9285
alb,2007,2.11262
alb,2008,2.05779
alb,2009,2.35748
alb,2010,0.24212
alb,2011,1.86273
alb,2012,-0.71579
alb,2013,0.9667
alb,2014,1.84337
alb,2015,-2.67762
alb,2016,0.21625
alb,2017,-0.43848
alb,2018,-0.81615
alb,2019,2.98308
alb,2020,4.33167
are,1974,-82.84242
are,1975,-60.51638
are,1976,-24.90525
are,1977,42.34866
are,1978,-0.29005
are,1979,-8.3639
are,1980,-16.1489
are,1981,-12.42352
are,1982,10.92101
are,1983,11.06967
are,1984,-0.62878
are,1985,11.49623
are,1986,-3.84814
are,1987,-8.12435
are,1988,-2.06667
are,1989,0.08158
are,1990,-5.45182
are,1991,-0.85338
are,1992,2.5859
are,1993,-4.74972
are,1994,3.17527
are,1995,-4.1418
are,1996,2.65148
are,1997,0.72135
are,1998,-1.41661
are,1999,1.46197
are,2000,-9.57231
are,2001,-7.38916
are,2002,-2.59244
are,2003,1.47609
are,2004,-0.86912
are,2005,-6.63917
are,2006,-1.47477
are,2007,-2.44584
are,2008,-5.2411
are,2009,14.10031
are,2010,1.98968
are,2011,2.23076
are,2012,-4.29751
are,2013,5.4189
are,2014,-2.50081
are,2015,4.16064
are,2016,-1.02172
are,2017,0.68032
are,2018,-5.42566
are,2019,4.26235
are,2020,2.5244
arg,1961,-10.07194
arg,1962,12.27437
arg,1963,16.72131
arg,1964,20.19704
arg,1965,8.36237
arg,1966,14.40329
arg,1967,22.83629
arg,1968,3.86441
arg,1969,0.52938
arg,1970,5.95447
arg,1971,10.14493
arg,1972,16.66667
arg,1973,55.55556
arg,1974,20
arg,1975,97.64706
arg,1976,105.81395
arg,1977,79.58974
arg,1978,62.06897
arg,1979,43.95055
arg,1980,30.19408
arg,1981,84.99478
arg,1982,86.19596
arg,1983,368.81605
arg,1984,468.76892
arg,1985,368.77325
arg,1986,78.04853
arg,1987,221.5882
arg,1988,341.70833
arg,1989,4453.6973
arg,1990,1469.4361
arg,1991,85.74498
arg,1992,-14.81385
arg,1993,6.09088
arg,1994,-13.24507
arg,1995,7.43882
arg,1996,2.47377
arg,1997,3.44309
arg,1998,0.86334
arg,1999,2.40518
arg,2000,-0.83785
arg,2001,15.87485
arg,2002,137.27175
arg,2003,13.08527
arg,2004,6.45683
arg,2005,-9.99695
arg,2006,-15.24432
arg,2007,-1.59435
arg,2008,-1.52213
arg,2009,18.85142
arg,2010,13.09817
arg,2011,12.87596
arg,2012,22.80293
arg,2013,23.84419
arg,2014,37.63116
arg,2015,50.09233
arg,2016,24.86832
arg,2017,18.26768
arm,1993,583.74952
arm,1994,219.53257
arm,1995,7.1811
arm,1996,32.61576
arm,1997,-13.1676
arm,1998,6.71916
arm,1999,-4.97782
arm,2000,-5.66482
arm,2001,0.42381
arm,2002,-6.19383
arm,2003,-7.41392
arm,2004,-1.44888
arm,2005,7.96199
arm,2006,-10.10821
arm,2007,-4.71203
arm,2008,2.56506
arm,2009,-12.41476
arm,2010,8.64156
arm,2011,5.28753
arm,2012,1.51247
arm,2013,-2.30681
arm,2014,5.57051
arm,2015,0.58879
arm,2016,7.60931
arm,2017,4.08173
arm,2018,1.48179
arm,2019,-3.05674
arm,2020,9.90022
atg,1976,22.8491
atg,1977,-11.26501
atg,1978,0.46233
atg,1979,9.79208
atg,1980,3.80076
atg,1981,-0.90393
atg,1982,5.25582
atg,1983,-1.42168
atg,1984,10.92338
atg,1985,0.78004
atg,1986,3.60067
atg,1987,3.37383
atg,1988,4.90806
atg,1989,1.34101
atg,1990,-0.61523
atg,1991,-0.58274
atg,1992,0.47854
atg,1993,3.4753
atg,1994,0.25775
atg,1995,1.98196
atg,1996,0.04969
atg,1997,3.40244
atg,1998,2.61567
atg,1999,3.05718
atg,2000,1.57302
atg,2001,-0.83199
atg,2002,0.23732
atg,2003,-0.04378
atg,2004,-1.10473
atg,2005,-0.24271
atg,2006,-2.5022
atg,2007,2.32198
atg,2008,6.18221
atg,2009,3.82202
atg,2010,-4.21017
atg,2011,2.60149
atg,2012,0.27046
atg,2013,-0.89314
atg,2014,-0.26572
atg,2015,-5.58491
atg,2016,1.70932
atg,2017,-0.77726
atg,2018,0.37586
atg,2019,-0.12573
atg,2020,3.04305
aus,1961,2.08129
aus,1962,2.00065
aus,1963,1.1742
aus,1964,3.54009
aus,1965,1.25997
aus,1966,1.6269
aus,1967,1.9079
aus,1968,0.56659
aus,1969,2.73726
aus,1970,-0.15316
aus,1971,-2.63704
aus,1972,5.18888
aus,1973,1.33458
aus,1974,2.22249
aus,1975,11.2574
aus,1976,4.11676
aus,1977,-1.27701
aus,1978,1.95098
aus,1979,4.47822
aus,1980,4.40786
aus,1981,1.65651
aus,1982,-4.12901
aus,1983,3.69517
aus,1984,1.65811
aus,1985,5.50153
aus,1986,4.64951
aus,1987,1.2839
aus,1988,-0.99417
aus,1989,1.00801
aus,1990,-2.7636
aus,1991,1.53001
aus,1992,4.78758
aus,1993,1.06571
aus,1994,-0.38239
aus,1995,0.42438
aus,1996,3.22356
aus,1997,-5.04743
aus,1998,0.52348
aus,1999,-2.87318
aus,2000,-1.83687
aus,2001,-3.67121
aus,2002,0.55976
aus,2003,-2.04097
aus,2004,0.22861
aus,2005,-1.05551
aus,2006,-1.74511
aus,2007,1.39136
aus,2008,-0.22488
aus,2009,1.01025
aus,2010,1.11805
aus,2011,-0.6126
aus,2012,0.32503
aus,2013,-0.08479
aus,2014,0.61774
aus,2015,0.71986
aus,2016,1.48222
aus,2017,0.03058
aus,2018,1.42226
aus,2019,1.88853
aus,2020,2.29495
aze,1993,150.458
aze,1994,150.70474
aze,1995,-32.72424
aze,1996,6.99628
aze,1997,8.00211
aze,1998,0.89263
aze,1999,-17.55726
aze,2000,15.44589
aze,2001,-11.51091
aze,2002,25.48989
aze,2003,-3.6092
aze,2004,-9.33023
aze,2005,-2.90138
aze,2006,5.41637
aze,2007,2.75215
aze,2008,-15.05664
aze,2009,4.30535
aze,2010,8.18569
aze,2011,-16.74198
aze,2012,-0.02283
aze,2013,-16.22834
aze,2014,-5.71178
aze,2015,-8.22799
aze,2016,2.95314
aze,2017,14.18975
aze,2018,-5.23175
aze,2019,-5.41714
aze,2020,-3.62713
bdi,1965,16.04478
bdi,1966,14.49171
bdi,1967,12.45806
bdi,1968,12.30224
bdi,1969,6.70497
bdi,1970,-5.95238
bdi,1971,-5.48529
bdi,1972,3.10373
bdi,1973,4.11532
bdi,1974,0.4022
bdi,1975,8.76576
bdi,1976,-3.63826
bdi,1977,-17.91333
bdi,1978,16.86209
bdi,1979,26.11021
bdi,1980,1.00349
bdi,1981,27.14376
bdi,1982,9.97983
bdi,1983,26.31121
bdi,1984,15.78977
bdi,1985,12.67931
bdi,1986,-8.92111
bdi,1987,1.78987
bdi,1988,0.44324
bdi,1989,-18.10552
bdi,1990,-9.96175
bdi,1991,3.11855
bdi,1992,-7.45108
bdi,1993,-6.73432
bdi,1994,8.50625
bdi,1995,0.23081
bdi,1996,15.39055
bdi,1997,19.064
bdi,1998,8.4796
bdi,1999,21.76142
bdi,2000,-22.55307
bdi,2001,20.03657
bdi,2002,-11.88023
bdi,2003,8.52764
bdi,2004,15.16935
bdi,2005,11.44374
bdi,2006,19.86889
bdi,2007,-9.33942
bdi,2008,-8.37175
bdi,2009,15.32563
bdi,2010,5.03156
bdi,2011,2.96466
bdi,2012,5.67068
