geo,time,fr_inr_lend
abw,1986,11
abw,1987,10.3
abw,1988,10.24167
abw,1989,10.475
abw,1990,10.6
abw,1991,10.675
abw,1992,10.6
abw,1993,10.6
abw,1994,10.6
abw,1995,10.6
abw,1996,10.375
abw,1997,10.25
abw,1998,11.04167
abw,1999,13.14167
abw,2000,12.06667
abw,2001,12.6
abw,2002,11.3
abw,2003,10.7
abw,2004,9.6
abw,2005,11
abw,2006,9.5
abw,2007,10.4
abw,2008,10.5
abw,2009,10.7
abw,2010,10.3
abw,2011,9
abw,2012,8.4
abw,2013,8.5
abw,2014,7.3
abw,2015,7
abw,2016,6.9
abw,2017,6.3
abw,2018,6
abw,2019,5.7
abw,2020,6.8
afg,2006,17.97
afg,2007,18.135
afg,2008,14.9175
afg,2009,15
afg,2010,15.61222
afg,2011,15.14583
afg,2012,15
afg,2013,15.07917
afg,2014,15
afg,2015,15
afg,2016,15
afg,2017,14.83667
ago,1995,206.25
ago,1996,217.875
ago,1997,37.75
ago,1998,45
ago,1999,80.29667
ago,2000,103.16017
ago,2001,95.96656
ago,2002,97.33583
ago,2003,96.115
ago,2004,82.33417
ago,2005,67.71813
ago,2006,19.51081
ago,2007,17.69884
ago,2008,12.53361
ago,2009,15.68207
ago,2010,22.54357
ago,2011,18.75724
ago,2012,16.6564
ago,2013,15.80864
ago,2014,16.38227
ago,2015,16.88186
ago,2016,15.7805
ago,2017,15.8061
ago,2018,20.677
ago,2019,19.29537
ago,2020,19.65589
ago,2021,19.40315
alb,1986,1
alb,1987,1
alb,1988,1
alb,1989,1
alb,1990,1
alb,1991,1
alb,1992,20.58333
alb,1993,29.58333
alb,1994,23.66667
alb,1995,19.65
alb,1996,23.95833
alb,1997,32.70833
alb,1999,21.615
alb,2000,22.1025
alb,2001,19.65417
alb,2002,15.30417
alb,2003,14.27083
alb,2004,11.76152
alb,2005,13.075
alb,2006,12.93994
alb,2007,14.09962
alb,2008,13.01964
alb,2009,12.66094
alb,2010,12.82233
alb,2011,12.4321
alb,2012,10.88035
alb,2013,9.8266
alb,2014,7.9725
alb,2015,7.8775
alb,2016,6.73417
alb,2017,6.22
alb,2018,5.9325
alb,2019,6.27583
alb,2020,6.12083
alb,2021,6.02167
arg,2010,10.5575
arg,2011,14.0875
arg,2012,14.06083
arg,2013,17.14917
arg,2014,24.00917
arg,2015,24.91583
arg,2016,31.2325
arg,2017,26.58083
arg,2018,48.51667
arg,2019,67.25417
arg,2020,29.3875
arg,2021,35.5575
arm,1995,96.1
arm,1996,66.35833
arm,1997,54.2275
arm,1998,48.485
arm,1999,38.84833
arm,2000,31.566
arm,2001,26.6875
arm,2002,21.13698
arm,2003,20.82905
arm,2004,18.63329
arm,2005,17.98427
arm,2006,16.5251
arm,2007,17.51569
arm,2008,17.04948
arm,2009,18.76447
arm,2010,19.20043
arm,2011,17.75447
arm,2012,17.23007
arm,2013,15.99499
arm,2014,16.40867
arm,2015,17.59033
arm,2016,17.35671
arm,2017,14.406
arm,2018,12.79304
arm,2019,12.14199
arm,2020,11.61984
arm,2021,11.76191
atg,1982,10.92
atg,1983,11.62
atg,1984,11.48
atg,1985,11.06
atg,1986,11.9
atg,1987,10.64
atg,1988,9.38
atg,1989,10.64
atg,1990,10.64
atg,1991,12.65
atg,1992,12.7
atg,1993,12.67586
atg,1994,13.14676
atg,1995,12.69585
atg,1996,12.25919
atg,1997,11.98259
atg,1998,12.19511
atg,1999,12.07188
atg,2000,12.17155
atg,2001,11.62438
atg,2002,11.38791
atg,2003,12.82198
atg,2004,11.96439
atg,2005,11.39394
atg,2006,10.89059
atg,2007,10.43854
atg,2008,10.4291
atg,2009,10.06537
atg,2010,10.99935
atg,2011,10.91445
atg,2012,10.1572
atg,2013,9.95235
atg,2014,10.07184
atg,2015,9.83508
atg,2016,9.575
atg,2017,9.31
atg,2018,8.97653
atg,2019,8.61133
atg,2020,7.68384
atg,2021,7.40539
aus,1960,5
aus,1961,5.5
aus,1962,5.5
aus,1963,5.125
aus,1964,5.07292
aus,1965,5.3125
aus,1966,5.375
aus,1967,5.375
aus,1968,5.58333
aus,1969,5.875
aus,1970,6.90625
aus,1971,7.25
aus,1972,7.02083
aus,1973,7.34375
aus,1974,9.375
aus,1975,10.27083
aus,1976,9.91667
aus,1977,9.875
aus,1978,9.375
aus,1979,9.125
aus,1980,9.97917
aus,1981,11.83333
aus,1982,13.29167
aus,1983,12.41667
aus,1984,11.5
aus,1985,12.41667
aus,1986,15
aus,1987,15.08333
aus,1988,14.08333
aus,1989,16.45833
aus,1990,16.35417
aus,1991,13.41667
aus,1992,10.58333
aus,1993,9.41667
aus,1994,9.0875
aus,1995,10.5
aus,1996,9.72917
aus,1997,7.16667
aus,1998,6.68333
aus,1999,6.56667
aus,2000,7.71667
aus,2001,6.84167
aus,2002,6.3625
aus,2003,6.6125
aus,2004,7.05
aus,2005,7.25833
aus,2006,7.6125
aus,2007,8.19583
aus,2008,8.90833
aus,2009,6.02083
aus,2010,7.27917
aus,2011,7.7375
aus,2012,6.975
aus,2013,6.17917
aus,2014,5.95
aus,2015,5.575
aus,2016,5.42083
aus,2017,5.2455
aus,2018,5.26083
aus,2019,5.101
aze,1998,19.85
aze,1999,19.48333
aze,2000,19.65583
aze,2001,19.70583
aze,2002,17.37083
aze,2003,15.45667
aze,2004,15.72
aze,2005,17.02833
aze,2006,17.86333
aze,2007,19.13083
aze,2008,19.7625
aze,2009,20.02917
aze,2010,20.7
aze,2011,18.98833
aze,2012,18.34583
aze,2013,18.21
aze,2014,17.8575
aze,2015,17.53417
aze,2016,16.37523
aze,2017,16.5425
aze,2018,17.44833
aze,2019,17.28122
aze,2020,17.1782
aze,2021,16.42596
bdi,1978,12
bdi,1979,12
bdi,1980,12
bdi,1981,12
bdi,1982,12
bdi,1983,12
bdi,1984,12
bdi,1985,12
bdi,1986,12
bdi,1987,12
bdi,1988,12
bdi,1989,12
bdi,1990,12.34167
bdi,1991,12.78333
bdi,1992,13.65833
bdi,1993,13.76667
bdi,1994,14.2
bdi,1995,15.25833
bdi,1998,15.4
bdi,1999,15.23583
bdi,2000,15.77
bdi,2001,16.82417
bdi,2002,19.4675
bdi,2003,18.23083
bdi,2004,18.25417
bdi,2005,18.445
bdi,2006,17.0725
bdi,2007,16.84333
bdi,2008,16.52083
bdi,2009,14.07583
bdi,2010,12.42
bdi,2011,13.2325
bdi,2012,14.32
bdi,2013,15.1475
bdi,2014,15.66833
bdi,2015,15.32917
bdi,2016,14.23833
bdi,2017,14.79667
bdi,2018,14.78917
bdi,2019,14.53333
bdi,2020,12.195
bdi,2021,12.63333
ben,2005,8.04417
ben,2006,4.73667
ben,2007,4.75167
ben,2008,4.98417
ben,2009,4.9775
ben,2010,5.11333
ben,2011,5.25592
ben,2012,5.03917
ben,2013,5.2875
ben,2014,5.33833
ben,2015,5.15417
ben,2016,5.295
ben,2017,6.93417
ben,2018,6.76333
ben,2019,6.68833
ben,2020,6.5375
ben,2021,6.25
bfa,2005,8.86833
bfa,2006,4.73667
bfa,2007,4.75167
bfa,2008,4.98417
bfa,2009,4.9775
bfa,2010,5.11333
bfa,2011,5.25592
bfa,2012,5.03917
bfa,2013,5.2875
bfa,2014,5.33833
bfa,2015,5.15417
bfa,2016,5.295
bfa,2017,6.93417
bfa,2018,6.76333
bfa,2019,6.68833
bfa,2020,6.5375
bfa,2021,6.25
bgd,1976,10.20643
bgd,1977,10.20643
bgd,1978,10.20643
bgd,1979,10.20643
bgd,1980,10.51571
bgd,1981,11.13429
bgd,1982,11.13429
bgd,1983,11.13429
bgd,1984,11.13429
bgd,1985,11.13429
bgd,1986,12.99
bgd,1987,14.84571
bgd,1988,14.84571
bgd,1989,14.84571
bgd,1990,14.84571
bgd,1991,14.76839
bgd,1992,13.91786
bgd,1993,13.91786
bgd,1994,13.45393
bgd,1995,12.99
bgd,1996,12.99
bgd,1997,12.99
bgd,1998,12.9325
bgd,1999,13.09917
bgd,2000,12.755
bgd,2001,12.82
bgd,2002,12.60917
bgd,2003,12.0425
bgd,2004,10.39917
bgd,2005,10.615
bgd,2006,11.66417
bgd,2007,12.635
bgd,2008,12.88917
bgd,2009,13.32667
bgd,2010,12.21917
bgd,2011,13.32167
bgd,2012,13.94417
bgd,2013,13.59333
bgd,2014,12.945
bgd,2015,11.70917
bgd,2016,10.40917
bgd,2017,9.54
bgd,2018,9.65083
bgd,2019,9.55583
bgd,2020,8.295
bgd,2021,7.32417
bgr,1992,74.05
bgr,1993,76.85583
bgr,1994,102.51587
bgr,1995,79.3615
bgr,1996,291.05985
bgr,1997,213.01842
bgr,1998,14.08335
bgr,1999,13.49842
bgr,2000,11.34338
bgr,2001,11.11077
bgr,2002,9.20784
bgr,2003,8.54337
bgr,2004,8.87133
bgr,2005,8.66098
bgr,2006,8.89252
bgr,2007,9.99777
bgr,2008,10.86143
bgr,2009,11.335
bgr,2010,11.14437
bgr,2011,10.62946
bgr,2012,9.71421
bgr,2013,9.04341
bgr,2014,8.26264
bgr,2015,7.44887
bgr,2016,6.39302
bgr,2017,5.43956
bgr,2018,4.96323
bgr,2019,4.54921
bgr,2020,4.33663
bgr,2021,4.11618
bhr,1986,8.95833
bhr,1987,7.5
bhr,1988,7.8
bhr,1989,8.41148
bhr,1990,8.41148
bhr,1991,9.37633
bhr,1992,11.7266
bhr,1993,10.83597
bhr,1994,10.71227
bhr,1995,11.70186
bhr,1996,12.32035
bhr,1997,12.19665
bhr,1998,11.79587
bhr,1999,11.73402
bhr,2000,11.6029
bhr,2001,10.69248
bhr,2002,8.40653
bhr,2003,8.29521
bhr,2004,7.90432
bhr,2005,7.82185
bhr,2006,7.97524
bhr,2007,8.26634
bhr,2008,8.22346
bhr,2009,7.94143
bhr,2010,7.2475
bhr,2011,6.79083
bhr,2012,6.035
bhr,2013,5.935
bhr,2014,5.86833
bhr,2015,5.16083
bhs,1976,9.5
bhs,1977,9.5
bhs,1978,9.5
bhs,1979,9.125
bhs,1980,10.83333
bhs,1981,11
bhs,1982,11
bhs,1983,11
bhs,1984,11
bhs,1985,10.33333
bhs,1986,9.25
bhs,1987,9
bhs,1988,9
bhs,1989,9
bhs,1990,9
bhs,1991,9
bhs,1992,8.08333
bhs,1993,7.45833
bhs,1994,6.875
bhs,1995,6.75
bhs,1996,6.75
bhs,1997,6.75
bhs,1998,6.75
bhs,1999,6.375
bhs,2000,6
bhs,2001,6
bhs,2002,6
bhs,2003,6
bhs,2004,6
bhs,2005,5.54167
bhs,2006,5.5
bhs,2007,5.5
bhs,2008,5.5
bhs,2009,5.5
bhs,2010,5.5
bhs,2011,5.0625
bhs,2012,4.75
bhs,2013,4.75
bhs,2014,4.75
bhs,2015,4.75
bhs,2016,4.75
bhs,2017,4.25
bhs,2018,4.25
bhs,2019,4.25
bhs,2020,4.25
bhs,2021,4.25
bih,2002,12.69583
bih,2003,10.87
bih,2004,10.28167
bih,2005,9.6125
bih,2006,8.01417
bih,2007,7.1725
bih,2008,6.97833
bih,2009,7.9325
bih,2010,7.88833
bih,2011,7.43167
bih,2012,7.32892
bih,2013,7.03605
bih,2014,6.64151
bih,2015,5.78889
bih,2016,5.23817
bih,2017,4.37958
bih,2018,3.79028
bih,2019,3.28723
bih,2020,3.07187
bih,2021,3.20129
blr,1992,21
blr,1993,71.625
blr,1994,148.5
blr,1995,175
blr,1996,62.33333
blr,1997,31.8
blr,1998,26.99167
blr,1999,51.04167
blr,2000,67.66667
blr,2001,46.96667
blr,2002,36.88333
blr,2003,23.975
blr,2004,16.90833
blr,2005,11.35833
blr,2006,8.84167
blr,2007,8.575
blr,2008,8.55
blr,2009,11.675
blr,2010,9.21667
blr,2011,13.575
blr,2012,19.49167
blr,2013,19.13333
blr,2014,18.74167
blr,2015,18.08333
blr,2016,14.4
blr,2017,9.65871
blr,2018,8.69583
blr,2019,9.02333
blr,2020,9.0325
blr,2021,10.1175
blz,1982,14.59167
blz,1983,14.59167
blz,1984,14.59167
blz,1985,14.59167
blz,1986,14.69167
blz,1987,14.14167
blz,1988,13.55833
blz,1989,13.76667
blz,1990,14.04167
blz,1991,14.24167
blz,1992,14.31667
blz,1993,14.36667
blz,1994,14.775
blz,1995,15.69167
blz,1996,16.3
blz,1997,16.29167
blz,1998,16.5
blz,1999,16.2725
blz,2000,16.005
blz,2001,15.45417
blz,2002,14.83417
blz,2003,14.345
blz,2004,13.94167
blz,2005,14.255
blz,2006,14.20917
blz,2007,14.33333
blz,2008,14.14083
blz,2009,14.08167
blz,2010,13.88333
blz,2011,13.36333
blz,2012,12.44083
blz,2013,11.56917
blz,2014,10.82178
blz,2015,10.32028
blz,2016,9.84091
blz,2017,9.4625
blz,2018,9.115
blz,2019,9.06667
blz,2020,8.73417
blz,2021,8.43833
bol,1987,49.41417
bol,1988,39.79417
bol,1989,37.27333
bol,1990,41.81333
bol,1991,41.1475
bol,1992,45.51167
bol,1993,53.87667
bol,1994,55.57333
bol,1995,51.0175
bol,1996,55.96667
bol,1997,50.05
bol,1998,39.41167
bol,1999,35.36917
bol,2000,34.59583
bol,2001,20.05706
bol,2002,20.63246
bol,2003,17.66329
bol,2004,14.46988
bol,2005,16.61504
bol,2006,11.89128
