geo,time,fx_own_totl_ma_zs
afg,2011,15.41546
afg,2014,15.78467
afg,2017,22.5365
ago,2011,39.48097
ago,2014,36.13213
alb,2011,33.66468
alb,2014,42.51969
alb,2017,42.0435
are,2011,68.77623
are,2014,89.98199
are,2017,92.67216
arg,2011,34.61397
arg,2014,49.45896
arg,2017,46.46638
arm,2011,16.716
arm,2014,21.11982
arm,2017,55.75142
aus,2011,99.5947
aus,2014,98.67058
aus,2017,99.85454
aut,2011,97.73666
aut,2014,96.0564
aut,2017,97.93497
aze,2011,15.61626
aze,2014,32.61356
aze,2017,29.43609
bdi,2011,8.62059
bdi,2014,7.49516
bel,2011,95.29616
bel,2014,96.69044
bel,2017,98.44926
ben,2011,11.15057
ben,2014,19.7602
ben,2017,48.62321
bfa,2011,15.69542
bfa,2014,16.08063
bfa,2017,51.28095
bgd,2011,37.29165
bgd,2014,35.36926
bgd,2017,64.58616
bgr,2011,49.89768
bgr,2014,62.79522
bgr,2017,70.61954
bhr,2011,78.97545
bhr,2014,90.24554
bhr,2017,86.31371
bih,2011,67.22574
bih,2014,58.82137
bih,2017,63.17635
blr,2011,59.24352
blr,2014,72.01527
blr,2017,80.93417
blz,2014,44.08619
bol,2011,31.12358
bol,2014,45.75633
bol,2017,54.98439
bra,2011,61.09774
bra,2014,71.68842
bra,2017,72.84754
btn,2014,38.99402
bwa,2011,32.15953
bwa,2014,55.2345
bwa,2017,56.21025
caf,2011,3.18713
caf,2017,18.0825
can,2011,94.27522
can,2014,99.0032
can,2017,99.5923
che,2014,99.36371
che,2017,97.98191
chl,2011,43.44199
chl,2014,67.8176
chl,2017,77.75387
chn,2011,67.58479
chn,2014,81.36897
chn,2017,83.96664
civ,2014,39.20249
civ,2017,46.59711
cmr,2011,18.81156
cmr,2014,14.1789
cmr,2017,39.24445
cod,2011,4.65794
cod,2014,20.66892
cod,2017,27.3891
cog,2011,12.51453
cog,2014,19.15901
cog,2017,31.21515
col,2011,35.93575
col,2014,44.42184
col,2017,49.44697
com,2011,25.69715
cri,2011,60.20289
cri,2014,69.22361
cri,2017,75.46136
cyp,2011,87.61609
cyp,2014,90.00277
cyp,2017,87.31525
cze,2011,80.80306
cze,2014,85.16471
cze,2017,83.5769
deu,2011,97.53622
deu,2014,98.04925
deu,2017,99.07893
dji,2011,16.6257
dnk,2011,100
dnk,2014,100
dnk,2017,99.83296
dom,2011,39.18198
dom,2014,52.19295
dom,2017,58.35587
dza,2011,46.12782
dza,2014,60.90908
dza,2017,56.25494
ecu,2011,40.46427
ecu,2014,51.86861
ecu,2017,60.23606
egy,2011,12.81299
egy,2014,18.76186
egy,2017,38.65348
esp,2011,95.20493
esp,2014,97.58232
esp,2017,95.88104
est,2011,96.28679
est,2014,97.92133
est,2017,97.54672
eth,2014,22.62206
eth,2017,40.94387
fin,2011,99.45905
fin,2014,100
fin,2017,100
fra,2011,97.48922
fra,2014,97.78792
fra,2017,96.97883
gab,2011,20.7606
gab,2014,35.41837
gab,2017,63.80235
gbr,2011,96.70703
gbr,2014,99.2217
gbr,2017,96.67409
geo,2011,30.64698
geo,2014,39.55237
geo,2017,58.49179
gha,2011,31.84534
gha,2014,41.67124
gha,2017,61.79168
gin,2011,4.44588
gin,2014,9.79942
gin,2017,27.26421
grc,2011,80.33688
grc,2014,88.48009
grc,2017,86.44856
gtm,2011,29.89147
gtm,2014,48.75642
gtm,2017,46.35696
hkg,2011,88.25115
hkg,2014,96.00505
hkg,2017,95.99282
hnd,2011,26.27482
hnd,2014,36.08998
hnd,2017,50.24082
hrv,2011,89.72318
hrv,2014,84.24692
hrv,2017,89.83806
hti,2011,22.96293
hti,2014,21.6838
hti,2017,35.35472
hun,2011,72.21408
hun,2014,71.98016
hun,2017,78.16256
idn,2011,19.96724
idn,2014,34.61793
idn,2017,46.24572
ind,2011,43.73708
ind,2014,62.76336
ind,2017,83.009
irl,2011,95.74241
irl,2014,94.65115
irl,2017,95.3754
irn,2011,85.16745
irn,2014,97.13841
irn,2017,96.45177
irq,2011,13.47748
irq,2014,14.57006
irq,2017,25.82157
isr,2011,88.40424
isr,2014,89.88589
isr,2017,91.89485
ita,2011,79.1312
ita,2014,91.86937
ita,2017,96.13545
jam,2011,75.07346
jam,2014,79.19644
jor,2011,33.67043
jor,2014,33.3145
jor,2017,56.28128
jpn,2011,95.9716
jpn,2014,96.23654
jpn,2017,98.45735
kaz,2011,40.22807
kaz,2014,52.00246
kaz,2017,56.89526
ken,2011,45.64564
ken,2014,78.6579
ken,2017,85.8361
kgz,2011,3.5519
kgz,2014,17.9494
kgz,2017,41.16806
khm,2011,3.59765
khm,2014,24.28904
khm,2017,21.84546
kor,2011,92.98253
kor,2014,95.39126
kor,2017,95.0179
kos,2011,57.26895
kos,2014,59.43781
kos,2017,61.14766
kwt,2011,92.70277
kwt,2014,79.29922
kwt,2017,83.30652
lao,2011,27.43524
lao,2017,26.11588
lbn,2011,49.39614
lbn,2014,62.41069
lbn,2017,56.68988
lbr,2011,22.99235
lbr,2017,43.6554
lby,2017,70.68834
lka,2011,69.98698
lka,2014,82.22611
lka,2017,73.8886
lso,2011,20.24226
lso,2017,44.60418
ltu,2011,71.00917
ltu,2014,77.94071
ltu,2017,85.12189
lux,2011,93.7487
lux,2014,95.63692
lux,2017,99.34699
lva,2011,86.74364
lva,2014,90.27534
lva,2017,94.07851
mar,2017,41.46955
mda,2011,19.09438
mda,2014,16.39936
mda,2017,42.9408
mdg,2011,6.49859
mdg,2014,8.74426
mdg,2017,19.60764
mex,2011,33.19209
mex,2014,39.40008
mex,2017,41.09883
mkd,2011,75.87132
mkd,2014,79.73727
mkd,2017,80.36464
mli,2011,9.56305
mli,2014,25.63769
mli,2017,45.4576
mlt,2011,96.56859
mlt,2014,97.0911
