geo,time,fx_own_totl_ol_zs
afg,2011,10.53888
afg,2014,11.50844
afg,2017,18.0165
ago,2011,44.65047
ago,2014,37.69732
alb,2011,28.72926
alb,2014,40.4027
alb,2017,42.51325
are,2011,73.25568
are,2014,88.40415
are,2017,90.73534
arg,2011,38.351
arg,2014,57.50003
arg,2017,53.37003
arm,2011,18.60437
arm,2014,19.88466
arm,2017,48.01506
aus,2011,99.11392
aus,2014,99.61399
aus,2017,99.63609
aut,2011,97.78412
aut,2014,98.12956
aut,2017,99.09359
aze,2011,18.56072
aze,2014,36.30556
aze,2017,34.54172
bdi,2011,8.52979
bdi,2014,8.45916
bel,2011,98.15353
bel,2014,99.52541
bel,2017,99.30004
ben,2011,14.83728
ben,2014,20.92312
ben,2017,41.32452
bfa,2011,17.38111
bfa,2014,17.67395
bfa,2017,46.00795
bgd,2011,36.76213
bgd,2014,35.44201
bgd,2017,53.52637
bgr,2011,54.04503
bgr,2014,67.27326
bgr,2017,75.09938
bhr,2011,74.0933
bhr,2014,85.8161
bhr,2017,85.48488
bih,2011,58.08151
bih,2014,56.13496
bih,2017,62.80296
blr,2011,62.25548
blr,2014,76.08396
blr,2017,85.00646
blz,2014,52.20359
bol,2011,32.00882
bol,2014,46.08166
bol,2017,59.90652
bra,2011,61.98526
bra,2014,73.02158
bra,2017,77.23004
btn,2014,38.01047
bwa,2011,35.2055
bwa,2014,53.94366
bwa,2017,52.70808
caf,2011,3.68234
caf,2017,15.55139
can,2011,97.53685
can,2014,99.46179
can,2017,99.68819
che,2014,98.57547
che,2017,99.81406
chl,2011,43.10867
chl,2014,63.45414
chl,2017,74.2838
chn,2011,63.28135
chn,2014,79.68721
chn,2017,79.26173
civ,2014,39.22213
civ,2017,45.5291
cmr,2011,19.5934
cmr,2014,15.77334
cmr,2017,39.63634
cod,2011,5.00862
cod,2014,20.73221
cod,2017,27.21819
cog,2011,13.06349
cog,2014,21.24396
cog,2017,26.69485
col,2011,36.32625
col,2014,42.42904
col,2017,49.63374
com,2011,29.03709
cri,2011,52.24778
cri,2014,65.54348
cri,2017,67.90514
cyp,2011,87.5357
cyp,2014,93.83827
cyp,2017,92.16016
cze,2011,84.70215
cze,2014,84.99326
cze,2017,87.54599
deu,2011,98.46449
deu,2014,99.49703
deu,2017,99.51486
dji,2011,15.90816
dnk,2011,99.78337
dnk,2014,100
dnk,2017,99.9025
dom,2011,41.52967
dom,2014,60.3077
dom,2017,62.38506
dza,2011,39.87556
dza,2014,57.48256
dza,2017,48.74708
ecu,2011,40.60033
ecu,2014,50.85894
ecu,2017,57.25428
egy,2011,10.62046
egy,2014,17.42086
egy,2017,39.66042
esp,2011,95.57668
esp,2014,98.71651
esp,2017,97.99369
est,2011,98.00367
est,2014,98.74849
est,2017,98.83488
eth,2014,25.58814
eth,2017,38.36133
