geo,time,gc_nld_totl_cn
afg,2006,-7144304205.0905
afg,2007,-8490013502.1301
afg,2008,-12015263561.224
afg,2009,1732690104.30902
afg,2010,10916152135.974
afg,2011,-5364088555.04407
afg,2012,-6591893814.54199
afg,2013,25993000000
afg,2014,-22910989520.611
afg,2015,-15656667972.9301
afg,2016,8264429512.41931
afg,2017,4571136655.33997
ago,1999,735490856
ago,2000,24098902397
ago,2001,13586005003
ago,2002,9094244555
ago,2003,-145479000000
ago,2004,191817319548
ago,2005,22130787210
ago,2006,816612000000
ago,2007,679420000000
ago,2008,455776000000
ago,2009,-657279000000
ago,2010,65159000000
ago,2011,1119151000000
ago,2012,733525000000
ago,2013,-543500000000
ago,2014,-1488101984011.88989
ago,2015,-853271633233.40991
ago,2016,-929729026644.24988
ago,2017,-1374215620082.92993
ago,2018,461423584954.96997
ago,2019,469367974456.38
alb,1995,-20021000000
alb,1996,-35280161000
alb,1997,-41962948000
alb,1998,-39104661000
alb,2002,-41587069806.43
alb,2003,-19684506000
alb,2004,-22865282420
alb,2011,-50736490000
alb,2012,-52071700000
alb,2013,-71901190000
alb,2014,-43868850000
alb,2015,-43436020000
alb,2016,-37266410000
alb,2017,-22742499000
alb,2018,-20781630000
alb,2019,-24293790000
are,1997,962000000
are,1998,86000000
are,1999,184000000
are,2011,973886562.40002
are,2012,-2626079746.87998
are,2013,3270219605.89
are,2014,-1271378574.68
are,2015,-90385872.10099
are,2016,1592813895.88969
are,2017,2610974554.23012
are,2018,4923674153.94003
are,2019,16093664402.14
arg,1990,-74300000
arg,1991,-415100000
arg,1992,599600000
arg,1993,1142800000
arg,1994,-839400000
arg,1995,-4432900000
arg,1996,-6352000000
arg,1997,-4854200000
arg,1998,-4741800000
arg,1999,-8291400000
arg,2000,-7878700000
arg,2001,-8919500000
arg,2002,-17836700000
arg,2003,-10635863263.51
arg,2004,-2063080032.18999
arg,2014,-133074940000
arg,2015,-201864490000
arg,2016,-438871750000
arg,2017,-588257600000
arg,2018,-786810400000
arg,2019,-858347917748.42004
arm,2004,-16187686960
arm,2005,-22525669754.6
arm,2006,-7979799702
arm,2007,-17852773700.15
arm,2008,-19366539424.5
arm,2009,-238791091984.39999
arm,2010,-171891166830.16
arm,2011,-104437785483.2
arm,2012,-55650000000
arm,2013,-71429116967.5901
arm,2014,-85493505382.5901
arm,2015,-237069364033
arm,2016,-277765786775
arm,2017,-225852623882.23001
arm,2018,-111176602983.74001
arm,2019,-34900136470
aus,1972,847000000
aus,1973,299000000
aus,1974,1055000000
aus,1975,69000000
aus,1976,-1517000000
aus,1977,-1184000000
aus,1978,-1953000000
aus,1979,-2089000000
aus,1980,-1263000000
aus,1981,-114000000
aus,1982,435000000
aus,1983,-3250000000
aus,1984,-6865000000
aus,1985,-5880000000
aus,1986,-4995000000
aus,1987,-2244000000
aus,1988,1724000000
aus,1989,6158000000
aus,1990,6701000000
aus,1991,387000000
aus,1992,-11571000000
aus,1993,-16982000000
aus,1994,-17001000000
aus,1995,-15982000000
aus,1996,-9172000000
aus,1997,-2243000000
aus,1998,11731000000
aus,1999,3432000000
aus,2000,13314000000
aus,2001,6261000000
aus,2002,-3332000000
aus,2003,6450000000
aus,2004,7013000000
aus,2005,11560000000
aus,2006,17218000000
aus,2007,17753000000
aus,2008,22444000000
aus,2009,-30780000000
aus,2010,-52422000000
aus,2011,-53695000000
aus,2012,-47099000000
aus,2013,-22790000000
aus,2014,-35334000000
aus,2015,-42415000000
aus,2016,-38740000000
aus,2017,-30846000000
aus,2018,-9250000000
aus,2019,-2949000000
aut,1972,152612951.75252
aut,1973,-348829604.00577
aut,1974,-236913439.38724
aut,1975,-1643132780.53533
aut,1976,-2034112628.35843
aut,1977,-1852430542.9387
aut,1978,-1965800164.24055
aut,1979,-1874959121.53081
aut,1980,-1759409315.20384
aut,1981,-1850977086.25545
aut,1982,-3305887226.29594
aut,1983,-4314586164.54585
aut,1984,-3453413079.65668
aut,1985,-3876368974.51363
aut,1986,-5154684127.52628
aut,1987,-5679381990.21823
aut,1988,-5156864312.55138
aut,1989,-4630712993.17601
aut,1990,-4529697753.68267
aut,1991,-4979542597.18175
aut,1992,-3947588351.99813
aut,1993,-6878483753.98793
aut,1994,-7122664476.79193
aut,1995,-9721510000
aut,1996,-8157040000
aut,1997,-5763900000
aut,1998,-5683890000
aut,1999,-5214920000
aut,2000,-4786390000
aut,2001,-1882490000
aut,2002,-3055880000
aut,2003,-4114640000
aut,2004,-11289020000
aut,2005,-6171680000
aut,2006,-5793530000
aut,2007,-3405190000
aut,2008,-3758340000
aut,2009,-12135530000
aut,2010,-9233180000
aut,2011,-6441490000
aut,2012,-6267850000
aut,2013,-6070300000
aut,2014,-9085330000
aut,2015,-3844890000
aut,2016,-3955910000
aut,2017,-2963810000
aut,2018,-1600000
aut,2019,1967850000
aze,1994,-41841400
aze,1995,-66817800
aze,1996,-64572800
aze,1997,-125308800
aze,1998,-170023000
aze,1999,-176154200
aze,2008,7853400000
aze,2009,2695200000
aze,2010,6559300000
aze,2011,6695800000
aze,2012,3269700000
aze,2013,2837800000
aze,2014,2728100000
aze,2015,-1481100000
aze,2016,1496090508
aze,2017,1312144000
aze,2018,7614966000
aze,2019,4999450000
bdi,1981,-4838000000
bdi,1991,-4865000000
bdi,1992,-14873000000
bdi,1993,-11685000000
bdi,1994,-12561000000
bdi,1995,-11719000000
bdi,1996,-22856000000
bel,1995,-8279300000
bel,1996,-8108500000
bel,1997,-4844100000
bel,1998,-3373400000
bel,1999,-2700200000
bel,2000,-191300000
bel,2001,-1180300000
bel,2002,374200000
bel,2003,-5264600000
bel,2004,-785600000
bel,2005,-8870500000.00002
bel,2006,410800000
bel,2007,-1532300000.00002
bel,2008,-4289600000
bel,2009,-15992400000
bel,2010,-11722200000
bel,2011,-13893600000
bel,2012,-14118700000
bel,2013,-10495100000
bel,2014,-10324000000
bel,2015,-4541300000
bel,2016,-11259700000
bel,2017,-4804400000
bel,2018,-1144700000
bel,2019,-8266300000
bfa,2002,-102323260067
bfa,2003,-49604734351.8
bfa,2004,-113380483427.39999
bfa,2005,-155499585057
bfa,2006,-178990813565.60001
bfa,2007,-175888112875.89999
bfa,2008,-147956068999.79999
bfa,2009,-184919009560.60001
bfa,2010,-202095000000
bfa,2011,-116097000000
bfa,2012,-177433000000
bfa,2013,-235784000000
bfa,2014,-119622565912.04201
bfa,2015,-146471025317.79599
bfa,2016,-234600000000
bfa,2017,-532086763233.26898
bfa,2018,-376547338576.19598
bfa,2019,-274722978374.289
bgd,2001,-16633230000
bgd,2002,-4772810000
bgd,2003,-3649030000
bgd,2004,-24190530000
bgd,2005,-41456371000
bgd,2006,-59848245000
bgd,2007,-62959155000
bgd,2008,-52165392000
bgd,2009,-101752983000
bgd,2010,-64893665000
bgd,2011,-75349300000
bgd,2012,-14498400000
bgd,2013,8281400000
bgd,2014,-103367200000
bgd,2015,-202825430000
bgd,2016,-253610000000
bgr,1990,-2292000
bgr,1991,-4550000
bgr,1992,-9828000
bgr,1993,-33910000
bgr,1994,-26467000
bgr,2005,654732000
bgr,2006,867353000
bgr,2007,764121000
bgr,2008,1422870000
bgr,2009,-2348315000
bgr,2010,-2322559000
bgr,2011,-1580083000
bgr,2012,-463531000
bgr,2013,-717390000
bgr,2014,-4524493000
bgr,2015,-723882000
bgr,2016,6478000
bgr,2017,895350000
bgr,2018,2015365000
bgr,2019,2454182000
bhr,1974,50500000
bhr,1975,16700000
bhr,1976,-4200000
bhr,1977,12600000
bhr,1978,-11400000
bhr,1979,49800000
bhr,1980,128500000
bhr,1981,156400000
bhr,1982,80500000
bhr,1983,-44600000
bhr,1984,-15600000
bhr,1985,32900000
bhr,1986,-35300000
bhr,1987,-4000000
bhr,1988,-47400000
bhr,1989,-26500000
bhr,1990,-9900000
bhr,1991,7400000
bhr,1992,-46300000
bhr,1993,-29800000
bhr,1994,-109500000
bhr,1995,-29900000
bhr,1996,53000000
bhr,1997,60100000
bhr,1998,-90400000
bhr,1999,-8200000
bhr,2000,307700000
bhr,2001,180300000
bhr,2002,-10200000
bhr,2003,90000000
bhr,2004,236200000
bhs,1990,-58900000
bhs,1991,-78100000
bhs,1992,-56900000
bhs,1993,-50500000
bhs,1994,4400000
bhs,1995,11200000
bhs,1996,-33200000
bhs,1997,-99791000
bhs,1998,-45901000
bhs,1999,-15329000
bhs,2000,19435000
bhs,2001,-35700000
bhs,2002,-129276000
bhs,2003,-165700000
bhs,2004,-174534000
bhs,2005,-109099000
bhs,2006,-43864000
bhs,2007,-80341000
bhs,2008,-87152000
bhs,2009,-244859000
bhs,2010,-398175256.36
bhs,2011,-389581845.14
bhs,2012,-446122270.58
bhs,2013,-540304124.12
bhs,2014,-487565660.11
bhs,2015,-383327515.82
bhs,2016,-309982162.48
bhs,2017,-660726867.94
bhs,2018,-414887000
bhs,2019,-219311000
bih,2005,354421661.67
bih,2006,550714814.65
bih,2007,206663763.23
bih,2008,-409605645.003
bih,2009,-1037057365.86
bih,2010,-555275559.59809
bih,2011,-299978731.7
bih,2012,-422793375.6
bih,2013,-556305900.8
bih,2014,-1102079661.7307
bih,2015,104285262.5824
bih,2016,321705757.2117
bih,2017,816228939.9264
bih,2018,684261053.8603
bih,2019,626863506.8236
blr,1992,-440
blr,1993,-3530
blr,1994,-32500
blr,1995,-322040
blr,1996,-352140
blr,1997,-392260
blr,1998,-663110
blr,1999,-5764620
blr,2000,631000
blr,2001,-14201000
blr,2002,29576000
blr,2003,-38614421
blr,2004,-6768500
blr,2005,14628200
blr,2006,116410202
blr,2007,41927673.3
blr,2008,307944454.2
blr,2009,30232483
blr,2010,-246821338.94511
blr,2011,513030000
blr,2012,46860000
blr,2013,-556178000
blr,2014,340762480
blr,2015,2026264618.07
blr,2016,1462010069.0468
blr,2017,2441586644.6
blr,2018,5058028367.4
blr,2019,3288267474.66
blz,1990,-5077000
blz,1991,-49874000
blz,1992,-77309000
blz,1993,-88118000
blz,1994,-76711000
blz,1995,-43353000
blz,1996,-25449000
blz,1997,-12847000
blz,1998,-14633000
blz,1999,-51122000
blz,2000,-95523000
blz,2001,-183930000
blz,2002,-128738000
blz,2003,-104483000
blz,2004,-202314000
blz,2005,-72168000
blz,2006,-99601000
blz,2007,22445000
blz,2008,-7452000
blz,2009,-37131000
blz,2010,-21435925
blz,2011,-49475328
blz,2012,-36334956.97071
blz,2013,-49281161.72139
blz,2014,-79265133.78504
blz,2015,-164631922.3147
blz,2016,-152184361.2119
blz,2017,-52730460.37
bol,1986,3200000
bol,1987,66700000
bol,1988,-73300000
bol,1989,-183300000
bol,1990,-255500000
bol,1991,-82400000
bol,1992,-574000000
bol,1993,-647200000
bol,1994,-987200000
bol,1995,-898800000
bol,1996,-969700000
bol,1997,-1284700000
bol,1998,-1337700000
bol,1999,-1545900000
bol,2000,-2075900000
bol,2001,-3556360000
bol,2002,-4937830294.276
bol,2003,-4683338155.99
bol,2004,-3752100000
bol,2005,-2842333827.87
bol,2006,11159980629.55
bol,2007,1279499357.1594
bra,2010,-78697262185.96118
bra,2011,-98793291488.89209
bra,2012,-56225608546.6392
bra,2013,-123959207000.974
bra,2014,-278989505729.69202
bra,2015,-453653465464.41602
bra,2016,-416892128410.52197
bra,2017,-535967510440.23102
bra,2018,-469175379617.02301
bra,2019,-396521895072.78601
brb,2003,-154131000
brb,2004,-121800000
brb,2005,-182809973.17
brb,2006,-149723237.4
brb,2007,-711215651.19
brb,2008,-412536053
brb,2009,-526462278
brb,2010,-707792642
brb,2011,-399962406
brb,2012,-853464762
brb,2013,-1046934435
brb,2014,-777127658
brb,2015,-822098640
brb,2016,-471261741
btn,1984,36800000
btn,1985,-128100000
btn,1986,58100000
btn,1988,150300000
btn,1989,81800000
btn,1990,-306100000
btn,1991,-2900000
btn,1992,-145600000
btn,1993,483700000
btn,1994,231500000
btn,1995,-5000000
btn,1996,338700000
btn,1997,25700000
btn,1998,360904000
btn,1999,-364500000
btn,2000,-474700000
btn,2001,-2029787000
btn,2002,-953727000
btn,2003,-2850129000
btn,2004,642738000
btn,2005,-356384000
btn,2006,537882000
btn,2007,1217739000
btn,2008,-758668000
btn,2009,306389000
btn,2010,1414169471
btn,2011,-1328272435
btn,2012,-1670229233
btn,2013,-5353424868
btn,2014,5210907447
btn,2015,-1158520486.74
btn,2016,-1828542501.52
btn,2017,-6655041462.82
btn,2018,-4121707483.24
bwa,1990,1345920000
bwa,1991,1347700000
bwa,1992,1384400000
bwa,1993,1405000000
bwa,1994,407300000
bwa,1995,654900000
bwa,1996,1573100000
bwa,2006,7388810000
bwa,2007,3502810000
bwa,2008,-4892480000
bwa,2009,-8906950000
bwa,2010,-6551760000
bwa,2011,-427500000
bwa,2012,1269816943.18
bwa,2013,6801609425.85003
bwa,2014,5249330000
bwa,2015,-4580020000
bwa,2016,574360000
bwa,2017,-1896933000
bwa,2018,-9262660799.6
bwa,2019,-7585793771.63
caf,2004,-3173215488
caf,2008,-8603605073.39911
caf,2009,-57417896255.04289
caf,2010,-88741648963.94998
caf,2011,-68592121534.9879
caf,2012,7332801370
caf,2014,21600305261.693
caf,2015,-10881489421.682
caf,2016,7170644394
caf,2017,18980368604.714
caf,2018,4313653355.58389
can,1990,-31451000000
can,1991,-35284000000
can,1992,-35956000000
can,1993,-41106000000
can,1994,-37209000000
can,1995,-33092000000
can,1996,-20402000000
can,1997,3605000000
can,1998,6304000000
can,1999,9727000000
can,2000,24250000000
can,2001,18779000000
can,2002,17608000000
can,2003,13877000000
can,2004,19927000000
can,2005,10563000000
can,2006,22928000000
can,2007,28189000000
can,2008,12886000000
can,2009,-18922000000
can,2010,-37009000000
can,2011,-16163000000
can,2012,-9444000000
can,2013,-1369000000
can,2014,18929000000
can,2015,19879000000
can,2016,8360000000
can,2017,9410000000
can,2018,20315000000
can,2019,17656000000
che,1972,1887000000
che,1973,1856000000
