geo,time,gc_tax_expt_zs
afg,2006,0.10073
afg,2007,0.01366
afg,2008,0.01941
afg,2009,0.0174
afg,2010,0.02947
afg,2011,0.16834
afg,2012,0.20755
afg,2013,0.07155
afg,2014,0.11403
afg,2015,0.10726
afg,2016,8.44683
afg,2017,0.87364
ago,1999,0.11504
ago,2000,0.13019
ago,2001,0.15968
ago,2002,0.24009
ago,2003,0.18562
ago,2004,0.13708
ago,2005,0.02614
ago,2006,0.00882
ago,2007,0.00661
ago,2008,0.00057
ago,2009,0.00071
ago,2010,0.00084
ago,2011,0.00066
ago,2012,0.00002
ago,2013,0.00006
ago,2014,0
ago,2015,0.00004
ago,2016,0.00028
ago,2017,0.00003
ago,2018,0.3326
ago,2019,0.6741
alb,1995,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,2002,0
alb,2003,0
alb,2004,0
alb,2011,0.00091
alb,2012,0.00015
alb,2013,0.00025
alb,2014,0
alb,2015,0.00001
alb,2016,0
alb,2017,0
alb,2018,0
alb,2019,0
are,1997,0
are,1998,0
are,1999,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,1990,17.97409
arg,1991,3.2738
arg,1992,1.06094
arg,1993,0.18516
arg,1994,0.163
arg,1995,0.16985
arg,1996,0.47123
arg,1997,0.53282
arg,1998,0.10372
arg,1999,0.09754
arg,2000,0.11738
arg,2001,0.20195
arg,2002,15.50203
arg,2003,17.94787
arg,2004,15.30683
arg,2005,15.23169
arg,2006,14.24537
arg,2007,16.63913
arg,2008,22.98709
arg,2009,18.29464
arg,2010,20.77664
arg,2011,19.30178
arg,2012,17.98602
arg,2013,13.08358
arg,2014,14.00173
arg,2015,9.76021
arg,2016,7.06117
arg,2017,5.55689
arg,2018,6.30059
arg,2019,16.50532
arm,2004,0
arm,2005,0
arm,2006,0
arm,2007,0
arm,2008,0
arm,2009,0
arm,2010,0
arm,2011,0
arm,2012,0
arm,2013,0
arm,2014,0
arm,2015,0
arm,2016,0
arm,2017,0
arm,2018,0
arm,2019,0
aus,1972,0.01258
aus,1973,0.01179
aus,1974,0.11009
aus,1975,0.29657
aus,1976,0.68558
aus,1977,0.92129
aus,1978,0.47113
aus,1979,0.66022
aus,1980,0.33481
aus,1981,0.3578
aus,1982,0.26079
aus,1983,0.16776
aus,1984,0.15367
aus,1985,0.13026
aus,1986,0.12916
aus,1987,0.11584
aus,1988,0.1039
aus,1989,0.09473
aus,1990,0.07932
aus,1991,0.06146
aus,1992,0.05952
aus,1993,0.00563
aus,1994,0.00428
aus,1995,0.00477
aus,1996,0.00432
aus,1997,0.00482
aus,1998,0.00458
aus,1999,0.00287
aus,2000,0
aus,2001,0
aus,2002,0
aus,2003,0.00359
aus,2004,0.00429
aus,2005,0.00524
aus,2006,0.00571
aus,2007,0.00535
aus,2008,0.0035
aus,2009,0.00468
aus,2010,0.00524
aus,2011,0.00382
aus,2012,0.00379
aus,2013,0.00267
aus,2014,0.00286
aus,2015,0.00338
aus,2016,0.00298
aus,2017,0.00283
aus,2018,0
aus,2019,0
aut,1972,0.23021
aut,1973,0.24724
aut,1974,0.28097
aut,1975,0.26261
aut,1976,0.26878
aut,1977,0.22173
aut,1978,0.24823
aut,1979,0.23998
aut,1980,0.24844
aut,1981,0.25189
aut,1982,0.09947
aut,1983,0.05993
aut,1984,0.05427
aut,1985,0.05771
aut,1986,0.04784
aut,1987,0.04314
aut,1988,0.02291
aut,1989,0.00319
aut,1990,0.00294
aut,1991,0
aut,1992,0
aut,1993,0
aut,1994,0
aut,1995,0
aut,1996,0
aut,1997,0
aut,1998,0
aut,1999,0
aut,2000,0
aut,2001,0
aut,2002,0
aut,2003,0
aut,2004,0
aut,2005,0
aut,2006,0
aut,2007,0
aut,2008,0
aut,2009,0
