geo,time,gc_tax_gsrv_rv_zs
afg,2006,5.75862
afg,2007,4.31294
afg,2008,1.78059
afg,2009,2.99953
afg,2010,3.03014
afg,2011,2.62242
afg,2012,3.11921
afg,2013,2.53572
afg,2014,2.55003
afg,2015,2.65424
afg,2016,7.05529
afg,2017,8.59822
ago,1999,4.52434
ago,2000,3.09156
ago,2001,21.08157
ago,2002,7.1535
ago,2003,7.74928
ago,2004,7.68742
ago,2005,6.5378
ago,2006,3.552
ago,2007,4.12517
ago,2008,4.84615
ago,2009,12.04625
ago,2010,6.01395
ago,2011,3.63133
ago,2012,3.7483
ago,2013,4.29591
ago,2014,5.17412
ago,2015,6.74055
ago,2016,8.06309
ago,2017,7.44548
ago,2018,4.84519
ago,2019,5.44518
alb,1995,39.06979
alb,1996,33.26406
alb,1997,34.16402
alb,1998,36.06911
alb,2002,43.07441
alb,2003,45.67803
alb,2004,48.69626
alb,2011,55.57162
alb,2012,55.40508
alb,2013,54.17479
alb,2014,55.58133
alb,2015,54.62769
alb,2016,55.92681
alb,2017,53.29479
alb,2018,53.13272
alb,2019,50.69293
are,1997,15.11897
are,1998,15.56319
are,1999,17.21818
are,2011,6.989
are,2012,8.16658
are,2013,8.26318
are,2014,8.26964
are,2015,0.98261
are,2016,0.6555
are,2017,1.31561
are,2018,1.2631
are,2019,17.48882
arg,1990,21.96025
arg,1991,27.52427
arg,1992,29.98211
arg,1993,33.87929
arg,1994,33.39614
arg,1995,36.48207
arg,1996,39.25377
arg,1997,40.74146
arg,1998,41.78904
arg,1999,42.11198
arg,2000,43.86412
arg,2001,43.82531
arg,2002,37.44587
arg,2003,34.25135
arg,2004,37.16692
arg,2005,37.23322
arg,2006,35.89169
arg,2007,33.92857
arg,2008,31.67697
arg,2009,29.45871
arg,2010,28.60368
arg,2011,29.65389
arg,2012,29.5742
arg,2013,29.16548
arg,2014,27.59453
arg,2015,28.00003
arg,2016,27.24161
arg,2017,30.25227
arg,2018,33.34822
arg,2019,29.871
arm,2004,31.32118
arm,2005,32.26069
arm,2006,30.17086
arm,2007,41.05081
arm,2008,43.44919
arm,2009,40.57231
arm,2010,42.50343
arm,2011,39.51429
arm,2012,42.15188
arm,2013,41.70772
arm,2014,44.15907
arm,2015,39.48396
arm,2016,37.80931
arm,2017,38.46833
arm,2018,40.07776
arm,2019,47.88234
aus,1972,21.89942
aus,1973,22.12362
aus,1974,21.68449
aus,1975,19.06155
aus,1976,20.66638
aus,1977,19.39981
aus,1978,19.41106
aus,1979,22.25171
aus,1980,23.37369
aus,1981,23.03443
aus,1982,22.03641
aus,1983,23.64841
aus,1984,25.30226
aus,1985,24.53676
aus,1986,23.96558
aus,1987,22.73049
aus,1988,22.76012
aus,1989,21.78779
aus,1990,21.42077
aus,1991,21.23162
aus,1992,20.27928
aus,1993,20.14954
aus,1994,21.38702
aus,1995,21.57676
aus,1996,21.48978
aus,1997,20.51806
aus,1998,20.24276
aus,1999,19.29251
aus,2000,17.90589
aus,2001,24.27576
aus,2002,25.43345
aus,2003,25.82071
aus,2004,25.321
aus,2005,24.1798
aus,2006,23.62787
aus,2007,23.18546
aus,2008,22.56326
aus,2009,22.65944
aus,2010,24.35743
aus,2011,23.97311
aus,2012,22.18072
aus,2013,23.02321
aus,2014,23.48769
aus,2015,21.32372
aus,2016,21.65815
aus,2017,21.1128
aus,2018,20.44333
aus,2019,19.44529
aut,1972,28.20262
aut,1973,29.7619
aut,1974,28.32568
aut,1975,27.26167
aut,1976,28.0547
aut,1977,27.24483
aut,1978,25.9129
aut,1979,26.06684
aut,1980,25.47985
aut,1981,25.36997
aut,1982,25.46973
aut,1983,26.23791
aut,1984,27.11338
aut,1985,26.91968
aut,1986,26.73435
aut,1987,26.85969
aut,1988,25.91416
aut,1989,26.12548
aut,1990,25.53117
aut,1991,24.8343
aut,1992,24.55298
aut,1993,23.96858
aut,1994,25.24039
aut,1995,27.0605
aut,1996,27.44969
aut,1997,27.85811
aut,1998,27.84202
aut,1999,28.03037
aut,2000,28.00454
aut,2001,27.17599
aut,2002,28.08669
aut,2003,28.00876
aut,2004,28.03255
aut,2005,27.66515
aut,2006,27.12215
aut,2007,26.76932
aut,2008,26.41486
aut,2009,27.01841
aut,2010,27.21379
aut,2011,27.34036
aut,2012,27.36082
aut,2013,26.7343
aut,2014,26.59064
aut,2015,26.34902
aut,2016,26.98409
aut,2017,27.16064
aut,2018,26.68852
aut,2019,26.54402
aze,1994,30.4517
aze,1995,33.92187
aze,1996,26.78341
aze,1997,40.28324
aze,1998,37.30983
aze,1999,39.16283
aze,2008,12.64781
aze,2009,17.81225
aze,2010,13.55322
aze,2011,12.09194
aze,2012,13.62504
aze,2013,14.86161
aze,2014,17.60836
aze,2015,23.67379
aze,2016,22.40242
aze,2017,19.48962
aze,2018,17.73862
aze,2019,18.04623
bdi,1973,13.37148
bdi,1974,13.73277
bdi,1975,14.12114
bdi,1976,11.77238
bdi,1977,14.37735
bdi,1978,16.72744
bdi,1979,24.3525
bdi,1980,24.66685
bdi,1981,27.28628
bdi,1991,25.7098
bdi,1992,25.68032
bdi,1993,25.35111
bdi,1994,32.69618
bdi,1995,30.27698
bdi,1996,31.08224
bdi,1997,36.76971
bdi,1998,32.97279
bdi,1999,37.98741
bel,1995,25.44138
bel,1996,26.13262
bel,1997,26.19824
bel,1998,25.8638
bel,1999,26.89156
bel,2000,26.74379
bel,2001,25.62387
bel,2002,24.23216
bel,2003,24.58612
bel,2004,25.14467
bel,2005,25.25619
bel,2006,25.35377
bel,2007,25.41102
bel,2008,24.441
bel,2009,25.11811
bel,2010,25.37908
bel,2011,24.73381
bel,2012,24.96899
bel,2013,24.29718
bel,2014,24.0826
bel,2015,24.84616
bel,2016,26.53096
bel,2017,26.07648
bel,2018,25.95185
bel,2019,26.86303
ben,1977,9.61236
ben,1978,10.44043
ben,1979,8.50363
bfa,2002,37.36895
bfa,2003,33.82157
bfa,2004,37.86412
bfa,2005,37.29563
bfa,2006,34.24016
bfa,2007,33.08486
bfa,2008,38.65521
bfa,2009,36.67343
bfa,2010,36.17691
bfa,2011,35.02019
bfa,2012,36.62629
bfa,2013,36.30918
bfa,2014,38.57383
bfa,2015,41.38673
bfa,2016,42.65154
bfa,2017,43.11146
bfa,2018,44.50205
bfa,2019,42.80753
bgd,2001,24.82918
bgd,2002,25.18764
bgd,2003,32.35986
bgd,2004,28.94878
bgd,2005,27.49814
bgd,2006,28.60588
bgd,2007,28.18257
bgd,2008,27.61462
bgd,2009,28.75832
bgd,2010,29.74104
bgd,2011,30.96397
bgd,2012,29.09139
bgd,2013,28.59485
bgd,2014,28.21871
bgd,2015,31.28522
bgd,2016,32.25453
bgr,1990,17.71753
bgr,1991,16.92882
bgr,1992,14.27397
bgr,1993,18.29031
bgr,1994,28.16157
bgr,2005,42.89023
bgr,2006,46.24493
bgr,2007,42.65854
bgr,2008,44.99867
bgr,2009,42.5149
bgr,2010,44.93879
bgr,2011,45.60364
bgr,2012,46.06726
bgr,2013,45.40609
bgr,2014,42.76424
bgr,2015,44.15407
bgr,2016,46.17286
bgr,2017,44.5117
bgr,2018,41.93932
bgr,2019,41.3051
bhr,1974,1.02128
bhr,1975,1.55039
bhr,1976,2.2496
bhr,1977,2.27362
bhr,1978,1.38737
bhr,1979,1.87315
bhr,1980,1.36863
bhr,1981,1.5095
bhr,1982,1.9668
bhr,1983,2.50765
bhr,1984,2.84895
bhr,1985,3.25083
bhr,1986,3.806
bhr,1987,3.9372
bhr,1988,4.19828
bhr,1989,4.31034
bhr,1990,3.77854
bhr,1991,3.64604
bhr,1992,4.32185
bhr,1993,4.68667
bhr,1994,4.75078
bhr,1995,5.36603
bhr,1996,4.4795
bhr,1997,3.5
bhr,1998,4.02454
bhr,1999,3.34298
bhr,2000,2.33309
bhr,2001,2.41455
bhr,2002,2.55435
bhr,2003,2.68169
bhr,2004,2.45362
bhs,1992,4.78952
bhs,1993,2.8222
bhs,1994,5.00574
bhs,1995,8.7536
bhs,1996,5.23553
bhs,1997,5.61841
bhs,1998,6.62093
bhs,1999,5.40196
bhs,2000,12.7086
bhs,2001,10.22295
bhs,2002,11.50262
bhs,2003,9.57718
bhs,2004,12.40176
bhs,2005,16.31883
bhs,2006,26.12499
bhs,2007,29.09429
bhs,2008,11.08694
bhs,2009,28.3921
bhs,2010,39.87854
bhs,2011,47.06518
bhs,2012,43.77499
bhs,2013,40.80511
bhs,2014,42.76316
bhs,2015,52.06331
bhs,2016,58.03613
bhs,2017,61.92297
bhs,2018,62.46406
bhs,2019,67.36105
bih,2005,22.67169
bih,2006,50.60084
bih,2007,49.38664
bih,2008,46.34198
bih,2009,43.30555
bih,2010,44.85981
bih,2011,44.87915
bih,2012,44.58028
bih,2013,43.86051
bih,2014,42.97792
bih,2015,44.33091
bih,2016,44.26704
bih,2017,43.55387
bih,2018,43.55883
bih,2019,43.68433
blr,1992,38.98305
blr,1993,31.93591
blr,1994,35.35792
blr,1995,33.18117
blr,1996,37.44876
blr,1997,41.11615
blr,1998,37.95858
blr,1999,37.91548
blr,2000,38.80326
blr,2001,36.44829
blr,2002,36.07239
blr,2003,34.43746
blr,2004,34.56478
blr,2005,33.58007
blr,2006,38.32404
blr,2007,34.19328
blr,2008,30.17449
blr,2009,28.83594
blr,2010,32.31075
blr,2011,28.93646
blr,2012,28.99073
blr,2013,31.11926
blr,2014,32.35053
blr,2015,28.04255
blr,2016,28.96181
blr,2017,26.02003
blr,2018,26.5686
blr,2019,26.94142
blz,1990,9.19698
blz,1991,8.86428
blz,1992,8.09213
blz,1993,11.38267
blz,1994,13.3306
blz,1995,15.99707
blz,1996,36.01346
blz,1997,33.06512
blz,1998,30.52457
blz,1999,23.35016
blz,2000,28.08605
blz,2001,28.3653
blz,2002,27.27974
blz,2003,26.7923
blz,2004,29.98067
blz,2005,32.96232
blz,2006,34.96482
blz,2007,32.2688
blz,2008,31.45814
blz,2009,30.70032
blz,2010,32.42503
blz,2011,27.83718
blz,2012,34.39886
blz,2013,32.39524
blz,2014,34.72825
blz,2015,35.66877
blz,2016,46.66141
blz,2017,48.07217
bol,1985,60.12903
bol,1986,35.69878
bol,1987,30.34758
bol,1988,35.55092
bol,1989,35.34231
bol,1990,34.58342
bol,1991,36.98984
bol,1992,39.01736
bol,1993,34.99817
bol,1994,43.35823
bol,1995,45.01741
bol,1996,50.20565
bol,1997,53.73028
bol,1998,52.91164
bol,1999,43.75117
bol,2000,50.42091
bol,2001,48.64667
bol,2002,47.78146
bol,2003,45.56259
bol,2004,45.30627
bol,2005,48.20846
bol,2006,33.11541
bol,2007,49.30806
bra,2010,23.14669
bra,2011,23.03902
bra,2012,22.19124
bra,2013,21.94243
bra,2014,21.42763
bra,2015,20.22802
bra,2016,18.89309
bra,2017,20.77236
bra,2018,20.92342
bra,2019,19.03575
brb,2003,40.74288
brb,2004,44.35582
brb,2005,45.86189
brb,2006,44.45102
brb,2007,43.03306
brb,2008,41.95522
brb,2009,39.60817
brb,2010,44.68758
brb,2011,49.42741
brb,2012,47.16401
brb,2013,49.7762
brb,2014,44.36049
brb,2015,48.35653
brb,2016,45.87893
btn,1982,10.7918
btn,1984,12.40941
btn,1985,9.25179
btn,1986,9.50802
btn,1988,8.81067
btn,1989,9.0604
btn,1990,10.74304
btn,1991,11.19658
btn,1992,11.79544
btn,1993,10.43089
btn,1994,9.95793
btn,1995,9.4995
btn,1996,8.65247
btn,1997,6.96545
btn,1998,10.63768
btn,1999,6.82404
btn,2000,10.81765
btn,2001,6.34217
btn,2002,10.40724
btn,2003,17.38322
btn,2004,7.23226
btn,2005,11.78502
btn,2006,12.28751
btn,2007,8.85298
btn,2008,10.22849
btn,2009,10.38537
btn,2010,12.257
btn,2011,14.92606
btn,2012,19.5311
btn,2013,23.03483
btn,2014,16.79478
btn,2015,19.26796
btn,2016,18.04489
btn,2017,20.61481
btn,2018,24.20689
bwa,1990,1.89484
bwa,1991,2.08566
bwa,1992,3.05499
bwa,1993,2.82262
bwa,1994,4.17773
bwa,1995,4.4741
bwa,1996,3.78602
bwa,2006,8.82887
bwa,2007,10.71285
bwa,2008,15.2136
bwa,2009,13.92346
bwa,2010,15.38801
bwa,2011,13.3064
bwa,2012,13.31021
bwa,2013,10.56784
bwa,2014,10.73206
bwa,2015,13.13976
bwa,2016,12.11888
bwa,2017,14.52496
bwa,2018,14.6586
bwa,2019,15.7893
caf,2004,24.78054
caf,2008,33.6292
caf,2009,28.68888
caf,2010,31.29743
caf,2011,35.77901
caf,2012,14.62619
caf,2014,6.22487
caf,2015,21.25012
caf,2016,10.70663
caf,2017,8.37433
caf,2018,11.61539
can,1995,17.51485
can,1996,17.46045
can,1997,17.18514
can,1998,16.78747
can,1999,16.28819
can,2000,15.49747
can,2001,15.931
can,2002,17.32518
can,2003,17.5699
can,2004,17.43521
can,2005,17.12193
can,2006,16.09467
can,2007,14.95505
can,2008,13.56218
can,2009,14.6681
can,2010,15.27219
can,2011,14.46211
can,2012,14.05229
can,2013,13.92467
can,2014,13.96116
can,2015,13.77033
can,2016,13.89856
can,2017,13.94917
can,2018,13.50081
can,2019,13.42187
che,1972,23.06448
che,1973,21.02692
che,1974,19.82592
che,1975,18.67158
che,1976,18.07142
che,1977,19.13407
che,1978,19.52156
che,1979,20.18623
che,1980,20.33717
che,1981,20.73375
che,1982,20.60774
che,1983,21.37034
che,1984,21.17735
che,1990,31.6115
che,1991,30.80063
che,1992,29.25292
che,1993,29.51298
che,1994,28.20777
che,1995,30.95466
che,1996,29.87944
che,1997,30.96484
che,1998,31.70708
che,1999,34.08138
che,2000,33.45226
che,2001,34.10534
che,2002,32.75946
che,2003,33.3036
che,2004,34.16788
che,2005,33.45743
che,2006,33.13438
che,2007,32.7654
che,2008,31.83716
che,2009,31.6387
che,2010,32.41498
che,2011,32.03196
che,2012,31.79212
che,2013,31.24935
che,2014,31.2667
che,2015,30.23331
che,2016,29.96279
che,2017,29.51196
che,2018,29.01578
che,2019,28.32811
chl,1973,31.5625
chl,1974,31.71206
chl,1975,31.0778
chl,1976,36.7995
chl,1977,37.07057
chl,1978,36.20971
chl,1979,33.51424
chl,1980,34.61099
chl,1981,39.48813
