geo,time,gc_tax_ypkg_cn
afg,2006,4361376969.55
afg,2007,5644579908.75
afg,2008,8615069861.25
afg,2009,15840312929.06
afg,2010,18245323987.15
afg,2011,21516806132.02
afg,2012,25610320670.005
afg,2013,27653398808
afg,2014,33099262219.0668
afg,2015,39794987704.39
afg,2016,25170226474.71
afg,2017,28026389585.45
ago,1999,2218511047
ago,2000,23521887574
ago,2001,35587683336
ago,2002,77439702088
ago,2003,167772000000
ago,2004,272013000000
ago,2005,440617000000
ago,2006,838209000000
ago,2007,880727000000
ago,2008,1381600000000
ago,2009,679586000000
ago,2010,920379000000
ago,2011,1292900000000
ago,2012,1413540000000
ago,2013,1401100000000
ago,2014,1356426466256.25
ago,2015,1054233866328.62
ago,2016,1103411896918.56006
ago,2017,1306581620098.53003
ago,2018,1847024725088.29004
ago,2019,2297181715418.20947
alb,1995,4014000000
alb,1996,4808340000
alb,1997,3592253000
alb,1998,6399875000
alb,2002,20894170000
alb,2003,22504710000
alb,2004,27220340000
alb,2011,46423500000
alb,2012,44484930000
alb,2013,44012200000
alb,2014,48711520000
alb,2015,54624180000
alb,2016,42779830000
alb,2017,63746660000
alb,2018,70977490000
alb,2019,79835840000
are,1997,0
are,1998,0
are,1999,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,1990,171200000
arg,1991,451900000
arg,1992,840900000
arg,1993,2899200000
arg,1994,4065600000
arg,1995,3730600000
arg,1996,4689800000
arg,1997,5426900000
arg,1998,6519700000
arg,1999,6434500000
arg,2000,6866200000
arg,2001,6655200000
arg,2002,5740400000
arg,2003,10374253526.43
arg,2004,15381533675.54
arg,2005,19271300000
arg,2006,23073800000
arg,2007,22960000000
arg,2008,28584400000
arg,2009,29674400000
arg,2010,40930900000
arg,2011,57335400000
arg,2012,73374200000
arg,2013,97290900000
arg,2014,141679100000
arg,2015,199986500000
arg,2016,217639400000
arg,2017,267036900000
arg,2018,272779800000
arg,2019,340512746662.73999
arm,2004,52424200300
arm,2005,73172304416.8
arm,2006,100797800000
arm,2007,122332040782.60001
arm,2008,139960814153
arm,2009,142025528422
arm,2010,151753625090
arm,2011,179052957519
arm,2012,210321000000
arm,2013,394858264388
arm,2014,408579270700
arm,2015,427211147743
arm,2016,475150492660
arm,2017,469577057759
arm,2018,548011494210
arm,2019,591217918053
aus,1972,5300000000
aus,1973,5718000000
aus,1974,7518000000
aus,1975,10156000000
aus,1976,11831000000
aus,1977,13967000000
aus,1978,15337000000
aus,1979,15947000000
aus,1980,18588000000
aus,1981,22399000000
aus,1982,26483000000
aus,1983,28075000000
aus,1984,29649000000
aus,1985,35334000000
aus,1986,39435000000
aus,1987,45433000000
aus,1988,51366000000
aus,1989,58558000000
aus,1990,64326000000
aus,1991,66668000000
aus,1992,63060000000
aus,1993,64242000000
aus,1994,66387000000
aus,1995,73895000000
aus,1996,82614000000
aus,1997,90436000000
aus,1998,95365000000
aus,1999,102309000000
aus,2000,114519000000
aus,2001,124602000000
aus,2002,122722000000
aus,2003,134115000000
aus,2004,145425000000
aus,2005,162714000000
aus,2006,175923000000
aus,2007,189057000000
aus,2008,208220000000
aus,2009,200995000000
aus,2010,186648000000
aus,2011,204537000000
aus,2012,230845000000
aus,2013,241802000000
aus,2014,248425000000
aus,2015,258605000000
aus,2016,265111000000
aus,2017,281140000000
aus,2018,312474000000
aus,2019,338656000000
aut,1972,2124953671.06822
aut,1973,2365500752.16383
aut,1974,2968685275.75707
aut,1975,3063886688.51697
aut,1976,3249202415.64501
aut,1977,3684512692.31049
aut,1978,4518070100.21584
aut,1979,4840737483.92113
aut,1980,5265146835.46144
aut,1981,5776036859.66149
aut,1982,5857430433.92949
aut,1983,6073268751.40804
aut,1984,6701162038.61834
aut,1985,6679360188.36799
aut,1986,7018015595.59021
aut,1987,6852321533.68749
aut,1988,7865380841.98746
aut,1989,7561608395.1658
aut,1990,8597923010.39948
aut,1991,9634237625.63316
aut,1992,10866042164.7784
aut,1993,11632740565.2493
aut,1994,11398734039.2288
aut,1995,19525350000
aut,1996,22008630000
aut,1997,23883590000
aut,1998,25060380000
aut,1999,25258510000
aut,2000,26053970000
aut,2001,30412120000
aut,2002,28771890000
aut,2003,29028770000
aut,2004,29795840000
aut,2005,29943280000
aut,2006,31431450000
aut,2007,34634990000
aut,2008,37492670000
aut,2009,33075090000
aut,2010,34250130000
aut,2011,36236600000
aut,2012,38221490000
aut,2013,39960420000
aut,2014,41841060000
aut,2015,44904610000
aut,2016,41802750000
aut,2017,43796310000
aut,2018,46663350000
aut,2019,48743500000
aze,1994,16793800
aze,1995,118214600
aze,1996,76490400
aze,1997,95980800
aze,1998,129093800
aze,1999,145083000
aze,2008,3498400000
aze,2009,1920500000
aze,2010,2026500000
aze,2011,2861600000
aze,2012,3072800000
aze,2013,3247200000
aze,2014,3292400000
aze,2015,3217200000
aze,2016,3128900000
aze,2017,3326100000
aze,2018,3495500000
aze,2019,3498100000
bdi,1973,494000000
bdi,1974,576000000
bdi,1975,672000000
bdi,1976,874000000
bdi,1977,1110000000
bdi,1978,1545000000
bdi,1979,1824000000
bdi,1980,2220000000
bdi,1981,2626000000
bdi,1982,3280000000
bdi,1983,3175000000
bdi,1984,3521000000
bdi,1985,3704000000
bdi,1986,4109000000
bdi,1991,8085000000
bdi,1992,8374000000
bdi,1993,9192000000
bdi,1994,7009000000
bdi,1995,9039000000
bdi,1996,9712000000
bdi,1997,10322000000
bdi,1998,13139220000
bdi,1999,15121500000
bel,1995,31233700000
bel,1996,31764900000
bel,1997,34050200000
bel,1998,36796000000
bel,1999,37042100000
bel,2000,40195100000
bel,2001,41436100000
bel,2002,42242400000
bel,2003,41891400000
bel,2004,44449200000
bel,2005,46694500000
bel,2006,48367500000
bel,2007,49991800000
bel,2008,53145200000
bel,2009,47163100000
bel,2010,50963200000
bel,2011,54741700000
bel,2012,57909200000
bel,2013,60919600000
bel,2014,62725100000
bel,2015,58589300000
bel,2016,53485700000
bel,2017,58388700000
bel,2018,62018900000
bel,2019,58606200000
ben,1976,4864000000
ben,1977,4417000000
ben,1978,5626000000
ben,1979,4241000000
bfa,2002,61680853970
bfa,2003,67243940286
bfa,2004,72840053413.69998
bfa,2005,79692212330
bfa,2006,85737288056
bfa,2007,98150925410
bfa,2008,103469343798
bfa,2009,106686379778
bfa,2010,133581000000
bfa,2011,201024000000
bfa,2012,256029000000
bfa,2013,277195000000
bfa,2014,262613984564
bfa,2015,234438093844
bfa,2016,285800000000
bfa,2017,317967999120
bfa,2018,370127503737.13098
bfa,2019,442962025017.23102
bgd,2001,30749390000
bgd,2002,35152230000
bgd,2003,38064300000
bgd,2004,42808910000
bgd,2005,49365686000
bgd,2006,64007913000
bgd,2007,86220381000
bgd,2008,116684050000
bgd,2009,134332992000
bgd,2010,162347076000
bgd,2011,219557300000
bgd,2012,281592700000
bgd,2013,344029800000
bgd,2014,378289600000
bgd,2015,407226900000
bgd,2016,450780000000
bgr,1990,6353000
bgr,1991,18874000
bgr,1992,15095000
bgr,1993,12613000
bgr,1994,29605000
bgr,1995,49316000
bgr,1996,104347000
bgr,1997,1000520000
bgr,1998,1127469000
bgr,1999,1047886000
bgr,2000,1062344000
bgr,2001,1297252000
bgr,2002,1109784000
bgr,2003,2119581000
bgr,2004,2260516000
bgr,2005,2089866000
bgr,2006,2442908000
bgr,2007,4560130000
bgr,2008,4188660000
bgr,2009,3769512000
bgr,2010,3541863000
bgr,2011,3599922000
bgr,2012,3725615000
bgr,2013,4054870000
bgr,2014,4386851000
bgr,2015,4650821000
bgr,2016,5095857000
bgr,2017,5638228000
bgr,2018,6128902000
bgr,2019,6386166000
bhr,1974,47800000
bhr,1975,48300000
bhr,1976,28500000
bhr,1977,29600000
bhr,1978,28800000
bhr,1979,30700000
bhr,1980,8000000
bhr,1981,13600000
bhr,1982,12100000
bhr,1983,13800000
bhr,1984,18600000
bhr,1985,20200000
bhr,1986,19100000
bhr,1987,19100000
bhr,1988,15200000
bhr,1989,16700000
bhr,1990,24800000
bhr,1991,25600000
bhr,1992,22700000
bhr,1993,25000000
bhr,1994,28900000
bhr,1995,23300000
bhr,1996,31200000
bhr,1997,31900000
bhr,1998,34400000
bhr,1999,32000000
bhr,2000,34100000
bhr,2001,44400000
bhr,2002,40800000
bhr,2003,40900000
bhr,2004,54700000
bhs,1990,0
bhs,1991,0
bhs,1992,0
bhs,1993,0
bhs,1994,0
bhs,1995,0
bhs,1996,0
bhs,1997,0
bhs,1998,0
bhs,1999,0
bhs,2000,0
bhs,2001,0
bhs,2002,0
bhs,2003,0
bhs,2004,0
bhs,2005,0
bhs,2006,0
bhs,2007,0
bhs,2008,0
bhs,2009,0
bhs,2010,0
bhs,2011,0
bhs,2012,0
bhs,2013,0
bhs,2014,0
bhs,2015,0
bhs,2016,0
bhs,2017,0
bhs,2018,0
bhs,2019,0
bih,2005,126803840.19
bih,2006,168072010.46
bih,2007,289056150.43
bih,2008,257984452.6
bih,2009,493320248.45
bih,2010,625354603.56
bih,2011,678187869.2
bih,2012,698438348.2
bih,2013,710823815.6
bih,2014,704010442.1
bih,2015,753240090.59
bih,2016,854078720.83
bih,2017,1001947734.41
bih,2018,1101538460.74
bih,2019,1116183171.27
blr,1992,340
blr,1993,4710
blr,1994,123730
blr,1995,593380
blr,1996,452320
blr,1997,1124150
blr,1998,2113720
blr,1999,9315280
blr,2000,28701000
blr,2001,46862000
blr,2002,45717000
blr,2003,68784400
blr,2004,115331000
blr,2005,175651900
blr,2006,186746800
blr,2007,228394600
blr,2008,353865789
blr,2009,288143500
blr,2010,353532210.32
blr,2011,281950000
blr,2012,549160000
blr,2013,524682000
blr,2014,658420200
blr,2015,819184492.76
blr,2016,729034078.7
blr,2017,1022212211
blr,2018,1289276509.2
blr,2019,1287986369.2
blz,1990,41248000
blz,1991,46075000
blz,1992,60086000
blz,1993,60193000
blz,1994,56609000
blz,1995,45362000
blz,1996,51883000
blz,1997,55767000
blz,1998,64093000
blz,1999,64541000
blz,2000,76320000
blz,2001,76987000
blz,2002,78947000
blz,2003,89113000
blz,2004,99811000
blz,2005,129458000
blz,2006,138203000
blz,2007,180093000
blz,2008,196674000
blz,2009,213356000
blz,2010,240125000
blz,2011,238218000
blz,2012,233125333.55
blz,2013,246798576.7
blz,2014,273830247.7
blz,2015,255587002.84
blz,2016,261707011.23
blz,2017,270222938.61
bol,1985,6200000
bol,1986,14500000
bol,1987,30300000
bol,1988,65100000
bol,1989,93700000
bol,1990,103300000
bol,1991,144900000
bol,1992,176400000
bol,1993,205700000
bol,1994,137000000
bol,1995,132100000
bol,1996,416600000
bol,1997,524200000
bol,1998,617800000
bol,1999,710900000
bol,2000,723500000
bol,2001,635030000
bol,2002,841371815.09
bol,2003,893363390.12
bol,2004,1192900000
bol,2005,1750428079.22
bol,2006,2350468759.06
bol,2007,2583552386.12
bra,2010,258483252669.505
bra,2011,313999181238.89899
bra,2012,324933236431.25201
bra,2013,360771120032.12097
bra,2014,382156001660.04199
bra,2015,401126727899.34094
bra,2016,453199914841.20697
bra,2017,458685465245.77698
bra,2018,490756763507.03802
bra,2019,537921729481.01001
brb,2003,604735000
brb,2004,596500000
brb,2005,721842000
brb,2006,817876638.27
brb,2007,936265621
brb,2008,897374602
brb,2009,816792471
brb,2010,762703518
brb,2011,772269044
brb,2012,746267224
brb,2013,639267340
brb,2014,693041070
brb,2015,752577289
brb,2016,861069604
btn,1982,19000000
btn,1983,30200000
btn,1984,33100000
btn,1985,38800000
btn,1986,57500000
btn,1988,71800000
btn,1989,76200000
btn,1990,71200000
btn,1991,72800000
btn,1992,82300000
btn,1993,144200000
btn,1994,165300000
btn,1995,263500000
btn,1996,426100000
btn,1997,492000000
btn,1998,667684000
btn,1999,725000000
btn,2000,1056700000
btn,2001,1191774000
btn,2002,1305038000
btn,2003,1272687000
btn,2004,1419442000
btn,2005,1529843000
btn,2006,1833190000
btn,2007,2109058000
btn,2008,2546872000
btn,2009,3281840000
btn,2010,6077176108
btn,2011,7029869657
