geo,time,gc_xpn_intp_rv_zs
afg,2006,0.16382
afg,2007,0.06868
afg,2008,0.02274
afg,2009,0.02414
afg,2010,0.01424
afg,2011,0.01153
afg,2012,0.01719
afg,2013,0.03506
afg,2014,0.05182
afg,2015,0.10194
afg,2016,0.09154
afg,2017,0.10938
ago,1999,0.2413
ago,2000,0.36071
ago,2001,2.55473
ago,2002,2.77719
ago,2003,1.76403
ago,2004,3.2572
ago,2005,2.29578
ago,2006,0.54948
ago,2007,1.04165
ago,2008,4.77954
ago,2009,8.44408
ago,2010,4.29776
ago,2011,1.73955
ago,2012,2.3214
ago,2013,2.10352
ago,2014,3.32654
ago,2015,9.48575
ago,2016,13.70209
ago,2017,16.54027
ago,2018,19.57639
ago,2019,24.78066
alb,1995,10.94783
alb,1996,17.87538
alb,1997,33.89837
alb,1998,36.58553
alb,2002,16.45124
alb,2003,17.86487
alb,2004,15.48999
alb,2011,12.98613
alb,2012,13.18095
alb,2013,14.04502
alb,2014,11.27011
alb,2015,10.52232
alb,2016,9.71519
alb,2017,7.7397
alb,2018,8.58139
alb,2019,8.06656
are,1997,0
are,1998,0
are,1999,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0.00202
arg,1990,8.6028
arg,1991,11.09449
arg,1992,9.41989
arg,1993,7.19634
arg,1994,8.34172
arg,1995,11.28168
arg,1996,13.04035
arg,1997,14.39027
arg,1998,16.14738
arg,1999,20.64353
arg,2000,23.86923
arg,2001,27.47186
arg,2002,47.91003
arg,2003,34.5802
arg,2004,26.45705
arg,2014,8.53191
arg,2015,8.32315
arg,2016,13.95651
arg,2017,11.80666
arg,2018,16.47743
arg,2019,18.55547
arm,2004,2.72488
arm,2005,2.21647
arm,2006,1.66805
arm,2007,1.42553
arm,2008,1.32975
arm,2009,2.25361
arm,2010,3.73425
arm,2011,3.8523
arm,2012,4.12125
arm,2013,4.29458
arm,2014,5.10924
arm,2015,6.18523
arm,2016,8.24199
arm,2017,9.60778
arm,2018,10.18202
arm,2019,9.96462
aus,1972,6.7459
aus,1973,6.93427
aus,1974,5.78634
aus,1975,5.63327
aus,1976,5.1387
aus,1977,6.40927
aus,1978,6.85582
aus,1979,7.50569
aus,1980,7.2873
aus,1981,7.13493
aus,1982,6.89235
aus,1983,7.36397
aus,1984,8.56445
aus,1985,9.57272
aus,1986,10.65305
aus,1987,10.6291
aus,1988,9.20361
aus,1989,8.202
aus,1990,7.44771
aus,1991,6.15911
aus,1992,5.98108
aus,1993,5.5368
aus,1994,6.39585
aus,1995,7.14498
aus,1996,7.41534
aus,1997,7.14302
aus,1998,6.02312
aus,1999,7.56155
aus,2000,6.09311
aus,2001,3.33481
aus,2002,2.89422
aus,2003,2.3652
aus,2004,1.8868
aus,2005,1.71232
aus,2006,1.55104
aus,2007,1.43676
aus,2008,1.33667
aus,2009,1.54594
aus,2010,2.29974
aus,2011,3.09609
aus,2012,3.68648
aus,2013,3.46491
aus,2014,3.50906
aus,2015,3.85097
aus,2016,3.91563
aus,2017,3.80462
aus,2018,3.70582
aus,2019,3.49483
aut,1972,2.16889
aut,1973,2.05739
aut,1974,1.99989
aut,1975,2.45267
aut,1976,3.55977
aut,1977,4.01747
aut,1978,4.59984
aut,1979,4.86216
aut,1980,5.08963
aut,1981,5.39664
aut,1982,6.4039
aut,1983,6.48884
aut,1984,7.39217
aut,1985,8.07149
aut,1986,8.58378
aut,1987,9.57684
aut,1988,9.54638
aut,1989,9.96693
aut,1990,10.28281
aut,1991,10.75643
aut,1992,10.51241
aut,1993,10.70367
aut,1994,10.20832
aut,1995,8.97149
aut,1996,8.75677
aut,1997,8.11096
aut,1998,7.94238
aut,1999,7.62155
aut,2000,7.89193
aut,2001,7.41388
aut,2002,7.46215
aut,2003,7.07035
aut,2004,6.83413
aut,2005,7.25812
aut,2006,7.02419
aut,2007,6.82898
aut,2008,6.22592
aut,2009,6.82683
aut,2010,6.42547
aut,2011,6.17127
aut,2012,5.99976
aut,2013,5.6319
aut,2014,5.28484
aut,2015,5.01865
aut,2016,4.6065
aut,2017,4.13821
aut,2018,3.62568
aut,2019,3.19825
aze,1994,0.20846
aze,1995,0.30491
aze,1996,2.50738
aze,1997,2.96416
aze,1998,1.95328
aze,1999,2.42106
aze,2008,0.16525
aze,2009,0.54062
aze,2010,0.1986
aze,2011,0.71578
aze,2012,0.39899
aze,2013,0.6572
aze,2014,0.35762
aze,2015,1.13633
aze,2016,2.91037
aze,2017,2.00717
aze,2018,2.43716
aze,2019,1.75138
bdi,1981,2.41054
bdi,1991,5.91217
bdi,1992,6.44706
bdi,1993,6.414
bdi,1994,7.46516
bdi,1995,5.77547
bdi,1996,8.42398
bel,1995,19.68407
bel,1996,18.60979
bel,1997,16.75604
bel,1998,15.93873
bel,1999,14.8684
bel,2000,14.43736
bel,2001,14.0022
bel,2002,12.82212
bel,2003,11.9227
bel,2004,10.7049
bel,2005,9.8304
bel,2006,9.37428
bel,2007,9.03375
bel,2008,8.67052
bel,2009,8.52605
bel,2010,7.84975
bel,2011,7.69868
bel,2012,7.51781
bel,2013,6.95123
bel,2014,6.82621
bel,2015,6.43831
bel,2016,6.25972
bel,2017,5.38681
bel,2018,4.7426
bel,2019,4.56088
ben,1977,0.34764
ben,1978,0.92068
ben,1979,0.82555
bfa,2002,4.78566
bfa,2003,3.8565
