geo,time,ic_bus_nreg
afg,2009,3653
afg,2010,4759
afg,2011,3745
afg,2012,3557
afg,2013,3191
afg,2014,2466
afg,2015,2255
afg,2016,2448
afg,2017,3022
afg,2018,4274
alb,2006,1671
alb,2007,2094
alb,2008,2891
alb,2009,2217
alb,2010,2166
alb,2011,1891
alb,2012,1877
alb,2013,2105
alb,2014,2271
alb,2015,2610
alb,2016,2721
alb,2017,3014
alb,2018,3259
alb,2019,3189
alb,2020,2945
are,2006,7698
are,2007,8778
are,2008,9084
are,2009,6963
are,2010,8623
are,2011,9644
are,2012,11380
are,2013,12784
are,2014,15661
are,2015,16625
are,2016,16735
are,2017,16285
are,2018,17907
are,2019,22593
are,2020,19050
arg,2006,5956
arg,2007,6031
arg,2008,6032
arg,2009,4885
arg,2010,5400
arg,2011,5828
arg,2012,4928
arg,2013,5406
arg,2014,4699
arg,2015,4958
arg,2016,5885
arg,2017,6209
arg,2018,5667
arm,2006,2474
arm,2007,3290
arm,2008,3344
arm,2009,2575
arm,2010,2527
arm,2011,2640
arm,2012,3190
arm,2013,3180
arm,2014,3168
arm,2015,3493
arm,2016,3510
arm,2017,4443
arm,2018,6137
arm,2019,6877
arm,2020,5700
atg,2006,295
atg,2007,257
atg,2008,226
atg,2009,159
atg,2010,193
atg,2011,187
atg,2012,168
atg,2013,217
atg,2014,246
atg,2015,271
atg,2016,296
atg,2017,380
atg,2018,280
atg,2019,242
atg,2020,255
aus,2006,133756
aus,2007,157438
aus,2008,141827
aus,2009,145963
aus,2010,159246
aus,2011,166740
aus,2012,184237
aus,2013,201855
aus,2014,222294
aus,2015,241023
aus,2016,243105
aus,2017,249048
aus,2018,235684
aus,2019,223389
aus,2020,236447
aut,2006,3116
aut,2007,2944
aut,2008,2856
aut,2009,2826
aut,2010,2819
aut,2011,2771
aut,2012,2714
aut,2013,2811
aut,2014,2923
aut,2015,3020
aut,2016,3009
aut,2017,3046
aut,2018,2997
aut,2019,3017
aut,2020,3141
aze,2008,6153
aze,2009,4677
aze,2010,3541
aze,2011,4174
aze,2012,4661
aze,2013,7172
aze,2014,6803
aze,2015,5208
aze,2016,7219
aze,2017,11058
aze,2018,11611
aze,2019,15687
aze,2020,9165
bel,2006,21747
bel,2007,23867
bel,2008,23116
bel,2009,20415
bel,2010,23512
bel,2011,24451
bel,2012,19769
bel,2013,19054
bel,2014,19825
bel,2015,20634
bel,2016,22705
bel,2017,22944
bel,2018,27204
bel,2019,31094
bel,2020,34366
ben,2013,906
ben,2014,1382
ben,2015,2834
ben,2016,3060
