geo,time,ic_lgl_cred_xq
afg,2013,9
afg,2014,9
afg,2015,9
afg,2016,9
afg,2017,9
afg,2018,10
afg,2019,10
ago,2013,1
ago,2014,1
ago,2015,1
ago,2016,1
ago,2017,1
ago,2018,1
ago,2019,1
alb,2013,7
alb,2014,6
alb,2015,6
alb,2016,6
alb,2017,8
alb,2018,8
alb,2019,8
are,2013,2
are,2014,2
are,2015,2
are,2016,2
are,2017,2
are,2018,6
are,2019,6
arg,2013,2
arg,2014,2
arg,2015,2
arg,2016,2
arg,2017,2
arg,2018,2
arg,2019,2
arm,2013,4
arm,2014,4
arm,2015,4
arm,2016,6
arm,2017,6
arm,2018,6
arm,2019,6
atg,2013,5
atg,2014,5
atg,2015,5
atg,2016,5
atg,2017,5
atg,2018,5
atg,2019,5
aus,2013,11
aus,2014,11
aus,2015,11
aus,2016,11
aus,2017,11
aus,2018,11
aus,2019,11
aut,2013,4
aut,2014,4
aut,2015,4
aut,2016,4
aut,2017,4
aut,2018,4
aut,2019,4
aze,2013,2
aze,2014,2
aze,2015,2
aze,2016,2
aze,2017,2
aze,2018,8
aze,2019,12
bdi,2013,2
bdi,2014,2
bdi,2015,2
bdi,2016,2
bdi,2017,2
bdi,2018,2
bdi,2019,2
bel,2013,4
bel,2014,4
bel,2015,4
bel,2016,4
bel,2017,4
bel,2018,8
bel,2019,8
ben,2013,6
ben,2014,6
ben,2015,6
ben,2016,6
ben,2017,6
ben,2018,6
ben,2019,6
bfa,2013,6
bfa,2014,6
bfa,2015,6
bfa,2016,6
bfa,2017,6
bfa,2018,6
bfa,2019,6
bgd,2013,5
bgd,2014,5
bgd,2015,5
bgd,2016,5
bgd,2017,5
bgd,2018,5
bgd,2019,5
bgr,2013,8
bgr,2014,8
bgr,2015,8
bgr,2016,8
bgr,2017,8
bgr,2018,8
bgr,2019,8
bhr,2013,1
bhr,2014,1
bhr,2015,1
bhr,2016,1
bhr,2017,1
bhr,2018,1
bhr,2019,3
bhs,2013,6
bhs,2014,6
bhs,2015,6
bhs,2016,6
bhs,2017,6
bhs,2018,6
bhs,2019,6
bih,2013,7
bih,2014,7
bih,2015,7
bih,2016,7
bih,2017,7
bih,2018,7
bih,2019,7
blr,2013,1
blr,2014,1
blr,2015,1
blr,2016,1
blr,2017,3
blr,2018,3
blr,2019,3
blz,2013,4
blz,2014,4
blz,2015,4
blz,2016,4
blz,2017,4
blz,2018,4
blz,2019,4
bol,2013,0
bol,2014,0
bol,2015,0
bol,2016,0
bol,2017,0
bol,2018,0
bol,2019,0
bra,2013,2
bra,2014,2
bra,2015,2
bra,2016,2
bra,2017,2
bra,2018,2
bra,2019,2
brb,2013,6
brb,2014,6
brb,2015,6
brb,2016,6
brb,2017,6
brb,2018,6
brb,2019,6
brn,2013,4
brn,2014,4
brn,2015,4
brn,2016,5
