geo,time,ic_lgl_durs
afg,2004,1642
afg,2005,1642
afg,2006,1642
afg,2007,1642
afg,2008,1642
afg,2009,1642
afg,2010,1642
afg,2011,1642
afg,2012,1642
afg,2013,1642
afg,2014,1642
afg,2015,1642
afg,2016,1642
afg,2017,1642
afg,2018,1642
afg,2019,1642
ago,2003,1011
ago,2004,1011
ago,2005,1011
ago,2006,1011
ago,2007,1011
ago,2008,1190
ago,2009,1250
ago,2010,1296
ago,2011,1296
ago,2012,1296
ago,2013,1296
ago,2014,1296
ago,2015,1296
ago,2016,1296
ago,2017,1296
ago,2018,1296
ago,2019,1296
alb,2003,450
alb,2004,450
alb,2005,450
alb,2006,450
alb,2007,450
alb,2008,450
alb,2009,450
alb,2010,450
alb,2011,450
alb,2012,450
alb,2013,525
alb,2014,525
alb,2015,525
alb,2016,525
alb,2017,525
alb,2018,525
alb,2019,525
are,2003,537
are,2004,537
are,2005,537
are,2006,537
are,2007,537
are,2008,537
are,2009,537
are,2010,537
are,2011,537
are,2012,524
are,2013,524
are,2014,524
are,2015,495
are,2016,445
are,2017,445
are,2018,445
are,2019,445
arg,2003,590
arg,2004,590
arg,2005,590
arg,2006,590
arg,2007,590
arg,2008,590
arg,2009,590
arg,2010,590
arg,2011,590
arg,2012,835
arg,2013,995
arg,2014,995
arg,2015,995
arg,2016,995
arg,2017,995
arg,2018,995
arg,2019,995
arm,2003,327
arm,2004,295
arm,2005,285
arm,2006,285
arm,2007,285
arm,2008,285
arm,2009,285
arm,2010,285
arm,2011,570
arm,2012,570
arm,2013,570
arm,2014,570
arm,2015,570
arm,2016,570
arm,2017,570
arm,2018,570
arm,2019,570
atg,2005,351
atg,2006,351
atg,2007,351
atg,2008,351
atg,2009,351
atg,2010,351
atg,2011,351
atg,2012,476
atg,2013,476
atg,2014,476
atg,2015,476
atg,2016,476
atg,2017,476
atg,2018,476
atg,2019,476
aus,2003,395
aus,2004,395
aus,2005,395
aus,2006,395
aus,2007,395
aus,2008,395
aus,2009,395
aus,2010,395
aus,2011,395
aus,2012,395
aus,2013,402
aus,2014,402
aus,2015,402
aus,2016,402
aus,2017,402
aus,2018,402
aus,2019,402
aut,2003,397
aut,2004,397
aut,2005,397
aut,2006,397
aut,2007,397
aut,2008,397
aut,2009,397
aut,2010,397
aut,2011,397
aut,2012,397
aut,2013,397
aut,2014,397
aut,2015,397
aut,2016,397
aut,2017,397
aut,2018,397
aut,2019,397
aze,2003,267
aze,2004,267
aze,2005,267
aze,2006,267
aze,2007,267
aze,2008,237
aze,2009,237
aze,2010,237
aze,2011,237
aze,2012,237
aze,2013,277
aze,2014,277
aze,2015,277
aze,2016,277
aze,2017,277
aze,2018,277
aze,2019,277
bdi,2003,667
bdi,2004,667
bdi,2005,588
bdi,2006,558
bdi,2007,558
bdi,2008,832
bdi,2009,832
bdi,2010,832
bdi,2011,832
bdi,2012,832
bdi,2013,832
bdi,2014,832
bdi,2015,832
bdi,2016,832
bdi,2017,832
bdi,2018,832
bdi,2019,832
bel,2003,505
bel,2004,505
bel,2005,505
bel,2006,505
bel,2007,505
bel,2008,505
bel,2009,505
bel,2010,505
bel,2011,505
bel,2012,505
bel,2013,505
bel,2014,505
bel,2015,505
bel,2016,505
bel,2017,505
bel,2018,505
bel,2019,505
ben,2003,825
ben,2004,825
ben,2005,825
ben,2006,825
ben,2007,825
ben,2008,825
ben,2009,825
ben,2010,825
ben,2011,795
ben,2012,795
ben,2013,795
ben,2014,750
ben,2015,750
ben,2016,750
ben,2017,750
ben,2018,750
ben,2019,595
bfa,2003,446
bfa,2004,446
bfa,2005,446
bfa,2006,446
bfa,2007,446
bfa,2008,446
bfa,2009,446
bfa,2010,446
bfa,2011,446
bfa,2012,446
bfa,2013,446
bfa,2014,446
bfa,2015,446
bfa,2016,446
bfa,2017,446
bfa,2018,446
bfa,2019,446
bgd,2013,1442
bgd,2014,1442
bgd,2015,1442
bgd,2016,1442
bgd,2017,1442
bgd,2018,1442
bgd,2019,1442
bgr,2003,564
bgr,2004,564
bgr,2005,564
bgr,2006,564
bgr,2007,564
bgr,2008,564
bgr,2009,564
bgr,2010,564
bgr,2011,564
bgr,2012,564
bgr,2013,564
bgr,2014,564
bgr,2015,564
bgr,2016,564
bgr,2017,564
bgr,2018,564
bgr,2019,564
bhr,2007,635
bhr,2008,635
bhr,2009,635
bhr,2010,635
bhr,2011,635
bhr,2012,635
bhr,2013,635
bhr,2014,635
bhr,2015,635
bhr,2016,635
bhr,2017,635
bhr,2018,635
bhr,2019,635
bhs,2007,440
bhs,2008,440
bhs,2009,440
bhs,2010,440
bhs,2011,440
bhs,2012,545
bhs,2013,545
bhs,2014,545
bhs,2015,545
bhs,2016,545
bhs,2017,545
bhs,2018,545
bhs,2019,545
bih,2003,895
bih,2004,595
bih,2005,595
bih,2006,595
bih,2007,595
bih,2008,595
bih,2009,595
bih,2010,595
bih,2011,595
bih,2012,595
bih,2013,595
bih,2014,595
bih,2015,595
bih,2016,595
bih,2017,595
bih,2018,595
bih,2019,595
blr,2003,250
blr,2004,250
blr,2005,225
blr,2006,225
blr,2007,225
blr,2008,225
blr,2009,225
blr,2010,225
blr,2011,275
blr,2012,275
blr,2013,275
blr,2014,275
blr,2015,275
blr,2016,275
blr,2017,275
blr,2018,275
blr,2019,275
blz,2005,990
blz,2006,892
blz,2007,892
blz,2008,892
blz,2009,892
blz,2010,892
blz,2011,892
blz,2012,892
blz,2013,892
blz,2014,892
blz,2015,892
blz,2016,892
blz,2017,892
blz,2018,892
blz,2019,892
bol,2003,591
bol,2004,591
bol,2005,591
bol,2006,591
bol,2007,591
bol,2008,591
bol,2009,591
bol,2010,591
bol,2011,591
bol,2012,591
bol,2013,591
bol,2014,591
bol,2015,591
bol,2016,591
bol,2017,591
bol,2018,591
bol,2019,591
bra,2013,801.2
bra,2014,801.2
bra,2015,801.2
bra,2016,801.2
bra,2017,801.2
bra,2018,801.2
bra,2019,801.2
brb,2011,1340
brb,2012,1340
brb,2013,1340
brb,2014,1340
brb,2015,1340
brb,2016,1340
brb,2017,1340
brb,2018,1340
brb,2019,1340
brn,2006,540
brn,2007,540
brn,2008,540
brn,2009,540
brn,2010,540
brn,2011,540
brn,2012,540
brn,2013,540
brn,2014,540
brn,2015,540
brn,2016,540
brn,2017,540
brn,2018,540
brn,2019,540
btn,2003,275
btn,2004,275
btn,2005,275
btn,2006,275
btn,2007,275
btn,2008,225
btn,2009,225
btn,2010,225
btn,2011,225
btn,2012,225
btn,2013,225
btn,2014,225
btn,2015,225
btn,2016,225
btn,2017,225
btn,2018,225
btn,2019,225
bwa,2003,1022
bwa,2004,1022
bwa,2005,1022
bwa,2006,1022
bwa,2007,1022
bwa,2008,1022
bwa,2009,722
bwa,2010,660
bwa,2011,660
bwa,2012,660
bwa,2013,660
bwa,2014,660
bwa,2015,660
bwa,2016,660
bwa,2017,660
bwa,2018,660
bwa,2019,660
