geo,time,ic_tax_durs
afg,2005,275
afg,2006,275
afg,2007,275
afg,2008,275
afg,2009,275
afg,2010,275
afg,2011,275
afg,2012,275
afg,2013,275
afg,2014,275
afg,2015,275
afg,2016,275
afg,2017,275
afg,2018,270
afg,2019,270
ago,2005,284
ago,2006,284
ago,2007,284
ago,2008,284
ago,2009,284
ago,2010,294
ago,2011,294
ago,2012,294
ago,2013,294
ago,2014,294
ago,2015,294
ago,2016,287
ago,2017,287
ago,2018,287
ago,2019,287
alb,2005,364
alb,2006,364
alb,2007,364
alb,2008,368
alb,2009,368
alb,2010,360
alb,2011,371
alb,2012,357
alb,2013,357
alb,2014,357
alb,2015,357
alb,2016,255
alb,2017,255
alb,2018,252
alb,2019,252
are,2005,12
are,2006,12
are,2007,12
are,2008,12
are,2009,12
are,2010,12
are,2011,12
are,2012,12
are,2013,12
are,2014,12
are,2015,12
are,2016,12
are,2017,12
are,2018,12
are,2019,158
arg,2005,453
arg,2006,453
arg,2007,453
arg,2008,453
arg,2009,453
arg,2010,453
arg,2011,415
arg,2012,405
arg,2013,405
arg,2014,405
arg,2015,405
arg,2016,359
arg,2017,311.5
arg,2018,311.5
arg,2019,311.5
arm,2005,572
arm,2006,572
arm,2007,578
arm,2008,578
arm,2009,578
arm,2010,578
arm,2011,498
arm,2012,372
arm,2013,372
arm,2014,313
arm,2015,313
arm,2016,313
arm,2017,313
arm,2018,264
arm,2019,264
atg,2005,184
atg,2006,184
atg,2007,184
atg,2008,207
atg,2009,207
atg,2010,207
atg,2011,207
atg,2012,207
atg,2013,207
atg,2014,207
atg,2015,207
atg,2016,207
atg,2017,192
atg,2018,177
atg,2019,177
aus,2005,107
aus,2006,107
aus,2007,107
aus,2008,107
aus,2009,107
aus,2010,109
aus,2011,109
aus,2012,109
aus,2013,105
aus,2014,105
aus,2015,105
aus,2016,105
aus,2017,105
aus,2018,105
aus,2019,105
aut,2005,170
aut,2006,170
aut,2007,170
aut,2008,170
aut,2009,170
aut,2010,170
aut,2011,170
aut,2012,170
aut,2013,166
aut,2014,131
aut,2015,131
aut,2016,131
aut,2017,131
aut,2018,131
aut,2019,131
aze,2005,756
aze,2006,1000
aze,2007,952
aze,2008,376
aze,2009,376
aze,2010,165
aze,2011,225
aze,2012,214
aze,2013,214
aze,2014,195
aze,2015,195
aze,2016,195
aze,2017,195
aze,2018,159
aze,2019,159
bdi,2005,140
bdi,2006,140
bdi,2007,140
bdi,2008,140
bdi,2009,140
bdi,2010,211
bdi,2011,274
bdi,2012,274
bdi,2013,274
bdi,2014,274
bdi,2015,274
bdi,2016,232
bdi,2017,232
bdi,2018,232
bdi,2019,232
bel,2005,156
bel,2006,156
bel,2007,156
bel,2008,156
bel,2009,156
bel,2010,131
bel,2011,131
bel,2012,131
bel,2013,135
bel,2014,135
bel,2015,136
bel,2016,136
bel,2017,136
bel,2018,136
bel,2019,136
ben,2005,270
ben,2006,270
ben,2007,270
ben,2008,270
ben,2009,270
ben,2010,270
ben,2011,270
ben,2012,270
ben,2013,270
ben,2014,270
ben,2015,270
ben,2016,270
ben,2017,270
ben,2018,270
ben,2019,270
bfa,2005,270
bfa,2006,270
bfa,2007,270
bfa,2008,270
bfa,2009,270
bfa,2010,270
bfa,2011,270
bfa,2012,270
bfa,2013,270
bfa,2014,270
bfa,2015,270
bfa,2016,270
bfa,2017,270
bfa,2018,270
bfa,2019,270
bgd,2013,422
bgd,2014,422
bgd,2015,422
bgd,2016,435
bgd,2017,435
bgd,2018,435
bgd,2019,435
bgr,2005,598
bgr,2006,598
bgr,2007,598
bgr,2008,598
bgr,2009,598
bgr,2010,598
bgr,2011,482
bgr,2012,436
bgr,2013,436
bgr,2014,436
bgr,2015,453
bgr,2016,453
bgr,2017,453
bgr,2018,453
bgr,2019,441
bhr,2007,27
bhr,2008,27
bhr,2009,27
bhr,2010,27
bhr,2011,27
bhr,2012,27
bhr,2013,27
bhr,2014,27
bhr,2015,27
bhr,2016,27
bhr,2017,28.5
bhr,2018,28.5
bhr,2019,22.5
bhs,2007,58
bhs,2008,58
bhs,2009,58
bhs,2010,58
bhs,2011,58
bhs,2012,58
bhs,2013,58
bhs,2014,58
bhs,2015,58
bhs,2016,233
bhs,2017,233
bhs,2018,197
bhs,2019,155
bih,2005,368
bih,2006,368
bih,2007,368
bih,2008,428
bih,2009,422
bih,2010,422
bih,2011,422
bih,2012,407
bih,2013,407
bih,2014,407
bih,2015,420
bih,2016,411
bih,2017,411
bih,2018,411
bih,2019,411
blr,2005,986.5
blr,2006,986.5
blr,2007,986.5
blr,2008,986.5
blr,2009,900
blr,2010,798
blr,2011,654
blr,2012,338
blr,2013,319
blr,2014,183
blr,2015,176
blr,2016,176
blr,2017,184
blr,2018,184
blr,2019,170
blz,2005,147
blz,2006,147
blz,2007,147
blz,2008,147
blz,2009,147
blz,2010,147
blz,2011,147
blz,2012,147
blz,2013,147
blz,2014,147
blz,2015,147
blz,2016,147
blz,2017,147
blz,2018,147
blz,2019,147
bol,2005,1080
bol,2006,1080
bol,2007,1080
bol,2008,1080
bol,2009,1080
bol,2010,1080
bol,2011,1080
bol,2012,1025
bol,2013,1025
bol,2014,1025
bol,2015,1025
bol,2016,1025
bol,2017,1025
bol,2018,1025
bol,2019,1025
bra,2013,2600
bra,2014,2600
bra,2015,2600
bra,2016,2038
bra,2017,1958
bra,2018,1958
bra,2019,1501
brb,2011,245
brb,2012,237
brb,2013,237
brb,2014,237
brb,2015,237
brb,2016,237
brb,2017,245
brb,2018,245
brb,2019,241
brn,2006,144
brn,2007,144
brn,2008,144
brn,2009,144
brn,2010,144
brn,2011,96
brn,2012,96
brn,2013,96
brn,2014,93
brn,2015,89
brn,2016,66.5
brn,2017,64.2
brn,2018,52.5
brn,2019,52.5
btn,2005,95
btn,2006,95
btn,2007,95
btn,2008,95
btn,2009,95
btn,2010,95
btn,2011,95
btn,2012,95
btn,2013,95
btn,2014,95
btn,2015,95
btn,2016,95
btn,2017,95
btn,2018,52
btn,2019,52
bwa,2005,140
bwa,2006,140
bwa,2007,140
bwa,2008,140
bwa,2009,140
bwa,2010,152
bwa,2011,152
bwa,2012,152
bwa,2013,152
bwa,2014,152
bwa,2015,152
bwa,2016,152
bwa,2017,120
bwa,2018,120
bwa,2019,120
caf,2005,504
caf,2006,504
caf,2007,504
caf,2008,504
caf,2009,504
caf,2010,504
caf,2011,504
caf,2012,483
caf,2013,483
caf,2014,483
caf,2015,483
caf,2016,483
caf,2017,483
caf,2018,483
caf,2019,483
can,2005,119
can,2006,119
can,2007,119
can,2008,119
can,2009,119
can,2010,131
can,2011,131
can,2012,131
can,2013,131
can,2014,131
can,2015,131
can,2016,131
can,2017,131
can,2018,131
can,2019,131
che,2005,63
che,2006,63
che,2007,63
che,2008,63
che,2009,63
che,2010,63
che,2011,63
che,2012,63
che,2013,63
che,2014,63
che,2015,63
che,2016,63
che,2017,63
che,2018,63
che,2019,63
chl,2005,316
chl,2006,316
chl,2007,316
chl,2008,316
chl,2009,316
chl,2010,316
chl,2011,316
chl,2012,291
chl,2013,291
chl,2014,291
chl,2015,291
chl,2016,291
chl,2017,291
chl,2018,296
chl,2019,296
chn,2013,318
chn,2014,261
chn,2015,261
chn,2016,258.95
chn,2017,248.3
chn,2018,142
chn,2019,138
civ,2005,272
civ,2006,272
civ,2007,272
civ,2008,272
civ,2009,272
civ,2010,272
civ,2011,272
civ,2012,272
civ,2013,272
civ,2014,272
civ,2015,272
civ,2016,270
civ,2017,270
civ,2018,205
civ,2019,187
cmr,2005,654
cmr,2006,654
cmr,2007,654
cmr,2008,654
cmr,2009,654
cmr,2010,672
cmr,2011,672
cmr,2012,672
cmr,2013,648
cmr,2014,648
cmr,2015,648
cmr,2016,648
cmr,2017,624
cmr,2018,624
cmr,2019,624
cod,2005,308
cod,2006,308
cod,2007,308
cod,2008,308
cod,2009,308
cod,2010,336
cod,2011,336
cod,2012,336
cod,2013,348
cod,2014,340
cod,2015,346
cod,2016,346
cod,2017,346
cod,2018,346
cod,2019,346
cog,2005,606
cog,2006,606
cog,2007,606
cog,2008,606
cog,2009,606
cog,2010,606
cog,2011,606
cog,2012,606
cog,2013,602
cog,2014,602
cog,2015,602
cog,2016,602
cog,2017,602
cog,2018,602
cog,2019,602
col,2005,456
col,2006,456
col,2007,268
col,2008,256
col,2009,208
col,2010,208
col,2011,193
col,2012,203
col,2013,203
col,2014,239
col,2015,239
col,2016,239
col,2017,239
col,2018,255.5
col,2019,255.5
com,2005,100
com,2006,100
com,2007,100
com,2008,100
com,2009,100
com,2010,100
com,2011,100
com,2012,100
com,2013,100
com,2014,100
com,2015,100
com,2016,100
com,2017,100
com,2018,100
com,2019,100
cpv,2005,186
cpv,2006,186
cpv,2007,186
cpv,2008,186
cpv,2009,186
cpv,2010,186
cpv,2011,186
cpv,2012,186
cpv,2013,186
cpv,2014,186
cpv,2015,180
cpv,2016,180
cpv,2017,180
cpv,2018,180
cpv,2019,180
cri,2005,402
cri,2006,402
cri,2007,402
cri,2008,282
cri,2009,282
cri,2010,272
cri,2011,246
cri,2012,226
cri,2013,226
cri,2014,163
cri,2015,151
cri,2016,151
cri,2017,151
cri,2018,151
cri,2019,151
cyp,2008,149
cyp,2009,149
cyp,2010,149
cyp,2011,149
cyp,2012,146.5
cyp,2013,146.5
cyp,2014,146.5
cyp,2015,145.5
cyp,2016,127
cyp,2017,127
cyp,2018,122.5
cyp,2019,119.5
cze,2005,866
cze,2006,759
cze,2007,759
cze,2008,759
cze,2009,442
cze,2010,386
cze,2011,386
cze,2012,230
cze,2013,230
cze,2014,230
cze,2015,222
cze,2016,222
cze,2017,236
cze,2018,230
cze,2019,230
deu,2005,196
deu,2006,196
deu,2007,196
deu,2008,196
deu,2009,196
deu,2010,215
deu,2011,221
deu,2012,207
deu,2013,218
deu,2014,218
deu,2015,218
deu,2016,218
deu,2017,218
deu,2018,218
deu,2019,218
dji,2005,66
dji,2006,66
dji,2007,66
dji,2008,66
dji,2009,66
dji,2010,90
dji,2011,82
dji,2012,76
dji,2013,76
dji,2014,76
dji,2015,76
dji,2016,76
dji,2017,76
dji,2018,76
dji,2019,76
dma,2005,147
dma,2006,147
dma,2007,147
dma,2008,117
dma,2009,117
dma,2010,117
dma,2011,117
dma,2012,117
dma,2013,117
dma,2014,117
dma,2015,117
dma,2016,117
dma,2017,117
dma,2018,117
dma,2019,117
dnk,2005,135
dnk,2006,135
dnk,2007,135
dnk,2008,135
dnk,2009,135
dnk,2010,135
dnk,2011,135
dnk,2012,130
dnk,2013,132
dnk,2014,132
dnk,2015,132
dnk,2016,132
dnk,2017,132
dnk,2018,132
dnk,2019,132
dom,2005,232
dom,2006,286
dom,2007,286
dom,2008,480
dom,2009,324
dom,2010,324
dom,2011,324
dom,2012,324
dom,2013,324
dom,2014,316
dom,2015,316
dom,2016,317
dom,2017,317
dom,2018,317
dom,2019,317
dza,2005,451
dza,2006,451
dza,2007,451
dza,2008,451
dza,2009,451
dza,2010,451
dza,2011,451
dza,2012,451
dza,2013,451
dza,2014,385
dza,2015,385
dza,2016,265
dza,2017,265
dza,2018,265
dza,2019,265
ecu,2005,600
ecu,2006,600
ecu,2007,600
ecu,2008,600
ecu,2009,600
ecu,2010,654
ecu,2011,654
ecu,2012,654
ecu,2013,654
ecu,2014,654
ecu,2015,654
ecu,2016,664
ecu,2017,666
ecu,2018,664
ecu,2019,664
egy,2005,504
egy,2006,595.5
egy,2007,711
egy,2008,711
egy,2009,480
egy,2010,433
egy,2011,433
egy,2012,392
egy,2013,392
egy,2014,392
egy,2015,392
egy,2016,392
egy,2017,392
egy,2018,392
egy,2019,370
eri,2005,216
eri,2006,216
eri,2007,216
eri,2008,216
eri,2009,216
eri,2010,216
eri,2011,216
eri,2012,216
eri,2013,216
eri,2014,216
eri,2015,216
eri,2016,216
eri,2017,216
eri,2018,216
eri,2019,216
esp,2005,298
esp,2006,298
esp,2007,298
esp,2008,234
esp,2009,213
esp,2010,197
esp,2011,187
esp,2012,167
esp,2013,167
esp,2014,167
esp,2015,158
esp,2016,152
esp,2017,152
esp,2018,147.5
esp,2019,143
est,2005,81
est,2006,81
est,2007,81
est,2008,81
est,2009,81
est,2010,81
est,2011,81
est,2012,81
est,2013,81
est,2014,81
est,2015,81
est,2016,56
est,2017,50
est,2018,50
