geo,time,ic_tax_labr_cp_zs
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,0
afg,2009,0
afg,2010,0
afg,2011,0
afg,2012,0
afg,2013,0
afg,2014,0
afg,2015,0
afg,2016,0
afg,2017,0
afg,2018,0
afg,2019,0
ago,2005,9
ago,2006,9
ago,2007,9
ago,2008,9
ago,2009,9
ago,2010,9
ago,2011,9
ago,2012,9
ago,2013,9
ago,2014,9
ago,2015,9
ago,2016,9
ago,2017,9
ago,2018,9
ago,2019,9
alb,2005,34.6
alb,2006,34.6
alb,2007,24.5
alb,2008,28.6
alb,2009,31.9
alb,2010,27.3
alb,2011,25
alb,2012,25.3
alb,2013,18.8
alb,2014,18.8
alb,2015,18.8
alb,2016,18.8
alb,2017,18.8
alb,2018,18.8
alb,2019,18.8
are,2005,14.1
are,2006,14.1
are,2007,14.1
are,2008,14.1
are,2009,14.1
are,2010,14.1
are,2011,14.1
are,2012,14.1
are,2013,14.1
are,2014,14.1
are,2015,14.1
are,2016,14.1
are,2017,14.1
are,2018,14.1
are,2019,14.1
arg,2005,29.4
arg,2006,29.4
arg,2007,29.4
arg,2008,29.4
arg,2009,29.4
arg,2010,29.4
arg,2011,29.4
arg,2012,29.4
arg,2013,29.3
arg,2014,29.3
arg,2015,29.3
arg,2016,29.3
arg,2017,29.3
arg,2018,29.3
arg,2019,29.9
arm,2005,19.9
arm,2006,19.9
arm,2007,23
arm,2008,23
arm,2009,23
arm,2010,23
arm,2011,23
arm,2012,23
arm,2013,19.4
arm,2014,0
arm,2015,0
arm,2016,0
arm,2017,0
arm,2018,0
arm,2019,0
atg,2005,9.5
atg,2006,9.5
atg,2007,9.5
atg,2008,9.5
atg,2009,9.5
atg,2010,9.5
atg,2011,9.5
atg,2012,9.5
atg,2013,9.4
atg,2014,10.3
atg,2015,10.7
atg,2016,10.7
atg,2017,10.7
atg,2018,11.8
atg,2019,12.1
aus,2005,23.7
aus,2006,23.7
aus,2007,22.2
aus,2008,21.9
aus,2009,21.1
aus,2010,20.9
aus,2011,20.5
aus,2012,20.4
aus,2013,20.8
aus,2014,20.9
aus,2015,21.1
aus,2016,21.1
aus,2017,21.1
aus,2018,21.1
aus,2019,21
aut,2005,35.3
aut,2006,34.5
aut,2007,34.5
aut,2008,34.5
aut,2009,34.6
aut,2010,34.6
aut,2011,34.8
aut,2012,34.7
aut,2013,34.1
aut,2014,34.3
aut,2015,34.3
aut,2016,34.2
aut,2017,34.2
aut,2018,33.8
aut,2019,33.7
aze,2005,30.5
aze,2006,24.8
aze,2007,24.8
aze,2008,24.8
aze,2009,24.8
aze,2010,24.8
aze,2011,24.8
aze,2012,24.8
aze,2013,24.8
aze,2014,24.8
aze,2015,24.8
aze,2016,24.8
aze,2017,24.8
aze,2018,24.8
aze,2019,25.4
bdi,2005,7.8
bdi,2006,7.8
bdi,2007,7.8
bdi,2008,7.8
bdi,2009,7.8
bdi,2010,7.8
bdi,2011,10.2
bdi,2012,10.2
bdi,2013,10.2
bdi,2014,10.2
bdi,2015,10.2
bdi,2016,10.2
bdi,2017,10.2
bdi,2018,10.2
bdi,2019,10.2
bel,2005,49.5
bel,2006,49.4
bel,2007,49.3
