geo,time,ic_tax_othr_cp_zs
afg,2005,35.8
afg,2006,35.8
afg,2007,35.8
afg,2008,35.8
afg,2009,35.8
afg,2010,35.8
afg,2011,35.8
afg,2012,35.8
afg,2013,35.6
afg,2014,36.1
afg,2015,36.1
afg,2016,47.9
afg,2017,71.4
afg,2018,71.4
afg,2019,71.4
ago,2005,18
ago,2006,18
ago,2007,18
ago,2008,18
ago,2009,18
ago,2010,18
ago,2011,18
ago,2012,18
ago,2013,18.3
ago,2014,18.3
ago,2015,18.3
ago,2016,18.6
ago,2017,18.6
ago,2018,18.6
ago,2019,18.6
alb,2005,3.9
alb,2006,3.8
alb,2007,4.1
alb,2008,4.5
alb,2009,4
alb,2010,4.8
alb,2011,4.8
alb,2012,4.8
alb,2013,3.5
alb,2014,3.3
alb,2015,4
alb,2016,4
alb,2017,4.4
alb,2018,4.4
alb,2019,3.6
are,2005,0.3
are,2006,0.3
are,2007,0.3
are,2008,0.3
are,2009,0
are,2010,0
are,2011,0
are,2012,0.8
are,2013,0.7
are,2014,0.7
are,2015,1.8
are,2016,1.8
are,2017,1.8
are,2018,1.8
are,2019,1.8
arg,2005,74.7
arg,2006,74.7
arg,2007,74.7
arg,2008,74.7
arg,2009,74.7
arg,2010,74.8
arg,2011,74.9
arg,2012,75.1
arg,2013,90
arg,2014,108
arg,2015,108.2
arg,2016,72.8
arg,2017,72.8
arg,2018,72.8
arg,2019,72.8
arm,2005,0.9
arm,2006,0.9
arm,2007,0.9
arm,2008,0.9
arm,2009,0.9
arm,2010,0.9
arm,2011,0.9
arm,2012,0.9
arm,2013,0.8
arm,2014,0.8
arm,2015,0.8
arm,2016,0.8
arm,2017,0.8
arm,2018,0.8
arm,2019,0.8
atg,2005,5.3
atg,2006,5.3
atg,2007,5.3
atg,2008,5.3
atg,2009,5.3
atg,2010,5.3
atg,2011,5.3
atg,2012,5.3
atg,2013,5.3
atg,2014,5.3
atg,2015,5.3
atg,2016,5.3
atg,2017,5.3
atg,2018,5.3
atg,2019,5.3
aus,2005,2.1
aus,2006,0.7
aus,2007,0.8
aus,2008,0.7
aus,2009,0.7
aus,2010,0.7
aus,2011,0.7
aus,2012,0.7
aus,2013,0.4
aus,2014,0.4
aus,2015,0.4
aus,2016,0.4
aus,2017,0.4
aus,2018,0.3
aus,2019,0.3
aut,2005,0.6
aut,2006,0.6
aut,2007,0.6
aut,2008,0.6
aut,2009,0.6
aut,2010,0.6
aut,2011,0.6
aut,2012,0.6
aut,2013,0.6
aut,2014,0.6
aut,2015,0.6
aut,2016,0.6
aut,2017,0.6
aut,2018,0.6
aut,2019,0.6
aze,2005,2.2
aze,2006,2.5
aze,2007,2.2
aze,2008,2.2
aze,2009,2.2
aze,2010,0.3
aze,2011,2.2
aze,2012,2.2
aze,2013,2
aze,2014,2.1
aze,2015,2.1
aze,2016,2
aze,2017,2
aze,2018,2.6
aze,2019,2.6
bdi,2005,253.7
bdi,2006,253.7
bdi,2007,253.7
bdi,2008,253.7
bdi,2009,253.7
bdi,2010,128.4
bdi,2011,3.2
bdi,2012,3.2
bdi,2013,1.3
bdi,2014,1.3
bdi,2015,1.3
bdi,2016,1
bdi,2017,3
bdi,2018,2.5
bdi,2019,2.5
bel,2005,0.7
bel,2006,0.7
bel,2007,0.7
bel,2008,0.7
bel,2009,0.7
bel,2010,0.7
bel,2011,0.7
bel,2012,0.7
bel,2013,0.6
bel,2014,0.6
bel,2015,0.6
bel,2016,0.6
bel,2017,0.6
bel,2018,0.6
bel,2019,0.6
ben,2005,13.4
ben,2006,13.4
ben,2007,13.4
ben,2008,13.4
ben,2009,13.4
ben,2010,13.4
ben,2011,13.4
ben,2012,13.4
ben,2013,10.6
ben,2014,10.6
ben,2015,10.6
ben,2016,10.6
ben,2017,10.6
ben,2018,10.6
ben,2019,10.6
bfa,2005,5.7
bfa,2006,5.7
bfa,2007,5.7
bfa,2008,6.7
bfa,2009,5.7
bfa,2010,6.1
bfa,2011,6.1
bfa,2012,6.1
bfa,2013,3.6
bfa,2014,3.6
bfa,2015,3.6
bfa,2016,3.6
bfa,2017,3.6
bfa,2018,3.6
bfa,2019,3.6
bgd,2013,3.9
bgd,2014,3.9
bgd,2015,3.9
bgd,2016,3.9
bgd,2017,2.3
bgd,2018,2.3
bgd,2019,2.3
bgr,2005,2.3
bgr,2006,2.4
bgr,2007,2.4
bgr,2008,2.8
bgr,2009,2.9
bgr,2010,2.9
bgr,2011,3
bgr,2012,2.6
bgr,2013,1.8
bgr,2014,1.8
bgr,2015,1.8
bgr,2016,1.8
bgr,2017,1.9
bgr,2018,2
bgr,2019,2
bhr,2007,0
bhr,2008,0
bhr,2009,0
bhr,2010,0
bhr,2011,0
bhr,2012,0
bhr,2013,0
bhr,2014,0
bhr,2015,0
bhr,2016,0
bhr,2017,0.3
bhr,2018,0.3
bhr,2019,0.3
bhs,2007,38.5
bhs,2008,38.5
bhs,2009,38.5
bhs,2010,38.5
bhs,2011,38.5
bhs,2012,38.5
bhs,2013,42.3
bhs,2014,34.8
bhs,2015,27.4
bhs,2016,27.4
bhs,2017,25.2
bhs,2018,25.2
bhs,2019,27.4
bih,2005,3.5
bih,2006,3.5
bih,2007,3.5
bih,2008,3.5
bih,2009,3.1
bih,2010,4
bih,2011,3.9
bih,2012,3.9
bih,2013,1.4
bih,2014,2.6
bih,2015,2.6
bih,2016,1.8
bih,2017,1.7
bih,2018,1.7
bih,2019,1.7
blr,2005,71.7
blr,2006,71.7
blr,2007,55.8
blr,2008,55.8
blr,2009,38.2
blr,2010,19.6
blr,2011,2.2
blr,2012,2.4
blr,2013,1.8
blr,2014,1.8
blr,2015,1.9
blr,2016,2.8
blr,2017,3.1
blr,2018,3.1
blr,2019,3.2
blz,2005,3
blz,2006,3
blz,2007,3
blz,2008,1.4
blz,2009,1.4
blz,2010,1.4
blz,2011,1.4
blz,2012,1.4
blz,2013,1.3
blz,2014,1.3
blz,2015,1.3
blz,2016,1.3
blz,2017,1.3
blz,2018,1.3
blz,2019,1.3
bol,2005,64.6
bol,2006,64.6
bol,2007,64.6
bol,2008,64.6
bol,2009,64.6
bol,2010,64.6
bol,2011,64.6
bol,2012,64.6
bol,2013,64.8
bol,2014,64.8
bol,2015,64.8
bol,2016,64.8
bol,2017,64.8
bol,2018,64.9
bol,2019,64.9
bra,2013,4
bra,2014,4
bra,2015,3.3
bra,2016,3.3
bra,2017,3.3
bra,2018,3.3
bra,2019,3.3
brb,2011,3
brb,2012,3
brb,2013,2.9
brb,2014,2.9
brb,2015,3
brb,2016,3
brb,2017,3.1
brb,2018,3.1
brb,2019,3.1
brn,2006,0
brn,2007,0
brn,2008,0
brn,2009,0
brn,2010,0
brn,2011,0
brn,2012,0
brn,2013,0
brn,2014,0
brn,2015,0
brn,2016,0
brn,2017,0
brn,2018,0
brn,2019,0
btn,2005,4.3
btn,2006,4.3
btn,2007,4.3
btn,2008,4.3
