geo,time,ic_wrh_durs
afg,2005,358
afg,2006,358
afg,2007,358
afg,2008,358
afg,2009,358
afg,2010,358
afg,2011,358
afg,2012,358
afg,2013,354
afg,2014,199
afg,2015,199
afg,2016,199
afg,2017,199
afg,2018,199
afg,2019,199
ago,2005,373
ago,2006,293
ago,2007,293
ago,2008,283
ago,2009,275
ago,2010,214
ago,2011,214
ago,2012,214
ago,2013,214
ago,2014,214
ago,2015,214
ago,2016,214
ago,2017,184
ago,2018,184
ago,2019,184
alb,2005,390
alb,2006,390
alb,2007,389
alb,2008,389
alb,2009,389
alb,2010,389
alb,2014,297
alb,2016,324
alb,2017,324
alb,2018,324
alb,2019,324
are,2005,83
are,2006,83
are,2007,83
are,2008,83
are,2009,48.5
are,2010,48.5
are,2011,47.5
are,2012,46.5
are,2013,46.5
are,2014,46.5
are,2015,46.5
are,2016,52
are,2017,50.5
are,2018,50.5
are,2019,47.5
arg,2005,365
arg,2006,365
arg,2007,365
arg,2008,365
arg,2009,365
arg,2010,365
arg,2011,365
arg,2012,365
arg,2013,365
arg,2014,366.5
arg,2015,366
arg,2016,365
arg,2017,365
arg,2018,365
arg,2019,318
arm,2005,214
arm,2006,179
arm,2007,179
arm,2008,177
arm,2009,165
arm,2010,165
arm,2011,100
arm,2012,100
arm,2013,100
arm,2014,100
arm,2015,100
arm,2016,99
arm,2017,99
arm,2018,99
arm,2019,99
atg,2005,150
atg,2006,138
atg,2007,138
atg,2008,138
atg,2009,138
atg,2010,138
atg,2011,138
atg,2012,138
atg,2013,144
atg,2014,144
atg,2015,144
atg,2016,144
atg,2017,144
atg,2018,144
atg,2019,144
aus,2005,142
aus,2006,142
aus,2007,142
aus,2008,142
aus,2009,112
aus,2010,112
aus,2011,112
aus,2012,112
aus,2013,112
aus,2014,112
aus,2015,112
aus,2016,121
aus,2017,121
aus,2018,121
aus,2019,120.5
aut,2005,222
aut,2006,222
aut,2007,222
aut,2008,222
aut,2009,222
aut,2010,222
aut,2011,222
aut,2012,222
aut,2013,222
aut,2014,222
aut,2015,222
aut,2016,222
aut,2017,222
aut,2018,222
aut,2019,222
aze,2005,204
aze,2006,204
aze,2007,204
aze,2008,204
aze,2009,204
aze,2010,204
aze,2011,205
aze,2012,205
aze,2013,213
aze,2014,163
aze,2015,208
aze,2016,196
aze,2017,196
aze,2018,116
aze,2019,116
bdi,2005,136
bdi,2006,136
bdi,2007,136
bdi,2008,136
bdi,2009,136
bdi,2010,136
bdi,2011,136
bdi,2012,99
bdi,2013,99
bdi,2014,99
bdi,2015,99
bdi,2016,99
bdi,2017,70
bdi,2018,70
bdi,2019,70
bel,2005,212
bel,2006,212
bel,2007,212
bel,2008,212
bel,2009,212
bel,2010,212
bel,2011,212
bel,2012,212
bel,2013,212
bel,2014,212
bel,2015,212
bel,2016,212
bel,2017,212
bel,2018,212
bel,2019,212
ben,2005,238
ben,2006,238
ben,2007,238
ben,2008,317
ben,2009,317
ben,2010,227
ben,2011,227
ben,2012,137
ben,2013,120
ben,2014,111
ben,2015,88
ben,2016,88
ben,2017,88
ben,2018,88
ben,2019,88
bfa,2005,206
bfa,2006,206
bfa,2007,206
bfa,2008,191
bfa,2009,131
bfa,2010,121
bfa,2011,121
bfa,2012,121
bfa,2013,121
bfa,2014,121
bfa,2015,121
bfa,2016,121
bfa,2017,121
bfa,2018,121
bfa,2019,121
bgd,2013,272.74
bgd,2014,272.74
bgd,2015,272.74
bgd,2016,272.74
bgd,2017,273.52
bgd,2018,273.52
bgd,2019,273.52
bgr,2005,117
bgr,2006,117
bgr,2007,121
bgr,2008,108
bgr,2009,108
bgr,2010,108
bgr,2011,108
bgr,2012,97
bgr,2013,97
bgr,2014,97
bgr,2015,97
bgr,2016,97
bgr,2017,97
bgr,2018,97
bgr,2019,97
bhr,2007,165
bhr,2008,165
bhr,2009,174
bhr,2010,174
bhr,2011,174
bhr,2012,174
bhr,2013,174
bhr,2014,174
bhr,2015,174
bhr,2016,174
bhr,2017,174
bhr,2018,174
bhr,2019,71
bhs,2007,180
bhs,2008,180
bhs,2009,180
bhs,2010,180
bhs,2011,180
bhs,2012,180
bhs,2013,180
bhs,2014,180
bhs,2015,180
bhs,2016,180
bhs,2017,180
bhs,2018,180
bhs,2019,180
bih,2005,515
bih,2006,500
bih,2007,500
bih,2008,330
bih,2009,269
bih,2010,269
bih,2011,195
bih,2012,195
bih,2013,195
bih,2014,180
bih,2015,180
bih,2016,180
bih,2017,180
bih,2018,180
bih,2019,180
blr,2005,347
blr,2006,347
blr,2007,370
blr,2008,249
blr,2009,180
blr,2010,170
blr,2011,170
blr,2012,173
blr,2013,166
blr,2014,159
blr,2015,159
blr,2016,159
blr,2017,159
blr,2018,160
blr,2019,158
blz,2005,142
blz,2006,142
blz,2007,142
blz,2008,142
blz,2009,142
blz,2010,142
blz,2011,142
blz,2012,142
blz,2013,142
blz,2014,142
blz,2015,142
blz,2016,142
blz,2017,142
blz,2018,142
blz,2019,142
bol,2005,176
bol,2006,176
bol,2007,234
bol,2008,234
bol,2009,234
bol,2010,234
bol,2011,234
bol,2012,228
bol,2013,235
bol,2014,235
bol,2015,235
bol,2016,235
bol,2017,235
bol,2018,235
bol,2019,235
bra,2013,338.37
bra,2014,338.37
bra,2015,338.37
bra,2016,338.37
bra,2017,338.37
bra,2018,338.37
bra,2019,338.37
brb,2011,377
brb,2012,377
brb,2013,377
brb,2014,377
brb,2015,377
brb,2016,377
brb,2017,377
brb,2018,377
brb,2019,377
brn,2006,127
brn,2007,127
brn,2008,111
brn,2009,111
brn,2010,111
brn,2011,111
brn,2012,111
brn,2013,111
brn,2014,111
brn,2015,111
brn,2016,85
brn,2017,83
brn,2018,83
brn,2019,83
btn,2005,151
btn,2006,151
btn,2007,151
btn,2008,151
btn,2009,151
btn,2010,151
btn,2011,151
btn,2012,151
btn,2013,151
btn,2014,151
btn,2015,151
btn,2016,150
btn,2017,150
btn,2018,150
btn,2019,150
bwa,2005,199
bwa,2006,199
bwa,2007,199
bwa,2008,199
bwa,2009,199
bwa,2010,199
bwa,2011,199
bwa,2012,199
bwa,2013,108
bwa,2014,108
bwa,2015,108
bwa,2016,106
bwa,2017,106
bwa,2018,102
bwa,2019,102
caf,2005,219
caf,2006,219
caf,2007,219
caf,2008,219
caf,2009,219
caf,2010,219
caf,2011,219
caf,2012,219
caf,2013,219
caf,2014,219
caf,2015,219
caf,2016,219
caf,2017,219
caf,2018,219
caf,2019,219
can,2005,233
can,2006,223
can,2007,223
can,2008,223
can,2009,223
can,2010,223
can,2011,249
can,2012,249
can,2013,249
can,2014,249
can,2015,249
can,2016,249
can,2017,249
can,2018,249
can,2019,249
che,2005,156
che,2006,156
che,2007,156
che,2008,156
che,2009,156
che,2010,156
che,2011,156
che,2012,156
che,2013,156
che,2014,156
che,2015,156
che,2016,156
che,2017,156
che,2018,156
che,2019,156
chl,2005,252
chl,2006,252
chl,2007,252
