geo,time,ie_ppi_tran_cd
ago,2007,53000000
alb,2005,308000000
alb,2013,51300000
alb,2017,284600000
arg,1989,10900000
arg,1990,2088000000
arg,1991,223500000
arg,1992,814700000
arg,1993,1439600000
arg,1994,940500000
arg,1995,621200000
arg,1996,949800000
arg,1997,1222800000
arg,1998,1911300000
arg,1999,2345000000
arg,2000,129800000
arg,2001,63500000
arg,2002,6900000
arg,2004,3400000
arg,2006,337000000
arg,2007,728700000
arg,2008,331000000
arg,2009,5890000
arg,2011,234500000
arg,2012,16000000
arm,2001,63000000
arm,2007,10000000
arm,2008,705000000
arm,2013,101000000
ben,2009,489000000
bfa,1995,63300000
bfa,2017,471300000
bgd,2017,179580000
bgd,2019,909260000
bgd,2020,861000000
bgr,2005,2120000
bgr,2006,531600000
bgr,2009,4580000
bgr,2013,79000000
blr,2008,3960000
blz,2002,37600000
bol,1996,162100000
bol,1997,6600000
bol,2000,16600000
bra,1987,20000000
bra,1989,993300000
bra,1994,328100000
bra,1995,996400000
bra,1996,4361300000
bra,1997,4048300000
bra,1998,7808700000
bra,1999,53900000
bra,2000,1616400000
bra,2001,932200000
bra,2002,181000000
bra,2003,172900000
bra,2004,433600000
bra,2005,713400000
bra,2006,653600000
bra,2007,3914700000
bra,2008,10556600000
bra,2009,9202700000
bra,2010,3805100000
bra,2011,6425500000
bra,2012,22147300000
bra,2013,10968100000
bra,2014,33749230000
bra,2015,1752800000
bra,2016,896100000
bra,2017,549600000
bra,2018,1041400000
bra,2019,2763010000
bra,2020,282160000
chn,1990,173000000
chn,1991,2378800000
chn,1992,532600000
chn,1993,1172000000
chn,1994,2086100000
chn,1995,309300000
chn,1996,5084420000
chn,1997,3092740000
chn,1998,1670500000
chn,1999,695550000
chn,2000,1558500000
chn,2001,642230000
chn,2002,1787110000
chn,2003,4054650000
chn,2004,782580000
chn,2005,6628900000
chn,2006,8351010000
chn,2007,4494380000
chn,2008,436750000
chn,2009,2512870000
chn,2011,1095370000
chn,2012,1879400000
chn,2013,4475760000
chn,2014,5009410000
chn,2015,2913740000
chn,2016,3469630000
chn,2017,12587440000
chn,2018,25964800000
chn,2019,22515500000
chn,2020,2788890000
civ,1995,63300000
civ,1996,28000000
civ,1999,150000000
civ,2000,140000000
civ,2004,36400000
civ,2012,285000000
civ,2017,471300000
cmr,1994,30800000
