global,time,ip_pat_nres
world,1985,270700
world,1986,272700
world,1987,282500
world,1988,294800
world,1989,309000
world,1990,309800
world,1991,287200
world,1992,307900
world,1993,294100
world,1994,305800
world,1995,345000
world,1996,380800
world,1997,426100
world,1998,458500
world,1999,477200
world,2000,502700
world,2001,560400
world,2002,555000
world,2003,559100
world,2004,601600
world,2005,664400
world,2006,716500
world,2007,749700
world,2008,767800
world,2009,709500
world,2010,760500
world,2011,792900
world,2012,836800
world,2013,855400
world,2014,880700
world,2015,913700
world,2016,909800
world,2017,917900
world,2018,947000
world,2019,994300
world,2020,972300
