global,time,is_air_good_mt_k1
world,1973,15568.70012
world,1974,16955.19991
world,1975,17236.20014
world,1976,19300.30038
world,1977,21322.80009
world,1978,23579.89978
world,1979,25626.69971
world,1980,26825.20036
world,1981,28360.5003
world,1982,29046.29979
world,1983,32407.89991
world,1984,36841.9996
world,1985,37061.70017
world,1986,40331.80009
world,1987,45392.70014
world,1988,50418.59999
world,1989,54428.20029
world,1990,56124.90035
world,1991,56142.30008
world,1992,61025.19974
world,1993,67522.60019
world,1994,77183.30033
world,1995,83098.2004
world,1996,89164.59998
world,1997,102876.10122
world,1998,101788.27431
world,1999,108629.61825
world,2000,118257.211
world,2001,110860.835
world,2002,117506.673
world,2003,124203.199
world,2004,139032.94
world,2005,141483.603
world,2006,148937.604
world,2007,158205.946
world,2008,158487.874
world,2009,175509.34365
world,2010,182025.62708
world,2011,183037.23006
world,2012,175051.34225
world,2013,175829.55781
world,2014,184831.10946
world,2015,187769.41631
world,2016,194898.27509
world,2017,212866.64717
world,2018,221165.70078
world,2019,221495.75919
world,2020,180530.7965
