geo,time,is_air_psgr
abw,2017,223502
abw,2018,274280
afg,1970,84700
afg,1971,97400
afg,1972,104900
afg,1973,96600
afg,1974,96100
afg,1975,99000
afg,1976,101700
afg,1977,111200
afg,1978,100400
afg,1979,93000
afg,1980,76200
afg,1981,129100
afg,1982,181000
afg,1983,200200
afg,1984,220400
afg,1985,225500
afg,1986,184400
afg,1987,217900
afg,1988,201000
afg,1989,220000
afg,1990,241400
afg,1991,212300
afg,1992,212300
afg,1993,197000
afg,1994,238400
afg,1995,250400
afg,1996,255600
afg,1997,89600
afg,1998,52700
afg,1999,140200
afg,2000,149705
afg,2010,1999127
afg,2011,2279341.17953
afg,2012,1737962.12641
afg,2013,2044188
afg,2014,2209428
afg,2015,1929907
afg,2016,1917924
afg,2017,1647425
afg,2018,1125367
afg,2019,1066747.35619
afg,2020,449041.025
ago,1976,155400
ago,1977,282700
ago,1978,308000
ago,1979,546100
ago,1980,635200
ago,1981,801100
ago,1982,890500
ago,1983,952500
ago,1984,689600
ago,1985,894200
ago,1986,727000
ago,1987,746000
ago,1988,750000
ago,1989,509800
ago,1990,451500
ago,1991,456000
ago,1992,440000
ago,1993,333500
ago,1994,519000
ago,1995,552500
ago,1996,585000
ago,1997,555000
ago,1998,552900
ago,1999,293800
ago,2000,235448
ago,2001,193317
ago,2002,189619
ago,2003,198253
ago,2004,222032
ago,2005,239795
ago,2006,262666
ago,2007,277361
ago,2008,283887
ago,2009,274869
ago,2010,1010194
ago,2011,987798
ago,2012,1132424
ago,2013,1321872
ago,2014,1409952
ago,2015,1244491
ago,2016,1482546
ago,2017,1375523
ago,2018,1516628
ago,2019,1436959
ago,2020,356695
alb,1994,9100
alb,1995,13000
alb,1996,29000
alb,1997,55400
alb,1998,21200
alb,1999,91500
alb,2000,136622
alb,2001,146273
alb,2002,137569
alb,2003,158888
alb,2004,179543
alb,2005,195702
alb,2006,213315
alb,2007,238913
alb,2008,243691
alb,2009,231263
alb,2010,768533
alb,2011,829778.92387
alb,2012,814339.73028
alb,2013,865848
alb,2014,151632
alb,2016,26634
alb,2017,204090
alb,2018,303137
alb,2019,307741
alb,2020,124714
are,1974,127500
are,1975,173000
are,1976,240100
are,1977,299800
are,1978,374500
are,1979,456500
are,1980,521500
are,1981,577800
are,1982,569800
are,1983,601800
are,1984,674200
are,1985,717500
are,1986,935200
are,1987,1093000
are,1988,1329500
are,1989,1481700
are,1990,1685900
are,1991,2041800
are,1992,2508800
are,1993,2936300
are,1994,3368700
are,1995,3550500
are,1996,4063500
are,1997,4720400
are,1998,5263700
are,1999,5840300
are,2000,6893085
are,2001,7675845
are,2002,9667005
are,2003,11609840
are,2004,14314326
are,2009,31761631
are,2010,44948143.84941
are,2011,50342891.80287
are,2012,59948766.69765
are,2013,68151865
are,2014,75608196
are,2015,84343562
are,2016,91763598
are,2017,95306195
are,2018,95758342
are,2019,93995208.09
are,2020,26116897
arg,1970,2332000
arg,1971,2218600
arg,1972,2358500
arg,1973,2312700
arg,1974,2943500
arg,1975,3299200
arg,1976,3293600
arg,1977,3884100
arg,1978,3946700
arg,1979,5023500
arg,1980,5588500
arg,1981,4890100
arg,1982,4595900
arg,1983,4399600
arg,1984,5163600
arg,1985,4713200
arg,1986,5034700
arg,1987,5405800
arg,1988,5068800
arg,1989,4748400
arg,1990,5369100
arg,1991,4545900
arg,1992,5251400
arg,1993,5104500
arg,1994,6260700
arg,1995,6641700
arg,1996,7913000
arg,1997,8599800
arg,1998,8446500
arg,1999,9191900
arg,2000,8915627
arg,2001,5808770
