geo,time,is_rrs_good_mt_k6
alb,1995,53
alb,1996,42
alb,1997,23
alb,1998,25
alb,1999,26
alb,2000,28
alb,2001,19
alb,2002,21
alb,2003,32
alb,2004,32
alb,2005,26
alb,2006,36
alb,2007,53
alb,2008,52
alb,2009,46
alb,2010,66
alb,2011,50
alb,2012,25
alb,2013,23
alb,2014,39.887
alb,2015,23.124
alb,2016,8.8
alb,2017,25.3
alb,2018,20.4
alb,2019,42.94
arg,1995,7613
arg,1996,8506
arg,1997,9835
arg,1998,9824
arg,1999,9102
arg,2000,8696
arg,2001,8987
arg,2002,9445
arg,2003,10989
arg,2004,11603
arg,2005,12262
arg,2006,12628
arg,2007,12871
arg,2008,12025
arg,2009,10649
arg,2010,12112
arg,2011,12198
arg,2012,10583
arg,2013,9746
arg,2014,8893
arg,2015,8274
arg,2016,8529
arg,2017,8377
arm,1997,381
arm,1998,419
arm,1999,323
arm,2000,354
arm,2001,344
arm,2002,452
arm,2003,529
arm,2004,678
arm,2005,654
arm,2006,668
arm,2007,771
arm,2008,705
arm,2009,718
arm,2010,743
arm,2011,816
arm,2012,867
arm,2013,851
arm,2014,786
arm,2015,640
arm,2016,658
arm,2017,690
aus,1995,106195
aus,1996,110255
aus,1997,119619
aus,1998,125587
aus,1999,127963
aus,2000,133568
aus,2001,137534
aus,2002,150513
aus,2003,160580
aus,2004,168700
aus,2005,183944
aus,2006,189425
aus,2007,198961
aus,2008,218684
aus,2009,237163
aus,2010,258624
aus,2011,261420
aus,2012,290570
aus,2013,319000
aus,2014,367700
aus,2015,401600
aus,2016,413490
aut,1995,13715
aut,1996,13909
aut,1997,14199
aut,1998,14714
aut,1999,15039
aut,2000,16602
aut,2001,16895
aut,2002,17132
aut,2003,16869
aut,2004,17931
aut,2005,17064
aut,2006,20980
aut,2007,21371
aut,2008,21915
aut,2009,17767
aut,2010,19833
aut,2011,20345
aut,2012,19499
aut,2013,19564
aut,2014,20746
aut,2015,20814
aut,2016,21361
aut,2017,22256
aut,2018,21996.241
aut,2019,21736
aze,1995,2409
aze,1996,2777
aze,1997,3515
aze,1998,4702
aze,1999,5052
aze,2000,5677
aze,2001,6141
aze,2002,6980
aze,2003,7719
aze,2004,7536
aze,2005,9628
aze,2006,11059
aze,2007,10375
aze,2008,10021
aze,2009,7592
aze,2010,8250
aze,2011,7845
aze,2012,8212
aze,2013,7958
aze,2014,7371
aze,2015,6210
aze,2016,5192
aze,2017,4633
aze,2018,4492
aze,2019,5152
bel,1995,7287
bel,1996,7244
bel,1997,7465
bel,1998,7600
bel,1999,7392
bel,2000,7674
bel,2001,7080
bel,2002,7276
bel,2003,7293
bel,2004,7691
bel,2005,8042
bel,2006,8587
bel,2007,8148
bel,2008,8469
bel,2009,5947
bel,2010,6264
bel,2011,6698
ben,1996,178
ben,1997,218
ben,1998,219
ben,1999,155
ben,2000,89
ben,2001,94
ben,2002,89
ben,2003,86
ben,2004,45
ben,2005,24
ben,2006,36
bfa,2005,0.675
bfa,2006,0.737
bfa,2007,0.84
bgd,1995,689
bgd,1996,782
bgd,1997,804
bgd,1998,896
bgd,1999,896
bgd,2000,777
bgd,2001,908
bgd,2002,952
bgd,2003,952
bgd,2004,896
bgd,2005,817
bgd,2007,776
bgd,2008,870
bgd,2009,800
bgd,2010,710
bgd,2011,693
bgd,2012,582
bgd,2013,525
bgd,2014,677
bgd,2015,694
bgd,2016,1053
bgr,1995,8595
bgr,1996,7549
bgr,1997,7444
bgr,1998,6152
bgr,1999,5297
bgr,2000,5538
bgr,2001,4904
bgr,2002,4627
bgr,2003,5274
bgr,2004,5211
bgr,2005,5163
bgr,2006,5396
bgr,2007,5241
bgr,2008,4693
bgr,2009,3145
bgr,2010,3064
bgr,2011,3291
bgr,2012,2908
bgr,2013,3246
bgr,2014,3439
bgr,2015,3650
bgr,2016,3434
bgr,2017,3931
bgr,2018,3792
bgr,2019,3901.6
bih,1995,16
bih,1996,18
bih,1997,47
bih,1998,73
bih,1999,115
bih,2000,140
bih,2001,280
bih,2002,308
bih,2003,318
bih,2004,363
bih,2005,379
bih,2006,372
bih,2007,1088
bih,2008,1242
bih,2009,992
bih,2010,877
bih,2011,1018
bih,2012,1150
bih,2013,1243
bih,2014,1313
bih,2015,1286
bih,2016,1142
bih,2017,1130.1
bih,2018,1187.9
bih,2019,1275
blr,1995,25510
blr,1996,26018
blr,1997,30636
blr,1998,30370
blr,1999,30529
blr,2000,31425
blr,2001,29727
blr,2002,34169
blr,2003,38402
blr,2004,40331
blr,2005,43559
blr,2006,45723
blr,2007,47933
blr,2008,48994
blr,2009,42742
blr,2010,46224
blr,2011,49406
blr,2012,48351
blr,2013,43818
blr,2014,44997
blr,2015,40785
blr,2016,41107
blr,2017,48538
blr,2018,52574
blr,2019,48205
bra,2006,7446.1
bra,2007,9393.5
bwa,1995,626
bwa,1996,794
bwa,1997,795
bwa,1998,1111
bwa,1999,1282
bwa,2000,1037
bwa,2001,747
bwa,2002,715
bwa,2003,893
bwa,2004,674
bwa,2005,674
bwa,2006,674
bwa,2007,674
can,1996,245625
can,1997,269458
can,1998,256145
can,1999,265707
can,2000,283842
can,2001,291518
can,2002,288701
can,2003,300424
can,2004,327812
can,2005,337953
can,2006,341514
can,2007,347922
can,2008,334824
can,2009,294786
can,2010,332635
can,2011,347824
can,2012,368297
can,2013,386266
can,2014,414069
can,2015,412985
can,2016,396806
can,2017,420143
can,2018,445546
can,2019,433139
che,1995,8856
che,1996,8031
che,1997,8836
che,1998,9411
che,1999,9831
che,2000,11080
che,2001,11172
che,2002,10746
che,2003,10598
che,2004,11489
che,2005,11677
che,2006,12466
che,2007,11952
che,2008,12265
che,2009,10565
che,2010,11074
che,2011,11526
che,2012,11061
che,2013,11812
che,2014,12313
che,2015,12431
che,2016,12447
che,2017,11665
che,2018,11776
che,2019,11673
chl,2010,3833.63303
chl,2011,4118.69922
chl,2012,4089.73875
chl,2013,3981.46301
chl,2014,4103.93287
chl,2015,4085.72462
chl,2016,4076.75592
chl,2017,3770
chl,2018,3816
chl,2019,3079
chn,1995,1304950
chn,1996,1310620
chn,1997,1326990
chn,1998,1256010
chn,1999,1291030
chn,2000,1377050
chn,2001,1469410
chn,2002,1565840
chn,2003,1724670
chn,2004,1928880
chn,2005,2072600
chn,2006,2195441
chn,2007,2379700
chn,2008,2510628
chn,2009,2523917
chn,2010,2764413
chn,2011,2946579
chn,2012,2918709
chn,2013,2917390
chn,2014,2753020
chn,2015,2375430
chn,2016,2379230
chn,2017,2696220
chn,2018,2882100
civ,1995,58
civ,1996,186
civ,1997,505
civ,1998,530
civ,1999,537
civ,2000,523
civ,2001,699
civ,2002,606
civ,2003,129
civ,2004,501
civ,2005,675
cmr,1995,812
cmr,1996,607
cmr,1997,869
cmr,1998,837
cmr,1999,612
cmr,2000,1063
cmr,2001,1159
cmr,2002,1162
cmr,2003,1062
cmr,2004,1114
cmr,2005,1119
cmr,2006,1136.3858
cmr,2007,1055
cmr,2008,978
cmr,2009,1018.25594
cmr,2010,1081.34669
cmr,2011,1056.96205
cmr,2017,841.569
cmr,2018,812.416
cod,1995,251
cod,1996,318
cod,1997,262
cod,1998,365
cod,1999,326
cod,2000,362
cod,2001,409
cod,2002,430
cod,2003,403
cod,2004,491
cod,2005,427
cod,2006,323
cod,2007,299
cod,2008,275
cod,2009,152
cod,2010,193
cod,2011,158
cod,2012,170
cod,2013,174
cod,2014,148
cod,2015,133
cod,2016,174
cod,2017,194
cod,2018,188.0536
cod,2019,158
cog,1995,267
cog,1996,289
cog,1997,139
cog,1998,135
cog,1999,20
cog,2000,85
cog,2001,228
cog,2002,307
cog,2003,247
cog,2004,231
cog,2005,264
cog,2006,237
cog,2007,224
cog,2008,253
cog,2009,257
cub,1995,886
cub,1996,1055
cub,1997,1075
cub,1998,1018
cub,1999,947
cub,2000,963
cub,2002,1181
cub,2003,1232.9
cub,2004,1341
cub,2005,1371.2
cub,2006,1438.9
cub,2007,1351.1
cze,1995,25459
cze,1996,24286
cze,1997,21010
cze,1998,18757
cze,1999,16713
cze,2000,17496
cze,2001,16882
cze,2002,15810
cze,2003,15862
cze,2004,15092
cze,2005,14866
cze,2006,15779
cze,2007,16304
cze,2008,15437
cze,2009,12791
cze,2010,13770
cze,2011,14316
cze,2012,14266
cze,2013,13965
cze,2014,14574
cze,2015,15261.10201
cze,2016,15618.69024
cze,2017,15842.778
cze,2018,16564.19
cze,2019,16179.68
deu,1995,70500
deu,1996,70000
deu,1997,73900
deu,1998,74200
deu,1999,71900
deu,2000,77500
deu,2001,76165
deu,2002,76283
deu,2003,79841
deu,2004,86409
deu,2005,95421
deu,2006,107008
deu,2007,114615
deu,2008,115652
deu,2009,95834
deu,2010,107317
deu,2011,113317
deu,2012,110065
deu,2013,112613
deu,2014,112629
deu,2015,116632
deu,2016,128866
deu,2017,131204
deu,2018,129991
deu,2019,113114
dji,1999,116
dji,2000,118
dji,2001,91
dji,2002,85
dji,2003,97
dji,2005,118
dnk,1995,1985
dnk,1996,1757
dnk,1997,1983
dnk,1998,2058
dnk,1999,1938
dnk,2000,2025
dnk,2001,1961
dnk,2002,1906
dnk,2003,1985
dnk,2004,2147
dnk,2005,1967
dnk,2006,1885
dnk,2007,1776
dnk,2008,1863
dnk,2009,1696
dnk,2010,2240
dnk,2011,2614
dnk,2012,2278
dnk,2013,2448
dnk,2014,2453
dnk,2015,2603
dnk,2016,2575
dnk,2017,2653
dnk,2018,2592
dza,1995,1946
dza,1996,2139
dza,1997,2023
dza,1998,2174
dza,1999,2033
dza,2000,1980
dza,2001,1990
dza,2002,2247
dza,2003,2038
dza,2004,1945
dza,2005,1471
dza,2006,1429
dza,2007,1424.881
dza,2008,1562.16
dza,2009,1184
dza,2010,1281
dza,2011,1248
dza,2012,1253
dza,2014,928
dza,2015,1011
dza,2016,885
dza,2017,1009
dza,2018,1026
egy,1995,2830
egy,1996,4117
egy,1997,3969
egy,1998,4004
egy,1999,3900
egy,2000,4012
egy,2001,4022
egy,2002,4188
egy,2004,3840
egy,2005,3840
egy,2006,4188
egy,2008,3840.367
egy,2010,1592.136
esp,1995,10419
esp,1996,10156
esp,1997,11486
esp,1998,11800
esp,1999,12035
esp,2000,12171
esp,2001,12322
esp,2002,12247
esp,2003,12411
esp,2004,12018
esp,2005,11641
esp,2006,11599
esp,2007,11212
esp,2008,10662
esp,2009,7714
esp,2010,8577
esp,2011,9593
esp,2012,9390
esp,2013,9366
esp,2014,10303
esp,2015,10812
esp,2016,10644
esp,2017,10507
esp,2018,10792
est,1995,3846
est,1996,4198
est,1997,5102
est,1998,6079
est,1999,7295
est,2000,8102
est,2001,8557
est,2002,9697
est,2003,9670
est,2004,10488
est,2005,10639
est,2006,10418
est,2007,8430
est,2008,5943
est,2009,5934
est,2010,6638
est,2011,6271
est,2012,5129
est,2013,4722
est,2014,3256
est,2015,3114
est,2016,2339
est,2017,2325
est,2018,2594
est,2019,2155
fin,1995,9293
fin,1996,8806
fin,1997,9856
fin,1998,9885
fin,1999,9753
fin,2000,10107
fin,2001,9857
fin,2002,9664
fin,2003,10047
fin,2004,10105
fin,2005,9706
fin,2006,11060
fin,2007,10434
fin,2008,10777
fin,2009,8872
fin,2010,9750
fin,2011,9395
fin,2012,9275
fin,2013,9470
fin,2014,9596
fin,2015,8468
fin,2016,9455
fin,2017,10362
fin,2018,11175
fin,2019,10270
fra,1995,46560
fra,1996,48320
fra,1997,52630
