geo,time,is_shp_gcnw_xq
abw,2006,6.66245
abw,2007,7.40837
abw,2008,5.89367
abw,2009,6.25844
abw,2010,8.42574
abw,2011,7.5531
abw,2012,7.87076
abw,2013,8.32963
abw,2014,7.91104
abw,2015,7.55226
abw,2016,7.73868
abw,2017,8.50663
abw,2018,8.30668
abw,2019,8.38203
abw,2020,9.54372
ago,2006,13.44302
ago,2007,13.57218
ago,2008,13.70257
ago,2009,16.0826
ago,2010,15.33361
ago,2011,15.49272
ago,2012,19.29427
ago,2013,19.40192
ago,2014,22.31645
ago,2015,20.7493
ago,2016,26.66665
ago,2017,25.08878
ago,2018,23.43328
ago,2019,30.46783
ago,2020,23.60397
alb,2006,1.55281
alb,2007,1.76372
alb,2008,3.71187
alb,2009,3.52426
alb,2010,3.89231
alb,2011,3.39907
alb,2012,3.76208
alb,2013,5.12621
alb,2014,4.81926
alb,2015,4.72715
alb,2016,5.73311
alb,2017,4.00969
alb,2018,4.3249
alb,2019,6.15635
alb,2020,4.19707
are,2006,48.47598
are,2007,50.75142
are,2008,58.31276
are,2009,62.36358
are,2010,61.05069
are,2011,61.27576
are,2012,65.21446
are,2013,63.7287
are,2014,64.03403
are,2015,69.04974
are,2016,70.0951
are,2017,71.80849
are,2018,71.69903
are,2019,72.13364
are,2020,76.4965
arg,2006,25.17284
arg,2007,24.77852
arg,2008,26.73133
arg,2009,24.99132
arg,2010,27.88393
arg,2011,27.24081
arg,2012,30.44422
arg,2013,30.31709
arg,2014,33.37071
arg,2015,31.12187
arg,2016,32.29721
arg,2017,33.19849
arg,2018,32.88814
arg,2019,33.91981
arg,2020,33.06591
asm,2006,9.35642
asm,2007,8.46425
asm,2008,7.9819
asm,2009,5.94671
asm,2010,5.60416
asm,2011,5.5103
asm,2012,5.49903
asm,2013,6.11259
asm,2014,6.13232
asm,2015,6.29286
asm,2016,6.88108
asm,2017,6.91011
asm,2018,7.01912
asm,2019,7.32014
asm,2020,7.52709
atg,2006,6.24038
atg,2007,6.27356
atg,2008,5.42825
atg,2009,5.50722
atg,2010,5.01804
atg,2011,5.16867
atg,2012,5.16846
atg,2013,6.77182
atg,2014,5.31909
atg,2015,4.75044
atg,2016,3.73434
atg,2017,5.16543
atg,2018,4.60454
atg,2019,5.01842
atg,2020,5.01842
aus,2006,26.21659
aus,2007,27.90332
aus,2008,29.29078
aus,2009,28.9703
aus,2010,30.86985
aus,2011,29.30971
aus,2012,29.02161
aus,2013,31.01875
aus,2014,33.38861
aus,2015,32.40698
aus,2016,34.24685
aus,2017,32.59611
aus,2018,34.1643
aus,2019,35.66918
aus,2020,37.24298
bel,2006,73.47968
bel,2007,76.44101
bel,2008,77.65985
bel,2009,79.80116
bel,2010,79.64301
bel,2011,78.16579
bel,2012,80.37709
bel,2013,78.11974
bel,2014,82.24765
bel,2015,86.38853
bel,2016,83.54414
bel,2017,84.37341
bel,2018,85.38641
bel,2019,89.53596
bel,2020,87.75389
ben,2006,11.40546
ben,2007,11.00624
ben,2008,11.29006
ben,2009,12.76937
ben,2010,11.93717
ben,2011,13.21214
ben,2012,14.10362
ben,2013,15.73354
ben,2014,17.01795
ben,2015,17.63639
ben,2016,17.63304
ben,2017,18.11778
ben,2018,18.85139
ben,2019,17.95103
ben,2020,18.40029
bgd,2006,8.14024
bgd,2007,9.49316
bgd,2008,8.74406
bgd,2009,8.13713
bgd,2010,7.66355
bgd,2011,7.55877
bgd,2012,7.78366
bgd,2013,9.02905
bgd,2014,9.6372
bgd,2015,11.7444
bgd,2016,11.29425
bgd,2017,11.34303
bgd,2018,13.16125
bgd,2019,12.19112
bgd,2020,13.80449
bgr,2006,7.3118
bgr,2007,6.8538
bgr,2008,16.56726
bgr,2009,5.74542
bgr,2010,5.9082
bgr,2011,5.85342
bgr,2012,6.79086
bgr,2013,5.8308
bgr,2014,10.2351
bgr,2015,8.37588
bgr,2016,6.43497
bgr,2017,6.79952
bgr,2018,7.33816
bgr,2019,8.06867
bgr,2020,7.83702
bhr,2006,7.92018
bhr,2007,8.72031
bhr,2008,7.53929
bhr,2009,10.95245
bhr,2010,17.03024
bhr,2011,16.84242
bhr,2012,16.75641
bhr,2013,23.10186
bhr,2014,23.07301
bhr,2015,21.42905
bhr,2016,10.68735
bhr,2017,30.19162
bhr,2018,29.73202
bhr,2019,9.30947
bhr,2020,25.12496
bhs,2006,19.083
bhs,2007,20.20698
bhs,2008,19.83078
bhs,2009,20.63045
bhs,2010,24.23918
bhs,2011,25.31026
bhs,2012,25.57516
bhs,2013,25.04957
bhs,2014,26.02337
bhs,2015,26.03821
bhs,2016,27.74717
bhs,2017,29.74258
bhs,2018,29.18335
bhs,2019,31.1903
bhs,2020,32.24168
blz,2006,2.92631
blz,2007,2.58949
blz,2008,2.72525
blz,2009,4.53871
blz,2010,3.01855
blz,2011,3.85457
blz,2012,7.89821
blz,2013,8.12274
blz,2014,8.70703
blz,2015,8.30045
blz,2016,8.99641
blz,2017,8.80136
blz,2018,10.99445
blz,2019,11.17262
blz,2020,7.73264
bmu,2006,1.62925
bmu,2007,1.60598
bmu,2008,1.61598
bmu,2009,1.61598
bmu,2010,1.61598
bmu,2011,1.61598
bmu,2012,1.61598
bmu,2013,1.61598
bmu,2014,1.6075
bmu,2015,1.6075
bmu,2016,1.6075
bmu,2017,1.6075
bmu,2018,1.6075
bmu,2019,1.7937
bmu,2020,1.7937
bra,2006,32.14795
bra,2007,33.10665
bra,2008,34.32415
bra,2009,30.94899
bra,2010,32.52486
bra,2011,33.69276
bra,2012,33.84924
bra,2013,35.74149
bra,2014,36.50008
bra,2015,35.2271
bra,2016,34.32488
bra,2017,35.31618
bra,2018,34.95617
bra,2019,36.24234
bra,2020,36.81358
brb,2006,7.91818
brb,2007,6.96808
brb,2008,8.22811
brb,2009,8.01502
brb,2010,10.13153
brb,2011,7.18125
brb,2012,7.47852
brb,2013,7.91264
brb,2014,7.60576
brb,2015,7.22543
brb,2016,8.93232
brb,2017,8.29846
brb,2018,8.05734
brb,2019,7.53104
brb,2020,8.00652
brn,2006,3.76561
brn,2007,3.73439
brn,2008,3.46486
brn,2009,4.81432
brn,2010,5.40222
brn,2011,4.51142
brn,2012,5.46247
brn,2013,4.97162
brn,2014,6.22527
brn,2015,5.99576
brn,2016,5.93705
brn,2017,5.60064
brn,2018,5.20081
brn,2019,6.86657
brn,2020,6.5424
can,2006,32.80739
can,2007,33.20979
can,2008,35.39235
can,2009,36.72822
can,2010,37.818
can,2011,35.18536
can,2012,36.65968
can,2013,39.26376
can,2014,38.36503
can,2015,44.39566
can,2016,43.61917
can,2017,45.27514
can,2018,45.38508
can,2019,44.76171
can,2020,47.22909
chl,2006,17.52695
chl,2007,17.06375
chl,2008,19.10985
chl,2009,22.06477
chl,2010,22.41228
chl,2011,28.99905
chl,2012,28.41745
chl,2013,28.59123
chl,2014,29.04616
chl,2015,29.87157
chl,2016,34.74546
chl,2017,35.85374
chl,2018,36.16058
chl,2019,36.71491
chl,2020,36.21516
chn,2006,106.71266
chn,2007,117.90178
chn,2008,118.45588
chn,2009,118.63766
chn,2010,129.55695
chn,2011,132.45798
chn,2012,133.81542
chn,2013,136.01127
chn,2014,137.16122
chn,2015,141.28276
chn,2016,138.85436
chn,2017,148.65622
chn,2018,153.37675
chn,2019,158.61532
chn,2020,162.36647
civ,2006,17.03121
civ,2007,16.2631
civ,2008,19.98609
civ,2009,19.30339
civ,2010,19.94693
civ,2011,19.95912
civ,2012,19.50168
civ,2013,21.35724
civ,2014,22.45795
civ,2015,21.56926
civ,2016,20.63837
civ,2017,18.97505
civ,2018,19.60538
civ,2019,19.9702
civ,2020,19.9815
cmr,2006,14.53016
cmr,2007,14.25371
cmr,2008,15.34592
cmr,2009,15.26928
cmr,2010,14.5169
cmr,2011,16.73535
cmr,2012,16.57924
cmr,2013,16.28518
cmr,2014,16.75416
cmr,2015,13.53632
cmr,2016,16.78095
cmr,2017,15.38113
cmr,2018,24.44955
cmr,2019,15.41462
cmr,2020,18.94577
cod,2006,4.15802
cod,2007,4.08012
cod,2008,5.17975
cod,2009,4.31645
cod,2010,5.71613
cod,2011,5.93716
cod,2012,7.68427
cod,2013,8.57693
cod,2014,6.35581
cod,2015,4.7584
