geo,time,it_mlt_main
abw,1982,9000
abw,1983,10000
abw,1984,11000
abw,1985,12000
abw,1986,13055
abw,1987,13887
abw,1988,15718
abw,1989,17469
abw,1990,18712
abw,1991,19000
abw,1992,20400
abw,1993,21000
abw,1994,21500
abw,1995,27300
abw,1996,33576
abw,1997,33220
abw,1998,35064
abw,1999,36557
abw,2000,38100
abw,2001,37132
abw,2002,37132
abw,2003,37390
abw,2004,38003
abw,2005,38259
abw,2006,38651
abw,2007,38609
abw,2008,38461
abw,2009,36700
abw,2010,35040
abw,2012,36000
abw,2013,35000
abw,2014,35000
abw,2015,35000
abw,2019,35000
abw,2020,35000
afg,1960,7700
afg,1961,7700
afg,1962,7700
afg,1963,7700
afg,1964,7700
afg,1965,9300
afg,1966,9300
afg,1967,9300
afg,1968,9300
afg,1969,9300
afg,1970,16000
afg,1971,16000
afg,1972,16000
afg,1973,16000
afg,1974,16000
afg,1975,21500
afg,1976,22200
afg,1977,22200
afg,1978,25300
afg,1979,25300
afg,1980,25800
afg,1981,31700
afg,1982,28000
afg,1983,29000
afg,1984,30000
afg,1985,31000
afg,1986,32000
afg,1987,33000
afg,1988,34000
afg,1989,35000
afg,1990,36200
afg,1991,37000
afg,1992,29000
afg,1993,29000
afg,1994,29000
afg,1995,29000
afg,1996,29000
afg,1997,29000
afg,1998,29000
afg,1999,29000
afg,2000,29000
afg,2001,29000
afg,2002,33050
afg,2003,36700
afg,2009,5130
afg,2010,16620
afg,2011,13509
afg,2012,90017
afg,2013,95769
afg,2014,101931
afg,2015,110000
afg,2016,114192
afg,2017,118769
afg,2018,127794
afg,2019,134636
afg,2020,145787
ago,1960,6666
ago,1961,6666
ago,1962,6666
ago,1963,6666
ago,1964,6666
ago,1965,10000
ago,1966,10000
ago,1967,10000
ago,1968,10000
ago,1969,10000
ago,1970,13000
ago,1971,13000
ago,1972,13000
ago,1973,13000
ago,1974,13000
ago,1975,18000
ago,1976,19000
ago,1977,20000
ago,1978,25000
ago,1979,30000
ago,1980,36000
ago,1981,36700
ago,1982,49280
ago,1983,45890
ago,1984,46000
ago,1985,47350
ago,1986,48090
ago,1987,62000
ago,1988,65000
ago,1989,67000
ago,1990,70000
ago,1991,72000
ago,1992,48900
ago,1993,53300
ago,1994,53020
ago,1995,52740
ago,1996,52625
ago,1997,62279
ago,1998,65100
ago,1999,67200
ago,2000,64900
ago,2001,76800
ago,2002,80200
ago,2003,85043
ago,2004,94280
ago,2005,96760
ago,2006,98165
ago,2007,94294
ago,2008,114296
ago,2009,303179
ago,2010,281122
ago,2011,159485
ago,2012,208345
ago,2013,214950
ago,2014,287416
ago,2015,284925
ago,2016,304493
ago,2017,161070
ago,2018,171858
ago,2019,124726
ago,2020,119164
alb,1960,6845
alb,1961,6845
alb,1962,6845
alb,1963,6845
alb,1964,6845
alb,1965,13991
alb,1966,13991
alb,1967,13991
alb,1968,13991
alb,1969,13991
alb,1970,173000
alb,1971,173000
alb,1972,173000
alb,1973,173000
alb,1974,173000
alb,1975,21660
alb,1976,22500
alb,1977,23800
alb,1978,24700
alb,1979,26000
alb,1980,27300
alb,1981,29000
alb,1982,30000
alb,1983,31000
alb,1984,32000
alb,1985,33275
alb,1986,35000
alb,1987,36000
alb,1988,37000
alb,1989,38550
alb,1990,40000
alb,1991,41500
alb,1992,44848
alb,1993,43000
alb,1994,41500
alb,1995,42150
alb,1996,63850
alb,1997,86800
alb,1998,115675
alb,1999,140392
alb,2000,152687
alb,2001,197496
alb,2002,220000
alb,2003,255000
alb,2004,274557
alb,2005,278973
alb,2006,256000
alb,2007,300000
alb,2008,343591
alb,2009,363000
alb,2010,333066
alb,2011,338844
alb,2012,312000
alb,2013,281200
alb,2014,235734
alb,2015,226718
alb,2016,248640
alb,2017,246720
alb,2018,248631
alb,2019,242859
alb,2020,223469
and,1965,500
and,1966,500
and,1967,500
and,1968,500
and,1969,500
and,1970,1890
and,1971,1890
and,1972,1890
and,1973,1890
and,1974,1890
and,1975,3857
and,1976,4174
and,1977,4713
and,1978,5543
and,1979,6329
and,1980,7026
and,1981,8944
and,1982,10385
and,1983,12000
and,1984,13000
and,1985,14000
and,1986,15588
and,1987,16885
and,1988,17911
