geo,time,lp_lpi_infr_xq
afg,2007,1.1
afg,2010,1.87
afg,2012,2
afg,2014,1.81895
afg,2016,1.83547
afg,2018,1.81
ago,2007,2.25
ago,2010,1.69
ago,2012,2.48
ago,2014,2.10526
ago,2016,2.13379
ago,2018,1.86
alb,2007,2.33
alb,2010,2.14
alb,2012,2.43
alb,2016,1.98095
alb,2018,2.29
are,2007,3.8
are,2010,3.81
are,2012,3.84
are,2014,3.70394
are,2016,4.06932
are,2018,4.02
arg,2007,2.81
arg,2010,2.75
arg,2012,2.94
arg,2014,2.83116
arg,2016,2.85641
arg,2018,2.77
arm,2007,1.78
arm,2010,2.32
arm,2012,2.38
arm,2014,2.375
arm,2016,2.21677
arm,2018,2.48
aus,2007,3.65
aus,2010,3.78
aus,2012,3.83
aus,2014,3.99996
aus,2016,3.81647
aus,2018,3.97
aut,2007,4.06
aut,2010,3.68
aut,2012,4.05
aut,2014,3.63611
aut,2016,4.07841
aut,2018,4.18
aze,2007,2
aze,2010,2.23
aze,2012,2.42
aze,2014,2.71429
bdi,2007,2.5
bdi,2012,1.68
bdi,2014,2.4
bdi,2016,1.98495
bdi,2018,1.95
bel,2007,4
bel,2010,4.01
bel,2012,4.12
bel,2014,4.0988
bel,2016,4.05356
bel,2018,3.98
ben,2007,1.89
ben,2010,2.48
ben,2012,2.57
ben,2014,2.35152
ben,2016,2.39147
ben,2018,2.5
bfa,2007,1.89
bfa,2010,1.89
bfa,2012,2.4
bfa,2014,2.34821
bfa,2016,2.66851
bfa,2018,2.43
bgd,2007,2.29
bgd,2010,2.49
bgd,2014,2.11455
bgd,2016,2.48
bgd,2018,2.39
bgr,2007,2.47
bgr,2010,2.3
bgr,2012,3.2
bgr,2014,2.9375
bgr,2016,2.35105
bgr,2018,2.76
bhr,2007,3.4
bhr,2010,3.36
bhr,2012,3.08
bhr,2014,3.04
bhr,2016,3.09509
bhr,2018,2.72
bhs,2010,2.4
bhs,2012,2.77
bhs,2014,2.74087
bhs,2016,2.7213
bhs,2018,2.41
bih,2007,2.26
bih,2010,2.22
bih,2012,2.86
bih,2014,2.55435
bih,2016,2.607
bih,2018,2.42
blr,2007,2.63
blr,2012,2.78
blr,2014,2.55407
blr,2016,2.09968
blr,2018,2.44
bol,2007,2.08
bol,2010,2.24
bol,2012,2.39
bol,2014,2.17101
bol,2016,2.10967
bol,2018,2.15
bra,2007,2.75
bra,2010,3.1
bra,2012,3.07
bra,2014,2.92742
bra,2016,3.11026
bra,2018,2.93
brn,2016,2.74773
brn,2018,2.46
btn,2007,1.95
btn,2010,1.83
btn,2012,2.29
btn,2014,2.18264
btn,2016,1.95584
btn,2018,1.91
bwa,2010,2.09
bwa,2012,2.82
bwa,2014,2.23314
bwa,2016,2.95539
caf,2014,2.49762
caf,2018,1.93
can,2007,3.95
can,2010,4.03
can,2012,3.99
can,2014,4.05426
can,2016,4.14161
can,2018,3.75
che,2007,4.13
che,2010,4.17
che,2012,3.98
che,2014,4.04359
che,2016,4.18952
che,2018,4.02
chl,2007,3.06
chl,2010,2.86
chl,2012,3.18
chl,2014,3.17244
chl,2016,2.77132
chl,2018,3.21
chn,2007,3.2
chn,2010,3.54
chn,2012,3.61
chn,2014,3.66927
chn,2016,3.75236
chn,2018,3.75
civ,2007,2.22
civ,2010,2.37
civ,2012,2.31
civ,2014,2.40873
civ,2016,2.46325
civ,2018,2.89
cmr,2007,2
cmr,2010,2.1
cmr,2012,2.24
cmr,2014,1.85374
cmr,2016,2.20569
cmr,2018,2.57
cod,2010,2.27
cod,2012,1.96
cod,2014,1.83457
cod,2016,2.00992
cod,2018,2.12
cog,2010,1.62
cog,2012,1.27
cog,2014,1.83333
cog,2016,2.59596
cog,2018,2.07
col,2007,2.28
col,2010,2.59
col,2012,2.72
col,2014,2.44236
col,2016,2.42915
col,2018,2.67
com,2007,2.46
com,2010,1.76
com,2012,1.94
com,2014,2.3
com,2016,2.36412
com,2018,2.25
cri,2007,2.43
cri,2010,2.56
cri,2012,2.6
cri,2014,2.43233
cri,2016,2.31763
cri,2018,2.49
cub,2010,1.9
cub,2012,2.08
cub,2014,1.84211
cub,2016,2.3125
cub,2018,2.04
cyp,2007,2.91
cyp,2010,2.94
cyp,2012,3.17
cyp,2014,2.87143
cyp,2016,3
cyp,2018,2.89
cze,2007,3
cze,2010,3.25
cze,2012,2.96
cze,2014,3.28524
cze,2016,3.35715
cze,2018,3.46
deu,2007,4.19
deu,2010,4.34
deu,2012,4.26
deu,2014,4.32329
deu,2016,4.43936
deu,2018,4.37
dji,2007,1.92
dji,2010,2.33
dji,2012,1.51
dji,2014,2
dji,2016,2.29781
dji,2018,2.79
dnk,2007,3.82
dnk,2010,3.99
dnk,2012,4.07
dnk,2014,3.81618
dnk,2016,3.7459
dnk,2018,3.96
dom,2007,2.18
dom,2010,2.34
dom,2012,2.61
dom,2014,2.61067
dom,2016,2.2897
dom,2018,2.36
dza,2007,1.83
dza,2010,2.06
dza,2012,2.02
dza,2014,2.54082
dza,2016,2.57732
dza,2018,2.42
ecu,2007,2.36
ecu,2010,2.38
ecu,2012,2.62
ecu,2014,2.49731
ecu,2016,2.46921
ecu,2018,2.72
egy,2007,2
egy,2010,2.22
egy,2012,3.07
egy,2014,2.86127
egy,2016,3.07241
egy,2018,2.82
eri,2007,2
eri,2010,1.35
eri,2012,1.83
eri,2014,1.67667
eri,2016,2.06294
eri,2018,1.86
esp,2007,3.51
esp,2010,3.58
esp,2012,3.74
esp,2014,3.77381
esp,2016,3.71689
esp,2018,3.84
est,2007,2.91
est,2010,2.75
est,2012,2.79
est,2014,3.3381
est,2016,3.17635
est,2018,3.1
eth,2007,1.88
eth,2010,1.77
eth,2012,2.22
eth,2014,2.16667
eth,2016,2.11767
fin,2007,3.81
fin,2010,4.08
fin,2012,4.12
fin,2014,3.51823
fin,2016,4.00723
fin,2018,4
fji,2010,1.98
fji,2012,2.22
fji,2014,2.47
fji,2016,2.2457
fji,2018,2.4
fra,2007,3.82
fra,2010,4
fra,2012,3.96
fra,2014,3.98277
fra,2016,4.01102
fra,2018,4
gab,2007,2.4
gab,2010,2.09
gab,2012,2
gab,2014,2.08333
gab,2016,2.04594
gab,2018,2.09
gbr,2007,4.05
gbr,2010,3.95
gbr,2012,3.95
gbr,2014,4.15826
gbr,2016,4.20566
gbr,2018,4.03
geo,2010,2.17
geo,2012,2.85
geo,2014,2.42105
geo,2016,2.16667
geo,2018,2.38
gha,2007,2.25
gha,2010,2.52
gha,2012,2.05
gha,2014,2.66905
gha,2016,2.48425
gha,2018,2.44
gin,2007,2.33
gin,2010,2.1
gin,2012,2.34
gin,2014,2.09732
gin,2016,2.01166
gin,2018,1.56
gmb,2007,2.33
gmb,2010,2.17
gmb,2012,1.9
gmb,2014,2
gmb,2018,1.82
gnb,2007,2.25
gnb,2010,1.56
gnb,2012,2.68
gnb,2014,2.28571
gnb,2016,1.90741
gnb,2018,1.78
gnq,2014,2.11111
gnq,2016,1.5
gnq,2018,1.88
grc,2007,3.05
grc,2010,2.94
grc,2012,2.88
grc,2014,3.16628
grc,2016,3.31638
grc,2018,3.17
gtm,2007,2.13
gtm,2010,2.37
gtm,2012,2.59
gtm,2014,2.53571
gtm,2016,2.20135
gtm,2018,2.2
guy,2007,1.78
guy,2010,1.99
guy,2012,2.15
guy,2014,2.39507
guy,2016,2.23623
guy,2018,2.09
hkg,2007,4.06
hkg,2010,4
hkg,2012,4.12
hkg,2014,3.972
hkg,2016,4.1026
hkg,2018,3.97
hnd,2007,2.32
hnd,2010,2.31
hnd,2012,2.35
hnd,2014,2.24248
hnd,2016,2.03975
hnd,2018,2.47
hrv,2007,2.5
hrv,2010,2.36
hrv,2012,3.35
hrv,2014,2.92282
hrv,2016,2.9897
hrv,2018,3.01
hti,2007,2.14
hti,2010,2.17
hti,2012,1.78
hti,2014,1.99805
hti,2016,1.47129
hti,2018,1.94
hun,2007,3.12
hun,2010,3.08
hun,2012,3.14
hun,2014,3.17966
hun,2016,3.48396
hun,2018,3.27
idn,2007,2.83
idn,2010,2.54
idn,2012,2.54
idn,2014,2.91872
idn,2016,2.64516
idn,2018,2.89
ind,2007,2.9
ind,2010,2.91
ind,2012,2.87
ind,2014,2.87723
ind,2016,3.33718
ind,2018,2.91
irl,2007,3.72
irl,2010,3.76
irl,2012,3.35
irl,2014,3.84
irl,2016,3.77274
irl,2018,3.29
irn,2007,2.44
irn,2010,2.36
irn,2012,2.42
irn,2016,2.66667
irn,2018,2.77
irq,2010,1.73
irq,2012,1.92
irq,2014,2.18444
irq,2016,1.86719
irq,2018,2.03
isl,2010,3.33
isl,2012,3.39
isl,2014,3.34221
isl,2016,3.02308
isl,2018,3.19
isr,2007,3
isr,2010,3.6
isr,2014,3.1123
isr,2016,3.49444
isr,2018,3.33
ita,2007,3.52
ita,2010,3.72
ita,2012,3.74
ita,2014,3.77592
ita,2016,3.79147
ita,2018,3.85
jam,2007,2.03
jam,2010,2.07
jam,2012,2.27
jam,2014,2.84211
jam,2016,2.23237
jam,2018,2.32
jor,2007,2.62
jor,2010,2.69
jor,2012,2.48
jor,2014,2.59015
jor,2016,2.77478
jor,2018,2.72
jpn,2007,4.11
jpn,2010,4.19
jpn,2012,4.11
jpn,2014,4.15543
jpn,2016,4.09689
jpn,2018,4.25
kaz,2007,1.86
kaz,2010,2.66
kaz,2012,2.6
kaz,2014,2.38302
kaz,2016,2.76191
kaz,2018,2.55
ken,2007,2.15
ken,2010,2.14
ken,2012,2.16
ken,2014,2.40278
ken,2016,3.20971
ken,2018,2.55
kgz,2007,2.06
kgz,2010,2.09
kgz,2012,2.49
kgz,2014,2.04597
kgz,2016,1.96
kgz,2018,2.38
khm,2007,2.3
khm,2010,2.12
khm,2012,2.2
khm,2014,2.58333
khm,2016,2.36292
khm,2018,2.14
kor,2007,3.44
kor,2010,3.62
kor,2012,3.74
kor,2014,3.79102
kor,2016,3.79054
kor,2018,3.73
kwt,2007,2.83
kwt,2010,3.33
kwt,2012,2.82
kwt,2014,3.15909
kwt,2016,2.92298
kwt,2018,3.02
lao,2007,2
lao,2010,1.95
lao,2012,2.4
lao,2014,2.20625
lao,2016,1.76183
lao,2018,2.44
lbn,2007,2.14
lbn,2010,3.05
lbn,2012,2.41
lbn,2014,2.52778
lbn,2016,2.64297
lbn,2018,2.64
lbr,2007,2.14
lbr,2010,2
lbr,2012,2.41
lbr,2014,2.57143
lbr,2016,2.01261
lbr,2018,1.91
lby,2010,2.18
lby,2012,1.75
lby,2014,2.29412
lby,2016,2.04072
lby,2018,2.25
lka,2007,2.13
lka,2010,1.88
lka,2012,2.5
lka,2014,2.23151
lka,2018,2.49
lso,2007,2
lso,2012,2.12
lso,2014,2.35031
lso,2016,1.96164
lso,2018,1.96
ltu,2007,2.3
ltu,2010,2.72
ltu,2012,2.58
ltu,2014,3.1848
ltu,2016,3.57143
ltu,2018,2.73
lux,2007,3.86
lux,2010,4.06
lux,2012,3.79
lux,2014,3.90909
lux,2016,4.235
lux,2018,3.63
lva,2007,2.56
lva,2010,2.88
lva,2012,2.52
lva,2014,3.02915
lva,2016,3.23538
lva,2018,2.98
mar,2007,2.33
mar,2012,3.14
mar,2016,2.46142
mar,2018,2.43
mda,2007,1.94
mda,2010,2.05
mda,2012,2.44
mda,2014,2.55424
mda,2016,2.35294
mda,2018,2.02
mdg,2007,2.13
mdg,2010,2.63
mdg,2012,2.4
mdg,2014,2.14773
mdg,2016,2.11822
mdg,2018,2.16
mdv,2010,2.16
mdv,2012,2.47
mdv,2014,2.56214
mdv,2016,2.56764
mdv,2018,2.72
mex,2007,2.68
mex,2010,2.95
mex,2012,3.03
mex,2014,3.03624
mex,2016,2.89092
mex,2018,2.85
mkd,2007,2.29
mkd,2010,2.55
mkd,2012,2.6
mkd,2014,2.4989
mkd,2016,2.58114
mkd,2018,2.47
mli,2007,1.9
mli,2010,2
mli,2014,2.20278
mli,2016,2.29923
mli,2018,2.3
mlt,2010,2.89
mlt,2012,3.1
mlt,2014,3.07692
mlt,2016,2.94286
mlt,2018,2.9
mmr,2007,1.69
mmr,2010,1.92
mmr,2012,2.1
mmr,2014,2.14286
mmr,2016,2.32959
mmr,2018,1.99
mne,2010,2.45
mne,2012,2.3
mne,2014,2.83956
mne,2016,2.06827
mne,2018,2.57
mng,2007,1.92
mng,2010,1.94
mng,2012,2.22
mng,2014,2.28705
mng,2016,2.05128
mng,2018,2.1
moz,2007,2.08
moz,2010,2.04
moz,2014,2.15385
moz,2016,2.23802
mrt,2007,2.2
mrt,2012,2.34
mrt,2014,2.4
mrt,2016,1.54286
mrt,2018,2.26
mus,2007,2.29
mus,2010,2.29
mus,2012,2.83
mus,2014,2.5
mus,2018,2.8
mwi,2007,2.13
mwi,2012,2.78
mwi,2014,3.04214
mwi,2018,2.18
mys,2007,3.33
mys,2010,3.5
mys,2012,3.43
mys,2014,3.55895
mys,2016,3.44761
mys,2018,3.15
nam,2007,2
nam,2010,1.71
nam,2012,2.72
nam,2014,2.57079
nam,2016,2.76389
ner,2007,1.4
ner,2010,2.28
ner,2012,2.45
ner,2014,2.07988
ner,2016,2.22242
ner,2018,2
nga,2007,2.23
nga,2010,2.43
nga,2012,2.27
nga,2014,2.55933
nga,2016,2.39885
nga,2018,2.56
nic,2007,1.86
nic,2010,2.23
nic,2014,2.20256
nic,2016,2.49933
nld,2007,4.29
nld,2010,4.25
nld,2012,4.15
nld,2014,4.22953
nld,2016,4.28974
nld,2018,4.21
nor,2007,3.82
nor,2010,4.22
nor,2012,3.86
nor,2014,4.19194
nor,2016,3.9545
nor,2018,3.69
npl,2007,1.77
npl,2010,1.8
npl,2012,1.87
npl,2014,2.26143
npl,2016,2.26667
npl,2018,2.19
nzl,2007,3.61
nzl,2010,3.54
nzl,2012,3.42
nzl,2014,3.67144
nzl,2016,3.54912
nzl,2018,3.99
omn,2007,2.86
omn,2010,3.06
omn,2012,2.96
omn,2014,2.88462
omn,2016,3.43648
omn,2018,3.16
pak,2007,2.37
pak,2010,2.08
pak,2012,2.69
pak,2014,2.66987
pak,2016,2.69727
pak,2018,2.2
pan,2007,2.79
pan,2010,2.63
pan,2012,2.94
pan,2014,2.99592
pan,2016,3.28159
pan,2018,3.13
per,2007,2.57
per,2010,2.66
per,2012,2.73
per,2014,2.72036
per,2016,2.6237
per,2018,2.28
phl,2007,2.26
phl,2010,2.57
phl,2012,2.8
phl,2014,2.6
phl,2016,2.5501
phl,2018,2.73
png,2007,2
png,2010,1.91
png,2012,2.2
png,2014,2.22794
png,2016,2.32261
png,2018,1.97
pol,2007,2.69
pol,2010,2.98
pol,2012,3.1
pol,2014,3.08333
pol,2016,3.16924
pol,2018,3.21
prt,2007,3.16
prt,2010,3.17
prt,2012,3.42
prt,2014,3.37211
prt,2016,3.08815
prt,2018,3.25
pry,2007,2.47
pry,2010,2.44
pry,2012,2.41
pry,2014,2.4553
pry,2016,2.44566
pry,2018,2.55
qat,2007,2.63
qat,2010,2.75
qat,2012,3.23
qat,2014,3.43914
qat,2016,3.56804
qat,2018,3.38
rou,2007,2.73
rou,2010,2.25
rou,2012,2.51
rou,2014,2.77331
rou,2016,2.88235
rou,2018,2.91
rus,2007,2.23
rus,2010,2.38
rus,2012,2.45
rus,2014,2.58994
rus,2016,2.42952
rus,2018,2.78
rwa,2007,1.53
rwa,2010,1.63
rwa,2012,1.88
rwa,2014,2.32197
rwa,2016,2.62196
rwa,2018,2.76
sau,2007,2.95
sau,2010,3.27
sau,2012,3.22
sau,2014,3.34218
sau,2016,3.23541
sau,2018,3.11
sdn,2007,2.36
sdn,2010,1.78
sdn,2012,2.01
sdn,2014,1.89766
sdn,2016,2.20169
sdn,2018,2.18
sen,2007,2.09
sen,2010,2.64
sen,2012,2.31
sen,2014,2.3
sen,2016,2.23349
sen,2018,2.22
sgp,2007,4.27
sgp,2010,4.22
sgp,2012,4.15
sgp,2014,4.27859
sgp,2016,4.20396
sgp,2018,4.06
slb,2007,2
slb,2010,2.23
slb,2012,2.03
slb,2014,2.46338
slb,2016,2.20718
slb,2018,2.21
sle,2007,1.83
sle,2010,1.61
sle,2012,2.5
sle,2016,2.06947
sle,2018,1.82
slv,2007,2.42
slv,2010,2.44
slv,2012,2.46
slv,2014,2.63392
slv,2016,2.24929
slv,2018,2.25
som,2007,1.63
som,2010,1.5
som,2014,1.5
som,2016,1.57143
som,2018,1.81
srb,2007,2.18
srb,2010,2.3
srb,2012,2.62
srb,2014,2.72567
srb,2016,2.49107
srb,2018,2.6
stp,2007,2.2
stp,2012,2.24
stp,2014,2.58649
stp,2016,2.11782
stp,2018,2.33
svk,2007,2.68
svk,2010,3
svk,2012,2.99
svk,2014,3.21852
svk,2016,3.24335
svk,2018,3
svn,2007,3.22
svn,2010,2.65
svn,2012,3.24
svn,2014,3.34987
svn,2016,3.18991
svn,2018,3.26
swe,2007,4.11
swe,2010,4.03
swe,2012,4.13
swe,2014,4.09375
swe,2016,4.27013
swe,2018,4.24
syr,2007,1.91
syr,2010,2.45
syr,2012,2.54
syr,2014,2.07692
syr,2016,1.23765
syr,2018,2.51
tcd,2007,1.8
tcd,2010,2
tcd,2012,2
tcd,2014,2.33333
tcd,2016,2.07437
tcd,2018,2.37
