global,time,ne_con_govt_kd_zg
world,1971,3.50263
world,1972,3.204
world,1973,3.07006
world,1974,3.44109
world,1975,5.49395
world,1976,2.58485
world,1977,2.00729
world,1978,3.35193
world,1979,2.59747
world,1980,2.58722
world,1981,2.7578
world,1982,2.30925
world,1983,2.13527
world,1984,1.51885
world,1985,3.86323
world,1986,3.36822
world,1987,2.97987
world,1988,2.07034
world,1989,2.83841
world,1990,2.42065
world,1991,1.77362
world,1992,1.22909
world,1993,0.91377
world,1994,0.85563
world,1995,1.09085
world,1996,1.27237
world,1997,1.54164
world,1998,2.11954
world,1999,2.67587
world,2000,2.30573
world,2001,2.7687
world,2002,2.90809
world,2003,2.10534
world,2004,2.16824
world,2005,1.95428
world,2006,2.36103
world,2007,2.54836
world,2008,2.77912
world,2009,3.40366
world,2010,1.33621
world,2011,0.71311
world,2012,0.81071
world,2013,0.73891
world,2014,1.19945
world,2015,1.49727
world,2016,1.63251
world,2017,1.4148
world,2018,1.89359
world,2019,2.44112
world,2020,1.66855
