geo,time,ne_con_prvt_cn_ad
abw,1995,1193000000
abw,1996,1320000000
abw,1997,1367000000
abw,1998,1500000000
abw,1999,1602000000
abw,2000,1656000000
abw,2001,1712000000
abw,2002,1821000000
abw,2003,1947000000.00001
abw,2004,2056000000
abw,2005,2198999999.99999
abw,2006,2363000000
abw,2007,2643000000.00001
abw,2008,2716000000
abw,2009,2542000000
abw,2010,2586999999.99999
abw,2011,2806000000.00001
abw,2012,2833000000
abw,2013,2869920000
abw,2014,2917235652.56522
abw,2015,2934654689.24211
abw,2016,2912626605.03457
abw,2017,3051924645.11744
ago,2001,106007090166.401
ago,2002,276187000000
ago,2003,570822000000.00098
ago,2004,818775000000
ago,2005,1029632000000
ago,2006,1222807000000
ago,2007,1551012000000
ago,2008,1913019000000
ago,2009,2354311934600
ago,2010,2757018056100
ago,2011,3568471719200
ago,2012,4328808594700
ago,2013,4955099089800
ago,2014,6369353590300
ago,2015,7357941464400
ago,2016,9272025704600.01953
ago,2017,11586486508100
ago,2018,14444171228100
ago,2019,18206546000000
ago,2020,21379876000000
alb,1990,12278755151.4193
alb,1991,18009336365.5438
alb,1992,97762905311.95369
alb,1993,180867266517.716
alb,1994,217387475573.63501
alb,1995,244931603861.30896
alb,1996,314756950000
alb,1997,324445250000
alb,1998,364128940000
alb,1999,383873630000
alb,2000,414665910000
alb,2001,440670900000
alb,2002,488606940000
alb,2003,544429870000
alb,2004,569539700000
alb,2005,618766830000
alb,2006,677443750000
alb,2007,789482450000
alb,2008,897974040000
alb,2009,924522280000
alb,2010,968278490000
alb,2011,1018381240000
alb,2012,1039151160000.01001
alb,2013,1080438960000
alb,2014,1127229999999.98999
alb,2015,1157410580000
alb,2016,1192134620000
alb,2017,1234438339999.98999
alb,2018,1294779360000
alb,2019,1351630510000
alb,2020,1340515640000
are,2001,224344418900
are,2002,247516081600
are,2003,267484609200
are,2004,329866665900
are,2005,373731661700
are,2006,457023163800
are,2007,569244342400
are,2008,676412314599.99902
are,2009,486877452200
are,2010,449542508600
are,2011,494497875100.00201
are,2012,442160302200
are,2013,486219036600.00098
are,2014,536990501799.99799
are,2015,465764019200
are,2016,474611562700
are,2017,528316777100
are,2018,593901968299.99902
are,2019,601625266897.55103
arg,1990,53165998080
arg,1991,145521999900
arg,1992,185517998100
arg,1993,163675543300
arg,1994,180006952200
arg,1995,176908603000
arg,1996,186487153500
arg,1997,203028516700
arg,1998,206433800000
arg,1999,198869454200
arg,2000,197044177500
arg,2001,185164262200
arg,2002,193482093300
arg,2003,237566558100
arg,2004,312081885600
arg,2005,367170269399.99902
arg,2006,452953978900
arg,2007,560892761799.99805
arg,2008,725134483100
arg,2009,785922738000.00098
arg,2010,1067391726600
arg,2011,1399376280100
arg,2012,1712095753000
arg,2013,2209467257800
arg,2014,2993947728200
arg,2015,3924370265600
arg,2016,5407702093300
arg,2017,7114591012500
arg,2018,10243246855500
arg,2019,14547945088400
arg,2020,17456121446200
arm,1990,24460000
arm,1991,45650000
arm,1992,292020000
arm,1993,3939680000
arm,1994,176379000000
arm,1995,554258000000
arm,1996,663266000000
arm,1997,830544000000
arm,1998,954028000000
arm,1999,948387000000
arm,2000,1053678000000
arm,2001,1157209400000
arm,2002,1276642400000
arm,2003,1423378000000
arm,2004,1655402100000
arm,2005,1781388300000
arm,2006,2018953900000
arm,2007,2373202600000
arm,2008,2686596400000
arm,2009,2656184100000
arm,2010,2984663100000
arm,2011,3324785000000
arm,2012,3664029000000
arm,2013,3953770300000.00977
arm,2014,4130753900000
arm,2015,3929789519999.97998
arm,2016,3866530299999.97998
arm,2017,4453263600000
arm,2018,4801647600000.00977
arm,2019,5459712499999.99023
arm,2020,4660707899999.99023
asm,2002,312000000
asm,2003,332000000
asm,2004,357000000
