geo,time,ne_con_prvt_kd_zg
ago,2003,8.22
ago,2004,3.96
ago,2005,5.03
ago,2006,6.41
ago,2007,5.98
ago,2008,8.17
ago,2009,10.31795
ago,2010,3.91444
ago,2011,10.24842
ago,2012,9.84369
ago,2013,8.26664
ago,2014,12.67376
ago,2015,2.95879
ago,2016,5.894
ago,2017,2.9
ago,2018,-3.41301
ago,2019,-1.59943
ago,2020,-3.96004
alb,1997,-17.9704
alb,1998,-5.38134
alb,1999,2.93409
alb,2000,6.19822
alb,2001,3.99111
alb,2002,7.17256
alb,2003,10.39298
alb,2004,3.68703
alb,2005,6.39377
alb,2006,6.92426
alb,2007,12.73648
alb,2008,10.12853
alb,2009,0.71375
alb,2010,1.67042
alb,2011,1.77125
alb,2012,0.12898
alb,2013,1.83658
alb,2014,2.81394
alb,2015,1.18273
alb,2016,2.12682
alb,2017,2.44345
alb,2018,3.21554
alb,2019,3.15496
alb,2020,-2.39959
are,2002,6.20446
are,2003,1.99561
are,2004,11.42189
are,2005,2.66825
are,2006,15.24552
are,2007,12.30117
are,2008,11.91174
are,2009,-28.01244
are,2010,-27.31634
are,2011,11.00593
are,2012,-10.81091
are,2013,5.20879
are,2014,12.32019
are,2015,-19.07785
are,2016,1.63299
are,2017,9.3779
are,2018,6.09876
are,2019,9.95597
are,2020,-12.48163
arg,1994,6.06841
arg,1995,-4.37768
arg,1996,5.53456
arg,1997,8.97656
arg,1998,3.47508
arg,1999,-1.99817
arg,2000,-0.65965
arg,2001,-5.74135
arg,2002,-14.35419
arg,2003,8.16897
arg,2004,9.49962
arg,2005,7.39258
arg,2006,10.95623
arg,2007,9.33884
arg,2008,7.24465
arg,2009,-5.39765
arg,2010,11.18819
arg,2011,9.36872
arg,2012,1.11028
arg,2013,3.63901
arg,2014,-4.35823
arg,2015,3.6562
arg,2016,-0.78027
arg,2017,4.15844
arg,2018,-2.24573
arg,2019,-7.2924
arg,2020,-13.76767
arm,1995,9.65185
arm,1996,4.09165
arm,1997,8.01118
arm,1998,4.79821
arm,1999,0.74644
arm,2000,8.20683
arm,2001,7.1978
arm,2002,8.27972
arm,2003,7.26078
arm,2004,8.90041
arm,2005,9.08937
arm,2006,8.29193
arm,2007,13.22339
arm,2008,5.36264
arm,2009,-4.46661
arm,2010,3.80003
arm,2011,2.39997
arm,2012,9.08146
arm,2013,1.70452
arm,2014,1.59038
arm,2015,-7.54287
arm,2016,-2.02631
arm,2017,13.9703
arm,2018,4.80531
arm,2019,11.51091
arm,2020,-13.88519
asm,2003,2.42915
asm,2004,4.34783
asm,2005,-1.32576
asm,2006,-1.72745
asm,2007,-1.75781
asm,2008,-2.7833
asm,2009,-3.06748
asm,2010,-4.21941
asm,2011,-5.06608
asm,2012,-2.5522
asm,2013,4.7619
asm,2014,2.5
asm,2015,1.55211
asm,2016,1.0917
asm,2017,-0.64795
asm,2018,1.08696
asm,2019,3.44086
asm,2020,0.8316
aus,1961,2.21397
aus,1962,2.50809
aus,1963,5.45207
aus,1964,7.04485
aus,1965,4.99962
aus,1966,2.93261
aus,1967,5.11551
aus,1968,4.96544
aus,1969,5.31958
aus,1970,6.12236
aus,1971,3.88514
aus,1972,3.60106
aus,1973,4.69676
aus,1974,6.28915
aus,1975,4.84177
aus,1976,0.76875
aus,1977,5.30656
aus,1978,1.95993
aus,1979,1.50006
aus,1980,1.79058
aus,1981,3.25522
aus,1982,5.56877
aus,1983,2.40498
aus,1984,1.09115
aus,1985,0.91274
aus,1986,5.13437
aus,1987,2.00176
aus,1988,3.16278
aus,1989,4.61065
aus,1990,4.30863
aus,1991,0.97984
aus,1992,2.33386
aus,1993,1.87439
aus,1994,2.14564
aus,1995,4.42584
aus,1996,3.35667
aus,1997,2.85623
aus,1998,5.03057
aus,1999,5.52161
aus,2000,4.24342
aus,2001,3.35973
aus,2002,3.04715
aus,2003,4.257
aus,2004,5.30513
aus,2005,4.48162
aus,2006,3.26336
aus,2007,5.25974
aus,2008,4.78226
aus,2009,0.26068
aus,2010,3.3923
aus,2011,4.06002
aus,2012,2.85757
aus,2013,1.87966
aus,2014,2.19036
aus,2015,2.53656
aus,2016,2.55523
aus,2017,2.41376
aus,2018,2.69535
aus,2019,1.51138
aus,2020,-3.12896
aut,1971,6.71818
aut,1972,6.08016
aut,1973,5.37183
aut,1974,2.99211
aut,1975,3.24728
aut,1976,4.54441
aut,1977,6.42988
aut,1978,-1.70553
aut,1979,4.74673
aut,1980,2.51991
aut,1981,1.27539
aut,1982,1.9231
aut,1983,5.43425
aut,1984,-2.1276
aut,1985,1.81088
aut,1986,2.19296
aut,1987,2.41781
aut,1988,2.40789
aut,1989,3.58816
aut,1990,4.23484
aut,1991,2.99499
aut,1992,3.47929
aut,1993,0.10592
aut,1994,2.04302
aut,1995,0.85243
aut,1996,2.93894
aut,1997,0.42008
aut,1998,2.90528
aut,1999,2.41754
aut,2000,3.11643
aut,2001,1.28093
aut,2002,0.68197
aut,2003,1.74285
aut,2004,2.32089
aut,2005,2.24842
aut,2006,2.09239
aut,2007,1.10372
aut,2008,0.94632
aut,2009,0.85065
aut,2010,0.99439
aut,2011,1.34508
aut,2012,0.52192
aut,2013,-0.07902
aut,2014,0.30368
aut,2015,0.48794
aut,2016,1.54535
aut,2017,1.95656
aut,2018,1.0782
aut,2019,0.66514
aut,2020,-8.46898
aze,1993,-25.3
aze,1994,-26.8
aze,1995,-2.6
aze,1996,9.5
aze,1997,11.9
aze,1998,13.9
aze,1999,12.2
aze,2000,21.7467
aze,2001,-3.12391
aze,2002,12.4293
aze,2003,5.77708
aze,2004,10.65243
aze,2005,21.19787
aze,2006,36.37123
aze,2007,18.08754
aze,2008,6.58532
aze,2009,6.38911
aze,2010,-14.97175
aze,2011,23.90537
aze,2012,2.2
bdi,1998,8.64331
bdi,1999,-2.52301
bdi,2000,-1.16225
bdi,2001,0.77598
bdi,2002,8.2301
bdi,2003,-3.25772
bdi,2004,4
bdi,2005,12.67423
bdi,2006,10.42796
bdi,2007,-1.46393
bdi,2008,3.46666
bdi,2009,0.31344
bdi,2010,-0.25428
bdi,2011,7.85733
bdi,2012,3.95287
bdi,2013,10.53178
bdi,2014,3.77057
bdi,2015,-2.04984
bdi,2016,-1.69983
bdi,2017,0.15783
bdi,2018,3.5
bdi,2019,3
bdi,2020,0.43756
bel,1971,4.91926
bel,1972,5.91935
bel,1973,8.14996
bel,1974,2.80443
bel,1975,0.85573
bel,1976,5.08408
bel,1977,2.63126
bel,1978,2.49633
bel,1979,5.13144
bel,1980,-0.8128
bel,1981,0.41794
bel,1982,2.43851
bel,1983,-0.1502
bel,1984,0.36902
bel,1985,2.70844
bel,1986,2.7189
bel,1987,1.73533
bel,1988,3.31803
bel,1989,3.30773
bel,1990,3.17453
bel,1991,3.0203
bel,1992,1.90816
bel,1993,-0.44834
bel,1994,2.39494
bel,1995,1.57605
bel,1996,1.96338
bel,1997,1.53308
bel,1998,3.13908
bel,1999,2.11263
bel,2000,2.81687
bel,2001,0.94325
bel,2002,0.6116
bel,2003,0.71785
bel,2004,1.06418
bel,2005,1.44428
bel,2006,1.77486
bel,2007,2.09228
bel,2008,1.37497
bel,2009,0.58452
bel,2010,3.00906
bel,2011,0.86543
bel,2012,1.46746
bel,2013,1.66925
bel,2014,0.55201
bel,2015,1.5851
bel,2016,1.57005
bel,2017,1.89223
bel,2018,1.94214
bel,2019,1.80509
bel,2020,-8.23534
ben,1961,1.65898
ben,1962,-1.16833
ben,1963,8.3754
ben,1964,8.92257
ben,1965,7.21495
ben,1966,10.18879
ben,1967,2.41657
ben,1968,3.4558
ben,1969,0.23673
ben,1970,1.54412
ben,1971,0.94608
ben,1972,3.91336
ben,1973,3.84135
ben,1974,0.56403
ben,1975,-1.98435
ben,1976,-0.1069
ben,1977,12.14274
ben,1978,2.71883
ben,1979,5.22073
ben,1980,5.42184
ben,1981,9.11808
ben,1982,-11.66603
ben,1983,-1.6778
ben,1984,8.13193
ben,1985,11.22257
ben,1986,-1.60545
ben,1987,-2.10619
ben,1988,11.4373
ben,1989,-7.29413
ben,1990,-5.42825
ben,1991,9.48615
ben,1992,5.82728
ben,1993,5.29029
ben,1994,-5.31315
ben,1995,4.22784
ben,1996,5.7309
ben,1997,5.01934
ben,1998,5.44985
ben,1999,5.31755
ben,2000,7.5324
ben,2001,4.3868
ben,2002,4.31949
ben,2003,2.70886
ben,2004,4.04224
ben,2005,2.07963
ben,2006,4.36352
ben,2007,3.76122
ben,2008,4.33776
ben,2009,2.83264
ben,2010,2.04838
ben,2011,3.74556
ben,2012,1.91413
ben,2013,4.04817
ben,2014,3.68486
ben,2015,5.25109
ben,2016,1.9342
ben,2017,3.5
ben,2018,3.5
ben,2019,3.5
ben,2020,3.23
bfa,1966,1.28884
bfa,1967,13.81311
bfa,1968,1.87074
bfa,1969,2.35261
bfa,1970,-5.87776
bfa,1971,2.00645
bfa,1972,-4.32177
bfa,1973,-0.88088
bfa,1974,6.05979
bfa,1975,6.4991
bfa,1976,6.68613
bfa,1977,11.30406
bfa,1978,-0.76428
bfa,1979,2.54866
bfa,1980,7.36676
bfa,1981,4.13291
bfa,1982,1.69936
bfa,1983,0.42172
bfa,1984,-6.36827
bfa,1985,4.63212
bfa,1986,14.13333
bfa,1987,-5.15781
bfa,1988,5.62011
bfa,1989,-1.83778
bfa,1990,-2.97425
bfa,1991,5.26485
bfa,1992,0.71076
bfa,1993,6.65607
bfa,1994,-20.02226
bfa,1995,16.94684
bfa,1996,18.34025
bfa,1997,2.44879
bfa,1998,13.24017
bfa,1999,16.90225
bfa,2000,0.50095
bfa,2001,1.27831
bfa,2002,5.3717
bfa,2003,5.15024
bfa,2004,6.58725
bfa,2005,5.46463
bfa,2006,4.26931
bfa,2007,1.65433
bfa,2008,7.24589
bfa,2009,1.036
bfa,2010,5.42986
bfa,2011,5.65575
bfa,2012,9.47108
bfa,2013,6.33586
bfa,2014,1.32563
bfa,2015,3.69481
bfa,2016,4.25322
bfa,2017,3.54196
bfa,2018,2.37121
bfa,2019,2.93509
bgd,1961,8.94927
bgd,1962,-1.74395
bgd,1963,4.91122
bgd,1964,10.59355
bgd,1965,0.48167
bgd,1966,1.69635
bgd,1967,-0.47644
bgd,1968,3.06165
bgd,1969,4.04336
bgd,1970,8.74112
bgd,1971,-3.51935
bgd,1972,-6.17249
bgd,1973,-14.01988
bgd,1974,-4.8361
bgd,1975,-4.60781
bgd,1976,-0.15984
bgd,1977,-12.50111
bgd,1978,15.6953
bgd,1979,3.12182
bgd,1980,4.05599
bgd,1981,-3.39597
bgd,1982,-3.16971
bgd,1983,2.62055
bgd,1984,7.20196
bgd,1985,1.31995
bgd,1986,2.85773
bgd,1987,2.73707
bgd,1988,3.87997
bgd,1989,0.903
bgd,1990,7.63873
bgd,1991,-0.31691
bgd,1992,3.94569
bgd,1993,3.40502
bgd,1994,3.66232
bgd,1995,3.74624
