global,time,ne_con_prvt_pc_kd
world,1970,2840.28447
world,1971,2907.91009
world,1972,3018.73583
world,1973,3121.98778
world,1974,3101.51111
world,1975,3118.73493
world,1976,3215.56023
world,1977,3277.23257
world,1978,3350.37399
world,1979,3414.67313
world,1980,3414.62873
world,1981,3411.53805
world,1982,3402.41779
world,1983,3450.27837
world,1984,3513.03361
world,1985,3576.84694
world,1986,3644.19472
world,1987,3700.41431
world,1988,3787.64096
world,1989,3848.34354
world,1990,3905.31531
world,1991,3899.37466
world,1992,3946.59731
world,1993,3965.02209
world,1994,4029.12832
world,1995,4082.37534
world,1996,4174.19839
world,1997,4253.18023
world,1998,4327.38882
world,1999,4436.85393
world,2000,4566.33515
world,2001,4638.80986
world,2002,4701.96547
world,2003,4775.44683
world,2004,4896.04167
world,2005,5026.34248
world,2006,5140.55415
world,2007,5290.83686
world,2008,5313.4858
world,2009,5245.99837
world,2010,5348.30943
world,2011,5451.34304
world,2012,5520.45995
world,2013,5609.43101
world,2014,5704.4291
world,2015,5803.05024
world,2016,5905.19456
world,2017,6038.65119
world,2018,6171.23194
world,2019,6261.32058
world,2020,5866.14816
