global,time,ne_con_totl_cd
world,1970,2224110701076.6001
world,1971,2473724639430.18945
world,1972,2841639337502.25977
world,1973,3407534488540.25977
world,1974,3928377257654.72021
world,1975,4504490488618.67969
world,1976,4851380345821.74023
world,1977,5478081924744.26953
world,1978,6439826266862.66992
world,1979,7459448874149.30859
world,1980,8449661619847.54883
world,1981,8695957714615.54883
world,1982,8805491493781.35938
world,1983,9075609649603.94922
world,1984,9296145182644.31055
world,1985,9807691883737.35938
world,1986,11634692983531.90039
world,1987,13193860736086.40039
world,1988,14602761086318.09961
world,1989,15108699425332.5
world,1990,17116508122106.80078
world,1991,17923715573691.39844
world,1992,19274738336891.5
world,1993,19695836790054.39844
world,1994,21123936374156.60156
world,1995,23363984557352
world,1996,23925373286092.69531
world,1997,23824245100992.19922
world,1998,23904464731075
world,1999,24877964752278.39844
world,2000,25591004485610.30078
world,2001,25749422160816
world,2002,26877549454558.10156
world,2003,30087285386689.39844
world,2004,33512671590847.60156
world,2005,36054580003425.69531
world,2006,38630765131660
world,2007,43214197188184.70312
world,2008,47493319457983.89844
world,2009,46275514768088.39844
world,2010,49613099467154.09375
world,2011,54395549451909.29688
world,2012,55415565637045.20312
world,2013,56958817134073.89844
world,2014,58433255607889
world,2015,55144364225376.09375
world,2016,56208579922715.39844
world,2017,59351759963881.89844
world,2018,62670070447996
world,2019,63792394159360.89844
world,2020,61884423712824.29688
