global,time,ne_dab_totl_cd
world,1970,3040647618392.06006
world,1971,3369245965259.37988
world,1972,3880963604895.80957
world,1973,4732303852137.58008
world,1974,5459297749027.34961
world,1975,6071968747207.90039
world,1976,6606975564578.24023
world,1977,7478511798141.66113
world,1978,8826225015262.92969
world,1979,10250272588230.19922
world,1980,11529633670540.59961
world,1981,11772841879247
world,1982,11679144604232.90039
world,1983,11918726056938.40039
world,1984,12338523393893.09961
world,1985,12943399052146
world,1986,15323969561006.80078
world,1987,17426389836154.69922
world,1988,19538298865719.60156
world,1989,20339343323863.60156
world,1990,22945671219175.10156
world,1991,23817556190028.80078
world,1992,25433864761886.89453
world,1993,25816118657401.19922
world,1994,27887475764015
world,1995,30932600752200.30078
world,1996,31611066143468.19922
world,1997,31438500630726.69531
world,1998,31397440360059.5
world,1999,32648477582411
world,2000,33746699277596.89453
world,2001,33560433663746.69531
world,2002,34776618735896
world,2003,39040654226206
world,2004,43918330901546.49219
world,2005,47501745186267.50781
world,2006,51328649844773.20312
world,2007,57784929327104.70312
world,2008,63479179080995.29688
world,2009,60200047797498.70312
world,2010,65642264014820.39844
world,2011,72888525181210.5
world,2012,74474410579244.59375
world,2013,76652684165082.09375
world,2014,78893143762902.78125
world,2015,74495697440013.79688
world,2016,75622115896575.29688
world,2017,80368608861777.40625
world,2018,85401371247732.98438
world,2019,86947019685075.5
world,2020,84190743433756.28125
