global,time,ne_gdi_ftot_cd
world,1970,737437603412.88098
world,1971,831573109910.67883
world,1972,998478341711.47009
world,1973,1247502809257.3501
world,1974,1404363631855.46997
world,1975,1544109925042.87012
world,1976,1674351835521.15991
world,1977,1920286582968.31006
world,1978,2316761806018.29004
world,1979,2688843361894.52979
world,1980,2996939462583.5498
world,1981,3037350470351.99023
world,1982,2903051463765.68018
world,1983,2875360002683.25977
world,1984,2959606918397.25
world,1985,3094662542207.8501
world,1986,3689795334813.3999
world,1987,4228820445583.9502
world,1988,4840686824953.71973
world,1989,5105413112884.29004
world,1990,5648295327754.33984
world,1991,5749193011758.5498
world,1992,6048298537160.2002
world,1993,6055177265706.28027
world,1994,6604513897252.63965
world,1995,7368002834746.83008
world,1996,7552150765022.19043
world,1997,7432091871248.79004
world,1998,7377171338720.38867
world,1999,7698466218507.87012
world,2000,8022830502991.90039
world,2001,7819006037869.90039
world,2002,7886201117729.91016
world,2003,8876653606926.0293
world,2004,10164296070255.09961
world,2005,11248972761559.19922
world,2006,12392974571643.40039
world,2007,14106577692881.69922
world,2008,15518543613182.90039
world,2009,14274777344423.90039
world,2010,15556292014752.30078
world,2011,17594228231195.69922
world,2012,18351768328250.80078
world,2013,19010793109050.30078
world,2014,19694023917397.19922
world,2015,18751157454204.5
world,2016,18921677491385.89453
world,2017,20311695838285.30078
world,2018,21941226677380.19922
world,2019,22508436341631.30078
world,2020,21995576882189.60156
