global,time,ne_gdi_totl_kd
world,1995,9763448165992.88086
world,1996,9700879588768.86133
world,1997,10098124729198.19922
world,1998,9837136975490.75977
world,1999,10021596497783.09961
world,2000,10516894611593.90039
world,2001,10397886717847.19922
world,2002,11158678600729.19922
world,2003,11060274988587.19922
world,2004,12456606794956.90039
world,2005,13007209788620.40039
world,2006,14109907568308.59961
world,2007,15697529649325
world,2008,15896192850591.19922
world,2009,14659460629475.09961
world,2010,16090225234121.40039
world,2011,16972552572824.80078
world,2012,17353931268973
world,2013,17976121337546
world,2014,18798417329610.30078
world,2015,19374809299338.39844
world,2016,19867748562903.30078
world,2017,20869989874934.30078
world,2018,21797368064548
world,2019,22488790098660.60156
world,2020,21796901223048.60156
