global,time,ne_imp_gnfs_kd
world,1970,2326277024064.4502
world,1971,2454663422325.5498
world,1972,2656802258655.06006
world,1973,2959966235290.75
world,1974,3165002056612.52002
world,1975,3084298555302.52979
world,1976,3358939272167.64014
world,1977,3540923591526.31006
world,1978,3625317408143.87061
world,1979,3875542008477.52979
world,1980,3942313605420.7002
world,1981,3991278708452.99023
world,1982,3860916191547.24951
world,1983,3940645950596.2002
world,1984,4210313277278.41992
world,1985,4369752573996.79053
world,1986,4591663973169.98047
world,1987,4894082042774.17969
world,1988,5272958325977.44922
world,1989,5728044333437.62988
world,1990,6073627660144.19043
world,1991,6109564227582.15039
world,1992,6288745378144.05957
world,1993,6396448345005.15039
world,1994,6952065893474.29004
world,1995,7600683392077.34863
world,1996,8132199228437.67871
world,1997,8932561866709.75781
world,1998,9391781777299.7207
world,1999,9889752296750.28711
world,2000,11128178497384.40039
world,2001,11221387074393.59961
world,2002,11571641356174.80078
world,2003,12240339447001.40039
world,2004,13496525692145.30078
world,2005,14624378515111.69922
world,2006,15960721722043.59961
world,2007,17179773238988.80078
world,2008,17737668252195.60156
world,2009,15685803374614.40039
world,2010,17534948681942.80078
world,2011,18679654211547.30078
world,2012,19099105179546.60156
world,2013,19579715344613.80078
world,2014,20220950923417.30078
world,2015,20721329633793.80078
world,2016,21144686319466.69531
world,2017,22436200289502.39844
world,2018,23455756211044.60156
world,2019,23860099563202.5
world,2020,21638407401289.89453
