geo,time,nv_agr_totl_cd
abw,1995,6681564.24581
abw,1996,6703910.61453
abw,1997,6586592.17877
abw,1998,6793296.08939
abw,1999,6603351.95531
abw,2000,7681564.24581
abw,2001,7779329.60894
abw,2002,7808379.88827
abw,2003,8112849.16201
abw,2004,8727932.96089
abw,2005,9012290.50279
abw,2006,9546927.3743
abw,2007,10597206.70391
abw,2008,10451955.30726
abw,2009,11005027.93296
afg,2002,1566430377.77431
afg,2003,1689670422.857
afg,2004,1553454438.92967
afg,2005,1931964163.238
afg,2006,1996295152.82618
afg,2007,2934600240.17318
afg,2008,2516435541.86834
afg,2009,3637624914.24071
afg,2010,4156046327.81437
afg,2011,4227586231.5897
afg,2012,4855568547.88774
afg,2013,4595528497.15267
afg,2014,4537457433.16701
afg,2015,3948215004.64758
afg,2016,4663260071.07864
afg,2017,4954704011.36768
afg,2018,3979454536.18354
afg,2019,4845364933.61459
afg,2020,5395268749.2362
ago,1995,368504825.79017
ago,1996,528873555.80873
ago,1997,688508306.9521
ago,1998,840031172.52266
ago,1999,387035510.80374
ago,2000,517165479.80678
ago,2001,728859048.23215
ago,2002,892609948.95498
ago,2003,1104099935.26016
ago,2004,1472209717.57715
ago,2005,1870877459.72595
ago,2006,2719244833.46004
ago,2007,3421449079.01718
ago,2008,4254580694.73061
ago,2009,4655175861.79946
ago,2010,5179054574.41704
ago,2011,6534868426.82371
ago,2012,7772334516.27771
ago,2013,8896384125.08302
ago,2014,10996982491.7805
ago,2015,10599805694.1197
ago,2016,9941656304.30585
ago,2017,12233138291.6657
ago,2018,8724224373.8227
ago,2019,5955814198.72169
ago,2020,5541452356.62648
alb,1996,1165017048.02634
alb,1997,712413087.93456
alb,1998,732872453.0299
alb,1999,832541636.49529
alb,2000,853223432.03155
alb,2001,890950856.18822
alb,2002,957666990.96476
alb,2003,1233309073.68723
alb,2004,1475553858.65087
alb,2005,1517438117.23806
alb,2006,1575348051.13788
alb,2007,1831547564.4132
alb,2008,2168840425.96305
alb,2009,2022750507.74863
alb,2010,2141582328.47493
alb,2011,2349572529.28269
alb,2012,2312038171.93268
alb,2013,2499687704.64809
alb,2014,2644330678.80167
alb,2015,2252343371.04056
alb,2016,2354447509.91804
alb,2017,2476624685.13854
alb,2018,2793251547.37696
alb,2019,2832296168.98557
alb,2020,2846806902.89922
are,1975,79519349.70843
are,1976,104727935.03832
are,1977,120667127.81493
are,1978,149566026.03844
are,1979,170872972.19383
are,1980,213896531.2618
are,1981,270498501.77064
are,1982,298556251.70253
are,1983,312721329.33806
are,1984,352220103.51403
are,1985,375919368.01961
are,1986,402070280.5775
are,1987,415962952.87388
are,1988,434486515.93571
are,1989,494688095.88668
are,1990,536638518.11496
are,1991,669027512.93925
are,1992,747752655.95206
are,1993,823753745.57341
are,1994,1085535276.49142
are,1995,1174884227.73086
are,1996,1318714246.79924
are,1997,1579950967.03895
are,1998,1650374404.35671
are,1999,1970319945.54118
are,2000,2360789652.82505
are,2001,2312321307.01157
are,2002,2419605173.58747
are,2003,2397004765.14636
are,2004,2461810755.61607
are,2005,2520353982.30089
are,2006,2430496936.69163
are,2007,2518992511.91287
are,2008,2609938733.83254
are,2009,2628999319.26481
are,2010,2212389380.53097
are,2011,2356160653.50579
are,2012,2393192648.0599
are,2013,2511368277.73996
are,2014,2578080326.75289
are,2015,2653778080.32675
are,2016,2770864533.69639
are,2017,2971272974.8128
are,2018,3034624016.33764
are,2019,3117340904.70064
are,2020,3296602435.8641
arg,1965,3657647056.60044
arg,1966,2942857060.50856
arg,1967,2420909129.36153
arg,1968,2570000119.25664
arg,1969,2871142801.33423
arg,1970,3043947529.01047
arg,1971,3617599855.69986
arg,1972,3815374911.49548
arg,1973,6280333430.12474
arg,1974,7410889160.41332
arg,1975,3452513642.24721
arg,1976,4171424983.67595
arg,1977,4591960171.9475
arg,1978,4358786867.94092
arg,1979,5399103642.79354
arg,1980,4889779676.74007
arg,1981,5094736992.14826
arg,1982,8090277995.49755
arg,1983,9002848956.56769
arg,1984,6601000166.75529
arg,1985,6750000170.51935
arg,1986,8653333202.14999
arg,1987,8993333404.72614
arg,1988,11330681729.6845
arg,1989,7369454003.07303
arg,1990,11483008746.543
arg,1991,12742527110.645
arg,1992,13706238946.0933
arg,1993,12161011111.1111
arg,1994,13084820500
arg,1995,13808477800
arg,1996,15269958100
arg,1997,15293015300
arg,1998,15702922200
arg,1999,12638962300
arg,2000,13300482400
arg,2001,12275651800
arg,2002,9974343869.19277
arg,2003,13177395614.839
arg,2004,13769497386.4639
arg,2005,15777249624.7271
arg,2006,16129176942.5676
arg,2007,21427791191.1784
arg,2008,26462268578.7967
arg,2009,17559926036.6081
arg,2010,30213817111.0998
arg,2011,37104716624.8996
arg,2012,31567304377.5225
arg,2013,33413631489.5722
