geo,time,nv_agr_totl_kn
abw,2000,13750000
afg,2002,244621500500
afg,2003,251466769200
afg,2004,195549723000
afg,2005,230158314800
afg,2006,218398948400
afg,2007,250504568500
afg,2008,213138481000
afg,2009,308119286200
afg,2010,288476267300
afg,2011,266574215800
afg,2012,315156805300
afg,2013,315173406000
afg,2014,314856010200
afg,2015,297043919800
afg,2016,314782645600
afg,2017,334963546800
afg,2018,320173863200
afg,2019,376075658800
afg,2020,398423354600
ago,2002,38855489600
ago,2003,41972804300
ago,2004,45781037200
ago,2005,47863678000
ago,2006,55666944900
ago,2007,58771670100
ago,2008,61565071000
ago,2009,65094369800
ago,2010,70652069500
ago,2011,77121109900
ago,2012,82604711600
ago,2013,85925148100
ago,2014,100810546400
ago,2015,111107582600
ago,2016,115426571500
ago,2017,115969538500
ago,2018,107185725800
ago,2019,102469000000
ago,2020,103292000000
alb,1996,156486916323.10101
alb,1997,129708440919.147
alb,1998,137794197371.466
alb,1999,145228648384.629
alb,2000,154952326218.44299
alb,2001,159125298257.87299
alb,2002,162383790114.78699
alb,2003,167163691062.82001
alb,2004,177708285344.48999
alb,2005,178914152940.56
alb,2006,184493598833.89401
alb,2007,189505046017.62897
alb,2008,202905860511.742
alb,2009,206770967695.61096
alb,2010,222589000000
alb,2011,233213000000
alb,2012,245789435666.61896
alb,2013,248579214449.54199
alb,2014,253455936980.31201
alb,2015,255401446011.71399
alb,2016,260630843034.30496
alb,2017,262807470417.14001
alb,2018,265900046272.72296
alb,2019,267564340209.43201
alb,2020,268446540000
are,2001,12166019200
are,2002,12556582400
are,2003,12165243300
are,2004,11925485200
are,2005,11446845600
are,2006,10457617900
are,2007,10264952600
are,2008,9146923400
are,2009,9109364300
are,2010,8124652492.97127
are,2011,8558055270.90298
are,2012,8752428071.67972
are,2013,8797706284.64866
are,2014,8783090515.85633
are,2015,8898722480.54025
are,2016,9203545011.48268
are,2017,9508275280.43016
are,2018,10021848846.2291
are,2019,10403063554.7559
are,2020,11118302981.6534
arg,1965,21718234021.4837
arg,1966,21917495139.6414
arg,1967,22475409215.3121
arg,1968,21518998209.1505
arg,1969,22475409215.3121
arg,1970,20387242571.849
arg,1971,20708059501.94049
arg,1972,21106528452.7839
arg,1973,23368037129.4766
arg,1974,24005609834.544
arg,1975,23346124577.2807
arg,1976,24447978565.8349
arg,1977,25045709971.7475
arg,1978,25743083300.4865
arg,1979,26480324475.6227
arg,1980,24889775336.6126
arg,1981,25759449898.813
arg,1982,27685798529.7416
arg,1983,28247131560.9532
arg,1984,28348343917.4315
arg,1985,27867805878.2192
arg,1986,27917614731.0033
arg,1987,27156024339.9796
arg,1988,29292164279.2572
arg,1989,26885017631.3024
arg,1990,29165004434.3229
arg,1991,30358771200
arg,1992,30415845300
arg,1993,31153634000
arg,1994,33420867300
arg,1995,35276560400
arg,1996,34962566800
arg,1997,35175459000
arg,1998,38093642200
arg,1999,38998118400
arg,2000,38309459700
arg,2001,38880702100
arg,2002,37850166500
arg,2003,40412781000
arg,2004,40567693200
arg,2005,48189745900
arg,2006,47936484300
arg,2007,52029101400
arg,2008,50891838200
arg,2009,37608327200
arg,2010,52472634100
arg,2011,51198345000
arg,2012,44606479700
arg,2013,49725795700
arg,2014,51269410300
arg,2015,55136129600
arg,2016,52535389600
