global,time,nv_ind_empl_kd
world,1991,13895.945
world,1992,13692.13536
world,1993,13458.99469
world,1994,15739.668
world,1995,16592.58864
world,1996,16827.37471
world,1997,21674.63557
world,1998,22095.21577
world,1999,22689.22373
world,2000,23541.82607
world,2001,23489.00856
world,2002,23940.86503
world,2003,24415.98954
world,2004,24867.4049
world,2005,24819.01772
world,2006,25092.99225
world,2007,25173.3531
world,2008,25039.15952
world,2009,23830.39021
world,2010,24900.98125
world,2011,25148.94937
world,2012,24932.2818
world,2013,25450.61106
world,2014,26054.60067
world,2015,27634.22872
world,2016,27459.80186
world,2017,28286.15767
world,2018,28791.63481
world,2019,29354.73745
