geo,time,nv_ind_manf_zs
abw,1995,2.51814
abw,1996,2.50999
abw,1997,2.47686
abw,1998,2.79447
abw,1999,3.59944
abw,2000,3.92219
abw,2001,3.85598
abw,2002,3.84259
abw,2003,3.71835
abw,2004,3.39759
abw,2005,3.27253
abw,2006,3.16889
abw,2007,2.95941
abw,2008,2.83944
abw,2009,3.14174
afg,2002,18.82275
afg,2003,16.92387
afg,2004,17.55401
afg,2005,16.59821
afg,2006,16.38554
afg,2007,17.74731
afg,2008,17.83912
afg,2009,13.14988
afg,2010,12.52258
afg,2011,13.77919
afg,2012,12.48609
afg,2013,11.49987
afg,2014,11.47759
afg,2015,11.42001
afg,2016,4.1142
afg,2017,3.53042
afg,2018,6.16018
afg,2019,7.04318
afg,2020,7.67626
ago,1995,3.64628
ago,1996,3.44575
ago,1997,4.37839
ago,1998,6.25937
ago,1999,3.22288
ago,2000,2.89016
ago,2001,3.8731
ago,2002,3.66183
ago,2003,3.99981
ago,2004,4.68194
ago,2005,3.91288
ago,2006,3.61282
ago,2007,3.39949
ago,2008,3.46174
ago,2009,5.10942
ago,2010,4.54177
ago,2011,4.1678
ago,2012,4.40329
ago,2013,4.82734
ago,2014,4.76307
ago,2015,5.68514
ago,2016,6.75268
ago,2017,6.58055
ago,2018,6.05947
ago,2019,4.30867
ago,2020,6.82848
alb,1996,4.85795
alb,1997,4.58343
alb,1998,4.72394
alb,1999,4.53252
alb,2000,4.31785
alb,2001,4.09904
alb,2002,4.06654
alb,2003,4.12416
alb,2004,4.17756
alb,2005,4.42584
alb,2006,4.90493
alb,2007,5.29679
alb,2008,4.9978
alb,2009,5.19758
alb,2010,5.45213
alb,2011,5.6619
alb,2012,4.61446
alb,2013,5.0598
alb,2014,5.32579
alb,2015,5.67152
alb,2016,5.68443
alb,2017,6.15815
alb,2018,6.13326
alb,2019,6.26087
alb,2020,6.18967
are,1975,0.9106
are,1976,1.12309
are,1977,2.74407
are,1978,3.43217
are,1979,3.05757
are,1980,3.72808
are,1981,6.41237
are,1982,7.92687
are,1983,8.76975
are,1984,9.14469
are,1985,8.92752
are,1986,8.27562
are,1987,8.77449
are,1988,8.84071
are,1989,8.16658
are,1990,7.49389
are,1991,7.42306
are,1992,7.58367
