geo,time,nv_ind_totl_cd
abw,1995,203335195.53073
abw,1996,206810055.86592
abw,1997,262463687.15084
abw,1998,291620111.73184
abw,1999,267882681.56425
abw,2000,296480446.92737
abw,2001,305515642.4581
abw,2002,296703351.95531
abw,2003,339418994.41341
abw,2004,392163687.15084
abw,2005,431287150.83799
abw,2006,474557541.89944
abw,2007,496345810.05587
abw,2008,495007262.56983
abw,2009,404204469.27374
afg,2002,965543405.08893
afg,2003,1025522428.00579
afg,2004,1370816288.90916
afg,2005,1664800141.445
afg,2006,1966653210.75191
afg,2007,2620448527.43316
afg,2008,2720982976.69379
afg,2009,2718781958.27531
afg,2010,3353912798.55545
afg,2011,4048927677.94701
afg,2012,4211951754.28412
afg,2013,4118852986.2879
afg,2014,4351470982.70287
afg,2015,4233261140.89528
afg,2016,1896225753.93281
afg,2017,1885075137.28168
afg,2018,2416830294.07246
afg,2019,2642847910.32118
afg,2020,2822635859.31995
ago,1995,3339044727.78043
ago,1996,5104486961.84217
ago,1997,4646981368.98164
ago,1998,3588659887.19731
ago,1999,4474253771.45519
ago,2000,6584562521.78676
ago,2001,5798058745.39281
ago,2002,8571519055.73602
ago,2003,9461574027.93062
ago,2004,12866467697.453
ago,2005,22331171893.6978
ago,2006,30438252763.2232
ago,2007,40389189578.1431
ago,2008,53348780922.8957
ago,2009,30974788503.962
ago,2010,43884484819.7663
ago,2011,62631865168.1805
ago,2012,72885404630.87109
ago,2013,72952284481.8029
ago,2014,67323882301.958
ago,2015,48723590535.45409
ago,2016,43122816968.9667
ago,2017,51497116673.4974
ago,2018,48580166008.9134
ago,2019,44696767123.1037
ago,2020,26822862012.649
alb,1996,555900588.42725
alb,1997,409011588.27539
alb,1998,390725059.53956
alb,1999,531180304.12744
alb,2000,675038886.72852
alb,2001,852498955.86802
alb,2002,1004680718.3179
alb,2003,1349879571.14245
alb,2004,1772143145.16522
alb,2005,2019589407.46148
alb,2006,2251420440.0663
alb,2007,2705669378.5878
alb,2008,3241078686.82847
alb,2009,2940446271.29833
alb,2010,2974271840.45674
alb,2011,3156236434.02401
alb,2012,2823526910.58399
alb,2013,2946364692.83386
alb,2014,2845221843.00341
alb,2015,2478197737.88382
alb,2016,2507690758.60402
alb,2017,2650596137.69941
alb,2018,3225183629.47406
alb,2019,3173722904.15727
alb,2020,2986852462.03405
are,1975,10892636255.7746
are,1976,13797778958.2859
are,1977,16908257115.7738
are,1978,16181545773.9202
are,1979,22281101763.7655
are,1980,31680422937.908
are,1981,33725960228.8205
are,1982,29443203486.7883
are,1983,26283029147.3713
are,1984,26259874693.544
are,1985,24870607463.9063
are,1986,17703078180.3323
are,1987,19895668755.1076
are,1988,19231272132.9338
are,1989,22837646445.11029
are,1990,29864342141.106
are,1991,24115227458.4582
are,1992,29993189866.5214
are,1993,28635794061.5636
are,1994,27434758921.27489
are,1995,29943067284.1188
are,1996,34112775810.4059
are,1997,35815309180.0599
are,1998,30287542545.9496
are,1999,35484547311.096
are,2000,50621375085.0919
are,2001,51321443158.6113
are,2002,52212933968.6862
are,2003,61080190605.8543
are,2004,76393192648.05991
are,2005,100501837985.024
are,2006,128612389380.53101
are,2007,141441797140.91199
are,2008,183031994554.11801
are,2009,131958611300.20399
are,2010,152227787365.55499
are,2011,203511132797.82199
are,2012,215199050565.01001
are,2013,214583053151.80399
are,2014,212713711994.55399
are,2015,157199136773.315
are,2016,147990514989.789
are,2017,164170098461.53799
are,2018,198580097018.38
are,2019,185492637069.04901
are,2020,146658074469.28699
arg,1965,13722940987.1061
arg,1966,14202380230.1166
arg,1967,11493637302.0994
arg,1968,12434857435.1947
arg,1969,14811143096.9913
arg,1970,13353421858.1536
arg,1971,15299799237.7258
arg,1972,15831874374.511
