geo,time,nv_ind_totl_cn
abw,1995,363970000
abw,1996,370190000
abw,1997,469810000
abw,1998,522000000
abw,1999,479510000
abw,2000,530700000
abw,2001,546873000
abw,2002,531099000
abw,2003,607560000
abw,2004,701973000
abw,2005,772004000
abw,2006,849458000
abw,2007,888459000
abw,2008,886063000
abw,2009,723526000
afg,2002,43373175300
afg,2003,50272442600
afg,2004,65512407100
afg,2005,82625029900
afg,2006,98187128200
afg,2007,130491523500
afg,2008,138628096500
afg,2009,133942968200
afg,2010,153608200000
afg,2011,193371117400
afg,2012,217670297100
afg,2013,232825167100
afg,2014,249760509700
afg,2015,270523166600
afg,2016,128000358200
afg,2017,129212852300
afg,2018,177741192000
afg,2019,206597499700
afg,2020,217110940500
ago,1995,9052000
ago,1996,566637000
ago,1997,1064345000
ago,1998,1409710000
ago,1999,12486300000
ago,2000,66112300000
ago,2001,127893000000
ago,2002,373119938800
ago,2003,705893030400
ago,2004,1074882724500
ago,2005,1946364844200
ago,2006,2446264541900
ago,2007,3098097214700
ago,2008,4002940418500
ago,2009,2457174217400
ago,2010,4033234296500
ago,2011,5883311728200
ago,2012,6958223809300
ago,2013,7041230479300
ago,2014,6618099207600
ago,2015,5849788386200
ago,2016,7057324983000
ago,2017,8544195610000
ago,2018,12283771882300
ago,2019,16306533823100
ago,2020,15510556000000
alb,1996,58091000000
alb,1997,60002000000
alb,1998,59062000000
alb,1999,73356000000
alb,2000,97211000000
alb,2001,122470000000
alb,2002,141063000000
alb,2003,163034000000
alb,2004,181947000000
alb,2005,201697000000
alb,2006,220872000000
alb,2007,244668000000
alb,2008,271909000000
alb,2009,279278000000
alb,2010,309136000000
alb,2011,318451000000
alb,2012,305461000000
alb,2013,311340000000
alb,2014,300114000000
alb,2015,312158000000
alb,2016,311311000000
alb,2017,315686000000
alb,2018,348285000000
alb,2019,348636000000
alb,2020,324521520000
are,1975,43149000000
are,1976,54544000000
are,1977,65998000000
are,1978,62642000000
are,1979,85018000000
are,1980,117452000000
are,1981,123808000000
are,1982,108086000000
are,1983,96485000000
are,1984,96400000000
are,1985,91300000000
are,1986,64988000000
are,1987,73037000000
are,1988,70598000000
are,1989,83837000100
are,1990,109632000000
are,1991,88527000000
are,1992,110105000000
are,1993,105122000000
are,1994,100713000000
are,1995,109921000000
are,1996,125228000000
are,1997,131478000000
are,1998,111231000000
are,1999,130317000000
are,2000,185907000000
are,2001,188478000000
are,2002,191752000000
are,2003,224317000000
are,2004,280554000000
are,2005,369093000000
are,2006,472329000000
are,2007,519445000000
are,2008,672185000000
are,2009,484618000000
are,2010,559056549100
are,2011,747394635200
are,2012,790318513200
are,2013,788056262700
are,2014,781191107300
are,2015,577313829800
are,2016,543495166300
are,2017,602914686600
are,2018,729285406300
are,2019,681221709636.08105
are,2020,538601778488.45599
arg,1965,0.23329
arg,1966,0.29825
arg,1967,0.37929
arg,1968,0.43522
arg,1969,0.51839
arg,1970,0.50743
arg,1971,0.76499
arg,1972,1.26655
arg,1973,2.05011
arg,1974,2.84195
arg,1975,9.72857
arg,1976,52.0841
arg,1977,135.724
arg,1978,326.65302
arg,1979,850.685
arg,1980,1583
arg,1981,3015
arg,1982,8982
arg,1983,45500
arg,1984,314060
arg,1985,2083600
arg,1986,3732100
arg,1987,8826300
arg,1988,42744000
