geo,time,nv_ind_totl_kd
afg,2002,1508858162.87608
afg,2003,1663813262.09646
afg,2004,1954582530.39232
afg,2005,2208516489.62769
afg,2006,2510366441.35688
afg,2007,2701985879.29221
afg,2008,2857128988.45951
afg,2009,3031617890.25197
afg,2010,3221718562.12962
afg,2011,3537694100.54475
afg,2012,3763896771.47277
afg,2013,3954387237.35963
afg,2014,4063756909.96653
afg,2015,4233261140.89528
afg,2016,4200837982.59412
afg,2017,4587600416.32888
afg,2018,5095660722.79513
afg,2019,5342742589.65987
afg,2020,5095360081.4769
ago,2002,20220118425.9942
ago,2003,20202599228.4734
ago,2004,23192776735.5405
ago,2005,27946352371.2214
ago,2006,31633412656.5736
ago,2007,37896480668.9436
ago,2008,41521950106.8845
ago,2009,39903665747.44029
ago,2010,40913259363.2524
ago,2011,40334802438.0068
ago,2012,44644660296.78049
ago,2013,46073029335.8574
ago,2014,45326927160.141
ago,2015,48723590535.45409
ago,2016,49215832393.82449
ago,2017,48404628216.3557
ago,2018,46658327059.0764
ago,2019,41673761953.9575
ago,2020,37427276266.3883
alb,1996,824071491.72985
alb,1997,680250754.12242
alb,1998,800968564.02702
alb,1999,955447466.07625
alb,2000,1198438195.22068
alb,2001,1441045155.78839
alb,2002,1538236573.98722
alb,2003,1733810700.11854
alb,2004,1858682844.82941
alb,2005,1970277162.93807
alb,2006,2151600061.6349
alb,2007,2250202400.6542
alb,2008,2406504776.93192
alb,2009,2451314377.51743
alb,2010,2534655099.00115
alb,2011,2592049209.33772
alb,2012,2432880224.82017
alb,2013,2498986555.46797
alb,2014,2416056224.98973
alb,2015,2478197737.88382
alb,2016,2525196150.89349
alb,2017,2570490712.62304
alb,2018,2822258522.51738
alb,2019,2845498792.53355
alb,2020,2743418796.10769
are,2001,99419849852.56268
are,2002,95743131904.3985
are,2003,102532793189.589
are,2004,112129649650.571
are,2005,116422439770.174
are,2006,132511221623.869
are,2007,128957228961.42
are,2008,132275631357.83701
are,2009,123661394628.731
are,2010,126711806864.63
are,2011,137460654177.67499
are,2012,142219836452.716
are,2013,146513102637.39401
are,2014,148895217136.57001
are,2015,157199136773.315
are,2016,160894022750.70999
are,2017,160504664438.681
are,2018,163318935430.509
are,2019,167502835346.086
are,2020,158313024840.78601
arg,1965,56245012313.7404
arg,1966,56869181038.142
arg,1967,59275361622.3814
arg,1968,64891232918.7066
arg,1969,72383684858.5929
arg,1970,71710335092.4595
arg,1971,76249072957.6702
arg,1972,78631013039.94389
arg,1973,79264576072.62659
arg,1974,84050177437.58221
arg,1975,83133183639.45038
arg,1976,83595112296.49718
arg,1977,90808609668.62221
arg,1978,83239803729.5806
arg,1979,89517254656.24821
arg,1980,88363421591.6427
arg,1981,78940934578.89868
arg,1982,76407419049.83582
arg,1983,80516371513.6142
arg,1984,81059282482.79428
arg,1985,74046834313.35718
arg,1986,80437271731.57249
arg,1987,83137371508.9595
arg,1988,80184351875.9272
arg,1989,73297509420.67281
arg,1990,69394191297.5349
arg,1991,76810667641.72809
arg,1992,85272709112.5119
arg,1993,89937379582.8031
arg,1994,95519209253.7635
arg,1995,92126904779.47868
arg,1996,97832734759.83139
arg,1997,106022449569.41901
arg,1998,108085754207.77699
arg,1999,100927786461.202
arg,2000,98712066321.16348
arg,2001,93587440663.16161
arg,2002,82959297869.6097
arg,2003,94707463303.9408
arg,2004,104950392908.948
arg,2005,111808254681.811
arg,2006,121496353134.34599
arg,2007,128826650230.19299
arg,2008,132784260080.578
arg,2009,124241795959.535
arg,2010,135181158734.06599
arg,2011,143063461033.578
arg,2012,139914453094.173
arg,2013,140685653412.771
arg,2014,135815066829.015
arg,2015,137702635919.61499
arg,2016,129681238786.15601
arg,2017,132667581022.123
arg,2018,128622128322.54401
arg,2019,122460946863.976
arg,2020,110987515725.35201
arm,1990,3317619963.65202
arm,1991,2788133934.63129
arm,1992,754116902.52647
arm,1993,759278414.70467
arm,1994,825574094.89808
arm,1995,832024707.22329
arm,1996,881784204.08709
arm,1997,898740010.56606
arm,1998,906851089.94655
arm,1999,961392937.57901
arm,2000,1189469534.87855
arm,2001,1250788238.48597
arm,2002,1517675961.15663
arm,2003,1893012758.10295
arm,2004,2032792476.33938
arm,2005,2333594089.72488
arm,2006,2720210813.73505
arm,2007,3026533888.00158
arm,2008,3251509213.01959
arm,2009,2323113261.64113
arm,2010,2495472955.99341
arm,2011,2539598322.5121
arm,2012,2666363546.08956
arm,2013,2680048544.15757
arm,2014,2623582575.40019
arm,2015,2713125862.72591
arm,2016,2722255350.76381
arm,2017,3001754561.65472
arm,2018,3080457585.14957
arm,2019,3438980705.99763
arm,2020,3352237276.14621
atg,1977,41370149.77944
atg,1978,42249593.21544
atg,1979,50704664.77488
atg,1980,60569083.04471
atg,1981,68428117.55272
atg,1982,54337128.04399
atg,1983,54037940.72765
atg,1984,59257205.64406
atg,1985,70199934.3906
atg,1986,86339034.00954
atg,1987,106185685.04612
atg,1988,116552542.7707
atg,1989,130127523.0099
atg,1990,123553565.01653
atg,1991,129013608.83205
atg,1992,126173181.62655
atg,1993,118464884.47523
atg,1994,123789430.87988
atg,1995,126469268.5614
atg,1996,140480704.52915
atg,1997,150668102.457
atg,1998,162140216.57673
atg,1999,175022507.45396
atg,2000,186434400.5022
atg,2001,152384402.99459
atg,2002,161563097.97491
atg,2003,175534386.56166
atg,2004,178731121.77351
atg,2005,213689453.77615
atg,2006,289442543.2938
atg,2007,312883595.37309
atg,2008,313982629.92787
atg,2009,292569020.5889
atg,2010,218577397.41247
