global,time,nv_ind_totl_zs
world,1991,31.96711
world,1992,31.39436
world,1993,29.78608
world,1994,29.78665
world,1995,29.73801
world,1996,29.12664
world,1997,28.20728
world,1998,27.37302
world,1999,27.33063
world,2000,27.70293
world,2001,26.77622
world,2002,26.28816
world,2003,26.29272
world,2004,26.68876
world,2005,27.16927
world,2006,27.6778
world,2007,27.73536
world,2008,28.06934
world,2009,26.58681
world,2010,27.51356
world,2011,28.09175
world,2012,28.03144
world,2013,27.72619
world,2014,27.50832
world,2015,26.80718
world,2016,26.24112
world,2017,26.66891
world,2018,27.11273
world,2019,26.60287
world,2020,26.00363
