geo,time,nv_mnf_chem_zs_un
alb,1985,7.65651
alb,1986,9.08705
alb,1987,9.02807
alb,1988,8.05243
alb,1989,8.39292
alb,1990,7.58115
alb,2000,4.61646
alb,2001,3.19594
alb,2002,5.72549
alb,2003,3.78993
alb,2004,4.61722
alb,2005,13.78248
alb,2006,17.26105
alb,2007,16.85592
alb,2008,11.444
alb,2009,10.6815
alb,2010,4.58698
alb,2011,9.10443
alb,2012,15.57642
alb,2013,3.83504
alb,2014,5.47555
alb,2015,3.3096
alb,2016,2.30187
alb,2017,2.32997
alb,2018,2.17093
alb,2019,2.17096
are,1977,2.0696
are,1978,3.58748
are,1981,7.06718
are,1985,8.16327
are,2012,23.08376
are,2013,22.35072
are,2014,22.52764
are,2015,19.39766
are,2016,17.93936
are,2017,18.55022
are,2018,21.57403
arg,1984,11.0501
arg,1985,11.36021
arg,1986,11.91003
arg,1987,12.18009
arg,1988,11.69006
arg,1989,11.69
arg,1990,11.67
arg,1993,9.54968
arg,1994,13.53499
arg,1995,14.87262
arg,1996,14.85899
arg,1997,15.58109
arg,1998,14.54879
arg,1999,15.5256
arg,2000,15.20285
arg,2001,16.16663
arg,2002,16.07761
arg,2004,12.71113
arg,2005,12.35281
arg,2006,12.05583
arg,2007,11.31942
arg,2008,11.27998
arg,2009,12.2333
arg,2010,11.46713
arg,2011,10.99055
arg,2012,11.4272
arg,2013,11.41337
arg,2014,11.59902
arg,2015,11.23538
arg,2016,12.68959
arg,2017,12.7553
arg,2018,13.13864
arg,2019,13.60177
arm,2004,2.06846
arm,2005,2.06846
arm,2006,2.06846
arm,2007,2.06846
arm,2008,2.06846
arm,2009,2.06846
arm,2010,2.06846
arm,2011,2.06846
arm,2012,2.06846
arm,2013,2.06846
arm,2014,2.06846
arm,2015,1.87762
arm,2016,1.78932
arm,2017,1.84362
arm,2018,2.83187
arm,2019,2.83187
aus,1963,6.80147
aus,1964,6.88504
aus,1965,6.87732
aus,1966,6.72622
aus,1967,7.08386
aus,1968,7.13026
aus,1969,7.07585
aus,1970,6.94798
aus,1971,6.79745
aus,1972,6.9453
aus,1973,7.08014
aus,1974,7.07271
aus,1975,6.69866
aus,1976,6.5819
aus,1977,6.72116
aus,1978,7.30312
aus,1979,7.3735
aus,1980,7.38659
aus,1981,7.5705
aus,1982,7.7313
aus,1983,7.95002
aus,1984,8.0439
aus,1985,8.07565
aus,1986,8.11944
aus,1987,8.34249
aus,1988,8.35682
aus,1989,7.80883
aus,1990,7.30316
aus,1991,7.83465
