geo,time,nv_mnf_fbto_zs_un
alb,1985,27.03046
alb,1986,27.81316
alb,1987,28.94847
alb,1988,30.54515
alb,1989,28.73542
alb,1990,23.56603
alb,2000,20.06092
alb,2001,18.24383
alb,2002,17.27927
alb,2003,17.8472
alb,2004,16.56538
alb,2005,21.18786
alb,2006,16.63175
alb,2007,16.72071
alb,2008,14.9452
alb,2009,16.53203
alb,2010,15.74321
alb,2011,14.51953
alb,2012,14.16446
alb,2013,15.63579
alb,2014,14.14695
alb,2015,16.95029
alb,2016,18.08266
alb,2017,16.30377
alb,2018,17.05966
alb,2019,17.05986
are,1977,3.4707
are,1978,7.05808
are,1981,12.13323
are,1985,14.49503
are,2012,7.34703
are,2013,7.84005
are,2014,7.75992
are,2015,8.71885
are,2016,9.37373
are,2017,9.79209
are,2018,8.95735
arg,1984,20.55464
arg,1985,22.74976
arg,1986,21.99001
arg,1987,22.05997
arg,1988,22.29006
arg,1989,20.36999
arg,1990,19.6
arg,1993,26.77474
arg,1994,28.58495
arg,1995,30.34776
arg,1996,29.23742
arg,1997,26.95386
arg,1998,26.36425
arg,1999,29.79778
arg,2000,28.87806
arg,2001,29.69998
arg,2002,31.15395
arg,2004,25.15248
arg,2005,24.65257
arg,2006,23.9707
arg,2007,24.5012
arg,2008,26.05487
arg,2009,28.44665
arg,2010,27.54686
arg,2011,27.62394
arg,2012,28.70407
arg,2013,28.29995
arg,2014,29.53982
arg,2015,29.7303
arg,2016,30.94735
arg,2017,31.22562
arg,2018,30.98263
arg,2019,31.90823
arm,2004,55.56339
arm,2005,54.79378
arm,2006,54.97644
arm,2007,54.5048
arm,2008,54.77719
arm,2009,46.58623
arm,2010,56.27263
arm,2011,54.75991
arm,2012,57.27206
arm,2013,60.50353
arm,2014,64.33817
arm,2015,67.62842
arm,2016,46.75908
arm,2017,64.65437
arm,2018,56.70892
arm,2019,56.70892
aus,1963,14.86673
aus,1964,14.855
aus,1965,14.34944
aus,1966,14.55596
aus,1967,14.35832
aus,1968,13.90767
aus,1969,15.88046
aus,1970,16.03007
aus,1971,16.68568
aus,1972,17.37874
aus,1973,18.1487
aus,1974,16.18576
aus,1975,17.42703
aus,1976,18.17268
aus,1977,18.23199
aus,1978,18.5808
aus,1979,18.19699
aus,1980,17.22886
aus,1981,17.69136
aus,1982,16.97061
aus,1983,19.04471
aus,1984,19.17868
aus,1985,17.8029
aus,1986,18.19445
aus,1987,18.55253
aus,1988,18.192
aus,1989,17.88096
aus,1990,17.99578
aus,1991,18.51547
aus,1992,20.33186
aus,1993,21.82367
aus,1994,21.73655
aus,1995,19.73198
aus,1996,19.73198
aus,1997,19.72325
aus,1998,19.65724
aus,1999,21.06349
aus,2000,21.14546
aus,2001,22.11371
aus,2002,21.16601
aus,2003,20.46036
aus,2004,20.15792
aus,2005,19.49771
aus,2006,18.82944
aus,2007,20.25849
aus,2008,20.38859
aus,2009,21.49627
aus,2010,23.87242
