geo,time,nv_mnf_mtrn_zs_un
alb,2000,2.99451
alb,2001,9.11139
alb,2002,2.07557
alb,2003,2.64487
alb,2004,4.1784
alb,2005,3.20177
alb,2006,2.95122
alb,2007,2.09483
alb,2008,2.64401
alb,2009,3.68002
alb,2010,1.96897
alb,2011,1.44477
alb,2012,1.51862
alb,2013,1.80145
alb,2014,1.15272
alb,2015,2.49483
alb,2016,2.16628
alb,2017,2.55107
alb,2018,2.43809
alb,2019,2.43812
are,1977,9.10165
are,1978,7.86729
are,1981,0.23979
are,1985,3.34903
are,2012,11.14496
are,2013,11.41591
are,2014,12.23262
are,2015,13.63379
are,2016,15.29268
are,2017,15.26394
are,2018,13.10791
arg,1984,11.96242
arg,1985,10.33013
arg,1986,10.66987
arg,1987,10.55012
arg,1988,9.78967
arg,1989,9.58998
arg,1990,9.55
arg,1993,15.24537
arg,1994,13.47409
arg,1995,9.98486
arg,1996,11.37543
arg,1997,12.82899
arg,1998,12.92296
arg,1999,9.59373
arg,2000,10.81719
arg,2001,8.691
arg,2002,8.35139
arg,2004,9.82217
arg,2005,10.69539
arg,2006,11.67184
arg,2007,12.18812
arg,2008,12.04034
arg,2009,10.76271
arg,2010,12.54678
arg,2011,13.27593
arg,2012,12.78464
arg,2013,13.07851
arg,2014,11.7195
arg,2015,11.75495
arg,2016,12.16163
arg,2017,12.66317
arg,2018,11.68615
arg,2019,10.21383
arm,2004,1.50564
arm,2005,1.34271
arm,2006,1.33406
arm,2007,1.34167
arm,2008,1.34435
arm,2009,1.9392
arm,2010,1.93842
arm,2011,1.93893
arm,2012,1.93916
arm,2013,1.93907
arm,2014,1.93943
arm,2015,1.76049
arm,2016,1.55567
arm,2017,1.28846
arm,2018,2.98444
arm,2019,2.98444
aus,1963,18.91085
aus,1964,19.23639
aus,1965,19.57249
aus,1966,19.63566
aus,1967,19.53621
aus,1968,19.92061
aus,1969,18.96274
aus,1970,18.69771
aus,1971,18.28239
aus,1972,18.05986
aus,1973,16.89707
aus,1974,17.63228
aus,1975,18.38023
aus,1976,17.97753
aus,1977,18.12786
aus,1978,17.37265
aus,1979,16.7764
aus,1980,16.86968
