geo,time,nv_mnf_othr_zs_un
alb,1985,37.56345
alb,1986,36.58174
alb,1987,37.5576
alb,1988,35.60133
alb,1989,35.39706
alb,1990,36.19386
alb,2000,45.78792
alb,2001,38.91388
alb,2002,38.43336
alb,2003,43.28716
alb,2004,48.08939
alb,2005,36.3303
alb,2006,40.86263
alb,2007,39.45955
alb,2008,48.40421
alb,2009,43.31104
alb,2010,52.10661
alb,2011,44.61892
alb,2012,42.1616
alb,2013,48.65125
alb,2014,47.14429
alb,2015,44.8569
alb,2016,43.70697
alb,2017,43.93535
alb,2018,41.75185
alb,2019,41.75117
are,1977,82.72985
are,1978,79.98561
are,1981,78.8682
are,1985,72.84144
are,2012,54.95463
are,2013,54.93588
are,2014,53.80701
are,2015,54.3968
are,2016,53.76884
are,2017,52.77685
are,2018,52.79027
arg,1984,44.4247
arg,1985,45.2499
arg,1986,44.38023
arg,1987,44.77981
arg,1988,45.61004
arg,1989,48.06001
arg,1990,48.82
arg,1993,39.31427
arg,1994,36.52282
arg,1995,37.64596
arg,1996,37.44349
arg,1997,36.17255
arg,1998,37.90606
arg,1999,36.66606
arg,2000,37.09247
arg,2001,38.26486
arg,2002,38.74816
arg,2004,43.26049
arg,2005,43.07074
arg,2006,43.51838
arg,2007,43.36051
arg,2008,42.78187
arg,2009,40.45061
arg,2010,40.23097
arg,2011,39.52269
arg,2012,38.79394
arg,2013,38.83914
arg,2014,38.96264
arg,2015,38.67852
arg,2016,36.28369
arg,2017,36.41251
arg,2018,38.25506
arg,2019,38.6505
arm,2004,39.80887
arm,2005,40.91693
arm,2006,40.56746
arm,2007,40.93659
arm,2008,40.4751
arm,2009,47.85968
arm,2010,38.32696
arm,2011,39.55158
arm,2012,37.0392
arm,2013,33.80783
arm,2014,29.97283
arm,2015,27.20747
arm,2016,48.12116
arm,2017,30.11209
arm,2018,33.93871
arm,2019,33.93871
aus,1963,47.72518
aus,1964,47.73628
aus,1965,48.27138
aus,1966,48.39727
aus,1967,48.64994
aus,1968,48.94149
aus,1969,48.32485
aus,1970,48.86625
aus,1971,48.95073
aus,1972,48.57585
aus,1973,48.86045
aus,1974,50.10278
aus,1975,50.07889
aus,1976,48.93554
aus,1977,49.20346
aus,1978,48.73021
aus,1979,49.64373
aus,1980,51.01507
aus,1981,51.3505
aus,1982,51.2657
aus,1983,49.20982
aus,1984,50.13426
aus,1985,51.40021
aus,1986,50.80404
aus,1987,50.18676
aus,1988,51.11717
aus,1989,52.09776
aus,1990,53.01831
aus,1991,53.14852
aus,1992,58.36247
aus,1993,47.94493
aus,1994,48.15275
aus,1995,52.7606
aus,1996,52.7606
aus,1997,52.24763
aus,1998,51.22858
aus,1999,50.62625
aus,2000,50.90365
aus,2001,51.68106
aus,2002,54.54117
aus,2003,56.2185
aus,2004,55.78114
aus,2005,57.22478
aus,2006,57.80642
aus,2007,50.49658
aus,2008,50.65029
aus,2009,47.73346
aus,2010,45.35199
aus,2011,49.18669
aus,2012,53.33778
aus,2013,45.3886
aus,2014,45.32416
aus,2015,44.88403
aus,2016,43.8574
aus,2017,46.00246
aus,2018,46.65067
aus,2019,46.27286
aut,1963,48.19346
aut,1964,48.54053
aut,1965,48.26072
aut,1966,47.94702
aut,1967,47.61562
aut,1968,48.25884
aut,1969,49.23736
aut,1970,52.89307
aut,1971,51.23502
aut,1972,51.67516
aut,1973,53.30202
aut,1974,56.5135
aut,1975,55.36347
aut,1976,53.29198
aut,1977,53.09024
aut,1978,54.38391
aut,1979,54.22844
aut,1980,52.37219
aut,1981,51.96288
aut,1982,52.00576
aut,1983,53.87594
aut,1984,52.64907
aut,1985,52.43026
aut,1986,54.14443
aut,1987,54.12045
aut,1988,54.78794
aut,1989,56.11155
aut,1990,50.86272
aut,1991,50.63244
aut,1992,51.00328
aut,1993,50.23795
aut,1994,50.72396
aut,1995,55.15435
aut,1996,55.30262
aut,1997,54.86164
aut,1998,54.39412
aut,1999,55.09763
aut,2000,53.9651
aut,2001,55.52207
aut,2002,54.93357
aut,2003,54.28873
aut,2004,54.82192
aut,2005,53.20326
aut,2006,53.56696
aut,2007,55.68358
aut,2008,54.80444
aut,2009,53.00982
aut,2010,51.96757
aut,2011,50.55102
aut,2012,51.22642
aut,2013,49.94189
aut,2014,49.62858
aut,2015,49.62276
aut,2016,49.36652
aut,2017,49.47704
aut,2018,50.12032
aut,2019,50.12024
aze,2001,37.13213
aze,2002,39.87447
aze,2003,44.90787
aze,2004,49.68753
aze,2005,48.32622
aze,2006,67.93088
aze,2007,66.32185
aze,2008,75.08351
aze,2009,63.41603
aze,2010,63.61011
aze,2011,59.96702
aze,2012,60.46018
aze,2013,59.74751
aze,2014,60.79655
aze,2015,54.49114
aze,2016,54.38705
aze,2017,57.47924
aze,2018,61.10766
aze,2019,61.10839
bdi,1971,15.93927
bdi,1972,18.47369
bdi,1973,15.31244
bdi,1974,16.90954
bdi,1975,24.357
bdi,1976,19.16628
bdi,1977,21.47679
bdi,1978,14.73938
bdi,1979,8.07896
bdi,1980,8.27808
bdi,1983,9.37934
bdi,1986,7.89461
bdi,1987,7.16814
bdi,1988,7.05103
bdi,1989,6.90364
bdi,1990,6.92003
bdi,1991,6.72669
bdi,2007,13.50437
bdi,2008,9.48575
bdi,2009,7.20806
bdi,2010,11.38572
bdi,2011,6.99618
bdi,2012,8.92868
bdi,2013,8.97509
bdi,2014,8.97509
bdi,2015,8.97509
bel,1963,44.57929
bel,1964,45.84927
bel,1965,45.85756
bel,1966,45.422
bel,1967,45.69704
bel,1968,45.29593
bel,1969,46.39744
bel,1970,46.18539
bel,1971,44.31325
bel,1972,44.07234
bel,1973,48.3307
bel,1974,50.12314
bel,1975,49.44915
bel,1976,48.92752
bel,1977,49.32329
bel,1978,47.90716
bel,1979,48.27183
bel,1980,48.44049
bel,1981,46.73614
bel,1982,45.37478
bel,1983,43.95694
bel,1984,43.275
bel,1985,59.26161
bel,1986,58.36473
