geo,time,nv_srv_totl_kd
afg,2002,2610360920.22657
afg,2003,2911905189.95343
afg,2004,3284275062.57129
afg,2005,3461240586.53019
afg,2006,3694216813.05582
afg,2007,4421281049.44104
afg,2008,5078037993.73484
afg,2009,5991240968.57703
afg,2010,7090957537.70299
afg,2011,7785210915.7965
afg,2012,8848463620.10201
afg,2013,9540993222.94492
afg,2014,9973214903.21116
afg,2015,10186153791.1436
afg,2016,10387786943.1789
afg,2017,10316885486.0659
afg,2018,10516844399.5087
afg,2019,10371108788.9767
afg,2020,9757476043.50195
ago,2002,23214631013.5554
ago,2003,24415162341.3765
ago,2004,26242005162.6241
ago,2005,28501953084.2205
ago,2006,30958203893.6939
ago,2007,32692764211.92369
ago,2008,36916052778.6212
ago,2009,40226772519.9871
ago,2010,42898765925.9081
ago,2011,47412918058.4041
ago,2012,50097485539.6586
ago,2013,53975252722.6654
ago,2014,59414154067.3083
ago,2015,56539700798.013
ago,2016,53575219657.5242
ago,2017,54368662478.9408
ago,2018,54510703354.296
ago,2019,55008525103.911
ago,2020,53666164604.3769
alb,1996,2526397466.09868
alb,1997,2245438089.46353
alb,1998,2385798990.55736
alb,1999,2824106469.70099
alb,2000,2785351180.75153
alb,2001,2997596129.89863
alb,2002,3123427670.51103
alb,2003,3161025253.38582
alb,2004,3315265035.15638
alb,2005,3545731458.08509
alb,2006,3727579155.52772
alb,2007,4021109183.96305
alb,2008,4235557145.03721
alb,2009,4465006210.40133
alb,2010,4576347134.94195
alb,2011,4715215403.10654
alb,2012,4866565225.27366
alb,2013,4881883882.5542
alb,2014,5127121904.69075
alb,2015,5270340111.31955
alb,2016,5496305623.05843
alb,2017,5827399992.81772
alb,2018,5993775816.61712
alb,2019,6221210311.68453
alb,2020,5927546536.57737
are,2001,82710549327.3222
are,2002,92292975456.81342
are,2003,102196368300.72
are,2004,112320820719.918
are,2005,120999381187.918
are,2006,127037184600.379
are,2007,143644419621.25101
are,2008,149463000463.81799
are,2009,145386241679.13699
are,2010,147608699727.71701
are,2011,155293650102.60699
are,2012,164152803514.19
are,2013,176356165708.444
are,2014,189597819832.716
are,2015,198281780803.26801
are,2016,205492603288.75601
are,2017,215858137983.35696
are,2018,217122546227.07101
are,2019,226336378826.82501
are,2020,210627431905.34201
arg,1965,82891986122.89259
arg,1966,81625317945.4008
arg,1967,83699493708.4782
arg,1968,85239964460.304
arg,1969,92764935661.79301
arg,1970,102587710383.967
arg,1971,107665325994.45399
arg,1972,108367662463.47
arg,1973,112497806061.15601
arg,1974,118415772865.742
arg,1975,119573456058.02699
arg,1976,115506178356.823
arg,1977,122490557454.256
arg,1978,120299290351.817
arg,1979,133580735896.55099
arg,1980,144839893076.633
arg,1981,141489432240.97198
arg,1982,140569038748.22601
arg,1983,145991056006.198
arg,1984,148930037577.35901
arg,1985,143211407153.06699
arg,1986,150567186686.33701
arg,1987,155117956163.58701
arg,1988,154535321634.284
arg,1989,145977539289.53101
arg,1990,143481270366.90201
arg,1991,156952124617.026
arg,1992,167847716169.591
arg,1993,180082672363.048
arg,1994,191588211099.42401
arg,1995,187095751608.664
arg,1996,197717799168.04901
arg,1997,213288187972.354
arg,1998,223315095295.69101
arg,1999,218976224590.28799
arg,2000,219727513388.341
arg,2001,210173098034.73697
arg,2002,189754172217.59296
arg,2003,197810815773.99896
arg,2004,211414792957.28296
arg,2005,230654624320.396
arg,2006,250272786353.948
arg,2007,273019258918.30801
arg,2008,287022502498.151
arg,2009,281125224591.53497
arg,2010,301056506853.30603
arg,2011,320459077624.79901
arg,2012,322602157381.203
arg,2013,328763090916.09802
arg,2014,323356984479.67902
arg,2015,331958726542.67999
arg,2016,331929726490.66693
arg,2017,340471758378.90997
arg,2018,337792005842.401
arg,2019,327386225975.48297
arg,2020,292709121573.03302
arm,1990,942508591.08924
arm,1991,949763040.36955
arm,1992,1498099180.76708
arm,1993,1158200543.30708
arm,1994,1240957573.7161
arm,1995,1435462299.40813
arm,1996,1514122239.54185
arm,1997,1587553940.68587
arm,1998,1659081433.37339
arm,1999,1731112958.33252
arm,2000,1624916263.54622
arm,2001,1786536962.41553
arm,2002,2079325389.38051
arm,2003,2340822703.13119
arm,2004,2642548908.14586
arm,2005,3078447523.47757
arm,2006,3760750288.57466
arm,2007,4165042122.18715
arm,2008,4387247583.57382
arm,2009,4087327746.87572
arm,2010,4435687123.84327
arm,2011,4358521169.53414
arm,2012,4592049740.87512
arm,2013,4718330204.2242
arm,2014,5038720241.26091
arm,2015,5088045801.97076
arm,2016,5283403922.79005
arm,2017,5871336235.8655
arm,2018,6426445526.97648
arm,2019,7069641075.19185
arm,2020,6455255327.04198
atg,1977,249894753.67013
atg,1978,256232355.88854
atg,1979,280219620.0358
atg,1980,298464348.76441
atg,1981,307038466.27071
atg,1982,317043473.62234
atg,1983,341103255.56488
atg,1984,378448911.31129
atg,1985,402405625.26243
atg,1986,427216366.54273
atg,1987,444247677.64241
atg,1988,465209052.98192
atg,1989,488001821.85411
atg,1990,510315183.05662
atg,1991,522404703.27799
atg,1992,530109356.66241
atg,1993,572472066.24095
atg,1994,611738312.55854
atg,1995,575521288.03746
atg,1996,606739306.68369
atg,1997,644790158.96126
atg,1998,676729683.61005
atg,1999,701844963.98467
atg,2000,770177594.97659
atg,2001,745603444.10387
atg,2002,740432651.08557
atg,2003,780235732.22648
atg,2004,813184506.34313
atg,2005,855495679.77863
atg,2006,916540241.20902
atg,2007,983386913.40996
atg,2008,998302332.14134
atg,2009,886241283.78033
atg,2010,844166317.66709
atg,2011,844939359.81269
atg,2012,866296796.42401
atg,2013,866120714.60196
atg,2014,900375071.00894
atg,2015,934092592.59259
atg,2016,969691183.39719
atg,2017,982072741.76245
atg,2018,1025290092.37974
atg,2019,1089860584.92976
atg,2020,855345366.0281
aus,2015,907969881021.71594
aut,1976,96248213962.64168
aut,1977,100284995764.58
aut,1978,100777904632.83
aut,1979,107550380193.308
aut,1980,109437836923.298
aut,1981,110357373469.226
aut,1982,114824211343.673
aut,1983,118351532564.058
aut,1984,120185137976.38901
aut,1985,122434149453.021
aut,1986,125815963605.36501
aut,1987,127850307637.43201
aut,1988,131566308181.94501
aut,1989,137491948028.65302
aut,1990,143035952054.91199
aut,1991,147553054191.84399
aut,1992,151885645444.577
aut,1993,153285575553.349
aut,1994,155385133424.58801
aut,1995,160473365088.55801
aut,1996,163749801035.09
aut,1997,167594607150.10101
aut,1998,174905165396.172
aut,1999,180682720776.39401
aut,2000,187740032705.17999
aut,2001,190132786014.84399
aut,2002,195251257452.64801
aut,2003,196438669243.32401
aut,2004,201762178663.31601
aut,2005,206934927471.73001
aut,2006,215038432390.47296
aut,2007,221934421144.96097
aut,2008,227218886806.332
aut,2009,224832668527.59399
aut,2010,228151842910.672
aut,2011,234509606961.918
aut,2012,235217298664.07401
aut,2013,235257940121.258
aut,2014,237410372938.81201
aut,2015,240185886005.48401
aut,2016,243821970555.51199
aut,2017,248282933559.203
aut,2018,254364306854.26599
aut,2019,259552056276.96097
aut,2020,240595984160.117
aze,1992,6154881592.04314
aze,1993,5393830078.84649
aze,1994,5140968826.68581
aze,1995,4527523098.91771
aze,1996,4261302487.24511
aze,1997,4374814433.79513
aze,1998,4470544610.40228
aze,1999,5135599031.06795
aze,2000,5459626517.49317
aze,2001,6113475075.76956
aze,2002,6480964305.49057
aze,2003,6968476131.82656
aze,2004,7541974296.03603
aze,2005,8038954856.00691
aze,2006,9469249141.73545
aze,2007,10696126562.1011
aze,2008,12186464846.7878
aze,2009,13250126390.9625
aze,2010,14471484298.156
aze,2011,15487534785.8893
aze,2012,16885408009.7037
aze,2013,18434907731.1167
aze,2014,20117081882.3777
aze,2015,21227601015.0303
aze,2016,21466250934.009
aze,2017,22427598275.16
aze,2018,23591311997.5023
aze,2019,25038436095.9
aze,2020,24059757259.1776
bdi,1997,1095778926.95696
bdi,1998,1078356041.93501
bdi,1999,1127852584.64216
bdi,2000,1057585656.41116
bdi,2001,991696464.68684
bdi,2002,929912269.17701
bdi,2003,871977323.48042
bdi,2004,817651812.45774
bdi,2005,799852184.95127
bdi,2006,859659128.46082
bdi,2007,1003867234.32566
bdi,2008,1070158939.81939
bdi,2009,1127572048.62289
bdi,2010,1192699922.28392
bdi,2011,1275935306.59944
bdi,2012,1364777713.50694
bdi,2013,1403376838.48659
bdi,2014,1526604832.04968
bdi,2015,1532497363.22
bdi,2016,1543614930.44279
bdi,2017,1552153987.36989
bdi,2018,1563680041.85547
bdi,2019,1579196824.31549
bdi,2020,1551372176.13531
bel,1995,216919755733.203
bel,1996,217961477386.21097
bel,1997,224408523939.76501
bel,1998,228771794333.43701
bel,1999,237638355647.578
bel,2000,244268582779.375
bel,2001,249052025704.72601
bel,2002,254152345511.64001
bel,2003,257710886205.742
bel,2004,264468485417.38297
bel,2005,271134327912.96896
bel,2006,279068454593.828
bel,2007,288656754043.32001
bel,2008,293418228613.43701
bel,2009,290175233385.42999
bel,2010,296760858099.02301
bel,2011,303215671242.81201
bel,2012,307923445389.02301
bel,2013,310137478362.26501
bel,2014,314108868802.96893
bel,2015,320068506343.672
bel,2016,324970667148.32001
bel,2017,330384757200.703
bel,2018,338224131480.703
bel,2019,344876992675.46893
bel,2020,324638811842.73401
ben,1970,953862888.37715
ben,1971,967106344.28578
ben,1972,1030679627.9184
ben,1973,1021023630.76076
ben,1974,1121504581.22446
ben,1975,1097248915.28132
ben,1976,1082726916.0915
ben,1977,1149664305.64282
ben,1978,1124879486.89705
ben,1979,1207850117.2207
ben,1980,1339698520.14174
ben,1981,1580456830.47292
ben,1982,1513442601.00437
ben,1983,1413940624.77003
ben,1984,1442460143.38448
ben,1985,1528019063.32912
ben,1986,1650336774.1662
ben,1987,1681391418.15725
ben,1988,1628788498.35264
ben,1989,1425269277.31698
ben,1990,1630072031.21525
ben,1991,1652341328.15707
ben,1992,1699274064.94154
ben,1993,1786025332.21179
ben,1994,1789232393.40493
ben,1995,1913466799.96353
ben,1996,1956787811.87855
ben,1997,2077523794.77605
ben,1998,2165083849.82909
ben,1999,2292747796.26317
ben,2000,2579677088.08875
ben,2001,2771817506.14881
ben,2002,2842020979.11797
ben,2003,3004338928.33988
ben,2004,3099628322.64652
ben,2005,3250255485.13333
ben,2006,3428415259.37325
ben,2007,3712571298.23378
ben,2008,4191590568.8267
ben,2009,4177273907.2992
ben,2010,4278745123.95475
ben,2011,4651481937.85745
ben,2012,4912404954.26596
ben,2013,5342519149.06285
ben,2014,5609024828.33137
ben,2015,5607632595.90431
ben,2016,5711468497.66336
ben,2017,6023436180.81307
ben,2018,6366790809.62031
ben,2019,6698947835.09867
ben,2020,7024290299.56613
bfa,1970,545701914.78665
bfa,1971,547578554.10948
bfa,1972,588887199.18702
bfa,1973,564339600.86204
bfa,1974,659352539.60869
bfa,1975,630939310.14383
bfa,1976,679115958.11044
bfa,1977,790382301.99611
bfa,1978,827832368.0007
bfa,1979,994514684.55096
bfa,1980,946789956.12217
bfa,1981,997255880.82155
bfa,1982,1149905497.53645
bfa,1983,1187416217.60112
bfa,1984,1160379599.81754
bfa,1985,1265711068.92696
bfa,1986,1332781040.98938
bfa,1987,1361555165.86128
bfa,1988,1395210248.66892
bfa,1989,1471254672.87084
bfa,1990,1469476412.61466
bfa,1991,1546053917.06558
bfa,1992,1507291440.95085
bfa,1993,1501953198.65963
bfa,1994,1427689976.70378
bfa,1995,1536548115.33669
bfa,1996,1749454644.75754
bfa,1997,1885870367.7549
bfa,1998,1940399935.75905
bfa,1999,1939243097.35413
bfa,2000,2117666245.27221
bfa,2001,2270367706.52543
bfa,2002,2427296961.1393
bfa,2003,2531365638.56906
bfa,2004,2730131673.98412
bfa,2005,2979404991.30853
bfa,2006,3284122188.38024
bfa,2007,3432528487.68047
bfa,2008,3543238489.52922
bfa,2009,3753660329.96302
bfa,2010,3853667941.78803
bfa,2011,4106519849.82706
bfa,2012,4459425978.88371
bfa,2013,4701426215.85466
bfa,2014,4939452959.74352
bfa,2015,5215830471.55528
bfa,2016,5564089817.57296
bfa,2017,5908121096.55475
bfa,2018,6208734806.66908
bfa,2019,6695334240.1715
bfa,2020,6326732083.44828
bgd,1960,13146730249.1971
bgd,1961,13229470503.0245
bgd,1962,13314004824.5832
bgd,1963,13899064134.9931
bgd,1964,14082092406.2156
bgd,1965,14833708204.8932
bgd,1966,15307464802.536
bgd,1967,16228134521.5901
bgd,1968,16174746402.0737
bgd,1969,17413380859.0218
bgd,1970,17219802026.5959
bgd,1971,16050029543.052
bgd,1972,15143430056.5747
bgd,1973,16452335604.1863
bgd,1974,16306233137.5566
bgd,1975,17260750982.5633
bgd,1976,17830666298.7041
bgd,1977,19138184060.7888
bgd,1978,19821099100.553
bgd,1979,19435253345.6101
bgd,1980,21178940786.6209
bgd,1981,21908741803.1286
bgd,1982,22630703599.5401
bgd,1983,23526730239.5595
bgd,1984,24506320205.3223
bgd,1985,25371019333.5537
bgd,1986,26391837280.0559
bgd,1987,27385798809.53469
bgd,1988,28230075353.1046
bgd,1989,29162741311.0534
bgd,1990,30081722924.5757
bgd,1991,31100953001.4924
bgd,1992,32407604004.2463
bgd,1993,33664016170.9065
bgd,1994,35027642350.3131
bgd,1995,36636689429.3539
bgd,1996,38031389745.3514
bgd,1997,39585454718.7104
bgd,1998,41382573210.4078
bgd,1999,43223622692.8143
bgd,2000,45507737712.5639
bgd,2001,47952208260.83009
bgd,2002,50271729978.9409
bgd,2003,52774684585.1421
bgd,2004,55525881409.3718
bgd,2005,58966038720.0657
bgd,2006,62859043457.94869
bgd,2007,66935524164.9542
bgd,2008,70792605244.4426
bgd,2009,74388848527.5217
bgd,2010,78501681010.06238
bgd,2011,83381836825.1232
bgd,2012,88865073559.5999
bgd,2013,93765232580.38748
bgd,2014,99038924451.2448
bgd,2015,104784233630.75101
bgd,2016,111330000662.599
bgd,2017,118778774397.173
bgd,2018,126366802948.19099
bgd,2019,134939028998.037
bgd,2020,140552930273.64499
bgr,1980,20753916838.8229
bgr,1981,22689737374.1505
bgr,1982,20122262780.7296
bgr,1983,23562959381.3828
bgr,1984,21756073364.9298
bgr,1985,26068752031.5686
bgr,1986,23837736141.1112
bgr,1987,29688920230.5808
bgr,1988,34004488529.8038
bgr,1989,30878176206.0041
bgr,1990,29007546582.0117
bgr,1991,30182157176.2935
bgr,1992,22063156875.6979
bgr,1993,22195535876.5372
bgr,1994,21507474250.2554
bgr,1995,22367772613.9197
bgr,1996,23255548061.664
bgr,1997,17177391747.903
bgr,1998,19272090228.973
bgr,1999,16267121401.0428
bgr,2000,16904015529.3584
bgr,2001,17436978009.5217
bgr,2002,18902465427.34069
bgr,2003,19470182498.2997
bgr,2004,20395680117.8871
bgr,2005,22283167082.2943
bgr,2006,23879630469.2813
bgr,2007,25676379505.781
bgr,2008,26474355021.5371
bgr,2009,26783623328.0435
bgr,2010,28634816368.1705
bgr,2011,29081702561.7774
bgr,2012,28935375765.1326
bgr,2013,28479284742.6887
bgr,2014,28660068578.5536
bgr,2015,29600004534.1192
bgr,2016,30104128882.3396
bgr,2017,31295562797.5516
bgr,2018,32968571185.6722
bgr,2019,34647667762.4121
bgr,2020,33490923826.7966
bhr,2006,11248893540.5991
bhr,2007,12350262863.3149
bhr,2008,13311897044.2212
bhr,2009,13972340897.963
bhr,2010,14852188669.8397
bhr,2011,15223718742.7688
bhr,2012,16451917094.4626
bhr,2013,16937284233.5637
bhr,2014,17703695572.4826
bhr,2015,18268617021.2766
bhr,2016,19077037614.3787
bhr,2017,20395092272.7041
bhr,2018,20902036372.06
bhr,2019,20596410462.8801
bhr,2020,19040379675.272
bhs,1989,8117823969.96072
bhs,1990,8061349233.38213
bhs,1991,7061093919.17326
