global,time,nv_srv_totl_kd
world,1997,27742119794897.5
world,1998,28656744479963.10156
world,1999,29686293104255.30078
world,2000,30929251284115.69531
world,2001,31794649922861
world,2002,32641484098735.19922
world,2003,33517968722821.39844
world,2004,34821999192696
world,2005,36288905985937.89844
world,2006,37792206546395.20312
world,2007,39425048669132.60156
world,2008,40350183216901.50781
world,2009,40281375584122.60156
world,2010,41668020006665.69531
world,2011,43007351459862
world,2012,44236775851037.20312
world,2013,45433493355009.69531
world,2014,46817670256367.39844
world,2015,48292420913009.50781
world,2016,49666851957526
world,2017,51329325606979.20312
world,2018,53032796942759.29688
world,2019,54599660560169.79688
