geo,time,ny_adj_aedu_gn_zs
abw,1970,4.7444
abw,1971,4.7444
abw,1972,4.7444
abw,1973,4.7444
abw,1974,4.7444
abw,1975,4.7444
abw,1976,4.7444
abw,1977,4.7444
abw,1978,4.7444
abw,1979,4.7444
abw,1980,4.7444
abw,1981,4.7444
abw,1982,4.7444
abw,1983,4.7444
abw,1984,4.7444
abw,1985,4.7444
abw,1986,4.7444
abw,1987,4.7444
abw,1988,4.7444
abw,1989,4.7444
abw,1990,4.7444
abw,1991,4.7444
abw,1992,4.7444
abw,1993,4.7444
abw,1994,4.7444
abw,1995,4.7444
abw,1996,4.7444
abw,1997,4.7444
abw,1998,4.7444
abw,1999,4.45035
abw,2000,4.09519
abw,2001,4.69284
abw,2002,4.70648
abw,2003,5.03843
abw,2004,5.37037
abw,2005,5.70231
abw,2006,5.01616
abw,2007,4.33
abw,2008,4.53
abw,2009,5.53
abw,2010,6.58
abw,2011,5.77
abw,2012,6.86341
abw,2013,6.92738
abw,2014,6.13332
abw,2015,6.24244
abw,2016,5.78798
abw,2017,5.78798
abw,2018,5.78798
abw,2019,5.78798
afg,1970,1.01778
afg,1971,1
afg,1972,1
afg,1973,1.3
afg,1974,1.51689
afg,1975,1.2
afg,1976,1.51689
afg,1977,1.4
afg,1978,1.51689
afg,1979,1.4
afg,1980,1.6
afg,1981,1.7
afg,1982,1.6
afg,1983,1.64446
afg,1984,1.68892
afg,1985,1.73338
afg,1986,1.77783
afg,1987,1.82229
afg,1988,1.86675
afg,1989,1.91121
afg,1990,1.95567
afg,1991,2.00013
afg,1992,2.04458
afg,1993,2.08904
afg,1994,2.1335
afg,1995,2.17796
afg,1996,2.22242
afg,1997,2.26688
afg,1998,2.31134
afg,1999,2.35579
afg,2000,2.40025
afg,2001,2.44471
afg,2002,2.48917
afg,2003,2.53363
afg,2004,2.57809
afg,2005,2.62254
afg,2006,2.667
afg,2007,2.71146
afg,2008,2.75592
afg,2009,2.80038
afg,2010,2.84484
afg,2011,2.86292
afg,2012,2.20789
afg,2013,2.79877
afg,2014,2.98447
afg,2015,2.59352
afg,2016,2.59352
afg,2017,2.59352
afg,2018,2.59352
afg,2019,2.59352
ago,1970,5.01811
ago,1971,5.01811
ago,1972,5.01811
ago,1973,5.01811
ago,1974,5.01811
ago,1975,5.01811
ago,1976,5.01811
ago,1977,5.01811
ago,1978,5.01811
ago,1979,5.01811
ago,1980,5.01811
ago,1981,5.01811
ago,1982,5.01811
ago,1983,5.01811
ago,1984,5.01811
ago,1985,4.8
ago,1986,6.7
ago,1987,5.3
ago,1988,5.0011
ago,1989,5.0011
ago,1990,4.4
ago,1991,4.41823
ago,1992,4.41823
ago,1993,4.41823
ago,1994,4.41823
ago,1995,4.41823
ago,1996,4.41823
ago,1997,4.41823
ago,1998,2.8
ago,1999,2.99979
ago,2000,2.99
ago,2001,2.915
ago,2002,2.84
ago,2003,2.765
ago,2004,2.69
ago,2005,2.615
ago,2006,2.54
ago,2007,2.7975
ago,2008,3.055
ago,2009,3.3125
ago,2010,3.57
ago,2011,3.57
ago,2012,3.57
ago,2013,3.57
ago,2014,3.57
ago,2015,3.57
ago,2016,3.57
ago,2017,3.57
ago,2018,3.57
ago,2019,3.57
alb,1970,2.8
alb,1971,2.8
alb,1972,2.8
alb,1973,2.8
alb,1974,2.8
alb,1975,2.8
alb,1976,2.8
alb,1977,2.8
alb,1978,2.8
alb,1979,2.8
alb,1980,2.8
