geo,time,ny_adj_dco2_cd
abw,1970,44041645.05191
abw,1971,41179690.06487
abw,1972,42592977.76638
abw,1973,50959614.26986
abw,1974,51478680.79955
abw,1975,41649546.7711
abw,1976,95978258.2696
abw,1977,54443074.18956
abw,1978,50743621.56537
abw,1979,58944398.84912
abw,1980,67628407.24979
abw,1981,72097378.18321
abw,1982,87516801.60088
abw,1983,47791635.91369
abw,1984,126429251.09548
abw,1985,156094916.56257
abw,1986,1741974.50926
abw,1987,4544400.87691
abw,1988,6584939.77026
abw,1989,7416044.70278
abw,1990,5911174.88688
abw,1991,6812359.00645
abw,1992,7222647.0485
abw,1993,9103013.32352
abw,1994,9667727.20649
abw,1995,10821386.72475
abw,1996,11559403.67615
abw,1997,12569823.10085
abw,1998,13813523.69328
abw,1999,14393439.13492
abw,2000,44185371.58273
abw,2001,46739739.42899
abw,2002,49138489.68047
abw,2003,53793855.49291
abw,2004,57697029.01418
abw,2005,63218627.98009
abw,2006,66507564.0419
abw,2007,72563847.50747
abw,2008,71218775.30468
abw,2009,72566941.38197
abw,2010,71609634.34954
abw,2011,74531665.2849
abw,2012,41910173.93518
abw,2013,27845560.38324
abw,2014,29369046.67357
abw,2015,31235103.52608
abw,2016,31741702.41334
abw,2017,28567606.14911
abw,2018,19780947.40131
abw,2019,10048096.94935
afg,1970,4421618.26149
afg,1971,5385757.5926
afg,1972,4644890.34864
afg,1973,5357231.32141
afg,1974,6985819.94244
afg,1975,8655226.48772
afg,1976,8725296.20633
afg,1977,11399127.92922
afg,1978,11269982.31599
afg,1979,12945732.45752
afg,1980,11338328.84384
afg,1981,14303146.9003
afg,1982,16447073.57078
afg,1983,20983181.56262
afg,1984,24943363.62017
afg,1985,32616339.55248
afg,1986,30466778.66191
afg,1987,31736307.76331
afg,1988,30834867.6667
afg,1989,31717208.1356
afg,1990,31689230.78456
afg,1991,31242887.85716
afg,1992,18670788.28865
afg,1993,18874609.54651
afg,1994,18959487.24383
afg,1995,19007513.46989
afg,1996,18740245.35376
afg,1997,18156411.14567
afg,1998,17832003.31315
afg,1999,14588825.18653
afg,2000,14365351.93213
afg,2001,15864477.76661
afg,2002,21576599.98
afg,2003,25473199.09607
afg,2004,20202040.97135
afg,2005,30842511.22479
afg,2006,40389208.93233
afg,2007,58428033.05796
afg,2008,112673014.17169
afg,2009,186832041.54967
afg,2010,241630169.70577
afg,2011,364789880.82258
afg,2012,334028641.7171
afg,2013,292437629.89715
afg,2014,284929112.47598
afg,2015,314135898.31943
afg,2016,311490150.23882
afg,2017,347352990.95153
afg,2018,383915238.48237
afg,2019,433636073.63528
ago,1970,9473511.05586
ago,1971,9688113.27102
ago,1972,13656866.59924
ago,1973,15951845.3888
ago,1974,17751729.83461
ago,1975,17967056.36417
ago,1976,14424105.90566
ago,1977,16853925.3432
ago,1978,28241925.12462
ago,1979,31802855.02247
ago,1980,34440173.86315
ago,1981,38071222.80302
ago,1982,36395967.34337
ago,1983,42545840.52304
ago,1984,44135537.18283
ago,1985,43692943.89372
ago,1986,45184685.74013
ago,1987,59077211.39977
ago,1988,55163657.11729
ago,1989,57233429.74007
ago,1990,62000668.92632
ago,1991,65210719.31691
ago,1992,69622386.8553
ago,1993,81001389.74321
ago,1994,56985880.92268
ago,1995,167815598.27546
ago,1996,166502117.59787
ago,1997,122236975.37205
ago,1998,125137966.91234
ago,1999,162626323.61945
ago,2000,177149979.75078
ago,2001,188808627.76945
ago,2002,255224576.4757
ago,2003,190240931.01354
ago,2004,414141839.91268
ago,2005,445086405.07812
ago,2006,544985059.19355
ago,2007,646383675.39446
ago,2008,688710115.39467
ago,2009,767063945.23563
ago,2010,829582956.99676
ago,2011,911537566.18967
ago,2012,1061420709.44542
ago,2013,1088702165.11142
ago,2014,1509297520.43903
ago,2015,1202360250.42636
ago,2016,1246092309.26405
ago,2017,1304021887.16867
ago,2018,1346540746.81447
ago,2019,1403197065.97143
alb,1970,9900158.43197
alb,1971,12365366.07817
alb,1972,17101641.73818
alb,1973,17294149.43354
alb,1974,15828291.83899
alb,1975,18698273.77434
alb,1976,21732748.8534
alb,1977,27273987.06991
alb,1978,33886483.33042
alb,1979,43837513.01899
alb,1980,33306340.97877
alb,1981,52929575.03586
alb,1982,57205964.44426
alb,1983,63468024.46483
alb,1984,68949660.57699
alb,1985,73241916.09017
alb,1986,78104448.91508
alb,1987,75615850.6567
alb,1988,78782692.58066
alb,1989,102651466.22487
alb,1990,66845165.63813
alb,1991,54921708.12786
alb,1992,33705686.22635
alb,1993,32760562.07392
alb,1994,28197537.68559
alb,1995,31903466.56156
alb,1996,32109454.65597
alb,1997,25564712.68337
alb,1998,30013019.66086
alb,1999,53014748.66889
alb,2000,56069908.55426
alb,2001,62469190.62208
alb,2002,75564970.36227
alb,2003,90033032.5275
alb,2004,91892567.05812
alb,2005,98745924.6839
alb,2006,95456725.04686
alb,2007,100997638.00848
alb,2008,117064987.10079
alb,2009,120887908.34649
alb,2010,131329495.56735
alb,2011,156162526.7176
alb,2012,152800873.65657
alb,2013,158656796.94306
alb,2014,184745694.89625
alb,2015,160623073.17942
alb,2016,163064009.22049
alb,2017,174885208.23046
alb,2018,188340324.74298
alb,2019,200266280.97047
and,1990,4933386.55973
and,1991,5214978.2739
and,1992,5453835.52642
and,1993,5760098.82618
and,1994,5961765.11067
and,1995,6504045.9071
and,1996,7239222.50426
and,1997,7711920.45318
and,1998,8413691.70409
and,1999,9118015.74158
and,2000,9735759.84026
and,2001,10173185.29428
and,2002,10720150.46206
and,2003,11227895.66485
and,2004,12362525.20854
and,2005,13382977.08657
and,2006,13363941.50656
and,2007,13851838.90243
and,2008,14438908.01998
and,2009,14269189.18154
and,2010,14760293.30616
and,2011,14632786.37755
and,2012,15155859.01309
and,2013,15413297.78856
and,2014,15546905.47214
and,2015,16201374.91377
and,2016,16845158.66176
and,2017,17579570.27226
and,2018,18714248.36569
and,2019,19819987.90957
are,1970,40318177.04224
are,1971,60180892.86738
are,1972,71073489.64095
are,1973,100109515.05082
are,1974,114110630.53206
are,1975,126440920.74222
are,1976,174071269.14948
are,1977,184921128.99903
are,1978,233837782.48508
are,1979,211517589.39997
are,1980,237726961.42575
are,1981,265731847.49521
are,1982,288613132.20626
are,1983,293947534.73909
are,1984,408786834.87349
are,1985,464024517.24878
are,1986,457925992.93362
are,1987,484462932.82811
are,1988,520091949.51896
are,1989,622570668.01444
are,1990,630362356.54623
are,1991,730425830.85012
are,1992,778964940.86375
are,1993,925370162.31714
are,1994,1071130464.88311
are,1995,1080120175.46892
are,1996,1169076053.61059
are,1997,1220426592.66144
