geo,time,ny_adj_dfor_cd
abw,1970,1119.42884
abw,1971,911.43946
abw,1972,1040.76054
abw,1973,1747.7411
abw,1974,1820.73312
abw,1975,2468.17166
abw,1976,1931.65169
abw,1977,2993.99614
abw,1978,2850.06131
abw,1979,2701.11688
abw,1980,2965.43312
abw,1981,2540.78767
abw,1982,6021.16955
abw,1983,2008.24134
abw,1984,1314.00578
abw,1985,894.24253
abw,1986,964.11279
abw,1987,980.15627
abw,1988,826.39863
abw,1989,808.32255
abw,1990,2688.02319
abw,1991,3263.95275
abw,1992,2874.37117
abw,1993,1940.66394
abw,1994,1896.64073
abw,1995,2561.26303
abw,1996,1879.87669
abw,1997,2367.51768
abw,1998,2811.37513
abw,1999,2666.52383
abw,2000,3514.4986
abw,2001,3986.09247
abw,2002,4024.16458
abw,2003,4787.94299
abw,2004,5514.73893
abw,2005,5821.39321
abw,2006,9071.52632
abw,2007,9914.18588
abw,2008,11136.83613
abw,2009,10674.07503
abw,2010,25728.26022
abw,2011,23407.28227
abw,2012,24338.59898
abw,2013,29536.40874
abw,2014,46593.4416
abw,2015,37494.84067
abw,2016,54342.98793
abw,2017,48845.46771
abw,2018,34184.25148
abw,2019,35189.58634
afg,1970,1443112.85828
afg,1971,1971102.05388
afg,1972,2155450.59769
afg,1973,4594132.77683
afg,1974,6216689.02932
afg,1975,6785449.77008
afg,1976,7193306.61831
afg,1977,6561158.46573
afg,1978,9188437.08814
afg,1979,7897668.37954
afg,1980,8064157.00216
afg,1981,5667506.50505
afg,1982,6890418.96446
afg,1983,5579293.38604
afg,1984,4065946.03505
afg,1985,4902039.37622
afg,1986,7658064.43902
afg,1987,5218303.09951
afg,1988,5271726.94039
afg,1989,6987238.25609
afg,1990,5857398.8563
afg,1991,6276597.48159
afg,1992,6512565.70058
afg,1993,8854408.21302
afg,1994,10010664.13703
afg,1995,10944817.96747
afg,1996,10458689.03691
afg,1997,11918420.05469
afg,1998,11570745.93574
afg,1999,14646992.50796
afg,2000,12945006.88175
afg,2001,13182726.59342
afg,2002,21078693.49176
afg,2003,16419550.25161
afg,2004,11189786.71742
afg,2005,11484496.82287
afg,2006,17732146.16342
afg,2007,18844246.88105
afg,2008,20275225.55992
afg,2009,19464409.40535
afg,2010,32834589.03876
afg,2011,31825711.39294
afg,2012,30760481.8334
afg,2013,31335819.49163
afg,2014,32417332.60145
afg,2015,34371670.77403
afg,2016,42870850.04305
afg,2017,30430298.47804
afg,2018,37401195.34757
afg,2019,43302947.80734
ago,1970,0
ago,1971,0
ago,1972,0
ago,1973,0
ago,1974,0
ago,1975,0
ago,1976,0
ago,1977,0
ago,1978,0
ago,1979,0
ago,1980,0
ago,1981,0
ago,1982,0
ago,1983,0
ago,1984,0
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
ago,2016,0
ago,2017,0
ago,2018,0
ago,2019,0
alb,1970,6140099.33536
alb,1971,5548343.14321
alb,1972,5642577.70633
alb,1973,7404224.7223
alb,1974,12125975.96647
alb,1975,9631334.32175
alb,1976,11653927.10788
alb,1977,14299231.1427
alb,1978,14428637.69167
alb,1979,20381036.48316
alb,1980,27927461.83268
alb,1981,26264398.64321
alb,1982,20700522.56228
alb,1983,18644521.60084
alb,1984,19683653.0229
alb,1985,21039620.51969
alb,1986,24539306.99292
alb,1987,22859014.39229
alb,1988,26011019.93879
alb,1989,24112614.39929
alb,1990,18933865.24052
alb,1991,27942649.51064
alb,1992,29909717.67701
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,1999,0
alb,2000,0
alb,2001,0
alb,2002,0
alb,2003,0
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,0
alb,2009,0
alb,2010,0
alb,2011,10788627.60258
alb,2012,8292670.36815
alb,2013,7162805.9018
alb,2014,6943805.8397
alb,2015,6119007.078
alb,2016,4695712.22882
alb,2017,5103178.45489
alb,2018,4965123.1865
alb,2019,4159145.23859
are,1970,0
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,1970,0
arg,1971,0
arg,1972,0
arg,1973,0
arg,1974,0
arg,1975,0
arg,1976,0
arg,1977,0
arg,1978,0
arg,1979,0
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,0
arg,1984,0
arg,1985,0
arg,1986,0
arg,1987,0
arg,1988,0
arg,1989,0
arg,1990,0
arg,1991,0
arg,1992,0
arg,1993,0
arg,1994,0
arg,1995,0
arg,1996,0
arg,1997,0
arg,1998,0
arg,1999,0
arg,2000,0
arg,2001,0
arg,2002,0
arg,2003,0
arg,2004,0
arg,2005,0
arg,2006,0
arg,2007,0
arg,2008,0
arg,2009,0
arg,2010,0
arg,2011,0
arg,2012,0
arg,2013,0
arg,2014,0
arg,2015,0
arg,2016,0
arg,2017,0
arg,2018,0
arg,2019,0
arm,1995,0
arm,1996,0
arm,1997,0
arm,1998,0
arm,1999,0
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,0
arm,2006,0
arm,2007,0
arm,2008,6829017.76177
arm,2009,9989437.61948
arm,2010,11948442.80231
arm,2011,23977771.41132
arm,2012,19533556.34925
arm,2013,9237325.91923
arm,2014,9972235.32833
arm,2015,9940042.44981
arm,2016,8334638.0346
arm,2017,10087683.98755
arm,2018,11684698.42377
arm,2019,11494070.92938
aus,1970,0
aus,1971,0
aus,1972,0
aus,1973,0
aus,1974,0
aus,1975,0
aus,1976,0
aus,1977,0
aus,1978,0
aus,1979,0
aus,1980,0
aus,1981,0
aus,1982,0
aus,1983,0
aus,1984,0
aus,1985,0
aus,1986,0
aus,1987,0
aus,1988,0
aus,1989,0
aus,1990,0
aus,1991,0
aus,1992,0
aus,1993,0
aus,1994,0
aus,1995,0
aus,1996,0
aus,1997,0
aus,1998,0
aus,1999,0
aus,2000,0
aus,2001,0
aus,2002,0
aus,2003,0
aus,2004,0
aus,2005,0
aus,2006,0
aus,2007,0
aus,2008,0
aus,2009,0
aus,2010,0
aus,2011,0
aus,2012,0
aus,2013,0
aus,2014,0
aus,2015,0
aus,2016,0
aus,2017,0
aus,2018,0
aus,2019,0
aut,1970,0
aut,1971,0
aut,1972,0
aut,1973,0
aut,1974,0
aut,1975,0
aut,1976,0
aut,1977,0
aut,1978,0
aut,1979,0
aut,1980,0
aut,1981,0
aut,1982,0
aut,1983,0
aut,1984,0
aut,1985,0
aut,1986,0
aut,1987,0
aut,1988,0
aut,1989,0
aut,1990,0
aut,1991,0
aut,1992,0
aut,1993,0
aut,1994,0
aut,1995,0
aut,1996,0
aut,1997,0
aut,1998,0
aut,1999,0
aut,2000,0
aut,2001,0
aut,2002,0
aut,2003,0
aut,2004,0
aut,2005,0
aut,2006,0
aut,2007,0
aut,2008,0
aut,2009,0
aut,2010,0
aut,2011,0
aut,2012,0
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,1998,0
aze,1999,0
aze,2000,0
aze,2001,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
aze,2006,0
aze,2007,0
aze,2008,0
aze,2009,0
aze,2010,0
aze,2011,0
aze,2012,0
aze,2013,0
aze,2014,0
aze,2015,0
aze,2016,0
aze,2017,0
aze,2018,0
aze,2019,0
bdi,1970,14101494.09549
bdi,1971,11724033.74986
bdi,1972,13515517.56579
bdi,1973,23113940.69718
bdi,1974,25553190.40802
bdi,1975,35997698.0943
bdi,1976,31667570.90612
bdi,1977,60474126.39311
bdi,1978,63189554.29869
bdi,1979,58483970.68474
bdi,1980,74195909.3753
bdi,1981,66889035.13108
bdi,1982,100501043.30111
bdi,1983,65315487.01044
bdi,1984,61958805.22713
bdi,1985,63954114.84336
bdi,1986,96988222.80266
bdi,1987,99658855.81426
bdi,1988,106646346.61171
bdi,1989,113082287.74433
bdi,1990,144815558.81808
bdi,1991,142076038.23115
bdi,1992,146069162.31309
bdi,1993,128968976.0431
bdi,1994,152830974.74577
bdi,1995,230802544.13399
bdi,1996,237241991.72275
bdi,1997,224471988.68908
bdi,1998,236414060.40173
bdi,1999,121308206.13475
bdi,2000,128083748.5001
bdi,2001,161518384.51814
bdi,2002,196353126.9373
bdi,2003,312626944.319
bdi,2004,274118524.02822
bdi,2005,290509864.2404
bdi,2006,296857398.53624
bdi,2007,427952375.89734
bdi,2008,518436104.14447
bdi,2009,527058434.16183
bdi,2010,472818505.93224
bdi,2011,540867068.07881
bdi,2012,387924798.61329
bdi,2013,412331271.67126
bdi,2014,452454777.79478
bdi,2015,464729983.34804
bdi,2016,486309197.66629
bdi,2017,485739045.52247
bdi,2018,326216541.28385
bdi,2019,269599976.14068
bel,1970,0
bel,1971,0
bel,1972,0
bel,1973,0
bel,1974,0
bel,1975,0
bel,1976,0
bel,1977,0
bel,1978,0
bel,1979,0
bel,1980,0
bel,1981,0
bel,1982,0
bel,1983,0
bel,1984,0
bel,1985,0
bel,1986,0
bel,1987,0
bel,1988,0
bel,1989,0
bel,1990,9829474.21929
bel,1991,0
bel,1992,0
bel,1993,0
bel,1994,0
bel,1995,0
bel,1996,0
bel,1997,0
bel,1998,855314.90807
bel,1999,3554792.22347
bel,2000,378317.13523
bel,2001,0
bel,2002,0
bel,2003,2583929.46275
bel,2004,2752636.6828
bel,2005,3568653.26892
bel,2006,5237964.17442
bel,2007,4589799.53338
bel,2008,0
bel,2009,0
bel,2010,0
bel,2011,3672597.7056
bel,2012,2834915.21645
bel,2013,9371073.01578
bel,2014,7555613.18185
bel,2015,5878623.76225
bel,2016,6146876.46873
bel,2017,5326102.40715
bel,2018,2810819.09785
bel,2019,2323278.37777
ben,1970,0
ben,1971,0
ben,1972,0
ben,1973,0
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,133606.96132
ben,1986,3279404.85623
ben,1987,6701861.85864
ben,1988,10070009.3579
ben,1989,14270389.90265
