geo,time,ny_adj_dkap_gn_zs
abw,1986,9.44481
abw,1987,9.81158
abw,1988,10.09348
abw,1989,10.14833
abw,1990,9.95941
abw,1991,10.01843
abw,1992,10.03421
abw,1993,10.074
abw,1994,10.188
abw,1995,10.917
abw,1996,11.06971
abw,1997,11.44231
abw,1998,11.14104
abw,1999,10.40699
abw,2000,10.35216
abw,2001,10.61367
abw,2002,11.01103
abw,2003,10.445
abw,2004,10.57638
abw,2005,12.2424
abw,2006,10.23458
abw,2007,11.54178
abw,2008,10.19475
abw,2009,9.89309
abw,2010,10.40103
abw,2011,11.12294
abw,2012,10.54746
abw,2013,10.70107
abw,2014,10.42897
abw,2015,10.8905
abw,2016,10.93422
abw,2017,11.02421
afg,1970,5.32572
afg,1971,5.28462
afg,1972,5.00533
afg,1973,5.01162
afg,1974,5.15207
afg,1975,5.34273
afg,1976,5.34922
afg,1977,5.41791
afg,1978,5.4687
afg,1979,5.51557
afg,1980,5.90274
afg,1981,5.74067
afg,2009,5.61762
afg,2010,5.67364
afg,2011,5.33448
afg,2012,5.52161
afg,2013,5.51951
afg,2014,5.13537
afg,2015,4.9923
afg,2016,4.58946
afg,2017,4.45585
afg,2018,4.77098
afg,2019,4.51283
ago,1985,11.38525
ago,1986,11.02644
ago,1987,11.4647
ago,1988,12.31574
ago,1989,8.90274
ago,1990,9.26805
ago,1991,8.50549
ago,1992,18.98119
ago,1993,14.061
ago,1994,16.97458
ago,1995,9.27856
ago,1996,10.13622
ago,1997,9.41731
ago,1998,10.68877
ago,1999,10.10438
ago,2000,9.09536
ago,2001,9.44816
ago,2002,9.4649
ago,2003,9.55588
ago,2004,9.79277
ago,2005,9.51859
ago,2006,10.13933
ago,2007,10.63455
ago,2008,11.033
ago,2009,11.93301
ago,2010,11.5778
ago,2011,11.23261
ago,2012,11.50226
ago,2013,11.86084
ago,2014,12.17931
ago,2015,12.43567
ago,2016,12.39741
ago,2017,12.37037
ago,2018,11.6718
ago,2019,12.29667
alb,1984,14.17806
alb,1985,14.5534
alb,1986,14.33805
alb,1987,14.51118
