geo,time,ny_adj_dngy_cd
abw,1980,0
abw,1981,0
abw,1982,0
abw,1983,0
abw,1984,0
abw,1985,0
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
abw,1990,0
abw,1991,0
abw,1992,0
abw,1993,0
abw,1994,0
abw,1995,0
abw,1996,0
abw,1997,0
abw,1998,0
abw,1999,0
abw,2000,0
abw,2001,0
abw,2002,0
abw,2003,0
abw,2004,0
abw,2005,0
abw,2006,0
abw,2007,0
abw,2008,0
abw,2009,0
abw,2010,0
abw,2011,0
abw,2012,0
abw,2013,0
abw,2014,0
abw,2015,0
abw,2016,0
abw,2017,0
abw,2018,0
abw,2019,0
afg,1970,116522.49684
afg,1971,211805.95522
afg,1972,248336.02159
afg,1973,873996.77066
afg,1974,3880958.07299
afg,1975,10557005.80894
afg,1976,16395589.50862
afg,1977,20837260.25621
afg,1978,16692730.67823
afg,1979,38294796.92317
afg,1980,39415478.92901
afg,1981,29954704.34633
afg,1982,21156883.39305
afg,1983,29938953.81507
afg,1984,27562612.04337
afg,1985,25679142.49048
afg,1986,18185730.22501
afg,1987,16779473.30777
afg,1988,12610894.0055
afg,1989,12632813.12045
afg,1990,20174878.92475
afg,1991,4679860.2605
afg,1992,3930500.49682
afg,1993,3131191.68352
afg,1994,2425133.58865
afg,1995,2148796.224
afg,1996,2278271.28666
afg,1997,1815234.51829
afg,1998,895797.21966
afg,1999,1219822.24615
afg,2000,1797046.59537
afg,2001,1078195.64626
afg,2002,972549.35514
afg,2003,947543.41075
afg,2004,1235224.96024
afg,2005,1469288.97477
afg,2006,1472284.29107
afg,2007,3290272.44533
afg,2008,7710899.58328
afg,2009,4951965.99284
afg,2010,10443129.76262
afg,2011,26493637.74575
afg,2012,34477197.56794
afg,2013,14947627.78372
afg,2014,14100243.21332
afg,2015,9737234.51429
afg,2016,12931133.91895
afg,2017,21533308.71067
afg,2018,28262379.08704
afg,2019,20748585.01537
ago,1970,0
ago,1971,1853981.42215
ago,1972,0
ago,1973,15549258.30167
ago,1974,366479259.28155
ago,1975,327385639.9094
ago,1976,313127403.18516
ago,1977,326948788.36219
ago,1978,264357199.14254
ago,1979,761265259.41115
ago,1980,733700824.54702
ago,1981,364037770.52116
ago,1982,123984495.11153
ago,1983,361164507.23654
ago,1984,595294233.15228
ago,1985,725225021.53933
ago,1986,359329466.8082
ago,1987,1014262403.31496
ago,1988,1060931985.32197
ago,1989,1848688828.06186
ago,1990,2677549951.83032
ago,1991,1512565023.95121
ago,1992,1988066406.14739
ago,1993,1535593392.47233
ago,1994,1259135378.14676
ago,1995,1725835878.56306
ago,1996,2584395609.23606
ago,1997,2224696731.86391
ago,1998,806545069.23901
ago,1999,1687841096.57264
ago,2000,3371367518.23674
ago,2001,2179710806.40591
ago,2002,2564962233.29294
ago,2003,2529095555.89433
ago,2004,6315819441.52479
ago,2005,11926232313.6207
ago,2006,16427516937.6628
ago,2007,22765005266.5632
ago,2008,38595984709.8068
ago,2009,16408278221.173
ago,2010,26239663999.0423
ago,2011,35180593823.7824
ago,2012,35806119178.5632
ago,2013,32491593097.036
ago,2014,26823618918.5985
ago,2015,9348457855.54708
ago,2016,8046241908.36874
ago,2017,15293436303.2917
ago,2018,20950442467.9602
ago,2019,17189662844.9457
alb,1970,870018.52161
alb,1971,1492234.82874
alb,1972,2471348.83294
alb,1973,6614737.08075
alb,1974,55163549.89443
alb,1975,54121096.57956
alb,1976,63097734.23223
alb,1977,70677019.42498
alb,1978,75645590.05752
alb,1979,194073439.78034
alb,1980,258032272.3802
alb,1981,197865552.32013
alb,1982,164508839.95615
alb,1983,293858689.02839
alb,1984,220227220.30973
alb,1985,224224064.26026
alb,1986,97691358.59467
alb,1987,150715652.39579
alb,1988,94827656.80576
alb,1989,158387505.9249
alb,1990,123320154.91993
alb,1991,32003769.49312
alb,1992,14404457.39781
alb,1993,14269335.5187
alb,1994,12653437.57737
alb,1995,12215545.80999
alb,1996,15781326.07452
alb,1997,11650690.10933
alb,1998,1582653.64275
alb,1999,4381169.87027
alb,2000,10498699.5317
alb,2001,8726628.20863
alb,2002,10264209.98202
alb,2003,13348548.71181
alb,2004,17921776.3353
alb,2005,27991491.00591
alb,2006,35967770.8837
alb,2007,26817842.76565
alb,2008,35361562.4451
alb,2009,15952966.00763
alb,2010,72306210.27285
alb,2011,195677137.31629
alb,2012,215347010.50915
alb,2013,211575077.17776
alb,2014,250947807.59803
alb,2015,104159290.33384
alb,2016,97999862.96682
alb,2017,93265681.61153
alb,2018,144572109.9779
alb,2019,124687724.85898
are,1970,95111379.58145
are,1971,214433230.1699
are,1972,320730354.80594
are,1973,687413025.23205
are,1974,3202004638.70502
are,1975,3049477693.88924
are,1976,4193973373.91728
are,1977,4669894792.90641
are,1978,4070801852.50522
are,1979,9262294554.94749
are,1980,9449140075.63185
are,1981,6344626528.40772
are,1982,3609709384.5229
are,1983,3155160183.14754
are,1984,3095879564.11747
are,1985,3206787333.69941
are,1986,1933455016.84773
are,1987,3450615680.54565
are,1988,1113335018.1557
are,1989,2187369943.49137
are,1990,3758551704.58163
are,1991,2896209663.71401
are,1992,2747398364.16992
are,1993,2363743871.67234
are,1994,2218208815.69364
are,1995,2506467442.03075
are,1996,3273364501.54573
are,1997,3077130630.84643
are,1998,1983709244.72272
are,1999,2568151247.92767
are,2000,5145417970.6529
are,2001,3718727092.78081
are,2002,3394207179.75391
are,2003,4966012905.6978
are,2004,7274875079.37264
are,2005,11228347472.8801
are,2006,14432304820.1917
are,2007,15189995593.6341
are,2008,23787023510.0928
are,2009,11772578378.0424
are,2010,15993562179.6547
are,2011,28189174855.81689
are,2012,31301480582.0621
are,2013,29029542494.9248
are,2014,27368422369.9082
are,2015,14654908554.6627
are,2016,12173707890.0682
are,2017,15480361497.2348
are,2018,21809414542.5296
are,2019,22551115765.6407
arg,1970,64511275.55442
arg,1971,101809217.36008
arg,1972,119608267.65023
arg,1973,188884911.36422
arg,1974,951460153.6842
arg,1975,863547902.55222
arg,1976,943927036.47941
arg,1977,898997008.49613
arg,1978,1038124947.3553
arg,1979,2777629201.21609
arg,1980,3657782426.37176
arg,1981,3200729992.14987
arg,1982,2025679335.42994
arg,1983,2568359949.31869
arg,1984,2440186772.81355
arg,1985,2275089887.93156
arg,1986,991730264.86601
arg,1987,1473332651.52998
arg,1988,1190043525.85333
arg,1989,1850485953.89832
arg,1990,2829807534.55695
arg,1991,1668808378.68256
arg,1992,2000387621.43187
arg,1993,2091737830.41622
arg,1994,2097004528.56024
arg,1995,2527294182.28091
arg,1996,3513674044.17631
arg,1997,3405449195.29897
arg,1998,1870251597.04283
arg,1999,3000471971.96209
arg,2000,5227687181.41305
arg,2001,4201990304.1096
arg,2002,4424400005.7314
arg,2003,5167415515.24355
arg,2004,6481502939.53817
arg,2005,9386485919.18126
arg,2006,10741950753.8873
arg,2007,10751272123.2727
arg,2008,14090977012.8989
arg,2009,7430694882.14217
arg,2010,9440189062.52163
arg,2011,13527359602.0574
arg,2012,12999305910.3368
arg,2013,12086115650.9917
arg,2014,10300359198.3049
arg,2015,4404623194.33428
arg,2016,3124235634.24232
arg,2017,4795034289.85989
arg,2018,7520746186.73312
arg,2019,6810015349.72827
arm,1980,0
arm,1981,0
arm,1982,0
arm,1983,0
arm,1984,0
arm,1985,0
arm,1986,0
arm,1987,0
arm,1988,0
arm,1989,0
arm,1990,0
arm,1991,0
arm,1992,0
arm,1993,0
arm,1994,0
arm,1995,0
arm,1996,0
arm,1997,0
arm,1998,0
arm,1999,0
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,0
arm,2006,0
arm,2007,0
arm,2008,0
arm,2009,0
arm,2010,0
arm,2011,0
arm,2012,0
arm,2013,0
arm,2014,0
arm,2015,0
arm,2016,0
arm,2017,0.64148
arm,2018,0
arm,2019,0
asm,1980,0
asm,1981,0
asm,1982,0
asm,1983,0
asm,1984,0
asm,1985,0
asm,1986,0
asm,1987,0
asm,1988,0
asm,1989,0
asm,1990,0
asm,1991,0
asm,1992,0
asm,1993,0
asm,1994,0
asm,1995,0
asm,1996,0
asm,1997,0
asm,1998,0
asm,1999,0
asm,2000,0
asm,2001,0
asm,2002,0
asm,2003,0
asm,2004,0
asm,2005,0
asm,2006,0
asm,2007,0
asm,2008,0
asm,2009,0
asm,2010,0
asm,2011,0
asm,2012,0
asm,2013,0
asm,2014,0
asm,2015,0
asm,2016,0
asm,2017,0
asm,2018,0
asm,2019,0
atg,1980,0
atg,1981,0
atg,1982,0
atg,1983,0
atg,1984,0
atg,1985,0
atg,1986,0
atg,1987,0
atg,1988,0
atg,1989,0
atg,1990,0
atg,1991,0
atg,1992,0
atg,1993,0
atg,1994,0
atg,1995,0
atg,1996,0
atg,1997,0
atg,1998,0
atg,1999,0
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0
atg,2012,0
atg,2013,0
atg,2014,0
atg,2015,0
atg,2016,0
atg,2017,0
atg,2018,0
atg,2019,0
aus,1970,12695374.53846
aus,1971,28188850.46764
aus,1972,59766674.04463
aus,1973,154146207.11885
aus,1974,874942969.93564
aus,1975,1188522866.93522
aus,1976,1351513157.96786
aus,1977,1592004530.31024
aus,1978,1507649957.98421
aus,1979,3385254203.78512
aus,1980,3618443908.76831
aus,1981,3070487276.44411
aus,1982,2147434666.11676
aus,1983,2743620567.29241
aus,1984,3194604168.01561
aus,1985,3759306265.17954
aus,1986,1722780521.44081
aus,1987,2315225238.55886
aus,1988,1772379315.24913
aus,1989,2346835714.53339
aus,1990,3837374970.56941
aus,1991,2188578211.01305
aus,1992,2258277370.55139
aus,1993,2022654444.17682
aus,1994,2006900349.75511
aus,1995,2377178532.53592
aus,1996,3005503074.9065
aus,1997,2710983374.01284
aus,1998,1353909737.67197
aus,1999,1880919268.94083
aus,2000,4988830965.19558
aus,2001,3540821805.53231
aus,2002,3230408305.84234
aus,2003,3008715268.24663
aus,2004,4249354125.84719
aus,2005,7435556001.54629
aus,2006,8572373211.11111
