geo,time,ny_adj_dpem_gn_zs
afg,2009,3.56078
afg,2010,3.37024
afg,2011,3.6182
afg,2012,3.40053
afg,2013,3.46345
afg,2014,3.43183
afg,2015,3.30075
afg,2016,3.17302
afg,2017,3.00838
afg,2018,3.00838
afg,2019,2.66143
ago,1990,2.32509
ago,1991,2.08125
ago,1992,5.10567
ago,1993,4.64534
ago,1994,5.78348
ago,1995,2.41627
ago,1996,2.23729
ago,1997,1.79455
ago,1998,1.83322
ago,1999,2.09499
ago,2000,1.99083
ago,2001,1.88684
ago,2002,1.55263
ago,2003,1.51174
ago,2004,1.4268
ago,2005,1.23841
ago,2006,1.13735
ago,2007,1.01588
ago,2008,0.98584
ago,2009,1.00677
ago,2010,1.03798
ago,2011,1.01888
ago,2012,0.94
ago,2013,0.87697
ago,2014,0.76745
ago,2015,0.74864
ago,2016,0.74745
ago,2017,0.72987
ago,2018,0.72987
ago,2019,0.71934
alb,1990,1.22108
alb,1991,1.56719
alb,1992,1.5269
alb,1993,1.15831
alb,1994,0.99077
alb,1995,0.75059
alb,1996,0.66146
alb,1997,0.7459
alb,1998,0.66486
alb,1999,0.54112
alb,2000,0.45581
alb,2001,0.38143
alb,2002,0.36675
alb,2003,0.35489
alb,2004,0.33326
alb,2005,0.30883
alb,2006,0.27218
alb,2007,0.24434
alb,2008,0.23949
alb,2009,0.24456
alb,2010,0.23743
alb,2011,0.2713
alb,2012,0.28401
alb,2013,0.25609
alb,2014,0.25506
alb,2015,0.2543
alb,2016,0.2604
alb,2017,0.26575
alb,2018,0.26575
alb,2019,0.26374
are,2000,0.14162
are,2001,0.14374
are,2002,0.14959
are,2003,0.13745
are,2004,0.12265
are,2005,0.11489
are,2006,0.10377
are,2007,0.10474
are,2008,0.1046
are,2009,0.11252
are,2010,0.11294
are,2011,0.10873
are,2012,0.10957
are,2013,0.11736
are,2014,0.12832
are,2015,0.14454
are,2016,0.1661
are,2017,0.1886
are,2018,0.1886
are,2019,0.23638
arg,1990,0.29801
arg,1991,0.27757
arg,1992,0.26026
arg,1993,0.23695
arg,1994,0.22119
arg,1995,0.22835
arg,1996,0.21422
arg,1997,0.19019
arg,1998,0.17769
arg,1999,0.17582
arg,2000,0.1663
arg,2001,0.17014
arg,2002,0.18261
arg,2003,0.15322
arg,2004,0.13639
arg,2005,0.11768
arg,2006,0.09644
arg,2007,0.09385
arg,2008,0.09587
arg,2009,0.1119
arg,2010,0.10861
arg,2011,0.11159
arg,2012,0.11985
arg,2013,0.12665
arg,2014,0.13752
arg,2015,0.13959
arg,2016,0.14569
arg,2017,0.13853
arg,2018,0.13853
arg,2019,0.14685
arm,1990,0.82836
arm,1991,0.85548
arm,1992,1.53136
arm,1993,1.26986
arm,1994,1.0922
arm,1995,0.83164
arm,1996,0.69681
arm,1997,0.64073
arm,1998,0.61635
arm,1999,0.61443
arm,2000,0.57636
arm,2001,0.54604
arm,2002,0.49098
arm,2003,0.45469
arm,2004,0.43721
arm,2005,0.42204
arm,2006,0.41308
arm,2007,0.39006
arm,2008,0.39837
arm,2009,0.50216
arm,2010,0.52646
arm,2011,0.49872
arm,2012,0.45542
arm,2013,0.4166
arm,2014,0.39566
arm,2015,0.39694
arm,2016,0.40007
arm,2017,0.35393
arm,2018,0.35393
arm,2019,0.32112
aus,1990,0.05233
aus,1991,0.04859
aus,1992,0.04677
aus,1993,0.04083
aus,1994,0.03916
aus,1995,0.03732
aus,1996,0.03568
aus,1997,0.03441
aus,1998,0.03275
aus,1999,0.03102
aus,2000,0.03009
aus,2001,0.02905
aus,2002,0.02768
aus,2003,0.02624
aus,2004,0.02459
aus,2005,0.02438
aus,2006,0.02385
aus,2007,0.0236
aus,2008,0.02276
aus,2009,0.02236
aus,2010,0.02191
aus,2011,0.0213
aus,2012,0.02022
aus,2013,0.02001
aus,2014,0.02034
aus,2015,0.02051
aus,2016,0.01942
aus,2017,0.01888
aus,2018,0.01888
aus,2019,0.01982
aut,1990,0.11383
aut,1991,0.11079
aut,1992,0.10844
aut,1993,0.10862
aut,1994,0.11462
aut,1995,0.11133
aut,1996,0.10371
aut,1997,0.09097
aut,1998,0.08457
aut,1999,0.08052
aut,2000,0.07811
aut,2001,0.07196
aut,2002,0.06838
aut,2003,0.06424
aut,2004,0.05533
aut,2005,0.05669
aut,2006,0.05445
aut,2007,0.05728
aut,2008,0.05677
aut,2009,0.06155
aut,2010,0.05896
aut,2011,0.05388
aut,2012,0.05173
aut,2013,0.05155
aut,2014,0.0495
aut,2015,0.04724
aut,2016,0.04293
aut,2017,0.04
aut,2018,0.04
aut,2019,0.03967
aze,1993,1.93352
aze,1994,2.29556
aze,1995,2.15116
aze,1996,1.60528
aze,1997,1.16908
aze,1998,0.84778
aze,1999,0.68888
aze,2000,0.61863
aze,2001,0.54037
aze,2002,0.48737
aze,2003,0.45068
aze,2004,0.42895
aze,2005,0.37411
aze,2006,0.29825
aze,2007,0.23527
aze,2008,0.2098
aze,2009,0.19845
aze,2010,0.22123
aze,2011,0.21807
aze,2012,0.21208
aze,2013,0.19581
aze,2014,0.18053
aze,2015,0.18499
aze,2016,0.19604
aze,2017,0.19448
aze,2018,0.19448
aze,2019,0.18589
bdi,1990,4.70351
bdi,1991,4.33848
bdi,1992,4.10123
bdi,1993,4.32459
bdi,1994,4.07951
bdi,1995,4.10045
bdi,1996,4.08445
bdi,1997,3.82611
bdi,1998,3.50648
bdi,1999,3.48378
bdi,2000,3.35712
bdi,2001,3.40135
bdi,2002,3.41887
bdi,2003,3.55488
bdi,2004,3.5362
bdi,2005,3.60952
bdi,2006,3.45425
bdi,2007,3.20713
bdi,2008,2.92183
bdi,2009,2.67431
bdi,2010,2.42824
bdi,2011,2.34985
bdi,2012,2.28636
bdi,2013,2.21782
bdi,2014,2.14141
bdi,2015,2.17058
bdi,2016,2.10948
bdi,2017,2.06598
bdi,2018,2.06598
bdi,2019,1.96306
bel,1990,0.13004
bel,1991,0.12426
bel,1992,0.12124
bel,1993,0.11385
bel,1994,0.10912
bel,1995,0.10663
bel,1996,0.10102
bel,1997,0.09336
bel,1998,0.08681
bel,1999,0.0933
bel,2000,0.08312
bel,2001,0.08136
bel,2002,0.07635
bel,2003,0.07617
bel,2004,0.07106
bel,2005,0.07485
bel,2006,0.06892
bel,2007,0.06939
bel,2008,0.06824
bel,2009,0.07193
bel,2010,0.07123
bel,2011,0.06845
bel,2012,0.06389
bel,2013,0.05862
bel,2014,0.05289
bel,2015,0.05006
bel,2016,0.047
bel,2017,0.04737
bel,2018,0.04737
bel,2019,0.04673
ben,1990,5.92433
ben,1991,5.68746
ben,1992,5.65104
ben,1993,5.21166
ben,1994,5.04537
ben,1995,4.60777
ben,1996,4.27519
ben,1997,3.93367
ben,1998,3.67889
ben,1999,3.47707
ben,2000,3.35017
ben,2001,3.24027
ben,2002,3.21808
ben,2003,3.17687
ben,2004,3.14797
ben,2005,3.11075
ben,2006,3.01829
ben,2007,2.87459
ben,2008,2.79588
ben,2009,2.82672
ben,2010,2.85459
ben,2011,2.82608
ben,2012,2.78528
ben,2013,2.62338
ben,2014,2.48141
ben,2015,2.56257
ben,2016,2.54459
ben,2017,2.4651
ben,2018,2.4651
ben,2019,2.18138
bfa,1990,4.69847
bfa,1991,4.3718
bfa,1992,4.36559
bfa,1993,4.25594
bfa,1994,4.20967
bfa,1995,4.05171
bfa,1996,3.68385
bfa,1997,3.61014
bfa,1998,3.51982
bfa,1999,3.47078
bfa,2000,3.65356
bfa,2001,3.55
bfa,2002,3.60454
bfa,2003,3.44519
bfa,2004,3.34002
bfa,2005,3.2361
bfa,2006,3.1332
bfa,2007,2.9749
bfa,2008,2.90289
bfa,2009,2.87733
bfa,2010,2.76114
bfa,2011,2.67643
bfa,2012,2.63106
bfa,2013,2.61555
bfa,2014,2.69851
bfa,2015,2.7952
bfa,2016,2.80915
bfa,2017,2.71458
bfa,2018,2.71458
bfa,2019,2.48457
bgd,1990,4.43522
bgd,1991,4.05586
bgd,1992,3.93338
bgd,1993,3.69654
bgd,1994,3.49299
bgd,1995,3.33771
bgd,1996,3.19841
bgd,1997,3.01051
bgd,1998,2.78563
bgd,1999,2.59427
bgd,2000,2.43458
bgd,2001,2.27458
bgd,2002,2.13799
bgd,2003,2.01183
bgd,2004,1.88631
bgd,2005,1.76493
