global,time,ny_adj_nnat_gn_zs
world,1975,8.98142
world,1976,9.67354
world,1977,9.56401
world,1978,9.86877
world,1979,10.00631
world,1980,8.98289
world,1981,9.64811
world,1982,7.78699
world,1983,6.69983
world,1984,7.97103
world,1985,7.23976
world,1986,6.00881
world,1987,6.40644
world,1988,7.25699
world,1989,7.44049
world,1990,6.04243
world,1991,5.06974
world,1992,4.61735
world,1993,4.27793
world,1994,5.28428
world,1995,6.14026
world,1996,8.36627
world,1997,8.77338
world,1998,8.52433
world,1999,8.2148
world,2000,8.74113
world,2001,7.67505
world,2002,7.1413
world,2003,7.23696
world,2004,8.34956
world,2005,9.05559
world,2006,10.28108
world,2007,10.47057
world,2008,9.66274
world,2009,6.80839
world,2010,9.07164
world,2011,9.95729
world,2012,10.25122
world,2013,10.10021
world,2014,10.47582
world,2015,10.22865
world,2016,9.78786
world,2017,10.60354
world,2018,10.85531
world,2019,10.42029
