geo,time,ny_adj_nnty_pc_cd
abw,1986,5755.28733
abw,1987,6901.27049
abw,1988,8529.33574
abw,1989,10069.99603
abw,1990,10968.49959
abw,1991,12035.5513
abw,1992,12508.66173
abw,1993,13211.97637
abw,1994,14351.25739
abw,1995,14476.11525
abw,1996,14557.60541
abw,1997,15636.28296
abw,1998,16895.32663
abw,1999,16911.38075
abw,2000,18246.3268
abw,2001,17925.42375
abw,2002,16915.30495
abw,2003,18164.81238
abw,2004,19508.51853
abw,2005,16248.68828
abw,2006,20642.61851
abw,2007,19490.10045
abw,2008,23288.43741
abw,2009,21405.35668
abw,2010,19831.32266
abw,2011,20055.18369
abw,2012,21093.23665
abw,2013,21960.63799
abw,2014,22980.21285
abw,2015,23868.33972
abw,2016,24041.90164
abw,2017,24369.29844
afg,1970,151.05624
afg,1971,154.06282
afg,1972,131.20461
afg,1973,138.48251
afg,1974,167.45922
afg,1975,178.9921
afg,1976,189.1239
afg,1977,214.62422
afg,1978,236.92577
afg,1979,262.56669
afg,1980,258.27838
afg,1981,251.44949
afg,2009,411.42779
afg,2010,511.89777
afg,2011,557.08074
afg,2012,605.2912
afg,2013,602.65181
afg,2014,580.8572
afg,2015,553.26539
afg,2016,489.10317
afg,2017,501.82838
afg,2018,473.31937
afg,2019,490.23231
ago,1985,521.80529
ago,1986,541.47655
ago,1987,458.76691
ago,1988,433.70918
ago,1989,636.01324
ago,1990,541.83795
ago,1991,668.57558
ago,1992,66.83797
ago,1993,95.35128
ago,1994,26.23568
ago,1995,186.65415
ago,1996,184.32221
ago,1997,260.36797
ago,1998,269.47515
ago,1999,164.49193
ago,2000,207.36682
ago,2001,265.46811
ago,2002,559.03275
ago,2003,663.29845
ago,2004,676.23808
ago,2005,918.10818
ago,2006,1245.07345
ago,2007,1377.58259
ago,2008,1288.33892
ago,2009,1755.07574
ago,2010,1742.40061
ago,2011,2285.74064
ago,2012,2733.04988
ago,2013,3053.72815
ago,2014,3470.10291
ago,2015,3119.03307
ago,2016,2633.77617
ago,2017,2866.86467
ago,2018,2000.54682
ago,2019,1700.31846
alb,1984,464.95853
alb,1985,461.96159
alb,1986,552.28634
alb,1987,518.14456
alb,1988,503.97702
alb,1989,529.08597
alb,1990,475.23238
alb,1991,250.91234
alb,1992,139.19671
alb,1993,317.20565
alb,1994,509.15045
alb,1995,668.47973
alb,1996,914.03627
alb,1997,642.23871
alb,1998,748.65163
alb,1999,948.2731
alb,2000,1039.49186
alb,2001,1192.47197
alb,2002,1311.94916
alb,2003,1703.46876
alb,2004,2169.41603
alb,2005,2436.98354
alb,2006,2738.06414
alb,2007,3230.76877
alb,2008,3834.4812
alb,2009,3515.17878
alb,2010,3498.34201
alb,2011,3733.5752
alb,2012,3508.38081
alb,2013,3765.18142
alb,2014,3850.05356
alb,2015,3272.39415
alb,2016,3448.32457
alb,2017,3722.95418
alb,2018,4326.3306
alb,2019,4319.48764
are,2000,30445.45292
are,2001,29044.06231
are,2002,28202.04398
are,2003,29583.6813
are,2004,32194.6022
are,2005,33305.42356
are,2006,35914.24393
are,2007,36678.34704
are,2008,37374.32645
are,2009,27384.92344
are,2010,30498.58073
are,2011,34547.21924
are,2012,36052.8741
are,2013,37911.62388
are,2014,39308.2921
are,2015,35646.09956
are,2016,35478.30805
are,2017,37734.43416
are,2018,40019.94277
are,2019,39305.77963
arg,1970,1194.73264
arg,1971,1301.24289
arg,1972,1294.89199
arg,1973,1965.73124
arg,1974,2641.06041
arg,1975,1889.56102
arg,1976,1782.30208
arg,1977,1941.48333
arg,1978,1945.13187
arg,1979,2226.34393
arg,1980,2407.81928
arg,1981,2394.39463
arg,1982,2472.14804
arg,1983,3025.46612
arg,1984,2266.42641
arg,1985,2489.04869
arg,1986,3174.45143
arg,1987,3104.73512
arg,1988,3485.87747
arg,1989,1924.15154
arg,1990,3690.90533
arg,1991,5033.70413
arg,1992,6069.19932
arg,1993,6190.06043
arg,1994,6582.19562
arg,1995,6397.54976
arg,1996,6698.71984
arg,1997,7079.59543
arg,1998,7119.68954
arg,1999,6555.85764
arg,2000,6437.66897
arg,2001,5996.25278
arg,2002,1983.41321
arg,2003,2678.72692
arg,2004,3172.48383
arg,2005,3776.75459
arg,2006,4869.51194
arg,2007,6098.40468
arg,2008,7565.00962
arg,2009,6834.65582
arg,2010,8614.98988
arg,2011,10687.8064
arg,2012,10827.73081
arg,2013,10836.29317
arg,2014,10212.7923
arg,2015,11677.28869
arg,2016,10803.64227
arg,2017,12497.73051
arg,2018,9676.81111
arg,2019,8160.57203
arm,1995,401.75387
arm,1996,441.79787
