geo,time,ny_adj_nnty_pc_kd
abw,2015,23875.63492
afg,2015,511.95316
ago,2000,1227.6571
ago,2001,1460.78079
ago,2002,2029.0072
ago,2003,2156.72131
ago,2004,1994.07562
ago,2005,2163.70096
ago,2006,2457.65104
ago,2007,2229.68104
ago,2008,1707.51216
ago,2009,2186.77098
ago,2010,2301.16366
ago,2011,2650.55053
ago,2012,2879.90284
ago,2013,3062.66741
ago,2014,3224.52315
ago,2015,3134.60405
ago,2016,3026.26936
ago,2017,2878.72473
ago,2018,2502.49913
ago,2019,2429.14223
alb,1997,1310.51816
alb,1998,1393.2597
alb,1999,1612.1525
alb,2000,1805.11011
alb,2001,2003.27925
alb,2002,2075.5261
alb,2003,2191.21189
alb,2004,2332.64564
alb,2005,2433.31383
alb,2006,2622.46145
alb,2007,2739.25098
alb,2008,2940.2848
alb,2009,2975.90056
alb,2010,3144.372
alb,2011,3160.11594
alb,2012,3137.87312
alb,2013,3227.62916
alb,2014,3255.26962
alb,2015,3267.21752
alb,2016,3375.09044
alb,2017,3450.98747
alb,2018,3587.79171
alb,2019,3629.34903
are,2001,57340.19063
are,2002,53989.95252
are,2003,53709.33764
are,2004,53712.17097
are,2005,50493.17696
are,2006,51458.09798
are,2007,47385.34452
are,2008,43553.85478
are,2009,32722.24602
are,2010,30623.0866
are,2011,33993.53584
are,2012,34797.71275
are,2013,37201.30336
are,2014,39238.62909
are,2015,35649.43725
are,2016,35723.24244
are,2017,38124.09931
are,2018,36955.49542
are,2019,36487.28799
arg,1970,7769.96084
arg,1971,8430.25935
arg,1972,8229.39436
arg,1973,8573.80854
arg,1974,8716.89913
arg,1975,8581.48208
arg,1976,8267.74175
arg,1977,8599.01273
arg,1978,8020.04702
arg,1979,8438.44925
arg,1980,8631.50609
arg,1981,7944.33694
arg,1982,7256.81215
arg,1983,7497.27542
arg,1984,7533.72104
arg,1985,6910.08729
arg,1986,7411.49534
arg,1987,7387.98529
arg,1988,7227.89605
arg,1989,6186.64444
arg,1990,6129.35508
arg,1991,6969.52243
arg,1992,7844.54247
arg,1993,8149.57796
arg,1994,8440.29375
arg,1995,7947.28215
arg,1996,8382.25318
arg,1997,8900.698
arg,1998,9073.27347
arg,1999,8461.355
arg,2000,8286.31548
arg,2001,7797.45075
arg,2002,6837.0855
arg,2003,7529.54543
arg,2004,7378.5748
arg,2005,7857.95289
arg,2006,9400.87349
arg,2007,10465.48062
arg,2008,10965.56832
arg,2009,10050.0536
arg,2010,11114.80763
arg,2011,11991.17233
arg,2012,11675.20318
arg,2013,11778.37308
arg,2014,11248.36217
arg,2015,11697.12026
arg,2016,11351.47108
arg,2017,11871.0685
arg,2018,11091.04111
arg,2019,10458.02886
arm,1995,928.91632
arm,1996,1004.0582
arm,1997,1085.36188
arm,1998,1132.87933
arm,1999,1175.88282
arm,2000,1173.05637
arm,2001,1278.65715
arm,2002,1475.7719
arm,2003,1777.95529
arm,2004,1973.02561
arm,2005,2281.26637
arm,2006,2635.24504
arm,2007,3107.2458
arm,2008,3424.73959
arm,2009,2690.96861
arm,2010,2744.00205
arm,2011,2818.49668
arm,2012,3178.6268
arm,2013,3273.42723
arm,2014,3296.91791
arm,2015,3235.79234
arm,2016,3176.92644
arm,2017,3495.55531
arm,2018,3631.81074
arm,2019,3832.24236
aus,2015,44412.79223
aut,1970,15968.45062
aut,1971,16632.82183
aut,1972,17592.88634
aut,1973,18534.79955
aut,1974,18895.26382
aut,1975,18948.03895
aut,1976,19816.85638
aut,1977,20730.15684
aut,1978,20833.05618
aut,1979,21918.2307
aut,1980,22088.50114
aut,1981,21858.76334
aut,1982,22272.06075
aut,1983,23116.60682
aut,1984,23151.72122
aut,1985,23643.73059
aut,1986,24260.71414
aut,1987,24706.01157
aut,1988,25649.72151
aut,1989,26517.68605
aut,1990,27497.82559
aut,1991,27998.43297
aut,1992,28270.32131
aut,1993,28029.32352
aut,1994,28588.38979
aut,1995,29181.72236
aut,1996,29781.29554
aut,1997,30171.87772
aut,1998,31148.55427
aut,1999,31674.80987
aut,2000,32693.61261
aut,2001,32697.45933
aut,2002,33261.29287
aut,2003,33487.63133
aut,2004,34294.18743
aut,2005,34736.08378
aut,2006,35973.78701
aut,2007,37058.58145
aut,2008,37420.91173
aut,2009,35436.49178
aut,2010,36131.77905
aut,2011,36542.9308
aut,2012,36285.28166
aut,2013,35977.41865
aut,2014,35976.37555
aut,2015,35797.3092
aut,2016,36733.95803
aut,2017,36540.9176
aut,2018,37212.625
aut,2019,37649.44485
aze,2015,4460.66328
bdi,1997,149.81589
bdi,1998,144.629
bdi,1999,172.57327
bdi,2000,171.55313
bdi,2001,154.67513
bdi,2002,144.16683
bdi,2003,98.43464
bdi,2004,123.5999
bdi,2005,139.60401
bdi,2006,157.08249
bdi,2007,136.33569
bdi,2008,138.95282
bdi,2009,144.56711
bdi,2010,169.24436
bdi,2011,163.74363
bdi,2012,188.12259
bdi,2013,197.23801
bdi,2014,199.22292
bdi,2015,219.19415
bdi,2016,195.2962
bdi,2017,190.09835
bdi,2018,200.84313
bdi,2019,199.55821
bel,1970,16230.91793
bel,1971,16735.10292
bel,1972,17740.01455
bel,1973,18890.67376
bel,1974,19151.01159
bel,1975,18865.12722
bel,1976,19904.18426
bel,1977,19897.44155
bel,1978,20443.87803
bel,1979,20800.28842
bel,1980,20675.35785
bel,1981,20150.35248
bel,1982,20106.46012
bel,1983,20271.54235
bel,1984,20917.07578
bel,1985,21522.65185
bel,1986,22546.72082
bel,1987,23250.76394
bel,1988,24559.11761
bel,1989,25332.91017
bel,1990,25975.03814
bel,1991,26452.39364
bel,1992,26983.40789
bel,1993,27115.92543
bel,1994,28121.08031
bel,1995,28544.15922
bel,1996,28618.4195
bel,1997,29564.07925
bel,1998,30092.66013
bel,1999,30730.9572
bel,2000,31416.77183
bel,2001,31360.1601
bel,2002,31684.48113
bel,2003,31734.68459
bel,2004,32358.56376
bel,2005,32655.78441
bel,2006,32998.39898
bel,2007,33912.92793
bel,2008,33100.22091
bel,2009,32375.37816
bel,2010,32639.774
bel,2011,31780.72414
bel,2012,32657.00043
bel,2013,32818.7127
bel,2014,33178.14346
bel,2015,33791.19583
bel,2016,34161.48706
bel,2017,34399.9925
bel,2018,34686.1565
bel,2019,35504.91525
ben,1971,707.16547
ben,1972,733.21207
ben,1973,746.03359
ben,1974,724.90635
ben,1975,657.76006
ben,1976,637.43676
ben,1977,623.66375
ben,1978,631.75887
ben,1979,687.67369
ben,1980,726.33736
ben,1981,743.91
ben,1982,688.37828
ben,1983,639.60146
ben,1984,652.88629
ben,1985,695.16135
ben,1986,669.84738
ben,1987,636.93512
ben,1988,647.63185
ben,1989,588.95994
ben,1990,629.74939
ben,1991,642.28414
ben,1992,597.07769
ben,1993,629.644
ben,1994,551.01381
ben,1995,565.47695
ben,1996,581.65237
ben,1997,606.34054
ben,1998,613.16358
ben,1999,658.42581
ben,2000,695.35796
ben,2001,725.29747
ben,2002,761.79102
ben,2003,776.85364
ben,2004,803.61399
ben,2005,785.00474
ben,2006,791.84992
ben,2007,812.45343
ben,2008,831.40439
ben,2009,826.96877
ben,2010,819.72685
ben,2011,835.37522
ben,2012,863.37716
ben,2013,923.43204
ben,2014,954.58159
ben,2015,958.43434
ben,2016,974.36692
ben,2017,983.00362
ben,2018,1016.66071
ben,2019,1068.53844
bfa,1980,332.65623
bfa,1981,337.67319
bfa,1982,356.31256
bfa,1983,346.61914
bfa,1984,333.66293
bfa,1985,329.0454
bfa,1986,351.92261
bfa,1987,340.52834
bfa,1988,351.44521
bfa,1989,343.30555
bfa,1990,335.11702
bfa,1991,350.07022
bfa,1992,342.08954
bfa,1993,342.50729
bfa,1994,309.24971
bfa,1995,325.43777
bfa,1996,350.53809
bfa,1997,357.71267
bfa,1998,378.72322
bfa,1999,380.10518
bfa,2000,383.51485
bfa,2001,397.06238
bfa,2002,401.88739
bfa,2003,419.82986
bfa,2004,426.77626
bfa,2005,444.41235
bfa,2006,455.7108
bfa,2007,459.12621
bfa,2008,467.47624
bfa,2009,463.90905
bfa,2010,486.88336
bfa,2011,501.14206
bfa,2012,546.55558
bfa,2013,548.22594
bfa,2014,549.37302
bfa,2015,563.05622
bfa,2016,593.14125
bfa,2017,613.52315
bfa,2018,642.61253
bfa,2019,685.41395
bgd,1973,511.29705
bgd,1974,499.52928
bgd,1975,466.31588
bgd,1976,459.96443
bgd,1977,437.87544
bgd,1978,464.84295
bgd,1979,480.49634
bgd,1980,477.77007
bgd,1981,522.08758
bgd,1982,498.01568
bgd,1983,497.02982
bgd,1984,495.56169
bgd,1985,527.75616
bgd,1986,534.35778
bgd,1987,539.93102
bgd,1988,539.74005
bgd,1989,539.84488
bgd,1990,563.6884
bgd,1991,543.13975
bgd,1992,548.84312
bgd,1993,553.96824
bgd,1994,571.15164
bgd,1995,580.55833
bgd,1996,585.76997
bgd,1997,586.29213
bgd,1998,599.64362
bgd,1999,614.43949
bgd,2000,637.36465
bgd,2001,656.19513
bgd,2002,669.54983
bgd,2003,685.84804
bgd,2004,727.65777
bgd,2005,764.44308
bgd,2006,814.49783
bgd,2007,863.89858
bgd,2008,900.15972
bgd,2009,935.64584
bgd,2010,984.51705
bgd,2011,1026.40906
bgd,2012,1077.97458
bgd,2013,1126.8792
bgd,2014,1160.92529
bgd,2015,1217.56906
bgd,2016,1284.05135
bgd,2017,1347.7566
bgd,2018,1441.19249
bgd,2019,1653.58678
bgr,1980,2382.90425
bgr,1981,2648.2564
bgr,1982,2770.25636
bgr,1983,2875.05796
bgr,1984,3014.45107
bgr,1985,3008.87019
bgr,1986,3017.41478
bgr,1987,3214.31324
bgr,1988,3355.2205
bgr,1989,3199.49835
bgr,1990,3160.45406
bgr,1991,2631.12608
bgr,1992,2623.35776
bgr,1993,2487.54831
bgr,1994,2629.55585
bgr,1995,3652.81679
bgr,1996,3597.07856
bgr,1997,2803.30183
bgr,1998,2906.17545
bgr,1999,2696.86328
bgr,2000,2813.44281
bgr,2001,3082.36751
bgr,2002,3406.64799
bgr,2003,3596.20289
bgr,2004,3897.19609
bgr,2005,4101.50752
bgr,2006,4356.98776
bgr,2007,4521.74395
bgr,2008,5066.1881
bgr,2009,5062.70705
bgr,2010,5166.45989
bgr,2011,5398.77069
bgr,2012,5546.64237
bgr,2013,5502.50698
bgr,2014,5662.37124
bgr,2015,5819.93398
bgr,2016,6167.16015
bgr,2017,6467.19071
bgr,2018,6639.2248
bgr,2019,7127.15853
bhr,2000,16918.25648
bhr,2001,16162.34494
bhr,2002,14304.21809
bhr,2003,15341.8603
bhr,2004,15381.2372
bhr,2005,16928.14243
bhr,2006,17830.14401
bhr,2007,19079.29446
bhr,2008,20190.24548
