geo,time,ny_adj_svnx_cd
abw,1995,317237772.63859
abw,1996,245145163.77275
abw,1997,258931095.10031
abw,1998,330829545.81136
abw,1999,241201431.14235
abw,2000,284668200.43217
abw,2001,214077330.10532
abw,2002,70304853.43348
abw,2003,132116828.29305
abw,2004,211144555.38163
abw,2005,-231937694.40382
abw,2006,131637952.97654
abw,2007,-170236263.5653
abw,2008,156852772.7284
abw,2009,94560030.52546
abw,2010,-72756641.24781
abw,2011,-241118382.06899
abw,2012,-83157861.94472
abw,2013,10533515.4212
abw,2014,120131010.09502
abw,2015,256125978.28312
abw,2016,273054714.97404
abw,2017,270701067.30152
ago,2000,-423289745.28787
ago,2001,-1560344628.66893
ago,2002,685452088.21954
ago,2003,828266872.51375
ago,2004,-326051436.57219
ago,2005,557399337.4379
ago,2006,2316606712.80341
ago,2007,-833366153.15592
ago,2008,-11052237805.9461
ago,2009,-3249368491.22282
ago,2010,-2131154005.8684
ago,2011,-1507990691.00464
ago,2012,1472390623.17741
ago,2013,-309664211.40634
ago,2014,3572327459.40455
ago,2015,8796943103.62976
ago,2016,6942179463.26642
ago,2017,1782119806.24329
ago,2018,-4372169441.97734
ago,2019,-4987643660.33893
alb,1984,-10405099.38457
alb,1985,-9977322.99465
alb,1986,144896012.00629
alb,1987,41485780.54357
alb,1988,-2452312.58878
alb,1989,19766632.71683
alb,1990,-93964526.82004
alb,1991,-403346346.11349
alb,1992,-259744565.46718
alb,1993,-61271712.53258
alb,1994,-178283094.44725
alb,1995,123358518.22597
alb,1996,201446250.48871
alb,1997,-120973854.99566
alb,1998,205654769.70485
alb,1999,180343605.92062
alb,2000,574634000.14581
alb,2001,791556785.44427
alb,2002,710766266.15108
alb,2003,970196825.77686
alb,2004,1451217118.42669
alb,2005,1697111452.52828
alb,2006,1802905732.90258
alb,2007,1411049590.15588
alb,2008,918839897.41627
alb,2009,771376757.11678
alb,2010,1000730916.42673
alb,2011,849251586.9766
alb,2012,598812856.98366
alb,2013,425377022.90392
alb,2014,117065953.92873
alb,2015,24586718.66319
alb,2016,153709121.00429
alb,2017,54660297.18898
alb,2018,128988809.19998
alb,2019,-308791103.78871
arg,1976,13100374936.9302
arg,1977,14287995906.7327
arg,1978,12808719412.4637
arg,1979,10766716812.2913
arg,1980,9561089355.97748
arg,1981,7333769115.99628
arg,1982,7819666504.49193
arg,1983,10355174330.3574
arg,1984,7161488488.45574
arg,1985,7290074762.49185
arg,1986,8191124435.38229
arg,1987,7880076224.42599
arg,1988,11974014305.3264
arg,1989,1472976008.31673
arg,1990,7934582632.81007
arg,1991,10715632414.5418
arg,1992,15499607198.5458
arg,1993,21793854564.5031
arg,1994,21612680366.3592
arg,1995,18890505678.0492
arg,1996,23240988060.7967
arg,1997,21419253404.5422
arg,1998,22539298907.985
arg,1999,11361356191.8453
arg,2000,11593219846.0613
arg,2001,10989674506.4422
arg,2002,4350437806.94155
arg,2003,9020168387.16264
arg,2004,-189632514.81872
arg,2005,317233713.64557
arg,2006,20167447153.4841
arg,2007,32278588918.4141
arg,2008,36899193376.3396
arg,2009,25480819665.6001
arg,2010,28737875335.6407
arg,2011,37263278484.4383
arg,2012,29102714913.3147
arg,2013,23058906176.0602
arg,2014,23631243197.9959
arg,2015,28777930824.5369
arg,2016,27540555361.7631
arg,2017,31017342642.9394
arg,2018,23330279814.3277
arg,2019,22520760357.3544
arm,1995,-258350241.50295
arm,1996,-226341223.70061
arm,1997,-218577423.95726
arm,1998,-285062362.44937
arm,1999,-243987020.02632
arm,2000,-343498168.19301
arm,2001,-236938581.56119
arm,2002,-154183091.11593
arm,2003,27244470.58267
arm,2004,199084114.07146
arm,2005,536307575.56862
arm,2006,1059974493.41902
arm,2007,1583128816.51023
arm,2008,2056950569.40476
arm,2009,280970249.25638
arm,2010,75672615.12925
arm,2011,-115274641.2947
arm,2012,215110682.4881
arm,2013,290747177.43931
arm,2014,120150465.80554
arm,2015,576820568.0194
arm,2016,481978596.12141
arm,2017,457628240.36059
arm,2018,198445797.40507
arm,2019,-525707371.90998
aus,1989,33360315002.49089
aus,1990,27727584675.551
aus,1991,18843423761.0828
aus,1992,10709629890.8224
aus,1993,18548268002.0564
aus,1994,25247310759.4832
aus,1995,24274467877.8678
aus,1996,30315864239.48109
aus,1997,35046263700.2339
aus,1998,30713020523.8219
aus,1999,25750048157.2648
aus,2000,25266825130.2013
aus,2001,22280674038.6612
aus,2002,28235064299.2044
aus,2003,33331389784.5439
aus,2004,46650169087.7639
aus,2005,43183350976.3398
aus,2006,47635901346.0024
aus,2007,47448537550.6647
aus,2008,61458498005.8866
aus,2009,83425137738.75169
aus,2010,81131508568.31551
aus,2011,116956966741.571
aus,2012,155364571426.87201
aus,2013,149318662887.07599
aus,2014,117464234142.703
aus,2015,95880231647.43268
aus,2016,62525742468.1297
aus,2017,85027803513.99001
aus,2018,82990601788.3075
aus,2019,85967028834.52531
aut,2005,43473482063.27889
aut,2006,49314734979.1288
aut,2007,63533950289.946
aut,2008,71670951259.2747
aut,2009,49516645576.48009
aut,2010,51644669313.6962
aut,2011,58667326612.2831
aut,2012,52281165617.3793
aut,2013,52734022649.4938
aut,2014,55811262029.0463
aut,2015,46989362842.1449
aut,2016,54748175252.8604
aut,2017,53418228293.4947
aut,2018,60437627991.5559
aut,2019,65183720973.2344
aze,1998,-1007291196.56037
aze,1999,-1176765319.31526
aze,2000,-1560862650.9833
aze,2001,-1044988384.22026
aze,2002,-528168358.16793
aze,2003,-174924185.94145
aze,2004,-48721460.37151
aze,2005,1011186881.65735
aze,2006,2047198098.51771
aze,2007,4305835864.75055
aze,2008,8319927046.85748
aze,2009,6974882001.71863
aze,2010,9208590867.15074
aze,2011,12566225405.1354
aze,2012,13283995147.1638
aze,2013,15481340145.1514
aze,2014,15323159007.0393
aze,2015,6469754072.88067
aze,2016,1943676248.44923
aze,2017,3416769430.03272
aze,2018,3360808810.05637
aze,2019,2784785642.13875
bdi,1985,-101731801.68856
bdi,1986,-150748781.09028
bdi,1987,-91167068.34423
bdi,1988,-155383715.24937
bdi,1989,-101500991.24045
bdi,1990,-192640587.37758
bdi,1991,-149914830.7216
bdi,1992,-221974424.91932
bdi,1993,-129119834.45714
bdi,1994,-209635793.07274
bdi,1995,-290354621.09642
bdi,1996,-322726092.51643
bdi,1997,-291460404.33919
bdi,1998,-340742925.53721
bdi,1999,-207433643.94473
bdi,2000,-237142776.98663
bdi,2001,-270745757.8035
bdi,2002,-275482865.78155
bdi,2003,-364966585.09726
bdi,2004,-339004325.65609
bdi,2005,-269920042.62063
bdi,2006,-342457776.96677
bdi,2007,-479647300.81055
bdi,2008,-709040595.91404
bdi,2009,-516780949.66644
bdi,2010,-572775096.9396
bdi,2011,-691732565.71468
bdi,2012,-341211631.66198
bdi,2013,-515126893.06456
bdi,2014,-644715620.09128
bdi,2015,-367717932.98011
bdi,2016,-555198263.12664
bdi,2017,-586308099.38241
bdi,2018,-500641433.75827
bel,2002,36845206073.7647
bel,2003,43362111400.9814
bel,2004,54850149561.09609
bel,2005,57052331586.0996
bel,2006,61259992023.1275
bel,2007,75111072058.1163
bel,2008,73241263123.34441
bel,2009,54466242950.9099
bel,2010,55915467223.7271
bel,2011,50697575831.6527
bel,2012,54018651088.4437
bel,2013,53721969248.346
bel,2014,58258527958.5472
bel,2015,53183783312.5993
bel,2016,54318469973.8713
bel,2017,59135235152.3619
bel,2018,62067224767.0846
bel,2019,62860344086.84609
ben,1974,54609644.9722
ben,1975,58787506.86507
ben,1976,58577137.48056
ben,1977,83375997.38115
ben,1978,70873890.12497
ben,1979,111960930.51909
ben,1980,13307858.47392
ben,1981,-77361496.66661
ben,1982,109837751.20578
ben,1983,28814548.64338
ben,1984,10271256.9319
ben,1985,-38274602.85133
ben,1986,-17617507.67377
ben,1987,-31960485.82798
ben,1988,-88438974.12696
ben,1989,-51871226.55755
ben,1990,24166112.63724
ben,1991,33076720.38031
ben,1992,-38710714.16068
ben,1993,-63061142.25606
ben,1994,-41221124.68302
ben,1995,-49286583.06493
ben,1996,-91716192.28784
ben,1997,-59081803.43246
ben,1998,-73955567.27968
ben,1999,-163456090.37738
ben,2000,-115431522.30493
ben,2001,-80798196.69612
ben,2002,-53686940.54151
ben,2003,-177798785.63579
ben,2004,-10433627.5875
ben,2005,-32991602.76407
ben,2006,-57935746.92386
ben,2007,40818115.16884
ben,2008,-41536153.62294
ben,2009,-193045436.62969
ben,2010,-171512103.02815
ben,2011,-52755484.56152
ben,2012,220835804.55446
ben,2013,781092381.93348
ben,2014,1143497206.61328
ben,2015,248481101.1872
ben,2016,655784425.29978
ben,2017,647353863.58862
ben,2018,1202097447.64583
ben,2019,1473305392.6585
bfa,2005,-37972023.72261
bfa,2006,-75028314.62548
bfa,2007,12795863.07562
bfa,2008,-115659020.38148
bfa,2009,-28792615.74306
bfa,2010,311707080.59046
bfa,2011,457365231.11267
bfa,2012,621770214.82489
bfa,2013,343255991.61989
bfa,2014,259848257.65341
bfa,2015,-28346413.07434
bfa,2016,226318086.04396
bfa,2017,374682607.80346
bfa,2018,1203007085.04781
